♣7,♠4,♠10,♥3,♣4 | Pair
♠4,♣K,♣4,♥Q,♥4 | Three Of A Kind
♠4,♣K,♣4,♦A,♥4 | Three Of A Kind
♠4,♣K,♣6,♥Q,♥4 | Pair
♠4,♣K,♣6,♦A,♥4 | Pair
♠4,♣K,♥Q,♦A,♥4 | Pair
♠4,♣9,♣4,♣6,♥Q | Pair
♠4,♣9,♣4,♣6,♦A | Pair
♠4,♣9,♣4,♣6,♥4 | Three Of A Kind
♠4,♣9,♣4,♥Q,♦A | Pair
♠4,♣9,♣4,♥Q,♥4 | Three Of A Kind
♠4,♣9,♣4,♦A,♥4 | Three Of A Kind
♠4,♣9,♣6,♥Q,♥4 | Pair
♠4,♣9,♣6,♦A,♥4 | Pair
♠4,♣9,♥Q,♦A,♥4 | Pair
♠4,♣4,♣6,♥Q,♦A | Pair
♠4,♣4,♣6,♥Q,♥4 | Three Of A Kind
♠4,♣4,♣6,♦A,♥4 | Three Of A Kind
♠4,♣4,♥Q,♦A,♥4 | Three Of A Kind
♠4,♣6,♥Q,♦A,♥4 | Pair
♠10,♥3,♣K,♣4,♥4 | Pair
♠10,♥3,♣9,♣4,♥4 | Pair
♠10,♥3,♣4,♣6,♥4 | Pair
♠10,♥3,♣4,♥Q,♥4 | Pair
♠10,♥3,♣4,♦A,♥4 | Pair
♠10,♣K,♣9,♣4,♥4 | Pair
♠10,♣K,♣4,♣6,♥4 | Pair
♠10,♣K,♣4,♥Q,♥4 | Pair
♠10,♣K,♣4,♦A,♥4 | Pair
♠10,♣9,♣4,♣6,♥4 | Pair
♠10,♣9,♣4,♥Q,♥4 | Pair
♠10,♣9,♣4,♦A,♥4 | Pair
♠10,♣4,♣6,♥Q,♥4 | Pair
♠10,♣4,♣6,♦A,♥4 | Pair
♠10,♣4,♥Q,♦A,♥4 | Pair
♥3,♣K,♣9,♣4,♥4 | Pair
♥3,♣K,♣4,♣6,♥4 | Pair
♥3,♣K,♣4,♥Q,♥4 | Pair
♥3,♣K,♣4,♦A,♥4 | Pair
♥3,♣9,♣4,♣6,♥4 | Pair
♥3,♣9,♣4,♥Q,♥4 | Pair
♥3,♣9,♣4,♦A,♥4 | Pair
♥3,♣4,♣6,♥Q,♥4 | Pair
♥3,♣4,♣6,♦A,♥4 | Pair
♥3,♣4,♥Q,♦A,♥4 | Pair
♣K,♣9,♣4,♣6,♥4 | Pair
♣K,♣9,♣4,♥Q,♥4 | Pair
♣K,♣9,♣4,♦A,♥4 | Pair
♣K,♣4,♣6,♥Q,♥4 | Pair
♣K,♣4,♣6,♦A,♥4 | Pair
♣K,♣4,♥Q,♦A,♥4 | Pair
♣9,♣4,♣6,♥Q,♥4 | Pair
♣9,♣4,♣6,♦A,♥4 | Pair
♣9,♣4,♥Q,♦A,♥4 | Pair
♣4,♣6,♥Q,♦A,♥4 | Pair
