♠8,♣4,♥9,♣J,♠J | Pair
♠8,♣J,♦10,♦6,♣10 | Pair
♠8,♣J,♦10,♠5,♠J | Pair
♠8,♣J,♦10,♠5,♣10 | Pair
♠8,♣J,♦10,♣3,♠J | Pair
♠8,♣J,♦10,♣3,♣10 | Pair
♠8,♣J,♦10,♠J,♣10 | Two Pairs
♠8,♣J,♣6,♠Q,♦6 | Pair
♠8,♣J,♣6,♠Q,♠J | Pair
♠8,♣J,♣6,♦6,♠5 | Pair
♠8,♣J,♣6,♦6,♣3 | Pair
♠8,♣J,♣6,♦6,♠J | Two Pairs
♠8,♣J,♣6,♦6,♣10 | Pair
♠8,♣J,♣6,♠5,♠J | Pair
♠8,♣J,♣6,♣3,♠J | Pair
♠8,♣J,♣6,♠J,♣10 | Pair
♠8,♣J,♠Q,♦6,♠J | Pair
♠8,♣J,♠Q,♠5,♠J | Pair
♠8,♣J,♠Q,♣3,♠J | Pair
♠8,♣J,♠Q,♠J,♣10 | Pair
♠8,♣J,♦6,♠5,♠J | Pair
♠8,♣J,♦6,♣3,♠J | Pair
♠8,♣J,♦6,♠J,♣10 | Pair
♠8,♣J,♠5,♣3,♠J | Pair
♠8,♣J,♠5,♠J,♣10 | Pair
♠8,♣J,♣3,♠J,♣10 | Pair
♠8,♠3,♦10,♣6,♦6 | Pair
♠8,♠3,♦10,♣6,♣3 | Pair
♠8,♠3,♦10,♣6,♣10 | Pair
♠8,♠3,♦10,♠Q,♣3 | Pair
♠8,♠3,♦10,♠Q,♣10 | Pair
♠8,♠3,♦10,♦6,♣3 | Pair
♠8,♠3,♦10,♦6,♣10 | Pair
♠8,♠3,♦10,♠5,♣3 | Pair
♠8,♠3,♦10,♠5,♣10 | Pair
♠8,♠3,♦10,♣3,♠J | Pair
♠8,♠3,♦10,♣3,♣10 | Two Pairs
♠8,♠3,♦10,♠J,♣10 | Pair
♠8,♠3,♣6,♠Q,♦6 | Pair
♠8,♠3,♣6,♠Q,♣3 | Pair
♠8,♠3,♣6,♦6,♠5 | Pair
♠8,♠3,♣6,♦6,♣3 | Two Pairs
♠8,♠3,♣6,♦6,♠J | Pair
♠8,♠3,♣6,♦6,♣10 | Pair
♠8,♠3,♣6,♠5,♣3 | Pair
♠8,♠3,♣6,♣3,♠J | Pair
♠8,♠3,♣6,♣3,♣10 | Pair
♠8,♠3,♠Q,♦6,♣3 | Pair
♠8,♠3,♠Q,♠5,♣3 | Pair
♠8,♠3,♠Q,♠5,♠J | Flush
♠8,♠3,♠Q,♣3,♠J | Pair
♠8,♠3,♠Q,♣3,♣10 | Pair
♠8,♠3,♦6,♠5,♣3 | Pair
♠8,♠3,♦6,♣3,♠J | Pair
♠8,♠3,♦6,♣3,♣10 | Pair
♠8,♠3,♠5,♣3,♠J | Pair
♠8,♠3,♠5,♣3,♣10 | Pair
♠8,♠3,♣3,♠J,♣10 | Pair
♠8,♦10,♣6,♠Q,♦6 | Pair
♠8,♦10,♣6,♠Q,♣10 | Pair
♠8,♦10,♣6,♦6,♠5 | Pair
♠8,♦10,♣6,♦6,♣3 | Pair
♠8,♦10,♣6,♦6,♠J | Pair
♠8,♦10,♣6,♦6,♣10 | Two Pairs
♠8,♦10,♣6,♠5,♣10 | Pair
♠8,♦10,♣6,♣3,♣10 | Pair
♠8,♦10,♣6,♠J,♣10 | Pair
♠8,♦10,♠Q,♦6,♣10 | Pair
♠8,♦10,♠Q,♠5,♣10 | Pair
♠8,♦10,♠Q,♣3,♣10 | Pair
♠8,♦10,♠Q,♠J,♣10 | Pair
♠8,♦10,♦6,♠5,♣10 | Pair
♠8,♦10,♦6,♣3,♣10 | Pair
♠8,♦10,♦6,♠J,♣10 | Pair
♠8,♦10,♠5,♣3,♣10 | Pair
♠8,♦10,♠5,♠J,♣10 | Pair
♠8,♦10,♣3,♠J,♣10 | Pair
♠8,♣6,♠Q,♦6,♠5 | Pair
♠8,♣6,♠Q,♦6,♣3 | Pair
♠8,♣6,♠Q,♦6,♠J | Pair
♠8,♣6,♠Q,♦6,♣10 | Pair
♠8,♣6,♦6,♠5,♣3 | Pair
♠8,♣6,♦6,♠5,♠J | Pair
♠8,♣6,♦6,♠5,♣10 | Pair
♠8,♣6,♦6,♣3,♠J | Pair
♠8,♣6,♦6,♣3,♣10 | Pair
♠8,♣6,♦6,♠J,♣10 | Pair
♣4,♥9,♣J,♠3,♣3 | Pair
♣4,♥9,♣J,♠3,♠J | Pair
♣4,♥9,♣J,♦10,♠J | Pair
♣4,♥9,♣J,♦10,♣10 | Pair
♣4,♥9,♣J,♣6,♦6 | Pair
♣4,♥9,♣J,♣6,♠J | Pair
♣4,♥9,♣J,♠Q,♠J | Pair
♣4,♥9,♣J,♦6,♠J | Pair
♣4,♥9,♣J,♠5,♠J | Pair
♣4,♥9,♣J,♣3,♠J | Pair
♣4,♥9,♣J,♠J,♣10 | Pair
♣4,♥9,♠3,♦10,♣3 | Pair
♣4,♥9,♠3,♦10,♣10 | Pair
♣4,♥9,♠3,♣6,♦6 | Pair
♣4,♥9,♠3,♣6,♣3 | Pair
♣4,♥9,♠3,♠Q,♣3 | Pair
♣4,♥9,♠3,♦6,♣3 | Pair
♣4,♥9,♠3,♠5,♣3 | Pair
♣4,♥9,♠3,♣3,♠J | Pair
♣4,♥9,♠3,♣3,♣10 | Pair
♣4,♥9,♦10,♣6,♦6 | Pair
♣4,♥9,♦10,♣6,♣10 | Pair
♣4,♥9,♦10,♠Q,♣10 | Pair
♣4,♥9,♦10,♦6,♣10 | Pair
♣4,♥9,♦10,♠5,♣10 | Pair
♣4,♥9,♦10,♣3,♣10 | Pair
♣4,♥9,♦10,♠J,♣10 | Pair
♣4,♥9,♣6,♠Q,♦6 | Pair
♣4,♥9,♣6,♦6,♠5 | Pair
♣4,♥9,♣6,♦6,♣3 | Pair
♣4,♥9,♣6,♦6,♠J | Pair
♣4,♥9,♣6,♦6,♣10 | Pair
♣4,♣J,♠3,♦10,♣3 | Pair
♣4,♣J,♠3,♦10,♠J | Pair
♣4,♣J,♠3,♦10,♣10 | Pair
♣4,♣J,♠3,♣6,♦6 | Pair
♣4,♣J,♠3,♣6,♣3 | Pair
♣4,♣J,♠3,♣6,♠J | Pair
♣4,♣J,♠3,♠Q,♣3 | Pair
♣4,♣J,♠3,♠Q,♠J | Pair
♣4,♣J,♠3,♦6,♣3 | Pair
♣4,♣J,♠3,♦6,♠J | Pair
♣4,♣J,♠3,♠5,♣3 | Pair
♣4,♣J,♠3,♠5,♠J | Pair
♣4,♣J,♠3,♣3,♠J | Two Pairs
♣4,♣J,♠3,♣3,♣10 | Pair
♣4,♣J,♠3,♠J,♣10 | Pair
♣4,♣J,♦10,♣6,♦6 | Pair
♣4,♣J,♦10,♣6,♠J | Pair
♣4,♣J,♦10,♣6,♣10 | Pair
♣4,♣J,♦10,♠Q,♠J | Pair
♣4,♣J,♦10,♠Q,♣10 | Pair
♣4,♣J,♦10,♦6,♠J | Pair
♣4,♣J,♦10,♦6,♣10 | Pair
♣4,♣J,♦10,♠5,♠J | Pair
♣4,♣J,♦10,♠5,♣10 | Pair
♣4,♣J,♦10,♣3,♠J | Pair
♣4,♣J,♦10,♣3,♣10 | Pair
♣4,♣J,♦10,♠J,♣10 | Two Pairs
♣4,♣J,♣6,♠Q,♦6 | Pair
♣4,♣J,♣6,♠Q,♠J | Pair
♣4,♣J,♣6,♦6,♠5 | Pair
♣4,♣J,♣6,♦6,♣3 | Pair
♣4,♣J,♣6,♦6,♠J | Two Pairs
♣4,♣J,♣6,♦6,♣10 | Pair
♣4,♣J,♣6,♠5,♠J | Pair
♣4,♣J,♣6,♣3,♠J | Pair
♣4,♣J,♣6,♣3,♣10 | Flush
♣4,♣J,♣6,♠J,♣10 | Pair
♣4,♣J,♠Q,♦6,♠J | Pair
♣4,♣J,♠Q,♠5,♠J | Pair
♣4,♣J,♠Q,♣3,♠J | Pair
♣4,♣J,♠Q,♠J,♣10 | Pair
♣4,♣J,♦6,♠5,♠J | Pair
♣4,♣J,♦6,♣3,♠J | Pair
♣4,♣J,♦6,♠J,♣10 | Pair
♣4,♣J,♠5,♣3,♠J | Pair
♣4,♣J,♠5,♠J,♣10 | Pair
♣4,♣J,♣3,♠J,♣10 | Pair
♣4,♠3,♦10,♣6,♦6 | Pair
♣4,♠3,♦10,♣6,♣3 | Pair
♣4,♠3,♦10,♣6,♣10 | Pair
♣4,♠3,♦10,♠Q,♣3 | Pair
♣4,♠3,♦10,♠Q,♣10 | Pair
♣4,♠3,♦10,♦6,♣3 | Pair
♣4,♠3,♦10,♦6,♣10 | Pair
♣4,♠3,♦10,♠5,♣3 | Pair
♣4,♠3,♦10,♠5,♣10 | Pair
♣4,♠3,♦10,♣3,♠J | Pair
♣4,♠3,♦10,♣3,♣10 | Two Pairs
♣4,♠3,♦10,♠J,♣10 | Pair
♣4,♠3,♣6,♠Q,♦6 | Pair
♣4,♠3,♣6,♠Q,♣3 | Pair
♣4,♠3,♣6,♦6,♠5 | Pair
♣4,♠3,♣6,♦6,♣3 | Two Pairs
♣4,♠3,♣6,♦6,♠J | Pair
♣4,♠3,♣6,♦6,♣10 | Pair
♣4,♠3,♣6,♠5,♣3 | Pair
♣4,♠3,♣6,♣3,♠J | Pair
♣4,♠3,♣6,♣3,♣10 | Pair
♣4,♠3,♠Q,♦6,♣3 | Pair
♣4,♠3,♠Q,♠5,♣3 | Pair
♣4,♠3,♠Q,♣3,♠J | Pair
♣4,♠3,♠Q,♣3,♣10 | Pair
♣4,♠3,♦6,♠5,♣3 | Pair
♣4,♠3,♦6,♣3,♠J | Pair
♣4,♠3,♦6,♣3,♣10 | Pair
♣4,♠3,♠5,♣3,♠J | Pair
♣4,♠3,♠5,♣3,♣10 | Pair
♣4,♠3,♣3,♠J,♣10 | Pair
♣4,♦10,♣6,♠Q,♦6 | Pair
♣4,♦10,♣6,♠Q,♣10 | Pair
♣4,♦10,♣6,♦6,♠5 | Pair
♣4,♦10,♣6,♦6,♣3 | Pair
♣4,♦10,♣6,♦6,♠J | Pair
♣4,♦10,♣6,♦6,♣10 | Two Pairs
♣4,♦10,♣6,♠5,♣10 | Pair
♣4,♦10,♣6,♣3,♣10 | Pair
♣4,♦10,♣6,♠J,♣10 | Pair
♣4,♦10,♠Q,♦6,♣10 | Pair
♣4,♦10,♠Q,♠5,♣10 | Pair
♣4,♦10,♠Q,♣3,♣10 | Pair
♣4,♦10,♠Q,♠J,♣10 | Pair
♣4,♦10,♦6,♠5,♣10 | Pair
♣4,♦10,♦6,♣3,♣10 | Pair
♣4,♦10,♦6,♠J,♣10 | Pair
♣4,♦10,♠5,♣3,♣10 | Pair
♣4,♦10,♠5,♠J,♣10 | Pair
♣4,♦10,♣3,♠J,♣10 | Pair
♣4,♣6,♠Q,♦6,♠5 | Pair
♣4,♣6,♠Q,♦6,♣3 | Pair
♣4,♣6,♠Q,♦6,♠J | Pair
♣4,♣6,♠Q,♦6,♣10 | Pair
♣4,♣6,♦6,♠5,♣3 | Pair
♣4,♣6,♦6,♠5,♠J | Pair
♣4,♣6,♦6,♠5,♣10 | Pair
♣4,♣6,♦6,♣3,♠J | Pair
♣4,♣6,♦6,♣3,♣10 | Pair
♣4,♣6,♦6,♠J,♣10 | Pair
♥9,♣J,♠3,♦10,♣3 | Pair
♥9,♣J,♠3,♦10,♠J | Pair
♥9,♣J,♠3,♦10,♣10 | Pair
♥9,♣J,♠3,♣6,♦6 | Pair
♥9,♣J,♠3,♣6,♣3 | Pair
♥9,♣J,♠3,♣6,♠J | Pair
♥9,♣J,♠3,♠Q,♣3 | Pair
♥9,♣J,♠3,♠Q,♠J | Pair
♥9,♣J,♠3,♦6,♣3 | Pair
♥9,♣J,♠3,♦6,♠J | Pair
♥9,♣J,♠3,♠5,♣3 | Pair
♥9,♣J,♠3,♠5,♠J | Pair
♥9,♣J,♠3,♣3,♠J | Two Pairs
♥9,♣J,♠3,♣3,♣10 | Pair
♥9,♣J,♠3,♠J,♣10 | Pair
♥9,♣J,♦10,♣6,♦6 | Pair
♥9,♣J,♦10,♣6,♠J | Pair
♥9,♣J,♦10,♣6,♣10 | Pair
♥9,♣J,♦10,♠Q,♠J | Pair
♥9,♣J,♦10,♠Q,♣10 | Pair
♥9,♣J,♦10,♦6,♠J | Pair
♥9,♣J,♦10,♦6,♣10 | Pair
♥9,♣J,♦10,♠5,♠J | Pair
♥9,♣J,♦10,♠5,♣10 | Pair
♥9,♣J,♦10,♣3,♠J | Pair
♥9,♣J,♦10,♣3,♣10 | Pair
♥9,♣J,♦10,♠J,♣10 | Two Pairs
♥9,♣J,♣6,♠Q,♦6 | Pair
♥9,♣J,♣6,♠Q,♠J | Pair
♥9,♣J,♣6,♦6,♠5 | Pair
♥9,♣J,♣6,♦6,♣3 | Pair
♥9,♣J,♣6,♦6,♠J | Two Pairs
♥9,♣J,♣6,♦6,♣10 | Pair
♥9,♣J,♣6,♠5,♠J | Pair
♥9,♣J,♣6,♣3,♠J | Pair
♥9,♣J,♣6,♠J,♣10 | Pair
♥9,♣J,♠Q,♦6,♠J | Pair
♥9,♣J,♠Q,♠5,♠J | Pair
♥9,♣J,♠Q,♣3,♠J | Pair
♥9,♣J,♠Q,♠J,♣10 | Pair
♥9,♣J,♦6,♠5,♠J | Pair
♥9,♣J,♦6,♣3,♠J | Pair
♥9,♣J,♦6,♠J,♣10 | Pair
♥9,♣J,♠5,♣3,♠J | Pair
♥9,♣J,♠5,♠J,♣10 | Pair
♥9,♣J,♣3,♠J,♣10 | Pair
♥9,♠3,♦10,♣6,♦6 | Pair
♥9,♠3,♦10,♣6,♣3 | Pair
♥9,♠3,♦10,♣6,♣10 | Pair
♥9,♠3,♦10,♠Q,♣3 | Pair
♥9,♠3,♦10,♠Q,♣10 | Pair
♥9,♠3,♦10,♦6,♣3 | Pair
♥9,♠3,♦10,♦6,♣10 | Pair
♥9,♠3,♦10,♠5,♣3 | Pair
♥9,♠3,♦10,♠5,♣10 | Pair
♥9,♠3,♦10,♣3,♠J | Pair
♥9,♠3,♦10,♣3,♣10 | Two Pairs
♥9,♠3,♦10,♠J,♣10 | Pair
♥9,♠3,♣6,♠Q,♦6 | Pair
♥9,♠3,♣6,♠Q,♣3 | Pair
♥9,♠3,♣6,♦6,♠5 | Pair
♥9,♠3,♣6,♦6,♣3 | Two Pairs
♥9,♠3,♣6,♦6,♠J | Pair
♥9,♠3,♣6,♦6,♣10 | Pair
♥9,♠3,♣6,♠5,♣3 | Pair
♥9,♠3,♣6,♣3,♠J | Pair
♥9,♠3,♣6,♣3,♣10 | Pair
♥9,♠3,♠Q,♦6,♣3 | Pair
♥9,♠3,♠Q,♠5,♣3 | Pair
♥9,♠3,♠Q,♣3,♠J | Pair
♥9,♠3,♠Q,♣3,♣10 | Pair
♥9,♠3,♦6,♠5,♣3 | Pair
♥9,♠3,♦6,♣3,♠J | Pair
♥9,♠3,♦6,♣3,♣10 | Pair
♥9,♠3,♠5,♣3,♠J | Pair
♥9,♠3,♠5,♣3,♣10 | Pair
♥9,♠3,♣3,♠J,♣10 | Pair
♥9,♦10,♣6,♠Q,♦6 | Pair
♥9,♦10,♣6,♠Q,♣10 | Pair
♥9,♦10,♣6,♦6,♠5 | Pair
♥9,♦10,♣6,♦6,♣3 | Pair
♥9,♦10,♣6,♦6,♠J | Pair
♥9,♦10,♣6,♦6,♣10 | Two Pairs
♥9,♦10,♣6,♠5,♣10 | Pair
♥9,♦10,♣6,♣3,♣10 | Pair
♥9,♦10,♣6,♠J,♣10 | Pair
♥9,♦10,♠Q,♦6,♣10 | Pair
♥9,♦10,♠Q,♠5,♣10 | Pair
♥9,♦10,♠Q,♣3,♣10 | Pair
♥9,♦10,♠Q,♠J,♣10 | Pair
♥9,♦10,♦6,♠5,♣10 | Pair
♥9,♦10,♦6,♣3,♣10 | Pair
♥9,♦10,♦6,♠J,♣10 | Pair
♥9,♦10,♠5,♣3,♣10 | Pair
♥9,♦10,♠5,♠J,♣10 | Pair
♥9,♦10,♣3,♠J,♣10 | Pair
♥9,♣6,♠Q,♦6,♠5 | Pair
♥9,♣6,♠Q,♦6,♣3 | Pair
♥9,♣6,♠Q,♦6,♠J | Pair
♥9,♣6,♠Q,♦6,♣10 | Pair
♥9,♣6,♦6,♠5,♣3 | Pair
♥9,♣6,♦6,♠5,♠J | Pair
♥9,♣6,♦6,♠5,♣10 | Pair
♥9,♣6,♦6,♣3,♠J | Pair
♥9,♣6,♦6,♣3,♣10 | Pair
♥9,♣6,♦6,♠J,♣10 | Pair
♣J,♠3,♦10,♣6,♦6 | Pair
♣J,♠3,♦10,♣6,♣3 | Pair
♣J,♠3,♦10,♣6,♠J | Pair
♣J,♠3,♦10,♣6,♣10 | Pair
♣J,♠3,♦10,♠Q,♣3 | Pair
♣J,♠3,♦10,♠Q,♠J | Pair
♣J,♠3,♦10,♠Q,♣10 | Pair
♣J,♠3,♦10,♦6,♣3 | Pair
♣J,♠3,♦10,♦6,♠J | Pair
♣J,♠3,♦10,♦6,♣10 | Pair
♣J,♠3,♦10,♠5,♣3 | Pair
♣J,♠3,♦10,♠5,♠J | Pair
♣J,♠3,♦10,♠5,♣10 | Pair
♣J,♠3,♦10,♣3,♠J | Two Pairs
♣J,♠3,♦10,♣3,♣10 | Two Pairs
♣J,♠3,♦10,♠J,♣10 | Two Pairs
♣J,♠3,♣6,♠Q,♦6 | Pair
♣J,♠3,♣6,♠Q,♣3 | Pair
♣J,♠3,♣6,♠Q,♠J | Pair
♣J,♠3,♣6,♦6,♠5 | Pair
♣J,♠3,♣6,♦6,♣3 | Two Pairs
♣J,♠3,♣6,♦6,♠J | Two Pairs
♣J,♠3,♣6,♦6,♣10 | Pair
♣J,♠3,♣6,♠5,♣3 | Pair
♣J,♠3,♣6,♠5,♠J | Pair
♣J,♠3,♣6,♣3,♠J | Two Pairs
♣J,♠3,♣6,♣3,♣10 | Pair
♣J,♠3,♣6,♠J,♣10 | Pair
♣J,♠3,♠Q,♦6,♣3 | Pair
♣J,♠3,♠Q,♦6,♠J | Pair
♣J,♠3,♠Q,♠5,♣3 | Pair
♣J,♠3,♠Q,♠5,♠J | Pair
♣J,♠3,♠Q,♣3,♠J | Two Pairs
♣J,♠3,♠Q,♣3,♣10 | Pair
♣J,♠3,♠Q,♠J,♣10 | Pair
♣J,♠3,♦6,♠5,♣3 | Pair
♣J,♠3,♦6,♠5,♠J | Pair
♣J,♠3,♦6,♣3,♠J | Two Pairs
♣J,♠3,♦6,♣3,♣10 | Pair
♣J,♠3,♦6,♠J,♣10 | Pair
♣J,♠3,♠5,♣3,♠J | Two Pairs
♣J,♠3,♠5,♣3,♣10 | Pair
♣J,♠3,♠5,♠J,♣10 | Pair
♣J,♠3,♣3,♠J,♣10 | Two Pairs
♣J,♦10,♣6,♠Q,♦6 | Pair
♣J,♦10,♣6,♠Q,♠J | Pair
♣J,♦10,♣6,♠Q,♣10 | Pair
♣J,♦10,♣6,♦6,♠5 | Pair
♣J,♦10,♣6,♦6,♣3 | Pair
♣J,♦10,♣6,♦6,♠J | Two Pairs
♣J,♦10,♣6,♦6,♣10 | Two Pairs
♣J,♦10,♣6,♠5,♠J | Pair
♣J,♦10,♣6,♠5,♣10 | Pair
♣J,♦10,♣6,♣3,♠J | Pair
♣J,♦10,♣6,♣3,♣10 | Pair
♣J,♦10,♣6,♠J,♣10 | Two Pairs
♣J,♦10,♠Q,♦6,♠J | Pair
♣J,♦10,♠Q,♦6,♣10 | Pair
♣J,♦10,♠Q,♠5,♠J | Pair
♣J,♦10,♠Q,♠5,♣10 | Pair
♣J,♦10,♠Q,♣3,♠J | Pair
♣J,♦10,♠Q,♣3,♣10 | Pair
♣J,♦10,♠Q,♠J,♣10 | Two Pairs
♣J,♦10,♦6,♠5,♠J | Pair
♣J,♦10,♦6,♠5,♣10 | Pair
♣J,♦10,♦6,♣3,♠J | Pair
♣J,♦10,♦6,♣3,♣10 | Pair
♣J,♦10,♦6,♠J,♣10 | Two Pairs
♣J,♦10,♠5,♣3,♠J | Pair
♣J,♦10,♠5,♣3,♣10 | Pair
♣J,♦10,♠5,♠J,♣10 | Two Pairs
♣J,♦10,♣3,♠J,♣10 | Two Pairs
♣J,♣6,♠Q,♦6,♠5 | Pair
♣J,♣6,♠Q,♦6,♣3 | Pair
♣J,♣6,♠Q,♦6,♠J | Two Pairs
♣J,♣6,♠Q,♦6,♣10 | Pair
♣J,♣6,♠Q,♠5,♠J | Pair
♣J,♣6,♠Q,♣3,♠J | Pair
♣J,♣6,♠Q,♠J,♣10 | Pair
♣J,♣6,♦6,♠5,♣3 | Pair
♣J,♣6,♦6,♠5,♠J | Two Pairs
♣J,♣6,♦6,♠5,♣10 | Pair
♣J,♣6,♦6,♣3,♠J | Two Pairs
♣J,♣6,♦6,♣3,♣10 | Pair
♣J,♣6,♦6,♠J,♣10 | Two Pairs
♣J,♣6,♠5,♣3,♠J | Pair
♣J,♣6,♠5,♠J,♣10 | Pair
♣J,♣6,♣3,♠J,♣10 | Pair
♣J,♠Q,♦6,♠5,♠J | Pair
♣J,♠Q,♦6,♣3,♠J | Pair
♣J,♠Q,♦6,♠J,♣10 | Pair
♣J,♠Q,♠5,♣3,♠J | Pair
♣J,♠Q,♠5,♠J,♣10 | Pair
♣J,♠Q,♣3,♠J,♣10 | Pair
♣J,♦6,♠5,♣3,♠J | Pair
♣J,♦6,♠5,♠J,♣10 | Pair
♣J,♦6,♣3,♠J,♣10 | Pair
♣J,♠5,♣3,♠J,♣10 | Pair
♠3,♦10,♣6,♠Q,♦6 | Pair
♠3,♦10,♣6,♠Q,♣3 | Pair
♠3,♦10,♣6,♠Q,♣10 | Pair
♠3,♦10,♣6,♦6,♠5 | Pair
♠3,♦10,♣6,♦6,♣3 | Two Pairs
♠3,♦10,♣6,♦6,♠J | Pair
♠3,♦10,♣6,♦6,♣10 | Two Pairs
♠3,♦10,♣6,♠5,♣3 | Pair
♠3,♦10,♣6,♠5,♣10 | Pair
♠3,♦10,♣6,♣3,♠J | Pair
♠3,♦10,♣6,♣3,♣10 | Two Pairs
♠3,♦10,♣6,♠J,♣10 | Pair
♠3,♦10,♠Q,♦6,♣3 | Pair
♠3,♦10,♠Q,♦6,♣10 | Pair
♠3,♦10,♠Q,♠5,♣3 | Pair
♠3,♦10,♠Q,♠5,♣10 | Pair
♠3,♦10,♠Q,♣3,♠J | Pair
♠3,♦10,♠Q,♣3,♣10 | Two Pairs
♠3,♦10,♠Q,♠J,♣10 | Pair
♠3,♦10,♦6,♠5,♣3 | Pair
♠3,♦10,♦6,♠5,♣10 | Pair
♠3,♦10,♦6,♣3,♠J | Pair
♠3,♦10,♦6,♣3,♣10 | Two Pairs
♠3,♦10,♦6,♠J,♣10 | Pair
♠3,♦10,♠5,♣3,♠J | Pair
♠3,♦10,♠5,♣3,♣10 | Two Pairs
♠3,♦10,♠5,♠J,♣10 | Pair
♠3,♦10,♣3,♠J,♣10 | Two Pairs
♠3,♣6,♠Q,♦6,♠5 | Pair
♠3,♣6,♠Q,♦6,♣3 | Two Pairs
♠3,♣6,♠Q,♦6,♠J | Pair
