♠7,♣10,♦5,♥A,♠10 | Pair
♠7,♥A,♣3,♣4,♥4 | Pair
♠7,♥A,♣3,♥8,♦8 | Pair
♠7,♥A,♦2,♣4,♥4 | Pair
♠7,♥A,♦2,♥8,♦8 | Pair
♠7,♥A,♣6,♣4,♥4 | Pair
♠7,♥A,♣6,♥8,♦8 | Pair
♠7,♥A,♣4,♠10,♥4 | Pair
♠7,♥A,♣4,♥8,♦8 | Pair
♠7,♥A,♣4,♥8,♥4 | Pair
♠7,♥A,♣4,♦8,♥4 | Pair
♠7,♥A,♠10,♥8,♦8 | Pair
♠7,♥A,♥8,♦8,♥4 | Pair
♠7,♣3,♦2,♣4,♥4 | Pair
♠7,♣3,♦2,♥8,♦8 | Pair
♠7,♣3,♣6,♣4,♥4 | Pair
♠7,♣3,♣6,♥8,♦8 | Pair
♠7,♣3,♣4,♠10,♥4 | Pair
♠7,♣3,♣4,♥8,♦8 | Pair
♠7,♣3,♣4,♥8,♥4 | Pair
♠7,♣3,♣4,♦8,♥4 | Pair
♠7,♣3,♠10,♥8,♦8 | Pair
♠7,♣3,♥8,♦8,♥4 | Pair
♠7,♦2,♣6,♣4,♥4 | Pair
♠7,♦2,♣6,♥8,♦8 | Pair
♠7,♦2,♣4,♠10,♥4 | Pair
♠7,♦2,♣4,♥8,♦8 | Pair
♠7,♦2,♣4,♥8,♥4 | Pair
♠7,♦2,♣4,♦8,♥4 | Pair
♠7,♦2,♠10,♥8,♦8 | Pair
♠7,♦2,♥8,♦8,♥4 | Pair
♠7,♣6,♣4,♠10,♥4 | Pair
♠7,♣6,♣4,♥8,♦8 | Pair
♠7,♣6,♣4,♥8,♥4 | Pair
♠7,♣6,♣4,♦8,♥4 | Pair
♠7,♣6,♠10,♥8,♦8 | Pair
♠7,♣6,♥8,♦8,♥4 | Pair
♠7,♣4,♠10,♥8,♦8 | Pair
♠7,♣4,♠10,♥8,♥4 | Pair
♠7,♣4,♠10,♦8,♥4 | Pair
♠7,♣4,♥8,♦8,♥4 | Two Pairs
♠7,♠10,♥8,♦8,♥4 | Pair
♣10,♦5,♥A,♣3,♠10 | Pair
♣10,♦5,♥A,♦2,♠10 | Pair
♣10,♦5,♥A,♣6,♠10 | Pair
♣10,♦5,♥A,♣4,♠10 | Pair
♣10,♦5,♥A,♣4,♥4 | Pair
♣10,♦5,♥A,♠10,♥8 | Pair
♣10,♦5,♥A,♠10,♦8 | Pair
♣10,♦5,♥A,♠10,♥4 | Pair
♣10,♦5,♥A,♥8,♦8 | Pair
♣10,♦5,♣3,♦2,♠10 | Pair
♣10,♦5,♣3,♣6,♠10 | Pair
♣10,♦5,♣3,♣4,♠10 | Pair
♣10,♦5,♣3,♣4,♥4 | Pair
♣10,♦5,♣3,♠10,♥8 | Pair
♣10,♦5,♣3,♠10,♦8 | Pair
♣10,♦5,♣3,♠10,♥4 | Pair
♣10,♦5,♣3,♥8,♦8 | Pair
♣10,♦5,♦2,♣6,♠10 | Pair
♣10,♦5,♦2,♣4,♠10 | Pair
♣10,♦5,♦2,♣4,♥4 | Pair
♣10,♦5,♦2,♠10,♥8 | Pair
♣10,♦5,♦2,♠10,♦8 | Pair
♣10,♦5,♦2,♠10,♥4 | Pair
♣10,♦5,♦2,♥8,♦8 | Pair
♣10,♦5,♣6,♣4,♠10 | Pair
♣10,♦5,♣6,♣4,♥4 | Pair
♣10,♦5,♣6,♠10,♥8 | Pair
♣10,♦5,♣6,♠10,♦8 | Pair
♣10,♦5,♣6,♠10,♥4 | Pair
♣10,♦5,♣6,♥8,♦8 | Pair
♣10,♦5,♣4,♠10,♥8 | Pair
♣10,♦5,♣4,♠10,♦8 | Pair
♣10,♦5,♣4,♠10,♥4 | Two Pairs
♣10,♦5,♣4,♥8,♦8 | Pair
♣10,♦5,♣4,♥8,♥4 | Pair
♣10,♦5,♣4,♦8,♥4 | Pair
♣10,♦5,♠10,♥8,♦8 | Two Pairs
♣10,♦5,♠10,♥8,♥4 | Pair
♣10,♦5,♠10,♦8,♥4 | Pair
♣10,♦5,♥8,♦8,♥4 | Pair
♣10,♥A,♣3,♦2,♠10 | Pair
♣10,♥A,♣3,♣6,♠10 | Pair
♣10,♥A,♣3,♣4,♠10 | Pair
♣10,♥A,♣3,♣4,♥4 | Pair
♣10,♥A,♣3,♠10,♥8 | Pair
♣10,♥A,♣3,♠10,♦8 | Pair
♣10,♥A,♣3,♠10,♥4 | Pair
♣10,♥A,♣3,♥8,♦8 | Pair
♣10,♥A,♦2,♣6,♠10 | Pair
♣10,♥A,♦2,♣4,♠10 | Pair
♣10,♥A,♦2,♣4,♥4 | Pair
♣10,♥A,♦2,♠10,♥8 | Pair
♣10,♥A,♦2,♠10,♦8 | Pair
♣10,♥A,♦2,♠10,♥4 | Pair
♣10,♥A,♦2,♥8,♦8 | Pair
♣10,♥A,♣6,♣4,♠10 | Pair
♣10,♥A,♣6,♣4,♥4 | Pair
♣10,♥A,♣6,♠10,♥8 | Pair
♣10,♥A,♣6,♠10,♦8 | Pair
♣10,♥A,♣6,♠10,♥4 | Pair
♣10,♥A,♣6,♥8,♦8 | Pair
♣10,♥A,♣4,♠10,♥8 | Pair
♣10,♥A,♣4,♠10,♦8 | Pair
♣10,♥A,♣4,♠10,♥4 | Two Pairs
♣10,♥A,♣4,♥8,♦8 | Pair
♣10,♥A,♣4,♥8,♥4 | Pair
♣10,♥A,♣4,♦8,♥4 | Pair
♣10,♥A,♠10,♥8,♦8 | Two Pairs
♣10,♥A,♠10,♥8,♥4 | Pair
♣10,♥A,♠10,♦8,♥4 | Pair
♣10,♥A,♥8,♦8,♥4 | Pair
♣10,♣3,♦2,♣6,♠10 | Pair
♣10,♣3,♦2,♣4,♠10 | Pair
♣10,♣3,♦2,♣4,♥4 | Pair
♣10,♣3,♦2,♠10,♥8 | Pair
♣10,♣3,♦2,♠10,♦8 | Pair
♣10,♣3,♦2,♠10,♥4 | Pair
♣10,♣3,♦2,♥8,♦8 | Pair
♣10,♣3,♣6,♣4,♠10 | Pair
♣10,♣3,♣6,♣4,♥4 | Pair
♣10,♣3,♣6,♠10,♥8 | Pair
♣10,♣3,♣6,♠10,♦8 | Pair
♣10,♣3,♣6,♠10,♥4 | Pair
♣10,♣3,♣6,♥8,♦8 | Pair
♣10,♣3,♣4,♠10,♥8 | Pair
♣10,♣3,♣4,♠10,♦8 | Pair
♣10,♣3,♣4,♠10,♥4 | Two Pairs
♣10,♣3,♣4,♥8,♦8 | Pair
♣10,♣3,♣4,♥8,♥4 | Pair
♣10,♣3,♣4,♦8,♥4 | Pair
♣10,♣3,♠10,♥8,♦8 | Two Pairs
♣10,♣3,♠10,♥8,♥4 | Pair
♣10,♣3,♠10,♦8,♥4 | Pair
♣10,♣3,♥8,♦8,♥4 | Pair
♣10,♦2,♣6,♣4,♠10 | Pair
♣10,♦2,♣6,♣4,♥4 | Pair
♣10,♦2,♣6,♠10,♥8 | Pair
♣10,♦2,♣6,♠10,♦8 | Pair
♣10,♦2,♣6,♠10,♥4 | Pair
♣10,♦2,♣6,♥8,♦8 | Pair
♣10,♦2,♣4,♠10,♥8 | Pair
♣10,♦2,♣4,♠10,♦8 | Pair
♣10,♦2,♣4,♠10,♥4 | Two Pairs
♣10,♦2,♣4,♥8,♦8 | Pair
♣10,♦2,♣4,♥8,♥4 | Pair
♣10,♦2,♣4,♦8,♥4 | Pair
♣10,♦2,♠10,♥8,♦8 | Two Pairs
♣10,♦2,♠10,♥8,♥4 | Pair
♣10,♦2,♠10,♦8,♥4 | Pair
♣10,♦2,♥8,♦8,♥4 | Pair
♣10,♣6,♣4,♠10,♥8 | Pair
♣10,♣6,♣4,♠10,♦8 | Pair
♣10,♣6,♣4,♠10,♥4 | Two Pairs
♣10,♣6,♣4,♥8,♦8 | Pair
♣10,♣6,♣4,♥8,♥4 | Pair
♣10,♣6,♣4,♦8,♥4 | Pair
♣10,♣6,♠10,♥8,♦8 | Two Pairs
♣10,♣6,♠10,♥8,♥4 | Pair
♣10,♣6,♠10,♦8,♥4 | Pair
♣10,♣6,♥8,♦8,♥4 | Pair
♣10,♣4,♠10,♥8,♦8 | Two Pairs
♣10,♣4,♠10,♥8,♥4 | Two Pairs
♣10,♣4,♠10,♦8,♥4 | Two Pairs
♣10,♣4,♥8,♦8,♥4 | Two Pairs
♣10,♠10,♥8,♦8,♥4 | Two Pairs
♦5,♥A,♣3,♦2,♣4 | Straight
♦5,♥A,♣3,♦2,♥4 | Straight
♦5,♥A,♣3,♣4,♥4 | Pair
♦5,♥A,♣3,♥8,♦8 | Pair
♦5,♥A,♦2,♣4,♥4 | Pair
♦5,♥A,♦2,♥8,♦8 | Pair
♦5,♥A,♣6,♣4,♥4 | Pair
♦5,♥A,♣6,♥8,♦8 | Pair
♦5,♥A,♣4,♠10,♥4 | Pair
♦5,♥A,♣4,♥8,♦8 | Pair
♦5,♥A,♣4,♥8,♥4 | Pair
♦5,♥A,♣4,♦8,♥4 | Pair
♦5,♥A,♠10,♥8,♦8 | Pair
♦5,♥A,♥8,♦8,♥4 | Pair
♦5,♣3,♦2,♣6,♣4 | Straight
♦5,♣3,♦2,♣6,♥4 | Straight
♦5,♣3,♦2,♣4,♥4 | Pair
♦5,♣3,♦2,♥8,♦8 | Pair
♦5,♣3,♣6,♣4,♥4 | Pair
♦5,♣3,♣6,♥8,♦8 | Pair
♦5,♣3,♣4,♠10,♥4 | Pair
♦5,♣3,♣4,♥8,♦8 | Pair
♦5,♣3,♣4,♥8,♥4 | Pair
♦5,♣3,♣4,♦8,♥4 | Pair
♦5,♣3,♠10,♥8,♦8 | Pair
♦5,♣3,♥8,♦8,♥4 | Pair
♦5,♦2,♣6,♣4,♥4 | Pair
♦5,♦2,♣6,♥8,♦8 | Pair
♦5,♦2,♣4,♠10,♥4 | Pair
♦5,♦2,♣4,♥8,♦8 | Pair
♦5,♦2,♣4,♥8,♥4 | Pair
♦5,♦2,♣4,♦8,♥4 | Pair
♦5,♦2,♠10,♥8,♦8 | Pair
♦5,♦2,♥8,♦8,♥4 | Pair
♦5,♣6,♣4,♠10,♥4 | Pair
♦5,♣6,♣4,♥8,♦8 | Pair
♦5,♣6,♣4,♥8,♥4 | Pair
♦5,♣6,♣4,♦8,♥4 | Pair
♦5,♣6,♠10,♥8,♦8 | Pair
♦5,♣6,♥8,♦8,♥4 | Pair
♦5,♣4,♠10,♥8,♦8 | Pair
♦5,♣4,♠10,♥8,♥4 | Pair
♦5,♣4,♠10,♦8,♥4 | Pair
♦5,♣4,♥8,♦8,♥4 | Two Pairs
♦5,♠10,♥8,♦8,♥4 | Pair
♥A,♣3,♦2,♣4,♥4 | Pair
♥A,♣3,♦2,♥8,♦8 | Pair
♥A,♣3,♣6,♣4,♥4 | Pair
♥A,♣3,♣6,♥8,♦8 | Pair
♥A,♣3,♣4,♠10,♥4 | Pair
♥A,♣3,♣4,♥8,♦8 | Pair
♥A,♣3,♣4,♥8,♥4 | Pair
♥A,♣3,♣4,♦8,♥4 | Pair
♥A,♣3,♠10,♥8,♦8 | Pair
♥A,♣3,♥8,♦8,♥4 | Pair
♥A,♦2,♣6,♣4,♥4 | Pair
♥A,♦2,♣6,♥8,♦8 | Pair
♥A,♦2,♣4,♠10,♥4 | Pair
♥A,♦2,♣4,♥8,♦8 | Pair
♥A,♦2,♣4,♥8,♥4 | Pair
♥A,♦2,♣4,♦8,♥4 | Pair
♥A,♦2,♠10,♥8,♦8 | Pair
♥A,♦2,♥8,♦8,♥4 | Pair
♥A,♣6,♣4,♠10,♥4 | Pair
♥A,♣6,♣4,♥8,♦8 | Pair
♥A,♣6,♣4,♥8,♥4 | Pair
♥A,♣6,♣4,♦8,♥4 | Pair
♥A,♣6,♠10,♥8,♦8 | Pair
♥A,♣6,♥8,♦8,♥4 | Pair
♥A,♣4,♠10,♥8,♦8 | Pair
♥A,♣4,♠10,♥8,♥4 | Pair
♥A,♣4,♠10,♦8,♥4 | Pair
♥A,♣4,♥8,♦8,♥4 | Two Pairs
♥A,♠10,♥8,♦8,♥4 | Pair
♣3,♦2,♣6,♣4,♥4 | Pair
♣3,♦2,♣6,♥8,♦8 | Pair
♣3,♦2,♣4,♠10,♥4 | Pair
♣3,♦2,♣4,♥8,♦8 | Pair
♣3,♦2,♣4,♥8,♥4 | Pair
♣3,♦2,♣4,♦8,♥4 | Pair
♣3,♦2,♠10,♥8,♦8 | Pair
♣3,♦2,♥8,♦8,♥4 | Pair
♣3,♣6,♣4,♠10,♥4 | Pair
♣3,♣6,♣4,♥8,♦8 | Pair
♣3,♣6,♣4,♥8,♥4 | Pair
♣3,♣6,♣4,♦8,♥4 | Pair
♣3,♣6,♠10,♥8,♦8 | Pair
♣3,♣6,♥8,♦8,♥4 | Pair
♣3,♣4,♠10,♥8,♦8 | Pair
♣3,♣4,♠10,♥8,♥4 | Pair
♣3,♣4,♠10,♦8,♥4 | Pair
♣3,♣4,♥8,♦8,♥4 | Two Pairs
♣3,♠10,♥8,♦8,♥4 | Pair
♦2,♣6,♣4,♠10,♥4 | Pair
♦2,♣6,♣4,♥8,♦8 | Pair
♦2,♣6,♣4,♥8,♥4 | Pair
♦2,♣6,♣4,♦8,♥4 | Pair
♦2,♣6,♠10,♥8,♦8 | Pair
♦2,♣6,♥8,♦8,♥4 | Pair
♦2,♣4,♠10,♥8,♦8 | Pair
♦2,♣4,♠10,♥8,♥4 | Pair
♦2,♣4,♠10,♦8,♥4 | Pair
♦2,♣4,♥8,♦8,♥4 | Two Pairs
♦2,♠10,♥8,♦8,♥4 | Pair
♣6,♣4,♠10,♥8,♦8 | Pair
♣6,♣4,♠10,♥8,♥4 | Pair
♣6,♣4,♠10,♦8,♥4 | Pair
♣6,♣4,♥8,♦8,♥4 | Two Pairs
♣6,♠10,♥8,♦8,♥4 | Pair
♣4,♠10,♥8,♦8,♥4 | Two Pairs
