♠Q,♠2,♥2,♣K,♣8 | Pair
♠Q,♦7,♥5,♣6,♥7 | Pair
♠2,♥2,♣K,♣8,♥A | Pair
♠2,♥2,♣K,♣8,♥K | Two Pairs
♠2,♥2,♣K,♣8,♠6 | Pair
♠2,♥2,♣K,♣8,♦7 | Pair
♠2,♥2,♣K,♣8,♥5 | Pair
♠2,♥2,♣K,♣8,♣6 | Pair
♠2,♥2,♣K,♣8,♥7 | Pair
♠2,♥2,♣K,♥A,♥K | Two Pairs
♠2,♥2,♣K,♥A,♠6 | Pair
♠2,♥2,♣K,♥A,♦7 | Pair
♠2,♥2,♣K,♥A,♥5 | Pair
♠2,♥2,♣K,♥A,♣6 | Pair
♠2,♥2,♣K,♥A,♥7 | Pair
♠2,♥2,♣K,♥K,♠6 | Two Pairs
♠2,♥2,♣K,♥K,♦7 | Two Pairs
♠2,♥2,♣K,♥K,♥5 | Two Pairs
♠2,♥2,♣K,♥K,♣6 | Two Pairs
♠2,♥2,♣K,♥K,♥7 | Two Pairs
♠2,♥2,♣K,♠6,♦7 | Pair
♠2,♥2,♣K,♠6,♥5 | Pair
♠2,♥2,♣K,♠6,♣6 | Two Pairs
♠2,♥2,♣K,♠6,♥7 | Pair
♠2,♥2,♣K,♦7,♥5 | Pair
♠2,♥2,♣K,♦7,♣6 | Pair
♠2,♥2,♣K,♦7,♥7 | Two Pairs
♠2,♥2,♣K,♥5,♣6 | Pair
♠2,♥2,♣K,♥5,♥7 | Pair
♠2,♥2,♣K,♣6,♥7 | Pair
♠2,♥2,♣8,♥A,♥K | Pair
♠2,♥2,♣8,♥A,♠6 | Pair
♠2,♥2,♣8,♥A,♦7 | Pair
♠2,♥2,♣8,♥A,♥5 | Pair
♠2,♥2,♣8,♥A,♣6 | Pair
♠2,♥2,♣8,♥A,♥7 | Pair
♠2,♥2,♣8,♥K,♠6 | Pair
♠2,♥2,♣8,♥K,♦7 | Pair
♠2,♥2,♣8,♥K,♥5 | Pair
♠2,♥2,♣8,♥K,♣6 | Pair
♠2,♥2,♣8,♥K,♥7 | Pair
♠2,♥2,♣8,♠6,♦7 | Pair
♠2,♥2,♣8,♠6,♥5 | Pair
♠2,♥2,♣8,♠6,♣6 | Two Pairs
♠2,♥2,♣8,♠6,♥7 | Pair
♠2,♥2,♣8,♦7,♥5 | Pair
♠2,♥2,♣8,♦7,♣6 | Pair
♠2,♥2,♣8,♦7,♥7 | Two Pairs
♠2,♥2,♣8,♥5,♣6 | Pair
♠2,♥2,♣8,♥5,♥7 | Pair
♠2,♥2,♣8,♣6,♥7 | Pair
♠2,♥2,♥A,♥K,♠6 | Pair
♠2,♥2,♥A,♥K,♦7 | Pair
♠2,♥2,♥A,♥K,♥5 | Pair
♠2,♥2,♥A,♥K,♣6 | Pair
♠2,♥2,♥A,♥K,♥7 | Pair
♠2,♥2,♥A,♠6,♦7 | Pair
♠2,♥2,♥A,♠6,♥5 | Pair
♠2,♥2,♥A,♠6,♣6 | Two Pairs
♠2,♥2,♥A,♠6,♥7 | Pair
♠2,♥2,♥A,♦7,♥5 | Pair
♠2,♥2,♥A,♦7,♣6 | Pair
♠2,♥2,♥A,♦7,♥7 | Two Pairs
♠2,♥2,♥A,♥5,♣6 | Pair
♠2,♥2,♥A,♥5,♥7 | Pair
♠2,♥2,♥A,♣6,♥7 | Pair
♠2,♥2,♥K,♠6,♦7 | Pair
♠2,♥2,♥K,♠6,♥5 | Pair
♠2,♥2,♥K,♠6,♣6 | Two Pairs
♠2,♥2,♥K,♠6,♥7 | Pair
♠2,♥2,♥K,♦7,♥5 | Pair
♠2,♥2,♥K,♦7,♣6 | Pair
♠2,♥2,♥K,♦7,♥7 | Two Pairs
♠2,♥2,♥K,♥5,♣6 | Pair
♠2,♥2,♥K,♥5,♥7 | Pair
♠2,♥2,♥K,♣6,♥7 | Pair
♠2,♥2,♠6,♦7,♥5 | Pair
♠2,♥2,♠6,♦7,♣6 | Two Pairs
♠2,♥2,♠6,♦7,♥7 | Two Pairs
♠2,♥2,♠6,♥5,♣6 | Two Pairs
♠2,♥2,♠6,♥5,♥7 | Pair
♠2,♥2,♠6,♣6,♥7 | Two Pairs
♠2,♥2,♦7,♥5,♣6 | Pair
♠2,♥2,♦7,♥5,♥7 | Two Pairs
♠2,♥2,♦7,♣6,♥7 | Two Pairs
♠2,♥2,♥5,♣6,♥7 | Pair
♠2,♣K,♣8,♥A,♥K | Pair
♠2,♣K,♣8,♥K,♠6 | Pair
♠2,♣K,♣8,♥K,♦7 | Pair
♠2,♣K,♣8,♥K,♥5 | Pair
♠2,♣K,♣8,♥K,♣6 | Pair
♠2,♣K,♣8,♥K,♥7 | Pair
♠2,♣K,♣8,♠6,♣6 | Pair
♠2,♣K,♣8,♦7,♥7 | Pair
♠2,♣K,♥A,♥K,♠6 | Pair
♠2,♣K,♥A,♥K,♦7 | Pair
♠2,♣K,♥A,♥K,♥5 | Pair
♠2,♣K,♥A,♥K,♣6 | Pair
♠2,♣K,♥A,♥K,♥7 | Pair
♠2,♣K,♥A,♠6,♣6 | Pair
♠2,♣K,♥A,♦7,♥7 | Pair
♠2,♣K,♥K,♠6,♦7 | Pair
♠2,♣K,♥K,♠6,♥5 | Pair
♠2,♣K,♥K,♠6,♣6 | Two Pairs
♠2,♣K,♥K,♠6,♥7 | Pair
♠2,♣K,♥K,♦7,♥5 | Pair
♠2,♣K,♥K,♦7,♣6 | Pair
♠2,♣K,♥K,♦7,♥7 | Two Pairs
♠2,♣K,♥K,♥5,♣6 | Pair
♠2,♣K,♥K,♥5,♥7 | Pair
♠2,♣K,♥K,♣6,♥7 | Pair
♠2,♣K,♠6,♦7,♣6 | Pair
♠2,♣K,♠6,♦7,♥7 | Pair
♠2,♣K,♠6,♥5,♣6 | Pair
♠2,♣K,♠6,♣6,♥7 | Pair
♠2,♣K,♦7,♥5,♥7 | Pair
♠2,♣K,♦7,♣6,♥7 | Pair
♠2,♣8,♥A,♠6,♣6 | Pair
♠2,♣8,♥A,♦7,♥7 | Pair
♠2,♣8,♥K,♠6,♣6 | Pair
♠2,♣8,♥K,♦7,♥7 | Pair
♠2,♣8,♠6,♦7,♣6 | Pair
♠2,♣8,♠6,♦7,♥7 | Pair
♠2,♣8,♠6,♥5,♣6 | Pair
♠2,♣8,♠6,♣6,♥7 | Pair
♠2,♣8,♦7,♥5,♥7 | Pair
♠2,♣8,♦7,♣6,♥7 | Pair
♠2,♥A,♥K,♠6,♣6 | Pair
♠2,♥A,♥K,♦7,♥7 | Pair
♠2,♥A,♠6,♦7,♣6 | Pair
♠2,♥A,♠6,♦7,♥7 | Pair
♠2,♥A,♠6,♥5,♣6 | Pair
♠2,♥A,♠6,♣6,♥7 | Pair
♠2,♥A,♦7,♥5,♥7 | Pair
♠2,♥A,♦7,♣6,♥7 | Pair
♠2,♥K,♠6,♦7,♣6 | Pair
♠2,♥K,♠6,♦7,♥7 | Pair
♠2,♥K,♠6,♥5,♣6 | Pair
♠2,♥K,♠6,♣6,♥7 | Pair
♠2,♥K,♦7,♥5,♥7 | Pair
♠2,♥K,♦7,♣6,♥7 | Pair
♠2,♠6,♦7,♥5,♣6 | Pair
♠2,♠6,♦7,♥5,♥7 | Pair
♠2,♠6,♦7,♣6,♥7 | Two Pairs
♠2,♠6,♥5,♣6,♥7 | Pair
♠2,♦7,♥5,♣6,♥7 | Pair
♥2,♣K,♣8,♥A,♥K | Pair
♥2,♣K,♣8,♥K,♠6 | Pair
♥2,♣K,♣8,♥K,♦7 | Pair
♥2,♣K,♣8,♥K,♥5 | Pair
♥2,♣K,♣8,♥K,♣6 | Pair
♥2,♣K,♣8,♥K,♥7 | Pair
♥2,♣K,♣8,♠6,♣6 | Pair
♥2,♣K,♣8,♦7,♥7 | Pair
♥2,♣K,♥A,♥K,♠6 | Pair
♥2,♣K,♥A,♥K,♦7 | Pair
♥2,♣K,♥A,♥K,♥5 | Pair
♥2,♣K,♥A,♥K,♣6 | Pair
♥2,♣K,♥A,♥K,♥7 | Pair
♥2,♣K,♥A,♠6,♣6 | Pair
♥2,♣K,♥A,♦7,♥7 | Pair
♥2,♣K,♥K,♠6,♦7 | Pair
♥2,♣K,♥K,♠6,♥5 | Pair
♥2,♣K,♥K,♠6,♣6 | Two Pairs
♥2,♣K,♥K,♠6,♥7 | Pair
♥2,♣K,♥K,♦7,♥5 | Pair
♥2,♣K,♥K,♦7,♣6 | Pair
♥2,♣K,♥K,♦7,♥7 | Two Pairs
♥2,♣K,♥K,♥5,♣6 | Pair
♥2,♣K,♥K,♥5,♥7 | Pair
♥2,♣K,♥K,♣6,♥7 | Pair
♥2,♣K,♠6,♦7,♣6 | Pair
♥2,♣K,♠6,♦7,♥7 | Pair
♥2,♣K,♠6,♥5,♣6 | Pair
♥2,♣K,♠6,♣6,♥7 | Pair
♥2,♣K,♦7,♥5,♥7 | Pair
♥2,♣K,♦7,♣6,♥7 | Pair
♥2,♣8,♥A,♠6,♣6 | Pair
♥2,♣8,♥A,♦7,♥7 | Pair
♥2,♣8,♥K,♠6,♣6 | Pair
♥2,♣8,♥K,♦7,♥7 | Pair
♥2,♣8,♠6,♦7,♣6 | Pair
♥2,♣8,♠6,♦7,♥7 | Pair
♥2,♣8,♠6,♥5,♣6 | Pair
♥2,♣8,♠6,♣6,♥7 | Pair
♥2,♣8,♦7,♥5,♥7 | Pair
♥2,♣8,♦7,♣6,♥7 | Pair
♥2,♥A,♥K,♠6,♣6 | Pair
♥2,♥A,♥K,♦7,♥7 | Pair
♥2,♥A,♥K,♥5,♥7 | Flush
♥2,♥A,♠6,♦7,♣6 | Pair
♥2,♥A,♠6,♦7,♥7 | Pair
♥2,♥A,♠6,♥5,♣6 | Pair
♥2,♥A,♠6,♣6,♥7 | Pair
♥2,♥A,♦7,♥5,♥7 | Pair
♥2,♥A,♦7,♣6,♥7 | Pair
♥2,♥K,♠6,♦7,♣6 | Pair
♥2,♥K,♠6,♦7,♥7 | Pair
♥2,♥K,♠6,♥5,♣6 | Pair
♥2,♥K,♠6,♣6,♥7 | Pair
♥2,♥K,♦7,♥5,♥7 | Pair
♥2,♥K,♦7,♣6,♥7 | Pair
♥2,♠6,♦7,♥5,♣6 | Pair
♥2,♠6,♦7,♥5,♥7 | Pair
♥2,♠6,♦7,♣6,♥7 | Two Pairs
♥2,♠6,♥5,♣6,♥7 | Pair
♥2,♦7,♥5,♣6,♥7 | Pair
♣K,♣8,♥A,♥K,♠6 | Pair
♣K,♣8,♥A,♥K,♦7 | Pair
♣K,♣8,♥A,♥K,♥5 | Pair
♣K,♣8,♥A,♥K,♣6 | Pair
♣K,♣8,♥A,♥K,♥7 | Pair
♣K,♣8,♥A,♠6,♣6 | Pair
♣K,♣8,♥A,♦7,♥7 | Pair
♣K,♣8,♥K,♠6,♦7 | Pair
♣K,♣8,♥K,♠6,♥5 | Pair
♣K,♣8,♥K,♠6,♣6 | Two Pairs
♣K,♣8,♥K,♠6,♥7 | Pair
♣K,♣8,♥K,♦7,♥5 | Pair
♣K,♣8,♥K,♦7,♣6 | Pair
♣K,♣8,♥K,♦7,♥7 | Two Pairs
♣K,♣8,♥K,♥5,♣6 | Pair
♣K,♣8,♥K,♥5,♥7 | Pair
♣K,♣8,♥K,♣6,♥7 | Pair
♣K,♣8,♠6,♦7,♣6 | Pair
♣K,♣8,♠6,♦7,♥7 | Pair
♣K,♣8,♠6,♥5,♣6 | Pair
♣K,♣8,♠6,♣6,♥7 | Pair
♣K,♣8,♦7,♥5,♥7 | Pair
♣K,♣8,♦7,♣6,♥7 | Pair
♣K,♥A,♥K,♠6,♦7 | Pair
♣K,♥A,♥K,♠6,♥5 | Pair
♣K,♥A,♥K,♠6,♣6 | Two Pairs
♣K,♥A,♥K,♠6,♥7 | Pair
♣K,♥A,♥K,♦7,♥5 | Pair
♣K,♥A,♥K,♦7,♣6 | Pair
♣K,♥A,♥K,♦7,♥7 | Two Pairs
♣K,♥A,♥K,♥5,♣6 | Pair
♣K,♥A,♥K,♥5,♥7 | Pair
♣K,♥A,♥K,♣6,♥7 | Pair
♣K,♥A,♠6,♦7,♣6 | Pair
♣K,♥A,♠6,♦7,♥7 | Pair
♣K,♥A,♠6,♥5,♣6 | Pair
♣K,♥A,♠6,♣6,♥7 | Pair
♣K,♥A,♦7,♥5,♥7 | Pair
♣K,♥A,♦7,♣6,♥7 | Pair
♣K,♥K,♠6,♦7,♥5 | Pair
♣K,♥K,♠6,♦7,♣6 | Two Pairs
♣K,♥K,♠6,♦7,♥7 | Two Pairs
♣K,♥K,♠6,♥5,♣6 | Two Pairs
♣K,♥K,♠6,♥5,♥7 | Pair
♣K,♥K,♠6,♣6,♥7 | Two Pairs
♣K,♥K,♦7,♥5,♣6 | Pair
♣K,♥K,♦7,♥5,♥7 | Two Pairs
♣K,♥K,♦7,♣6,♥7 | Two Pairs
♣K,♥K,♥5,♣6,♥7 | Pair
♣K,♠6,♦7,♥5,♣6 | Pair
♣K,♠6,♦7,♥5,♥7 | Pair
♣K,♠6,♦7,♣6,♥7 | Two Pairs
♣K,♠6,♥5,♣6,♥7 | Pair
♣K,♦7,♥5,♣6,♥7 | Pair
♣8,♥A,♥K,♠6,♣6 | Pair
♣8,♥A,♥K,♦7,♥7 | Pair
♣8,♥A,♠6,♦7,♣6 | Pair
♣8,♥A,♠6,♦7,♥7 | Pair
♣8,♥A,♠6,♥5,♣6 | Pair
♣8,♥A,♠6,♣6,♥7 | Pair
♣8,♥A,♦7,♥5,♥7 | Pair
♣8,♥A,♦7,♣6,♥7 | Pair
♣8,♥K,♠6,♦7,♣6 | Pair
♣8,♥K,♠6,♦7,♥7 | Pair
♣8,♥K,♠6,♥5,♣6 | Pair
♣8,♥K,♠6,♣6,♥7 | Pair
♣8,♥K,♦7,♥5,♥7 | Pair
♣8,♥K,♦7,♣6,♥7 | Pair
♣8,♠6,♦7,♥5,♣6 | Pair
♣8,♠6,♦7,♥5,♥7 | Pair
♣8,♠6,♦7,♣6,♥7 | Two Pairs
♣8,♠6,♥5,♣6,♥7 | Pair
♣8,♦7,♥5,♣6,♥7 | Pair
♥A,♥K,♠6,♦7,♣6 | Pair
♥A,♥K,♠6,♦7,♥7 | Pair
♥A,♥K,♠6,♥5,♣6 | Pair
♥A,♥K,♠6,♣6,♥7 | Pair
♥A,♥K,♦7,♥5,♥7 | Pair
♥A,♥K,♦7,♣6,♥7 | Pair
♥A,♠6,♦7,♥5,♣6 | Pair
♥A,♠6,♦7,♥5,♥7 | Pair
♥A,♠6,♦7,♣6,♥7 | Two Pairs
♥A,♠6,♥5,♣6,♥7 | Pair
♥A,♦7,♥5,♣6,♥7 | Pair
♥K,♠6,♦7,♥5,♣6 | Pair
♥K,♠6,♦7,♥5,♥7 | Pair
♥K,♠6,♦7,♣6,♥7 | Two Pairs
♥K,♠6,♥5,♣6,♥7 | Pair
♥K,♦7,♥5,♣6,♥7 | Pair
♠6,♦7,♥5,♣6,♥7 | Two Pairs
