♣2,♠3,♥A,♠10,♥3 | Pair
♣2,♥A,♥7,♥3,♣A | Pair
♣2,♥A,♥7,♣A,♠Q | Pair
♣2,♥A,♥7,♣A,♦Q | Pair
♣2,♥A,♥7,♣A,♠8 | Pair
♣2,♥A,♥7,♣A,♦9 | Pair
♣2,♥A,♥7,♠Q,♦Q | Pair
♣2,♥A,♥3,♣A,♠Q | Pair
♣2,♥A,♥3,♣A,♦Q | Pair
♣2,♥A,♥3,♣A,♠8 | Pair
♣2,♥A,♥3,♣A,♦9 | Pair
♣2,♥A,♥3,♠Q,♦Q | Pair
♣2,♥A,♣A,♠Q,♦Q | Two Pairs
♣2,♥A,♣A,♠Q,♠8 | Pair
♣2,♥A,♣A,♠Q,♦9 | Pair
♣2,♥A,♣A,♦Q,♠8 | Pair
♣2,♥A,♣A,♦Q,♦9 | Pair
♣2,♥A,♣A,♠8,♦9 | Pair
♣2,♥A,♠Q,♦Q,♠8 | Pair
♣2,♥A,♠Q,♦Q,♦9 | Pair
♣2,♠10,♠K,♦8,♠8 | Pair
♣2,♠10,♠K,♠Q,♦Q | Pair
♣2,♠10,♦8,♥7,♠8 | Pair
♣2,♠10,♦8,♥3,♠8 | Pair
♣2,♠10,♦8,♣A,♠8 | Pair
♣2,♠10,♦8,♠Q,♦Q | Pair
♣2,♠10,♦8,♠Q,♠8 | Pair
♣2,♠10,♦8,♦Q,♠8 | Pair
♣2,♠10,♦8,♠8,♦9 | Pair
♣2,♠10,♥7,♠Q,♦Q | Pair
♣2,♠10,♥3,♠Q,♦Q | Pair
♣2,♠10,♣A,♠Q,♦Q | Pair
♣2,♠10,♠Q,♦Q,♠8 | Pair
♣2,♠10,♠Q,♦Q,♦9 | Pair
♣2,♠K,♦8,♥7,♠8 | Pair
♣2,♠K,♦8,♥3,♠8 | Pair
♣2,♠K,♦8,♣A,♠8 | Pair
♣2,♠K,♦8,♠Q,♦Q | Pair
♣2,♠K,♦8,♠Q,♠8 | Pair
♣2,♠K,♦8,♦Q,♠8 | Pair
♣2,♠K,♦8,♠8,♦9 | Pair
♣2,♠K,♥7,♠Q,♦Q | Pair
♣2,♠K,♥3,♠Q,♦Q | Pair
♣2,♠K,♣A,♠Q,♦Q | Pair
♣2,♠K,♠Q,♦Q,♠8 | Pair
♣2,♠K,♠Q,♦Q,♦9 | Pair
♣2,♦8,♥7,♥3,♠8 | Pair
♣2,♦8,♥7,♣A,♠8 | Pair
♣2,♦8,♥7,♠Q,♦Q | Pair
♣2,♦8,♥7,♠Q,♠8 | Pair
♣2,♦8,♥7,♦Q,♠8 | Pair
♣2,♦8,♥7,♠8,♦9 | Pair
♣2,♦8,♥3,♣A,♠8 | Pair
♣2,♦8,♥3,♠Q,♦Q | Pair
♣2,♦8,♥3,♠Q,♠8 | Pair
♣2,♦8,♥3,♦Q,♠8 | Pair
♣2,♦8,♥3,♠8,♦9 | Pair
♣2,♦8,♣A,♠Q,♦Q | Pair
♣2,♦8,♣A,♠Q,♠8 | Pair
♣2,♦8,♣A,♦Q,♠8 | Pair
♣2,♦8,♣A,♠8,♦9 | Pair
♣2,♦8,♠Q,♦Q,♠8 | Two Pairs
♣2,♦8,♠Q,♦Q,♦9 | Pair
♣2,♦8,♠Q,♠8,♦9 | Pair
♣2,♦8,♦Q,♠8,♦9 | Pair
♣2,♥7,♥3,♠Q,♦Q | Pair
♣2,♥7,♣A,♠Q,♦Q | Pair
♣2,♥7,♠Q,♦Q,♠8 | Pair
♣2,♥7,♠Q,♦Q,♦9 | Pair
♣2,♥3,♣A,♠Q,♦Q | Pair
♣2,♥3,♠Q,♦Q,♠8 | Pair
♣2,♥3,♠Q,♦Q,♦9 | Pair
♣2,♣A,♠Q,♦Q,♠8 | Pair
♣2,♣A,♠Q,♦Q,♦9 | Pair
♣2,♠Q,♦Q,♠8,♦9 | Pair
♠3,♥A,♠10,♠K,♥3 | Pair
♠3,♥A,♠10,♠K,♣A | Pair
♠3,♥A,♠10,♦8,♥3 | Pair
♠3,♥A,♠10,♦8,♣A | Pair
♠3,♥A,♠10,♦8,♠8 | Pair
♠3,♥A,♠10,♥7,♥3 | Pair
♠3,♥A,♠10,♥7,♣A | Pair
♠3,♥A,♠10,♥3,♣A | Two Pairs
♠3,♥A,♠10,♥3,♠Q | Pair
♠3,♥A,♠10,♥3,♦Q | Pair
♠3,♥A,♠10,♥3,♠8 | Pair
♠3,♥A,♠10,♥3,♦9 | Pair
♠3,♥A,♠10,♣A,♠Q | Pair
♠3,♥A,♠10,♣A,♦Q | Pair
♠3,♥A,♠10,♣A,♠8 | Pair
♠3,♥A,♠10,♣A,♦9 | Pair
♠3,♥A,♠10,♠Q,♦Q | Pair
♠3,♥A,♠K,♦8,♥3 | Pair
♠3,♥A,♠K,♦8,♣A | Pair
♠3,♥A,♠K,♦8,♠8 | Pair
♠3,♥A,♠K,♥7,♥3 | Pair
♠3,♥A,♠K,♥7,♣A | Pair
♠3,♥A,♠K,♥3,♣A | Two Pairs
♠3,♥A,♠K,♥3,♠Q | Pair
♠3,♥A,♠K,♥3,♦Q | Pair
♠3,♥A,♠K,♥3,♠8 | Pair
♠3,♥A,♠K,♥3,♦9 | Pair
♠3,♥A,♠K,♣A,♠Q | Pair
♠3,♥A,♠K,♣A,♦Q | Pair
♠3,♥A,♠K,♣A,♠8 | Pair
♠3,♥A,♠K,♣A,♦9 | Pair
♠3,♥A,♠K,♠Q,♦Q | Pair
♠3,♥A,♦8,♥7,♥3 | Pair
♠3,♥A,♦8,♥7,♣A | Pair
♠3,♥A,♦8,♥7,♠8 | Pair
♠3,♥A,♦8,♥3,♣A | Two Pairs
♠3,♥A,♦8,♥3,♠Q | Pair
♠3,♥A,♦8,♥3,♦Q | Pair
♠3,♥A,♦8,♥3,♠8 | Two Pairs
♠3,♥A,♦8,♥3,♦9 | Pair
♠3,♥A,♦8,♣A,♠Q | Pair
♠3,♥A,♦8,♣A,♦Q | Pair
♠3,♥A,♦8,♣A,♠8 | Two Pairs
♠3,♥A,♦8,♣A,♦9 | Pair
♠3,♥A,♦8,♠Q,♦Q | Pair
♠3,♥A,♦8,♠Q,♠8 | Pair
♠3,♥A,♦8,♦Q,♠8 | Pair
♠3,♥A,♦8,♠8,♦9 | Pair
♠3,♥A,♥7,♥3,♣A | Two Pairs
♠3,♥A,♥7,♥3,♠Q | Pair
♠3,♥A,♥7,♥3,♦Q | Pair
♠3,♥A,♥7,♥3,♠8 | Pair
♠3,♥A,♥7,♥3,♦9 | Pair
♠3,♥A,♥7,♣A,♠Q | Pair
♠3,♥A,♥7,♣A,♦Q | Pair
♠3,♥A,♥7,♣A,♠8 | Pair
♠3,♥A,♥7,♣A,♦9 | Pair
♠3,♥A,♥7,♠Q,♦Q | Pair
♠3,♥A,♥3,♣A,♠Q | Two Pairs
♠3,♥A,♥3,♣A,♦Q | Two Pairs
♠3,♥A,♥3,♣A,♠8 | Two Pairs
♠3,♥A,♥3,♣A,♦9 | Two Pairs
♠3,♥A,♥3,♠Q,♦Q | Two Pairs
♠3,♥A,♥3,♠Q,♠8 | Pair
♠3,♥A,♥3,♠Q,♦9 | Pair
♠3,♥A,♥3,♦Q,♠8 | Pair
♠3,♥A,♥3,♦Q,♦9 | Pair
♠3,♥A,♥3,♠8,♦9 | Pair
♠3,♥A,♣A,♠Q,♦Q | Two Pairs
♠3,♥A,♣A,♠Q,♠8 | Pair
♠3,♥A,♣A,♠Q,♦9 | Pair
♠3,♥A,♣A,♦Q,♠8 | Pair
♠3,♥A,♣A,♦Q,♦9 | Pair
♠3,♥A,♣A,♠8,♦9 | Pair
♠3,♥A,♠Q,♦Q,♠8 | Pair
♠3,♥A,♠Q,♦Q,♦9 | Pair
♠3,♠10,♠K,♦8,♥3 | Pair
♠3,♠10,♠K,♦8,♠8 | Pair
♠3,♠10,♠K,♥7,♥3 | Pair
♠3,♠10,♠K,♥3,♣A | Pair
♠3,♠10,♠K,♥3,♠Q | Pair
♠3,♠10,♠K,♥3,♦Q | Pair
♠3,♠10,♠K,♥3,♠8 | Pair
♠3,♠10,♠K,♥3,♦9 | Pair
♠3,♠10,♠K,♠Q,♦Q | Pair
♠3,♠10,♠K,♠Q,♠8 | Flush
♠3,♠10,♦8,♥7,♥3 | Pair
♠3,♠10,♦8,♥7,♠8 | Pair
♠3,♠10,♦8,♥3,♣A | Pair
♠3,♠10,♦8,♥3,♠Q | Pair
♠3,♠10,♦8,♥3,♦Q | Pair
♠3,♠10,♦8,♥3,♠8 | Two Pairs
♠3,♠10,♦8,♥3,♦9 | Pair
♠3,♠10,♦8,♣A,♠8 | Pair
♠3,♠10,♦8,♠Q,♦Q | Pair
♠3,♠10,♦8,♠Q,♠8 | Pair
♠3,♠10,♦8,♦Q,♠8 | Pair
♠3,♠10,♦8,♠8,♦9 | Pair
♠3,♠10,♥7,♥3,♣A | Pair
♠3,♠10,♥7,♥3,♠Q | Pair
♠3,♠10,♥7,♥3,♦Q | Pair
♠3,♠10,♥7,♥3,♠8 | Pair
♠3,♠10,♥7,♥3,♦9 | Pair
♠3,♠10,♥7,♠Q,♦Q | Pair
♠3,♠10,♥3,♣A,♠Q | Pair
♠3,♠10,♥3,♣A,♦Q | Pair
♠3,♠10,♥3,♣A,♠8 | Pair
♠3,♠10,♥3,♣A,♦9 | Pair
♠3,♠10,♥3,♠Q,♦Q | Two Pairs
♠3,♠10,♥3,♠Q,♠8 | Pair
♠3,♠10,♥3,♠Q,♦9 | Pair
♠3,♠10,♥3,♦Q,♠8 | Pair
♠3,♠10,♥3,♦Q,♦9 | Pair
♠3,♠10,♥3,♠8,♦9 | Pair
♠3,♠10,♣A,♠Q,♦Q | Pair
♠3,♠10,♠Q,♦Q,♠8 | Pair
♠3,♠10,♠Q,♦Q,♦9 | Pair
♠3,♠K,♦8,♥7,♥3 | Pair
♠3,♠K,♦8,♥7,♠8 | Pair
♠3,♠K,♦8,♥3,♣A | Pair
♠3,♠K,♦8,♥3,♠Q | Pair
♠3,♠K,♦8,♥3,♦Q | Pair
♠3,♠K,♦8,♥3,♠8 | Two Pairs
♠3,♠K,♦8,♥3,♦9 | Pair
♠3,♠K,♦8,♣A,♠8 | Pair
♠3,♠K,♦8,♠Q,♦Q | Pair
♠3,♠K,♦8,♠Q,♠8 | Pair
♠3,♠K,♦8,♦Q,♠8 | Pair
♠3,♠K,♦8,♠8,♦9 | Pair
♠3,♠K,♥7,♥3,♣A | Pair
♠3,♠K,♥7,♥3,♠Q | Pair
♠3,♠K,♥7,♥3,♦Q | Pair
♠3,♠K,♥7,♥3,♠8 | Pair
♠3,♠K,♥7,♥3,♦9 | Pair
♠3,♠K,♥7,♠Q,♦Q | Pair
♠3,♠K,♥3,♣A,♠Q | Pair
♠3,♠K,♥3,♣A,♦Q | Pair
♠3,♠K,♥3,♣A,♠8 | Pair
♠3,♠K,♥3,♣A,♦9 | Pair
♠3,♠K,♥3,♠Q,♦Q | Two Pairs
♠3,♠K,♥3,♠Q,♠8 | Pair
♠3,♠K,♥3,♠Q,♦9 | Pair
♠3,♠K,♥3,♦Q,♠8 | Pair
♠3,♠K,♥3,♦Q,♦9 | Pair
♠3,♠K,♥3,♠8,♦9 | Pair
♠3,♠K,♣A,♠Q,♦Q | Pair
♠3,♠K,♠Q,♦Q,♠8 | Pair
♠3,♠K,♠Q,♦Q,♦9 | Pair
♠3,♦8,♥7,♥3,♣A | Pair
♠3,♦8,♥7,♥3,♠Q | Pair
♠3,♦8,♥7,♥3,♦Q | Pair
♠3,♦8,♥7,♥3,♠8 | Two Pairs
♠3,♦8,♥7,♥3,♦9 | Pair
♠3,♦8,♥7,♣A,♠8 | Pair
♠3,♦8,♥7,♠Q,♦Q | Pair
♠3,♦8,♥7,♠Q,♠8 | Pair
♠3,♦8,♥7,♦Q,♠8 | Pair
♠3,♦8,♥7,♠8,♦9 | Pair
♠3,♦8,♥3,♣A,♠Q | Pair
♠3,♦8,♥3,♣A,♦Q | Pair
♠3,♦8,♥3,♣A,♠8 | Two Pairs
♠3,♦8,♥3,♣A,♦9 | Pair
♠3,♦8,♥3,♠Q,♦Q | Two Pairs
♠3,♦8,♥3,♠Q,♠8 | Two Pairs
♠3,♦8,♥3,♠Q,♦9 | Pair
♠3,♦8,♥3,♦Q,♠8 | Two Pairs
♠3,♦8,♥3,♦Q,♦9 | Pair
♠3,♦8,♥3,♠8,♦9 | Two Pairs
♠3,♦8,♣A,♠Q,♦Q | Pair
♠3,♦8,♣A,♠Q,♠8 | Pair
♠3,♦8,♣A,♦Q,♠8 | Pair
♠3,♦8,♣A,♠8,♦9 | Pair
♠3,♦8,♠Q,♦Q,♠8 | Two Pairs
♠3,♦8,♠Q,♦Q,♦9 | Pair
♠3,♦8,♠Q,♠8,♦9 | Pair
♠3,♦8,♦Q,♠8,♦9 | Pair
♠3,♥7,♥3,♣A,♠Q | Pair
♠3,♥7,♥3,♣A,♦Q | Pair
♠3,♥7,♥3,♣A,♠8 | Pair
♠3,♥7,♥3,♣A,♦9 | Pair
♠3,♥7,♥3,♠Q,♦Q | Two Pairs
♠3,♥7,♥3,♠Q,♠8 | Pair
♠3,♥7,♥3,♠Q,♦9 | Pair
♠3,♥7,♥3,♦Q,♠8 | Pair
♠3,♥7,♥3,♦Q,♦9 | Pair
♠3,♥7,♥3,♠8,♦9 | Pair
♠3,♥7,♣A,♠Q,♦Q | Pair
♠3,♥7,♠Q,♦Q,♠8 | Pair
♠3,♥7,♠Q,♦Q,♦9 | Pair
♠3,♥3,♣A,♠Q,♦Q | Two Pairs
♠3,♥3,♣A,♠Q,♠8 | Pair
♠3,♥3,♣A,♠Q,♦9 | Pair
♠3,♥3,♣A,♦Q,♠8 | Pair
♠3,♥3,♣A,♦Q,♦9 | Pair
♠3,♥3,♣A,♠8,♦9 | Pair
♠3,♥3,♠Q,♦Q,♠8 | Two Pairs
♠3,♥3,♠Q,♦Q,♦9 | Two Pairs
♠3,♥3,♠Q,♠8,♦9 | Pair
♠3,♥3,♦Q,♠8,♦9 | Pair
♠3,♣A,♠Q,♦Q,♠8 | Pair
♠3,♣A,♠Q,♦Q,♦9 | Pair
♠3,♠Q,♦Q,♠8,♦9 | Pair
♥A,♠10,♠K,♦8,♣A | Pair
♥A,♠10,♠K,♦8,♠8 | Pair
♥A,♠10,♠K,♥7,♣A | Pair
♥A,♠10,♠K,♥3,♣A | Pair
♥A,♠10,♠K,♣A,♠Q | Pair
♥A,♠10,♠K,♣A,♦Q | Pair
♥A,♠10,♠K,♣A,♠8 | Pair
♥A,♠10,♠K,♣A,♦9 | Pair
♥A,♠10,♠K,♠Q,♦Q | Pair
♥A,♠10,♦8,♥7,♣A | Pair
♥A,♠10,♦8,♥7,♠8 | Pair
♥A,♠10,♦8,♥3,♣A | Pair
♥A,♠10,♦8,♥3,♠8 | Pair
♥A,♠10,♦8,♣A,♠Q | Pair
♥A,♠10,♦8,♣A,♦Q | Pair
♥A,♠10,♦8,♣A,♠8 | Two Pairs
♥A,♠10,♦8,♣A,♦9 | Pair
♥A,♠10,♦8,♠Q,♦Q | Pair
♥A,♠10,♦8,♠Q,♠8 | Pair
♥A,♠10,♦8,♦Q,♠8 | Pair
♥A,♠10,♦8,♠8,♦9 | Pair
♥A,♠10,♥7,♥3,♣A | Pair
♥A,♠10,♥7,♣A,♠Q | Pair
♥A,♠10,♥7,♣A,♦Q | Pair
♥A,♠10,♥7,♣A,♠8 | Pair
♥A,♠10,♥7,♣A,♦9 | Pair
♥A,♠10,♥7,♠Q,♦Q | Pair
♥A,♠10,♥3,♣A,♠Q | Pair
♥A,♠10,♥3,♣A,♦Q | Pair
♥A,♠10,♥3,♣A,♠8 | Pair
♥A,♠10,♥3,♣A,♦9 | Pair
♥A,♠10,♥3,♠Q,♦Q | Pair
♥A,♠10,♣A,♠Q,♦Q | Two Pairs
♥A,♠10,♣A,♠Q,♠8 | Pair
♥A,♠10,♣A,♠Q,♦9 | Pair
♥A,♠10,♣A,♦Q,♠8 | Pair
♥A,♠10,♣A,♦Q,♦9 | Pair
♥A,♠10,♣A,♠8,♦9 | Pair
♥A,♠10,♠Q,♦Q,♠8 | Pair
♥A,♠10,♠Q,♦Q,♦9 | Pair
♥A,♠K,♦8,♥7,♣A | Pair
♥A,♠K,♦8,♥7,♠8 | Pair
♥A,♠K,♦8,♥3,♣A | Pair
♥A,♠K,♦8,♥3,♠8 | Pair
♥A,♠K,♦8,♣A,♠Q | Pair
♥A,♠K,♦8,♣A,♦Q | Pair
♥A,♠K,♦8,♣A,♠8 | Two Pairs
♥A,♠K,♦8,♣A,♦9 | Pair
♥A,♠K,♦8,♠Q,♦Q | Pair
♥A,♠K,♦8,♠Q,♠8 | Pair
♥A,♠K,♦8,♦Q,♠8 | Pair
♥A,♠K,♦8,♠8,♦9 | Pair
♥A,♠K,♥7,♥3,♣A | Pair
♥A,♠K,♥7,♣A,♠Q | Pair
♥A,♠K,♥7,♣A,♦Q | Pair
♥A,♠K,♥7,♣A,♠8 | Pair
♥A,♠K,♥7,♣A,♦9 | Pair
♥A,♠K,♥7,♠Q,♦Q | Pair
♥A,♠K,♥3,♣A,♠Q | Pair
♥A,♠K,♥3,♣A,♦Q | Pair
♥A,♠K,♥3,♣A,♠8 | Pair
♥A,♠K,♥3,♣A,♦9 | Pair
♥A,♠K,♥3,♠Q,♦Q | Pair
♥A,♠K,♣A,♠Q,♦Q | Two Pairs
♥A,♠K,♣A,♠Q,♠8 | Pair
♥A,♠K,♣A,♠Q,♦9 | Pair
♥A,♠K,♣A,♦Q,♠8 | Pair
♥A,♠K,♣A,♦Q,♦9 | Pair
♥A,♠K,♣A,♠8,♦9 | Pair
♥A,♠K,♠Q,♦Q,♠8 | Pair
♥A,♠K,♠Q,♦Q,♦9 | Pair
♥A,♦8,♥7,♥3,♣A | Pair
♥A,♦8,♥7,♥3,♠8 | Pair
♥A,♦8,♥7,♣A,♠Q | Pair
♥A,♦8,♥7,♣A,♦Q | Pair
♥A,♦8,♥7,♣A,♠8 | Two Pairs
♥A,♦8,♥7,♣A,♦9 | Pair
♥A,♦8,♥7,♠Q,♦Q | Pair
♥A,♦8,♥7,♠Q,♠8 | Pair
♥A,♦8,♥7,♦Q,♠8 | Pair
♥A,♦8,♥7,♠8,♦9 | Pair
♥A,♦8,♥3,♣A,♠Q | Pair
♥A,♦8,♥3,♣A,♦Q | Pair
♥A,♦8,♥3,♣A,♠8 | Two Pairs
♥A,♦8,♥3,♣A,♦9 | Pair
♥A,♦8,♥3,♠Q,♦Q | Pair
♥A,♦8,♥3,♠Q,♠8 | Pair
♥A,♦8,♥3,♦Q,♠8 | Pair
♥A,♦8,♥3,♠8,♦9 | Pair
♥A,♦8,♣A,♠Q,♦Q | Two Pairs
♥A,♦8,♣A,♠Q,♠8 | Two Pairs
♥A,♦8,♣A,♠Q,♦9 | Pair
♥A,♦8,♣A,♦Q,♠8 | Two Pairs
♥A,♦8,♣A,♦Q,♦9 | Pair
♥A,♦8,♣A,♠8,♦9 | Two Pairs
♥A,♦8,♠Q,♦Q,♠8 | Two Pairs
♥A,♦8,♠Q,♦Q,♦9 | Pair
♥A,♦8,♠Q,♠8,♦9 | Pair
♥A,♦8,♦Q,♠8,♦9 | Pair
♥A,♥7,♥3,♣A,♠Q | Pair
♥A,♥7,♥3,♣A,♦Q | Pair
♥A,♥7,♥3,♣A,♠8 | Pair
♥A,♥7,♥3,♣A,♦9 | Pair
♥A,♥7,♥3,♠Q,♦Q | Pair
♥A,♥7,♣A,♠Q,♦Q | Two Pairs
♥A,♥7,♣A,♠Q,♠8 | Pair
♥A,♥7,♣A,♠Q,♦9 | Pair
♥A,♥7,♣A,♦Q,♠8 | Pair
♥A,♥7,♣A,♦Q,♦9 | Pair
♥A,♥7,♣A,♠8,♦9 | Pair
♥A,♥7,♠Q,♦Q,♠8 | Pair
♥A,♥7,♠Q,♦Q,♦9 | Pair
♥A,♥3,♣A,♠Q,♦Q | Two Pairs
♥A,♥3,♣A,♠Q,♠8 | Pair
♥A,♥3,♣A,♠Q,♦9 | Pair
♥A,♥3,♣A,♦Q,♠8 | Pair
♥A,♥3,♣A,♦Q,♦9 | Pair
♥A,♥3,♣A,♠8,♦9 | Pair
♥A,♥3,♠Q,♦Q,♠8 | Pair
♥A,♥3,♠Q,♦Q,♦9 | Pair
♥A,♣A,♠Q,♦Q,♠8 | Two Pairs
♥A,♣A,♠Q,♦Q,♦9 | Two Pairs
♥A,♣A,♠Q,♠8,♦9 | Pair
♥A,♣A,♦Q,♠8,♦9 | Pair
♥A,♠Q,♦Q,♠8,♦9 | Pair
♠10,♠K,♦8,♥7,♠8 | Pair
♠10,♠K,♦8,♥3,♠8 | Pair
♠10,♠K,♦8,♣A,♠8 | Pair
♠10,♠K,♦8,♠Q,♦Q | Pair
♠10,♠K,♦8,♠Q,♠8 | Pair
♠10,♠K,♦8,♦Q,♠8 | Pair
♠10,♠K,♦8,♠8,♦9 | Pair
♠10,♠K,♥7,♠Q,♦Q | Pair
♠10,♠K,♥3,♠Q,♦Q | Pair
♠10,♠K,♣A,♠Q,♦Q | Pair
♠10,♠K,♠Q,♦Q,♠8 | Pair
♠10,♠K,♠Q,♦Q,♦9 | Pair
♠10,♦8,♥7,♥3,♠8 | Pair
♠10,♦8,♥7,♣A,♠8 | Pair
♠10,♦8,♥7,♠Q,♦Q | Pair
♠10,♦8,♥7,♠Q,♠8 | Pair
♠10,♦8,♥7,♦Q,♠8 | Pair
♠10,♦8,♥7,♠8,♦9 | Pair
♠10,♦8,♥3,♣A,♠8 | Pair
♠10,♦8,♥3,♠Q,♦Q | Pair
♠10,♦8,♥3,♠Q,♠8 | Pair
♠10,♦8,♥3,♦Q,♠8 | Pair
♠10,♦8,♥3,♠8,♦9 | Pair
♠10,♦8,♣A,♠Q,♦Q | Pair
♠10,♦8,♣A,♠Q,♠8 | Pair
♠10,♦8,♣A,♦Q,♠8 | Pair
♠10,♦8,♣A,♠8,♦9 | Pair
♠10,♦8,♠Q,♦Q,♠8 | Two Pairs
♠10,♦8,♠Q,♦Q,♦9 | Pair
♠10,♦8,♠Q,♠8,♦9 | Pair
♠10,♦8,♦Q,♠8,♦9 | Pair
♠10,♥7,♥3,♠Q,♦Q | Pair
♠10,♥7,♣A,♠Q,♦Q | Pair
♠10,♥7,♠Q,♦Q,♠8 | Pair
♠10,♥7,♠Q,♦Q,♦9 | Pair
♠10,♥3,♣A,♠Q,♦Q | Pair
♠10,♥3,♠Q,♦Q,♠8 | Pair
♠10,♥3,♠Q,♦Q,♦9 | Pair
♠10,♣A,♠Q,♦Q,♠8 | Pair
♠10,♣A,♠Q,♦Q,♦9 | Pair
♠10,♠Q,♦Q,♠8,♦9 | Pair
♠K,♦8,♥7,♥3,♠8 | Pair
