♠5,♣J,♣2,♣6,♦2 | Pair
♠5,♣2,♦2,♣9,♠K | Pair
♠5,♣2,♦2,♣9,♠10 | Pair
♠5,♣2,♦2,♣9,♠4 | Pair
♠5,♣2,♦2,♣9,♥2 | Three Of A Kind
♠5,♣2,♦2,♠9,♠K | Pair
♠5,♣2,♦2,♠9,♠10 | Pair
♠5,♣2,♦2,♠9,♠4 | Pair
♠5,♣2,♦2,♠9,♥2 | Three Of A Kind
♠5,♣2,♦2,♠K,♠10 | Pair
♠5,♣2,♦2,♠K,♠4 | Pair
♠5,♣2,♦2,♠K,♥2 | Three Of A Kind
♠5,♣2,♦2,♠10,♠4 | Pair
♠5,♣2,♦2,♠10,♥2 | Three Of A Kind
♠5,♣2,♦2,♠4,♥2 | Three Of A Kind
♠5,♣2,♦3,♣9,♠9 | Pair
♠5,♣2,♦3,♣9,♥2 | Pair
♠5,♣2,♦3,♠9,♥2 | Pair
♠5,♣2,♦3,♠K,♥2 | Pair
♠5,♣2,♦3,♠10,♥2 | Pair
♠5,♣2,♦3,♠4,♥2 | Pair
♠5,♣2,♣9,♠9,♠K | Pair
♠5,♣2,♣9,♠9,♠10 | Pair
♠5,♣2,♣9,♠9,♠4 | Pair
♠5,♣2,♣9,♠9,♥2 | Two Pairs
♠5,♣2,♣9,♠K,♥2 | Pair
♠5,♣2,♣9,♠10,♥2 | Pair
♠5,♣2,♣9,♠4,♥2 | Pair
♠5,♣2,♠9,♠K,♥2 | Pair
♠5,♣2,♠9,♠10,♥2 | Pair
♠5,♣2,♠9,♠4,♥2 | Pair
♠5,♣2,♠K,♠10,♥2 | Pair
♠5,♣2,♠K,♠4,♥2 | Pair
♠5,♣2,♠10,♠4,♥2 | Pair
♠5,♣6,♥K,♦2,♠K | Pair
♠5,♣6,♥K,♦2,♥2 | Pair
♠5,♣6,♥K,♦3,♠K | Pair
♠5,♣6,♥K,♣9,♠9 | Pair
♠5,♣6,♥K,♣9,♠K | Pair
♠5,♣6,♥K,♠9,♠K | Pair
♠5,♣6,♥K,♠K,♠10 | Pair
♠5,♣6,♥K,♠K,♠4 | Pair
♠5,♣6,♥K,♠K,♥2 | Pair
♠5,♣6,♦2,♦3,♠4 | Straight
♠5,♣6,♦2,♦3,♥2 | Pair
♠5,♣6,♦2,♣9,♠9 | Pair
♠5,♣6,♦2,♣9,♥2 | Pair
♠5,♣6,♦2,♠9,♥2 | Pair
♠5,♣6,♦2,♠K,♥2 | Pair
♠5,♣6,♦2,♠10,♥2 | Pair
♠5,♣6,♦2,♠4,♥2 | Pair
♠5,♣6,♦3,♣9,♠9 | Pair
♠5,♣6,♦3,♠4,♥2 | Straight
♠5,♣6,♣9,♠9,♠K | Pair
♠5,♣6,♣9,♠9,♠10 | Pair
♠5,♣6,♣9,♠9,♠4 | Pair
♠5,♣6,♣9,♠9,♥2 | Pair
♠5,♥K,♦2,♦3,♠K | Pair
♠5,♥K,♦2,♦3,♥2 | Pair
♠5,♥K,♦2,♣9,♠9 | Pair
♠5,♥K,♦2,♣9,♠K | Pair
♠5,♥K,♦2,♣9,♥2 | Pair
♠5,♥K,♦2,♠9,♠K | Pair
♠5,♥K,♦2,♠9,♥2 | Pair
♠5,♥K,♦2,♠K,♠10 | Pair
♠5,♥K,♦2,♠K,♠4 | Pair
♠5,♥K,♦2,♠K,♥2 | Two Pairs
♠5,♥K,♦2,♠10,♥2 | Pair
♠5,♥K,♦2,♠4,♥2 | Pair
♠5,♥K,♦3,♣9,♠9 | Pair
♠5,♥K,♦3,♣9,♠K | Pair
♠5,♥K,♦3,♠9,♠K | Pair
♠5,♥K,♦3,♠K,♠10 | Pair
♠5,♥K,♦3,♠K,♠4 | Pair
♠5,♥K,♦3,♠K,♥2 | Pair
♠5,♥K,♣9,♠9,♠K | Two Pairs
♠5,♥K,♣9,♠9,♠10 | Pair
♠5,♥K,♣9,♠9,♠4 | Pair
♠5,♥K,♣9,♠9,♥2 | Pair
♠5,♥K,♣9,♠K,♠10 | Pair
♠5,♥K,♣9,♠K,♠4 | Pair
♠5,♥K,♣9,♠K,♥2 | Pair
♠5,♥K,♠9,♠K,♠10 | Pair
♠5,♥K,♠9,♠K,♠4 | Pair
♠5,♥K,♠9,♠K,♥2 | Pair
♠5,♥K,♠K,♠10,♠4 | Pair
♠5,♥K,♠K,♠10,♥2 | Pair
♠5,♥K,♠K,♠4,♥2 | Pair
♠5,♦2,♦3,♣9,♠9 | Pair
♠5,♦2,♦3,♣9,♥2 | Pair
♠5,♦2,♦3,♠9,♥2 | Pair
♠5,♦2,♦3,♠K,♥2 | Pair
♠5,♦2,♦3,♠10,♥2 | Pair
♠5,♦2,♦3,♠4,♥2 | Pair
♠5,♦2,♣9,♠9,♠K | Pair
♠5,♦2,♣9,♠9,♠10 | Pair
♠5,♦2,♣9,♠9,♠4 | Pair
♠5,♦2,♣9,♠9,♥2 | Two Pairs
♠5,♦2,♣9,♠K,♥2 | Pair
♠5,♦2,♣9,♠10,♥2 | Pair
♠5,♦2,♣9,♠4,♥2 | Pair
♠5,♦2,♠9,♠K,♥2 | Pair
♠5,♦2,♠9,♠10,♥2 | Pair
♠5,♦2,♠9,♠4,♥2 | Pair
♠5,♦2,♠K,♠10,♥2 | Pair
♠5,♦2,♠K,♠4,♥2 | Pair
♠5,♦2,♠10,♠4,♥2 | Pair
♠5,♦3,♣9,♠9,♠K | Pair
♠5,♦3,♣9,♠9,♠10 | Pair
♠5,♦3,♣9,♠9,♠4 | Pair
♠5,♦3,♣9,♠9,♥2 | Pair
♠5,♣9,♠9,♠K,♠10 | Pair
♠5,♣9,♠9,♠K,♠4 | Pair
♠5,♣9,♠9,♠K,♥2 | Pair
♠5,♣9,♠9,♠10,♠4 | Pair
♠5,♣9,♠9,♠10,♥2 | Pair
♠5,♣9,♠9,♠4,♥2 | Pair
♠5,♠9,♠K,♠10,♠4 | Flush
♣J,♣2,♣6,♥K,♦2 | Pair
♣J,♣2,♣6,♥K,♠K | Pair
♣J,♣2,♣6,♥K,♥2 | Pair
♣J,♣2,♣6,♦2,♦3 | Pair
♣J,♣2,♣6,♦2,♣9 | Pair
♣J,♣2,♣6,♦2,♠9 | Pair
♣J,♣2,♣6,♦2,♠K | Pair
♣J,♣2,♣6,♦2,♠10 | Pair
♣J,♣2,♣6,♦2,♠4 | Pair
♣J,♣2,♣6,♦2,♥2 | Three Of A Kind
♣J,♣2,♣6,♦3,♥2 | Pair
♣J,♣2,♣6,♣9,♠9 | Pair
♣J,♣2,♣6,♣9,♥2 | Pair
♣J,♣2,♣6,♠9,♥2 | Pair
♣J,♣2,♣6,♠K,♥2 | Pair
♣J,♣2,♣6,♠10,♥2 | Pair
♣J,♣2,♣6,♠4,♥2 | Pair
♣J,♣2,♥K,♦2,♦3 | Pair
♣J,♣2,♥K,♦2,♣9 | Pair
♣J,♣2,♥K,♦2,♠9 | Pair
♣J,♣2,♥K,♦2,♠K | Two Pairs
♣J,♣2,♥K,♦2,♠10 | Pair
♣J,♣2,♥K,♦2,♠4 | Pair
♣J,♣2,♥K,♦2,♥2 | Three Of A Kind
♣J,♣2,♥K,♦3,♠K | Pair
♣J,♣2,♥K,♦3,♥2 | Pair
♣J,♣2,♥K,♣9,♠9 | Pair
♣J,♣2,♥K,♣9,♠K | Pair
♣J,♣2,♥K,♣9,♥2 | Pair
♣J,♣2,♥K,♠9,♠K | Pair
♣J,♣2,♥K,♠9,♥2 | Pair
♣J,♣2,♥K,♠K,♠10 | Pair
♣J,♣2,♥K,♠K,♠4 | Pair
♣J,♣2,♥K,♠K,♥2 | Two Pairs
♣J,♣2,♥K,♠10,♥2 | Pair
♣J,♣2,♥K,♠4,♥2 | Pair
♣J,♣2,♦2,♦3,♣9 | Pair
♣J,♣2,♦2,♦3,♠9 | Pair
♣J,♣2,♦2,♦3,♠K | Pair
♣J,♣2,♦2,♦3,♠10 | Pair
♣J,♣2,♦2,♦3,♠4 | Pair
♣J,♣2,♦2,♦3,♥2 | Three Of A Kind
♣J,♣2,♦2,♣9,♠9 | Two Pairs
♣J,♣2,♦2,♣9,♠K | Pair
♣J,♣2,♦2,♣9,♠10 | Pair
♣J,♣2,♦2,♣9,♠4 | Pair
♣J,♣2,♦2,♣9,♥2 | Three Of A Kind
♣J,♣2,♦2,♠9,♠K | Pair
♣J,♣2,♦2,♠9,♠10 | Pair
♣J,♣2,♦2,♠9,♠4 | Pair
♣J,♣2,♦2,♠9,♥2 | Three Of A Kind
♣J,♣2,♦2,♠K,♠10 | Pair
♣J,♣2,♦2,♠K,♠4 | Pair
♣J,♣2,♦2,♠K,♥2 | Three Of A Kind
♣J,♣2,♦2,♠10,♠4 | Pair
♣J,♣2,♦2,♠10,♥2 | Three Of A Kind
♣J,♣2,♦2,♠4,♥2 | Three Of A Kind
♣J,♣2,♦3,♣9,♠9 | Pair
♣J,♣2,♦3,♣9,♥2 | Pair
♣J,♣2,♦3,♠9,♥2 | Pair
♣J,♣2,♦3,♠K,♥2 | Pair
♣J,♣2,♦3,♠10,♥2 | Pair
♣J,♣2,♦3,♠4,♥2 | Pair
♣J,♣2,♣9,♠9,♠K | Pair
♣J,♣2,♣9,♠9,♠10 | Pair
♣J,♣2,♣9,♠9,♠4 | Pair
♣J,♣2,♣9,♠9,♥2 | Two Pairs
♣J,♣2,♣9,♠K,♥2 | Pair
♣J,♣2,♣9,♠10,♥2 | Pair
♣J,♣2,♣9,♠4,♥2 | Pair
♣J,♣2,♠9,♠K,♥2 | Pair
♣J,♣2,♠9,♠10,♥2 | Pair
♣J,♣2,♠9,♠4,♥2 | Pair
♣J,♣2,♠K,♠10,♥2 | Pair
♣J,♣2,♠K,♠4,♥2 | Pair
♣J,♣2,♠10,♠4,♥2 | Pair
♣J,♣6,♥K,♦2,♠K | Pair
♣J,♣6,♥K,♦2,♥2 | Pair
♣J,♣6,♥K,♦3,♠K | Pair
♣J,♣6,♥K,♣9,♠9 | Pair
♣J,♣6,♥K,♣9,♠K | Pair
♣J,♣6,♥K,♠9,♠K | Pair
♣J,♣6,♥K,♠K,♠10 | Pair
♣J,♣6,♥K,♠K,♠4 | Pair
♣J,♣6,♥K,♠K,♥2 | Pair
♣J,♣6,♦2,♦3,♥2 | Pair
♣J,♣6,♦2,♣9,♠9 | Pair
♣J,♣6,♦2,♣9,♥2 | Pair
♣J,♣6,♦2,♠9,♥2 | Pair
♣J,♣6,♦2,♠K,♥2 | Pair
♣J,♣6,♦2,♠10,♥2 | Pair
♣J,♣6,♦2,♠4,♥2 | Pair
♣J,♣6,♦3,♣9,♠9 | Pair
♣J,♣6,♣9,♠9,♠K | Pair
♣J,♣6,♣9,♠9,♠10 | Pair
♣J,♣6,♣9,♠9,♠4 | Pair
♣J,♣6,♣9,♠9,♥2 | Pair
♣J,♥K,♦2,♦3,♠K | Pair
♣J,♥K,♦2,♦3,♥2 | Pair
♣J,♥K,♦2,♣9,♠9 | Pair
♣J,♥K,♦2,♣9,♠K | Pair
♣J,♥K,♦2,♣9,♥2 | Pair
♣J,♥K,♦2,♠9,♠K | Pair
♣J,♥K,♦2,♠9,♥2 | Pair
♣J,♥K,♦2,♠K,♠10 | Pair
♣J,♥K,♦2,♠K,♠4 | Pair
♣J,♥K,♦2,♠K,♥2 | Two Pairs
♣J,♥K,♦2,♠10,♥2 | Pair
♣J,♥K,♦2,♠4,♥2 | Pair
♣J,♥K,♦3,♣9,♠9 | Pair
♣J,♥K,♦3,♣9,♠K | Pair
♣J,♥K,♦3,♠9,♠K | Pair
♣J,♥K,♦3,♠K,♠10 | Pair
♣J,♥K,♦3,♠K,♠4 | Pair
♣J,♥K,♦3,♠K,♥2 | Pair
♣J,♥K,♣9,♠9,♠K | Two Pairs
♣J,♥K,♣9,♠9,♠10 | Pair
♣J,♥K,♣9,♠9,♠4 | Pair
♣J,♥K,♣9,♠9,♥2 | Pair
♣J,♥K,♣9,♠K,♠10 | Pair
♣J,♥K,♣9,♠K,♠4 | Pair
♣J,♥K,♣9,♠K,♥2 | Pair
♣J,♥K,♠9,♠K,♠10 | Pair
♣J,♥K,♠9,♠K,♠4 | Pair
♣J,♥K,♠9,♠K,♥2 | Pair
♣J,♥K,♠K,♠10,♠4 | Pair
♣J,♥K,♠K,♠10,♥2 | Pair
♣J,♥K,♠K,♠4,♥2 | Pair
♣J,♦2,♦3,♣9,♠9 | Pair
♣J,♦2,♦3,♣9,♥2 | Pair
♣J,♦2,♦3,♠9,♥2 | Pair
♣J,♦2,♦3,♠K,♥2 | Pair
♣J,♦2,♦3,♠10,♥2 | Pair
♣J,♦2,♦3,♠4,♥2 | Pair
♣J,♦2,♣9,♠9,♠K | Pair
♣J,♦2,♣9,♠9,♠10 | Pair
♣J,♦2,♣9,♠9,♠4 | Pair
♣J,♦2,♣9,♠9,♥2 | Two Pairs
♣J,♦2,♣9,♠K,♥2 | Pair
♣J,♦2,♣9,♠10,♥2 | Pair
♣J,♦2,♣9,♠4,♥2 | Pair
♣J,♦2,♠9,♠K,♥2 | Pair
♣J,♦2,♠9,♠10,♥2 | Pair
♣J,♦2,♠9,♠4,♥2 | Pair
♣J,♦2,♠K,♠10,♥2 | Pair
♣J,♦2,♠K,♠4,♥2 | Pair
♣J,♦2,♠10,♠4,♥2 | Pair
♣J,♦3,♣9,♠9,♠K | Pair
♣J,♦3,♣9,♠9,♠10 | Pair
♣J,♦3,♣9,♠9,♠4 | Pair
♣J,♦3,♣9,♠9,♥2 | Pair
♣J,♣9,♠9,♠K,♠10 | Pair
♣J,♣9,♠9,♠K,♠4 | Pair
♣J,♣9,♠9,♠K,♥2 | Pair
♣J,♣9,♠9,♠10,♠4 | Pair
♣J,♣9,♠9,♠10,♥2 | Pair
♣J,♣9,♠9,♠4,♥2 | Pair
♣2,♣6,♥K,♦2,♦3 | Pair
♣2,♣6,♥K,♦2,♣9 | Pair
♣2,♣6,♥K,♦2,♠9 | Pair
♣2,♣6,♥K,♦2,♠K | Two Pairs
♣2,♣6,♥K,♦2,♠10 | Pair
♣2,♣6,♥K,♦2,♠4 | Pair
♣2,♣6,♥K,♦2,♥2 | Three Of A Kind
♣2,♣6,♥K,♦3,♠K | Pair
♣2,♣6,♥K,♦3,♥2 | Pair
♣2,♣6,♥K,♣9,♠9 | Pair
♣2,♣6,♥K,♣9,♠K | Pair
♣2,♣6,♥K,♣9,♥2 | Pair
♣2,♣6,♥K,♠9,♠K | Pair
♣2,♣6,♥K,♠9,♥2 | Pair
♣2,♣6,♥K,♠K,♠10 | Pair
♣2,♣6,♥K,♠K,♠4 | Pair
♣2,♣6,♥K,♠K,♥2 | Two Pairs
♣2,♣6,♥K,♠10,♥2 | Pair
♣2,♣6,♥K,♠4,♥2 | Pair
♣2,♣6,♦2,♦3,♣9 | Pair
♣2,♣6,♦2,♦3,♠9 | Pair
♣2,♣6,♦2,♦3,♠K | Pair
♣2,♣6,♦2,♦3,♠10 | Pair
♣2,♣6,♦2,♦3,♠4 | Pair
♣2,♣6,♦2,♦3,♥2 | Three Of A Kind
♣2,♣6,♦2,♣9,♠9 | Two Pairs
♣2,♣6,♦2,♣9,♠K | Pair
♣2,♣6,♦2,♣9,♠10 | Pair
♣2,♣6,♦2,♣9,♠4 | Pair
♣2,♣6,♦2,♣9,♥2 | Three Of A Kind
♣2,♣6,♦2,♠9,♠K | Pair
♣2,♣6,♦2,♠9,♠10 | Pair
♣2,♣6,♦2,♠9,♠4 | Pair
♣2,♣6,♦2,♠9,♥2 | Three Of A Kind
♣2,♣6,♦2,♠K,♠10 | Pair
♣2,♣6,♦2,♠K,♠4 | Pair
♣2,♣6,♦2,♠K,♥2 | Three Of A Kind
♣2,♣6,♦2,♠10,♠4 | Pair
♣2,♣6,♦2,♠10,♥2 | Three Of A Kind
♣2,♣6,♦2,♠4,♥2 | Three Of A Kind
♣2,♣6,♦3,♣9,♠9 | Pair
♣2,♣6,♦3,♣9,♥2 | Pair
♣2,♣6,♦3,♠9,♥2 | Pair
♣2,♣6,♦3,♠K,♥2 | Pair
♣2,♣6,♦3,♠10,♥2 | Pair
♣2,♣6,♦3,♠4,♥2 | Pair
♣2,♣6,♣9,♠9,♠K | Pair
♣2,♣6,♣9,♠9,♠10 | Pair
♣2,♣6,♣9,♠9,♠4 | Pair
♣2,♣6,♣9,♠9,♥2 | Two Pairs
♣2,♣6,♣9,♠K,♥2 | Pair
♣2,♣6,♣9,♠10,♥2 | Pair
♣2,♣6,♣9,♠4,♥2 | Pair
♣2,♣6,♠9,♠K,♥2 | Pair
♣2,♣6,♠9,♠10,♥2 | Pair
♣2,♣6,♠9,♠4,♥2 | Pair
♣2,♣6,♠K,♠10,♥2 | Pair
♣2,♣6,♠K,♠4,♥2 | Pair
♣2,♣6,♠10,♠4,♥2 | Pair
♣2,♥K,♦2,♦3,♣9 | Pair
♣2,♥K,♦2,♦3,♠9 | Pair
♣2,♥K,♦2,♦3,♠K | Two Pairs
♣2,♥K,♦2,♦3,♠10 | Pair
♣2,♥K,♦2,♦3,♠4 | Pair
♣2,♥K,♦2,♦3,♥2 | Three Of A Kind
♣2,♥K,♦2,♣9,♠9 | Two Pairs
♣2,♥K,♦2,♣9,♠K | Two Pairs
♣2,♥K,♦2,♣9,♠10 | Pair
♣2,♥K,♦2,♣9,♠4 | Pair
♣2,♥K,♦2,♣9,♥2 | Three Of A Kind
♣2,♥K,♦2,♠9,♠K | Two Pairs
♣2,♥K,♦2,♠9,♠10 | Pair
♣2,♥K,♦2,♠9,♠4 | Pair
♣2,♥K,♦2,♠9,♥2 | Three Of A Kind
♣2,♥K,♦2,♠K,♠10 | Two Pairs
♣2,♥K,♦2,♠K,♠4 | Two Pairs
♣2,♥K,♦2,♠K,♥2 | Full House
♣2,♥K,♦2,♠10,♠4 | Pair
♣2,♥K,♦2,♠10,♥2 | Three Of A Kind
♣2,♥K,♦2,♠4,♥2 | Three Of A Kind
♣2,♥K,♦3,♣9,♠9 | Pair
♣2,♥K,♦3,♣9,♠K | Pair
♣2,♥K,♦3,♣9,♥2 | Pair
♣2,♥K,♦3,♠9,♠K | Pair
♣2,♥K,♦3,♠9,♥2 | Pair
♣2,♥K,♦3,♠K,♠10 | Pair
♣2,♥K,♦3,♠K,♠4 | Pair
♣2,♥K,♦3,♠K,♥2 | Two Pairs
♣2,♥K,♦3,♠10,♥2 | Pair
♣2,♥K,♦3,♠4,♥2 | Pair
♣2,♥K,♣9,♠9,♠K | Two Pairs
♣2,♥K,♣9,♠9,♠10 | Pair
♣2,♥K,♣9,♠9,♠4 | Pair
♣2,♥K,♣9,♠9,♥2 | Two Pairs
♣2,♥K,♣9,♠K,♠10 | Pair
♣2,♥K,♣9,♠K,♠4 | Pair
♣2,♥K,♣9,♠K,♥2 | Two Pairs
♣2,♥K,♣9,♠10,♥2 | Pair
♣2,♥K,♣9,♠4,♥2 | Pair
♣2,♥K,♠9,♠K,♠10 | Pair
♣2,♥K,♠9,♠K,♠4 | Pair
♣2,♥K,♠9,♠K,♥2 | Two Pairs
♣2,♥K,♠9,♠10,♥2 | Pair
♣2,♥K,♠9,♠4,♥2 | Pair
♣2,♥K,♠K,♠10,♠4 | Pair
♣2,♥K,♠K,♠10,♥2 | Two Pairs
♣2,♥K,♠K,♠4,♥2 | Two Pairs
♣2,♥K,♠10,♠4,♥2 | Pair
♣2,♦2,♦3,♣9,♠9 | Two Pairs
♣2,♦2,♦3,♣9,♠K | Pair
♣2,♦2,♦3,♣9,♠10 | Pair
♣2,♦2,♦3,♣9,♠4 | Pair
♣2,♦2,♦3,♣9,♥2 | Three Of A Kind
♣2,♦2,♦3,♠9,♠K | Pair
♣2,♦2,♦3,♠9,♠10 | Pair
♣2,♦2,♦3,♠9,♠4 | Pair
♣2,♦2,♦3,♠9,♥2 | Three Of A Kind
♣2,♦2,♦3,♠K,♠10 | Pair
♣2,♦2,♦3,♠K,♠4 | Pair
♣2,♦2,♦3,♠K,♥2 | Three Of A Kind
♣2,♦2,♦3,♠10,♠4 | Pair
♣2,♦2,♦3,♠10,♥2 | Three Of A Kind
♣2,♦2,♦3,♠4,♥2 | Three Of A Kind
♣2,♦2,♣9,♠9,♠K | Two Pairs
♣2,♦2,♣9,♠9,♠10 | Two Pairs
♣2,♦2,♣9,♠9,♠4 | Two Pairs
♣2,♦2,♣9,♠9,♥2 | Full House
♣2,♦2,♣9,♠K,♠10 | Pair
♣2,♦2,♣9,♠K,♠4 | Pair
♣2,♦2,♣9,♠K,♥2 | Three Of A Kind
♣2,♦2,♣9,♠10,♠4 | Pair
♣2,♦2,♣9,♠10,♥2 | Three Of A Kind
♣2,♦2,♣9,♠4,♥2 | Three Of A Kind
♣2,♦2,♠9,♠K,♠10 | Pair
♣2,♦2,♠9,♠K,♠4 | Pair
♣2,♦2,♠9,♠K,♥2 | Three Of A Kind
♣2,♦2,♠9,♠10,♠4 | Pair
♣2,♦2,♠9,♠10,♥2 | Three Of A Kind
♣2,♦2,♠9,♠4,♥2 | Three Of A Kind
♣2,♦2,♠K,♠10,♠4 | Pair
♣2,♦2,♠K,♠10,♥2 | Three Of A Kind
♣2,♦2,♠K,♠4,♥2 | Three Of A Kind
♣2,♦2,♠10,♠4,♥2 | Three Of A Kind
♣2,♦3,♣9,♠9,♠K | Pair
♣2,♦3,♣9,♠9,♠10 | Pair
♣2,♦3,♣9,♠9,♠4 | Pair
♣2,♦3,♣9,♠9,♥2 | Two Pairs
♣2,♦3,♣9,♠K,♥2 | Pair
♣2,♦3,♣9,♠10,♥2 | Pair
♣2,♦3,♣9,♠4,♥2 | Pair
♣2,♦3,♠9,♠K,♥2 | Pair
♣2,♦3,♠9,♠10,♥2 | Pair
♣2,♦3,♠9,♠4,♥2 | Pair
♣2,♦3,♠K,♠10,♥2 | Pair
♣2,♦3,♠K,♠4,♥2 | Pair
♣2,♦3,♠10,♠4,♥2 | Pair
♣2,♣9,♠9,♠K,♠10 | Pair
♣2,♣9,♠9,♠K,♠4 | Pair
♣2,♣9,♠9,♠K,♥2 | Two Pairs
♣2,♣9,♠9,♠10,♠4 | Pair
♣2,♣9,♠9,♠10,♥2 | Two Pairs
♣2,♣9,♠9,♠4,♥2 | Two Pairs
♣2,♣9,♠K,♠10,♥2 | Pair
♣2,♣9,♠K,♠4,♥2 | Pair
♣2,♣9,♠10,♠4,♥2 | Pair
♣2,♠9,♠K,♠10,♥2 | Pair
♣2,♠9,♠K,♠4,♥2 | Pair
♣2,♠9,♠10,♠4,♥2 | Pair
♣2,♠K,♠10,♠4,♥2 | Pair
♣6,♥K,♦2,♦3,♠K | Pair
♣6,♥K,♦2,♦3,♥2 | Pair
♣6,♥K,♦2,♣9,♠9 | Pair
♣6,♥K,♦2,♣9,♠K | Pair
♣6,♥K,♦2,♣9,♥2 | Pair
♣6,♥K,♦2,♠9,♠K | Pair
♣6,♥K,♦2,♠9,♥2 | Pair
♣6,♥K,♦2,♠K,♠10 | Pair
♣6,♥K,♦2,♠K,♠4 | Pair
♣6,♥K,♦2,♠K,♥2 | Two Pairs
♣6,♥K,♦2,♠10,♥2 | Pair
♣6,♥K,♦2,♠4,♥2 | Pair
♣6,♥K,♦3,♣9,♠9 | Pair
♣6,♥K,♦3,♣9,♠K | Pair
♣6,♥K,♦3,♠9,♠K | Pair
♣6,♥K,♦3,♠K,♠10 | Pair
♣6,♥K,♦3,♠K,♠4 | Pair
♣6,♥K,♦3,♠K,♥2 | Pair
