♥2,♥7,♣9,♥8,♠2 | Pair
♥2,♥8,♥4,♠K,♦4 | Pair
♥2,♥8,♥4,♠K,♠4 | Pair
♥2,♥8,♥4,♦4,♠4 | Three Of A Kind
♥2,♥8,♠2,♠5,♥10 | Pair
♥2,♥8,♠2,♠5,♣A | Pair
♥2,♥8,♠2,♠5,♠K | Pair
♥2,♥8,♠2,♠5,♦4 | Pair
♥2,♥8,♠2,♠5,♠4 | Pair
♥2,♥8,♠2,♥10,♣A | Pair
♥2,♥8,♠2,♥10,♠K | Pair
♥2,♥8,♠2,♥10,♦4 | Pair
♥2,♥8,♠2,♥10,♠4 | Pair
♥2,♥8,♠2,♣A,♠K | Pair
♥2,♥8,♠2,♣A,♦4 | Pair
♥2,♥8,♠2,♣A,♠4 | Pair
♥2,♥8,♠2,♠K,♦4 | Pair
♥2,♥8,♠2,♠K,♠4 | Pair
♥2,♥8,♠2,♦4,♠4 | Two Pairs
♥2,♥8,♠5,♦4,♠4 | Pair
♥2,♥8,♥10,♦4,♠4 | Pair
♥2,♥8,♣A,♦4,♠4 | Pair
♥2,♥8,♠K,♦4,♠4 | Pair
♥2,♣J,♥4,♠2,♠5 | Pair
♥2,♣J,♥4,♠2,♥10 | Pair
♥2,♣J,♥4,♠2,♣A | Pair
♥2,♣J,♥4,♠2,♠K | Pair
♥2,♣J,♥4,♠2,♦4 | Two Pairs
♥2,♣J,♥4,♠2,♠4 | Two Pairs
♥2,♣J,♥4,♠5,♦4 | Pair
♥2,♣J,♥4,♠5,♠4 | Pair
♥2,♣J,♥4,♥10,♦4 | Pair
♥2,♣J,♥4,♥10,♠4 | Pair
♥2,♣J,♥4,♣A,♦4 | Pair
♥2,♣J,♥4,♣A,♠4 | Pair
♥2,♣J,♥4,♠K,♦4 | Pair
♥2,♣J,♥4,♠K,♠4 | Pair
♥2,♣J,♥4,♦4,♠4 | Three Of A Kind
♥2,♣J,♠2,♠5,♥10 | Pair
♥2,♣J,♠2,♠5,♣A | Pair
♥2,♣J,♠2,♠5,♠K | Pair
♥2,♣J,♠2,♠5,♦4 | Pair
♥2,♣J,♠2,♠5,♠4 | Pair
♥2,♣J,♠2,♥10,♣A | Pair
♥2,♣J,♠2,♥10,♠K | Pair
♥2,♣J,♠2,♥10,♦4 | Pair
♥2,♣J,♠2,♥10,♠4 | Pair
♥2,♣J,♠2,♣A,♠K | Pair
♥2,♣J,♠2,♣A,♦4 | Pair
♥2,♣J,♠2,♣A,♠4 | Pair
♥2,♣J,♠2,♠K,♦4 | Pair
♥2,♣J,♠2,♠K,♠4 | Pair
♥2,♣J,♠2,♦4,♠4 | Two Pairs
♥2,♣J,♠5,♦4,♠4 | Pair
♥2,♣J,♥10,♦4,♠4 | Pair
♥2,♣J,♣A,♦4,♠4 | Pair
♥2,♣J,♠K,♦4,♠4 | Pair
♥2,♥4,♠2,♠5,♥10 | Pair
♥2,♥4,♠2,♠5,♣A | Pair
♥2,♥4,♠2,♠5,♠K | Pair
♥2,♥4,♠2,♠5,♦4 | Two Pairs
♥2,♥4,♠2,♠5,♠4 | Two Pairs
♥2,♥4,♠2,♥10,♣A | Pair
♥2,♥4,♠2,♥10,♠K | Pair
♥2,♥4,♠2,♥10,♦4 | Two Pairs
♥2,♥4,♠2,♥10,♠4 | Two Pairs
♥2,♥4,♠2,♣A,♠K | Pair
♥2,♥4,♠2,♣A,♦4 | Two Pairs
♥2,♥4,♠2,♣A,♠4 | Two Pairs
♥2,♥4,♠2,♠K,♦4 | Two Pairs
♥2,♥4,♠2,♠K,♠4 | Two Pairs
♥2,♥4,♠2,♦4,♠4 | Full House
♥2,♥4,♠5,♥10,♦4 | Pair
♥2,♥4,♠5,♥10,♠4 | Pair
♥2,♥4,♠5,♣A,♦4 | Pair
♥2,♥4,♠5,♣A,♠4 | Pair
♥2,♥4,♠5,♠K,♦4 | Pair
♥2,♥4,♠5,♠K,♠4 | Pair
♥2,♥4,♠5,♦4,♠4 | Three Of A Kind
♥2,♥4,♥10,♣A,♦4 | Pair
♥2,♥4,♥10,♣A,♠4 | Pair
♥2,♥4,♥10,♠K,♦4 | Pair
♥2,♥4,♥10,♠K,♠4 | Pair
♥2,♥4,♥10,♦4,♠4 | Three Of A Kind
♥2,♥4,♣A,♠K,♦4 | Pair
♥2,♥4,♣A,♠K,♠4 | Pair
♥2,♥4,♣A,♦4,♠4 | Three Of A Kind
♥2,♥4,♠K,♦4,♠4 | Three Of A Kind
♥2,♠2,♠5,♥10,♣A | Pair
♥2,♠2,♠5,♥10,♠K | Pair
♥2,♠2,♠5,♥10,♦4 | Pair
♥2,♠2,♠5,♥10,♠4 | Pair
♥2,♠2,♠5,♣A,♠K | Pair
♥2,♠2,♠5,♣A,♦4 | Pair
♥2,♠2,♠5,♣A,♠4 | Pair
♥2,♠2,♠5,♠K,♦4 | Pair
♥2,♠2,♠5,♠K,♠4 | Pair
♥2,♠2,♠5,♦4,♠4 | Two Pairs
♥2,♠2,♥10,♣A,♠K | Pair
♥2,♠2,♥10,♣A,♦4 | Pair
♥2,♠2,♥10,♣A,♠4 | Pair
♥2,♠2,♥10,♠K,♦4 | Pair
♥2,♠2,♥10,♠K,♠4 | Pair
♥2,♠2,♥10,♦4,♠4 | Two Pairs
♥2,♠2,♣A,♠K,♦4 | Pair
♥2,♠2,♣A,♠K,♠4 | Pair
♥2,♠2,♣A,♦4,♠4 | Two Pairs
♥2,♠2,♠K,♦4,♠4 | Two Pairs
♥2,♠5,♥10,♦4,♠4 | Pair
♥2,♠5,♣A,♦4,♠4 | Pair
♥2,♠5,♠K,♦4,♠4 | Pair
♥2,♥10,♣A,♦4,♠4 | Pair
♥2,♥10,♠K,♦4,♠4 | Pair
♥2,♣A,♠K,♦4,♠4 | Pair
♥7,♣9,♥8,♣J,♥10 | Straight
♥7,♣9,♥8,♥4,♦4 | Pair
♥7,♣9,♥8,♥4,♠4 | Pair
♥7,♣9,♥8,♦4,♠4 | Pair
♥7,♣9,♣J,♥4,♦4 | Pair
♥7,♣9,♣J,♥4,♠4 | Pair
♥7,♣9,♣J,♦4,♠4 | Pair
♥7,♣9,♥4,♠2,♦4 | Pair
♥7,♣9,♥4,♠2,♠4 | Pair
♥7,♣9,♥4,♠5,♦4 | Pair
♥7,♣9,♥4,♠5,♠4 | Pair
♥7,♣9,♥4,♥10,♦4 | Pair
♥7,♣9,♥4,♥10,♠4 | Pair
♥7,♣9,♥4,♣A,♦4 | Pair
♥7,♣9,♥4,♣A,♠4 | Pair
♥7,♣9,♥4,♠K,♦4 | Pair
♥7,♣9,♥4,♠K,♠4 | Pair
♥7,♣9,♥4,♦4,♠4 | Three Of A Kind
♥7,♣9,♠2,♦4,♠4 | Pair
♥7,♣9,♠5,♦4,♠4 | Pair
♥7,♣9,♥10,♦4,♠4 | Pair
♥7,♣9,♣A,♦4,♠4 | Pair
♥7,♣9,♠K,♦4,♠4 | Pair
♥7,♥8,♣J,♥4,♦4 | Pair
♥7,♥8,♣J,♥4,♠4 | Pair
♥7,♥8,♣J,♦4,♠4 | Pair
♥7,♥8,♥4,♠2,♦4 | Pair
♥7,♥8,♥4,♠2,♠4 | Pair
♥7,♥8,♥4,♠5,♦4 | Pair
♥7,♥8,♥4,♠5,♠4 | Pair
♥7,♥8,♥4,♥10,♦4 | Pair
♥7,♥8,♥4,♥10,♠4 | Pair
♥7,♥8,♥4,♣A,♦4 | Pair
♥7,♥8,♥4,♣A,♠4 | Pair
♥7,♥8,♥4,♠K,♦4 | Pair
♥7,♥8,♥4,♠K,♠4 | Pair
♥7,♥8,♥4,♦4,♠4 | Three Of A Kind
♥7,♥8,♠2,♦4,♠4 | Pair
♥7,♥8,♠5,♦4,♠4 | Pair
♥7,♥8,♥10,♦4,♠4 | Pair
♥7,♥8,♣A,♦4,♠4 | Pair
♥7,♥8,♠K,♦4,♠4 | Pair
♥7,♣J,♥4,♠2,♦4 | Pair
♥7,♣J,♥4,♠2,♠4 | Pair
♥7,♣J,♥4,♠5,♦4 | Pair
♥7,♣J,♥4,♠5,♠4 | Pair
♥7,♣J,♥4,♥10,♦4 | Pair
♥7,♣J,♥4,♥10,♠4 | Pair
♥7,♣J,♥4,♣A,♦4 | Pair
♥7,♣J,♥4,♣A,♠4 | Pair
♥7,♣J,♥4,♠K,♦4 | Pair
♥7,♣J,♥4,♠K,♠4 | Pair
♥7,♣J,♥4,♦4,♠4 | Three Of A Kind
♥7,♣J,♠2,♦4,♠4 | Pair
♥7,♣J,♠5,♦4,♠4 | Pair
♥7,♣J,♥10,♦4,♠4 | Pair
♥7,♣J,♣A,♦4,♠4 | Pair
♥7,♣J,♠K,♦4,♠4 | Pair
♥7,♥4,♠2,♠5,♦4 | Pair
♥7,♥4,♠2,♠5,♠4 | Pair
♥7,♥4,♠2,♥10,♦4 | Pair
♥7,♥4,♠2,♥10,♠4 | Pair
♥7,♥4,♠2,♣A,♦4 | Pair
♥7,♥4,♠2,♣A,♠4 | Pair
♥7,♥4,♠2,♠K,♦4 | Pair
♥7,♥4,♠2,♠K,♠4 | Pair
♥7,♥4,♠2,♦4,♠4 | Three Of A Kind
♥7,♥4,♠5,♥10,♦4 | Pair
♥7,♥4,♠5,♥10,♠4 | Pair
♥7,♥4,♠5,♣A,♦4 | Pair
♥7,♥4,♠5,♣A,♠4 | Pair
♥7,♥4,♠5,♠K,♦4 | Pair
♥7,♥4,♠5,♠K,♠4 | Pair
♥7,♥4,♠5,♦4,♠4 | Three Of A Kind
♥7,♥4,♥10,♣A,♦4 | Pair
♥7,♥4,♥10,♣A,♠4 | Pair
♥7,♥4,♥10,♠K,♦4 | Pair
♥7,♥4,♥10,♠K,♠4 | Pair
♥7,♥4,♥10,♦4,♠4 | Three Of A Kind
♥7,♥4,♣A,♠K,♦4 | Pair
♥7,♥4,♣A,♠K,♠4 | Pair
♥7,♥4,♣A,♦4,♠4 | Three Of A Kind
♥7,♥4,♠K,♦4,♠4 | Three Of A Kind
♥7,♠2,♠5,♦4,♠4 | Pair
♥7,♠2,♥10,♦4,♠4 | Pair
♥7,♠2,♣A,♦4,♠4 | Pair
♥7,♠2,♠K,♦4,♠4 | Pair
♥7,♠5,♥10,♦4,♠4 | Pair
♥7,♠5,♣A,♦4,♠4 | Pair
♥7,♠5,♠K,♦4,♠4 | Pair
♥7,♥10,♣A,♦4,♠4 | Pair
♥7,♥10,♠K,♦4,♠4 | Pair
♥7,♣A,♠K,♦4,♠4 | Pair
♣9,♥8,♣J,♥4,♦4 | Pair
♣9,♥8,♣J,♥4,♠4 | Pair
♣9,♥8,♣J,♦4,♠4 | Pair
♣9,♥8,♥4,♠2,♦4 | Pair
♣9,♥8,♥4,♠2,♠4 | Pair
♣9,♥8,♥4,♠5,♦4 | Pair
♣9,♥8,♥4,♠5,♠4 | Pair
♣9,♥8,♥4,♥10,♦4 | Pair
♣9,♥8,♥4,♥10,♠4 | Pair
♣9,♥8,♥4,♣A,♦4 | Pair
♣9,♥8,♥4,♣A,♠4 | Pair
♣9,♥8,♥4,♠K,♦4 | Pair
♣9,♥8,♥4,♠K,♠4 | Pair
♣9,♥8,♥4,♦4,♠4 | Three Of A Kind
♣9,♥8,♠2,♦4,♠4 | Pair
♣9,♥8,♠5,♦4,♠4 | Pair
♣9,♥8,♥10,♦4,♠4 | Pair
♣9,♥8,♣A,♦4,♠4 | Pair
♣9,♥8,♠K,♦4,♠4 | Pair
♣9,♣J,♥4,♠2,♦4 | Pair
♣9,♣J,♥4,♠2,♠4 | Pair
♣9,♣J,♥4,♠5,♦4 | Pair
♣9,♣J,♥4,♠5,♠4 | Pair
♣9,♣J,♥4,♥10,♦4 | Pair
♣9,♣J,♥4,♥10,♠4 | Pair
♣9,♣J,♥4,♣A,♦4 | Pair
♣9,♣J,♥4,♣A,♠4 | Pair
♣9,♣J,♥4,♠K,♦4 | Pair
♣9,♣J,♥4,♠K,♠4 | Pair
♣9,♣J,♥4,♦4,♠4 | Three Of A Kind
♣9,♣J,♠2,♦4,♠4 | Pair
♣9,♣J,♠5,♦4,♠4 | Pair
♣9,♣J,♥10,♦4,♠4 | Pair
♣9,♣J,♣A,♦4,♠4 | Pair
♣9,♣J,♠K,♦4,♠4 | Pair
♣9,♥4,♠2,♠5,♦4 | Pair
♣9,♥4,♠2,♠5,♠4 | Pair
♣9,♥4,♠2,♥10,♦4 | Pair
♣9,♥4,♠2,♥10,♠4 | Pair
♣9,♥4,♠2,♣A,♦4 | Pair
♣9,♥4,♠2,♣A,♠4 | Pair
♣9,♥4,♠2,♠K,♦4 | Pair
♣9,♥4,♠2,♠K,♠4 | Pair
♣9,♥4,♠2,♦4,♠4 | Three Of A Kind
♣9,♥4,♠5,♥10,♦4 | Pair
♣9,♥4,♠5,♥10,♠4 | Pair
♣9,♥4,♠5,♣A,♦4 | Pair
♣9,♥4,♠5,♣A,♠4 | Pair
♣9,♥4,♠5,♠K,♦4 | Pair
♣9,♥4,♠5,♠K,♠4 | Pair
♣9,♥4,♠5,♦4,♠4 | Three Of A Kind
♣9,♥4,♥10,♣A,♦4 | Pair
♣9,♥4,♥10,♣A,♠4 | Pair
♣9,♥4,♥10,♠K,♦4 | Pair
♣9,♥4,♥10,♠K,♠4 | Pair
♣9,♥4,♥10,♦4,♠4 | Three Of A Kind
♣9,♥4,♣A,♠K,♦4 | Pair
♣9,♥4,♣A,♠K,♠4 | Pair
♣9,♥4,♣A,♦4,♠4 | Three Of A Kind
♣9,♥4,♠K,♦4,♠4 | Three Of A Kind
♣9,♠2,♠5,♦4,♠4 | Pair
♣9,♠2,♥10,♦4,♠4 | Pair
♣9,♠2,♣A,♦4,♠4 | Pair
♣9,♠2,♠K,♦4,♠4 | Pair
♣9,♠5,♥10,♦4,♠4 | Pair
♣9,♠5,♣A,♦4,♠4 | Pair
♣9,♠5,♠K,♦4,♠4 | Pair
♣9,♥10,♣A,♦4,♠4 | Pair
♣9,♥10,♠K,♦4,♠4 | Pair
♣9,♣A,♠K,♦4,♠4 | Pair
♥8,♣J,♥4,♠2,♦4 | Pair
♥8,♣J,♥4,♠2,♠4 | Pair
♥8,♣J,♥4,♠5,♦4 | Pair
♥8,♣J,♥4,♠5,♠4 | Pair
♥8,♣J,♥4,♥10,♦4 | Pair
♥8,♣J,♥4,♥10,♠4 | Pair
♥8,♣J,♥4,♣A,♦4 | Pair
♥8,♣J,♥4,♣A,♠4 | Pair
♥8,♣J,♥4,♠K,♦4 | Pair
♥8,♣J,♥4,♠K,♠4 | Pair
♥8,♣J,♥4,♦4,♠4 | Three Of A Kind
♥8,♣J,♠2,♦4,♠4 | Pair
♥8,♣J,♠5,♦4,♠4 | Pair
♥8,♣J,♥10,♦4,♠4 | Pair
♥8,♣J,♣A,♦4,♠4 | Pair
♥8,♣J,♠K,♦4,♠4 | Pair
♥8,♥4,♠2,♠5,♦4 | Pair
♥8,♥4,♠2,♠5,♠4 | Pair
♥8,♥4,♠2,♥10,♦4 | Pair
♥8,♥4,♠2,♥10,♠4 | Pair
♥8,♥4,♠2,♣A,♦4 | Pair
♥8,♥4,♠2,♣A,♠4 | Pair
♥8,♥4,♠2,♠K,♦4 | Pair
♥8,♥4,♠2,♠K,♠4 | Pair
♥8,♥4,♠2,♦4,♠4 | Three Of A Kind
♥8,♥4,♠5,♥10,♦4 | Pair
♥8,♥4,♠5,♥10,♠4 | Pair
♥8,♥4,♠5,♣A,♦4 | Pair
♥8,♥4,♠5,♣A,♠4 | Pair
♥8,♥4,♠5,♠K,♦4 | Pair
♥8,♥4,♠5,♠K,♠4 | Pair
♥8,♥4,♠5,♦4,♠4 | Three Of A Kind
♥8,♥4,♥10,♣A,♦4 | Pair
♥8,♥4,♥10,♣A,♠4 | Pair
♥8,♥4,♥10,♠K,♦4 | Pair
♥8,♥4,♥10,♠K,♠4 | Pair
♥8,♥4,♥10,♦4,♠4 | Three Of A Kind
♥8,♥4,♣A,♠K,♦4 | Pair
♥8,♥4,♣A,♠K,♠4 | Pair
♥8,♥4,♣A,♦4,♠4 | Three Of A Kind
♥8,♥4,♠K,♦4,♠4 | Three Of A Kind
♥8,♠2,♠5,♦4,♠4 | Pair
♥8,♠2,♥10,♦4,♠4 | Pair
♥8,♠2,♣A,♦4,♠4 | Pair
♥8,♠2,♠K,♦4,♠4 | Pair
♥8,♠5,♥10,♦4,♠4 | Pair
♥8,♠5,♣A,♦4,♠4 | Pair
♥8,♠5,♠K,♦4,♠4 | Pair
♥8,♥10,♣A,♦4,♠4 | Pair
♥8,♥10,♠K,♦4,♠4 | Pair
♥8,♣A,♠K,♦4,♠4 | Pair
♣J,♥4,♠2,♠5,♦4 | Pair
♣J,♥4,♠2,♠5,♠4 | Pair
♣J,♥4,♠2,♥10,♦4 | Pair
♣J,♥4,♠2,♥10,♠4 | Pair
♣J,♥4,♠2,♣A,♦4 | Pair
♣J,♥4,♠2,♣A,♠4 | Pair
♣J,♥4,♠2,♠K,♦4 | Pair
♣J,♥4,♠2,♠K,♠4 | Pair
♣J,♥4,♠2,♦4,♠4 | Three Of A Kind
♣J,♥4,♠5,♥10,♦4 | Pair
♣J,♥4,♠5,♥10,♠4 | Pair
♣J,♥4,♠5,♣A,♦4 | Pair
♣J,♥4,♠5,♣A,♠4 | Pair
♣J,♥4,♠5,♠K,♦4 | Pair
♣J,♥4,♠5,♠K,♠4 | Pair
♣J,♥4,♠5,♦4,♠4 | Three Of A Kind
♣J,♥4,♥10,♣A,♦4 | Pair
♣J,♥4,♥10,♣A,♠4 | Pair
♣J,♥4,♥10,♠K,♦4 | Pair
♣J,♥4,♥10,♠K,♠4 | Pair
♣J,♥4,♥10,♦4,♠4 | Three Of A Kind
♣J,♥4,♣A,♠K,♦4 | Pair
♣J,♥4,♣A,♠K,♠4 | Pair
♣J,♥4,♣A,♦4,♠4 | Three Of A Kind
♣J,♥4,♠K,♦4,♠4 | Three Of A Kind
♣J,♠2,♠5,♦4,♠4 | Pair
♣J,♠2,♥10,♦4,♠4 | Pair
♣J,♠2,♣A,♦4,♠4 | Pair
♣J,♠2,♠K,♦4,♠4 | Pair
♣J,♠5,♥10,♦4,♠4 | Pair
♣J,♠5,♣A,♦4,♠4 | Pair
♣J,♠5,♠K,♦4,♠4 | Pair
♣J,♥10,♣A,♦4,♠4 | Pair
♣J,♥10,♠K,♦4,♠4 | Pair
♣J,♣A,♠K,♦4,♠4 | Pair
♥4,♠2,♠5,♥10,♦4 | Pair
♥4,♠2,♠5,♥10,♠4 | Pair
♥4,♠2,♠5,♣A,♦4 | Pair
♥4,♠2,♠5,♣A,♠4 | Pair
♥4,♠2,♠5,♠K,♦4 | Pair
♥4,♠2,♠5,♠K,♠4 | Pair
♥4,♠2,♠5,♦4,♠4 | Three Of A Kind
♥4,♠2,♥10,♣A,♦4 | Pair
♥4,♠2,♥10,♣A,♠4 | Pair
♥4,♠2,♥10,♠K,♦4 | Pair
♥4,♠2,♥10,♠K,♠4 | Pair
♥4,♠2,♥10,♦4,♠4 | Three Of A Kind
♥4,♠2,♣A,♠K,♦4 | Pair
♥4,♠2,♣A,♠K,♠4 | Pair
♥4,♠2,♣A,♦4,♠4 | Three Of A Kind
♥4,♠2,♠K,♦4,♠4 | Three Of A Kind
♥4,♠5,♥10,♣A,♦4 | Pair
♥4,♠5,♥10,♣A,♠4 | Pair
♥4,♠5,♥10,♠K,♦4 | Pair
♥4,♠5,♥10,♠K,♠4 | Pair
♥4,♠5,♥10,♦4,♠4 | Three Of A Kind
♥4,♠5,♣A,♠K,♦4 | Pair
♥4,♠5,♣A,♠K,♠4 | Pair
♥4,♠5,♣A,♦4,♠4 | Three Of A Kind
♥4,♠5,♠K,♦4,♠4 | Three Of A Kind
♥4,♥10,♣A,♠K,♦4 | Pair
♥4,♥10,♣A,♠K,♠4 | Pair
♥4,♥10,♣A,♦4,♠4 | Three Of A Kind
♥4,♥10,♠K,♦4,♠4 | Three Of A Kind
♥4,♣A,♠K,♦4,♠4 | Three Of A Kind
♠2,♠5,♥10,♦4,♠4 | Pair
♠2,♠5,♣A,♦4,♠4 | Pair
♠2,♠5,♠K,♦4,♠4 | Pair
♠2,♥10,♣A,♦4,♠4 | Pair
♠2,♥10,♠K,♦4,♠4 | Pair
♠2,♣A,♠K,♦4,♠4 | Pair
♠5,♥10,♣A,♦4,♠4 | Pair
♠5,♥10,♠K,♦4,♠4 | Pair
♠5,♣A,♠K,♦4,♠4 | Pair
♥10,♣A,♠K,♦4,♠4 | Pair
