♠A,♥J,♦5,♦7,♦A | Pair
♠A,♦A,♦9,♥7,♣10 | Pair
♠A,♦A,♦10,♥7,♣10 | Two Pairs
♠A,♥K,♦9,♦10,♣10 | Pair
♠A,♥K,♦10,♥7,♣10 | Pair
♠A,♦9,♦10,♥7,♣10 | Pair
♥J,♦5,♦7,♦A,♥7 | Pair
♥J,♦5,♦7,♥K,♥7 | Pair
♥J,♦5,♦7,♦9,♥7 | Pair
♥J,♦5,♦7,♦10,♥7 | Pair
♥J,♦5,♦7,♦10,♣10 | Pair
♥J,♦5,♦7,♥7,♣10 | Pair
♥J,♦5,♦A,♦10,♣10 | Pair
♥J,♦5,♥K,♦10,♣10 | Pair
♥J,♦5,♦9,♦10,♣10 | Pair
♥J,♦5,♦10,♥7,♣10 | Pair
♥J,♦7,♦A,♥K,♥7 | Pair
♥J,♦7,♦A,♦9,♥7 | Pair
♥J,♦7,♦A,♦10,♥7 | Pair
♥J,♦7,♦A,♦10,♣10 | Pair
♥J,♦7,♦A,♥7,♣10 | Pair
♥J,♦7,♥K,♦9,♥7 | Pair
♥J,♦7,♥K,♦10,♥7 | Pair
♥J,♦7,♥K,♦10,♣10 | Pair
♥J,♦7,♥K,♥7,♣10 | Pair
♥J,♦7,♦9,♦10,♥7 | Pair
♥J,♦7,♦9,♦10,♣10 | Pair
♥J,♦7,♦9,♥7,♣10 | Pair
♥J,♦7,♦10,♥7,♣10 | Two Pairs
♥J,♦A,♥K,♦10,♣10 | Pair
♥J,♦A,♦9,♦10,♣10 | Pair
♥J,♦A,♦10,♥7,♣10 | Pair
♥J,♥K,♦9,♦10,♣10 | Pair
♥J,♥K,♦10,♥7,♣10 | Pair
♥J,♦9,♦10,♥7,♣10 | Pair
♦5,♦7,♦A,♥K,♥7 | Pair
♦5,♦7,♦A,♦9,♦10 | Flush
♦5,♦7,♦A,♦9,♥7 | Pair
♦5,♦7,♦A,♦10,♥7 | Pair
♦5,♦7,♦A,♦10,♣10 | Pair
♦5,♦7,♦A,♥7,♣10 | Pair
♦5,♦7,♥K,♦9,♥7 | Pair
♦5,♦7,♥K,♦10,♥7 | Pair
♦5,♦7,♥K,♦10,♣10 | Pair
♦5,♦7,♥K,♥7,♣10 | Pair
♦5,♦7,♦9,♦10,♥7 | Pair
♦5,♦7,♦9,♦10,♣10 | Pair
♦5,♦7,♦9,♥7,♣10 | Pair
♦5,♦7,♦10,♥7,♣10 | Two Pairs
♦5,♦A,♥K,♦10,♣10 | Pair
♦5,♦A,♦9,♦10,♣10 | Pair
♦5,♦A,♦10,♥7,♣10 | Pair
♦5,♥K,♦9,♦10,♣10 | Pair
♦5,♥K,♦10,♥7,♣10 | Pair
♦5,♦9,♦10,♥7,♣10 | Pair
♦7,♦A,♥K,♦9,♥7 | Pair
♦7,♦A,♥K,♦10,♥7 | Pair
♦7,♦A,♥K,♦10,♣10 | Pair
♦7,♦A,♥K,♥7,♣10 | Pair
♦7,♦A,♦9,♦10,♥7 | Pair
♦7,♦A,♦9,♦10,♣10 | Pair
♦7,♦A,♦9,♥7,♣10 | Pair
♦7,♦A,♦10,♥7,♣10 | Two Pairs
♦7,♥K,♦9,♦10,♥7 | Pair
♦7,♥K,♦9,♦10,♣10 | Pair
♦7,♥K,♦9,♥7,♣10 | Pair
♦7,♥K,♦10,♥7,♣10 | Two Pairs
♦7,♦9,♦10,♥7,♣10 | Two Pairs
♦A,♥K,♦9,♦10,♣10 | Pair
♦A,♥K,♦10,♥7,♣10 | Pair
♦A,♦9,♦10,♥7,♣10 | Pair
♥K,♦9,♦10,♥7,♣10 | Pair
