♣Q,♣4,♥10,♥3,♦3 | Pair
♣Q,♥3,♣2,♣K,♦3 | Pair
♣Q,♥3,♣2,♦3,♠5 | Pair
♣Q,♥3,♣2,♦3,♥6 | Pair
♣Q,♥3,♦J,♣K,♦3 | Pair
♣Q,♥3,♦J,♦3,♠5 | Pair
♣Q,♥3,♦J,♦3,♥6 | Pair
♣Q,♥3,♣K,♦3,♠5 | Pair
♣Q,♥3,♣K,♦3,♥6 | Pair
♣Q,♥3,♦3,♠5,♥6 | Pair
♣Q,♥J,♥9,♣2,♦J | Pair
♣Q,♥J,♥9,♦J,♣K | Pair
♣Q,♥J,♥9,♦J,♦3 | Pair
♣Q,♥J,♥9,♦J,♠5 | Pair
♣Q,♥J,♥9,♦J,♥6 | Pair
♣Q,♥J,♣2,♦J,♣K | Pair
♣Q,♥J,♣2,♦J,♦3 | Pair
♣Q,♥J,♣2,♦J,♠5 | Pair
♣Q,♥J,♣2,♦J,♥6 | Pair
♣Q,♥J,♦J,♣K,♦3 | Pair
♣Q,♥J,♦J,♣K,♠5 | Pair
♣Q,♥J,♦J,♣K,♥6 | Pair
♣Q,♥J,♦J,♦3,♠5 | Pair
♣Q,♥J,♦J,♦3,♥6 | Pair
♣Q,♥J,♦J,♠5,♥6 | Pair
♣4,♥10,♥3,♥J,♦J | Pair
♣4,♥10,♥3,♥J,♦3 | Pair
♣4,♥10,♥3,♥9,♦3 | Pair
♣4,♥10,♥3,♣2,♦3 | Pair
♣4,♥10,♥3,♦J,♦3 | Pair
♣4,♥10,♥3,♣K,♦3 | Pair
♣4,♥10,♥3,♦3,♠5 | Pair
♣4,♥10,♥3,♦3,♥6 | Pair
♣4,♥10,♥J,♥9,♦J | Pair
♣4,♥10,♥J,♣2,♦J | Pair
♣4,♥10,♥J,♦J,♣K | Pair
♣4,♥10,♥J,♦J,♦3 | Pair
♣4,♥10,♥J,♦J,♠5 | Pair
♣4,♥10,♥J,♦J,♥6 | Pair
♣4,♥3,♥J,♥9,♦J | Pair
♣4,♥3,♥J,♥9,♦3 | Pair
♣4,♥3,♥J,♣2,♦J | Pair
♣4,♥3,♥J,♣2,♦3 | Pair
♣4,♥3,♥J,♦J,♣K | Pair
♣4,♥3,♥J,♦J,♦3 | Two Pairs
♣4,♥3,♥J,♦J,♠5 | Pair
♣4,♥3,♥J,♦J,♥6 | Pair
♣4,♥3,♥J,♣K,♦3 | Pair
♣4,♥3,♥J,♦3,♠5 | Pair
♣4,♥3,♥J,♦3,♥6 | Pair
♣4,♥3,♥9,♣2,♦3 | Pair
♣4,♥3,♥9,♦J,♦3 | Pair
♣4,♥3,♥9,♣K,♦3 | Pair
♣4,♥3,♥9,♦3,♠5 | Pair
♣4,♥3,♥9,♦3,♥6 | Pair
♣4,♥3,♣2,♦J,♦3 | Pair
♣4,♥3,♣2,♣K,♦3 | Pair
♣4,♥3,♣2,♦3,♠5 | Pair
♣4,♥3,♣2,♦3,♥6 | Pair
♣4,♥3,♣2,♠5,♥6 | Straight
♣4,♥3,♦J,♣K,♦3 | Pair
♣4,♥3,♦J,♦3,♠5 | Pair
♣4,♥3,♦J,♦3,♥6 | Pair
♣4,♥3,♣K,♦3,♠5 | Pair
♣4,♥3,♣K,♦3,♥6 | Pair
♣4,♥3,♦3,♠5,♥6 | Pair
♣4,♥J,♥9,♣2,♦J | Pair
♣4,♥J,♥9,♦J,♣K | Pair
♣4,♥J,♥9,♦J,♦3 | Pair
♣4,♥J,♥9,♦J,♠5 | Pair
♣4,♥J,♥9,♦J,♥6 | Pair
♣4,♥J,♣2,♦J,♣K | Pair
♣4,♥J,♣2,♦J,♦3 | Pair
♣4,♥J,♣2,♦J,♠5 | Pair
♣4,♥J,♣2,♦J,♥6 | Pair
♣4,♥J,♦J,♣K,♦3 | Pair
♣4,♥J,♦J,♣K,♠5 | Pair
♣4,♥J,♦J,♣K,♥6 | Pair
♣4,♥J,♦J,♦3,♠5 | Pair
♣4,♥J,♦J,♦3,♥6 | Pair
♣4,♥J,♦J,♠5,♥6 | Pair
♣4,♣2,♦3,♠5,♥6 | Straight
♥10,♥3,♥J,♥9,♦J | Pair
♥10,♥3,♥J,♥9,♦3 | Pair
♥10,♥3,♥J,♥9,♥6 | Flush
♥10,♥3,♥J,♣2,♦J | Pair
♥10,♥3,♥J,♣2,♦3 | Pair
♥10,♥3,♥J,♦J,♣K | Pair
♥10,♥3,♥J,♦J,♦3 | Two Pairs
♥10,♥3,♥J,♦J,♠5 | Pair
♥10,♥3,♥J,♦J,♥6 | Pair
♥10,♥3,♥J,♣K,♦3 | Pair
♥10,♥3,♥J,♦3,♠5 | Pair
♥10,♥3,♥J,♦3,♥6 | Pair
♥10,♥3,♥9,♣2,♦3 | Pair
♥10,♥3,♥9,♦J,♦3 | Pair
♥10,♥3,♥9,♣K,♦3 | Pair
♥10,♥3,♥9,♦3,♠5 | Pair
♥10,♥3,♥9,♦3,♥6 | Pair
♥10,♥3,♣2,♦J,♦3 | Pair
♥10,♥3,♣2,♣K,♦3 | Pair
♥10,♥3,♣2,♦3,♠5 | Pair
♥10,♥3,♣2,♦3,♥6 | Pair
♥10,♥3,♦J,♣K,♦3 | Pair
♥10,♥3,♦J,♦3,♠5 | Pair
♥10,♥3,♦J,♦3,♥6 | Pair
♥10,♥3,♣K,♦3,♠5 | Pair
♥10,♥3,♣K,♦3,♥6 | Pair
♥10,♥3,♦3,♠5,♥6 | Pair
♥10,♥J,♥9,♣2,♦J | Pair
♥10,♥J,♥9,♦J,♣K | Pair
♥10,♥J,♥9,♦J,♦3 | Pair
♥10,♥J,♥9,♦J,♠5 | Pair
♥10,♥J,♥9,♦J,♥6 | Pair
♥10,♥J,♣2,♦J,♣K | Pair
♥10,♥J,♣2,♦J,♦3 | Pair
♥10,♥J,♣2,♦J,♠5 | Pair
♥10,♥J,♣2,♦J,♥6 | Pair
♥10,♥J,♦J,♣K,♦3 | Pair
♥10,♥J,♦J,♣K,♠5 | Pair
♥10,♥J,♦J,♣K,♥6 | Pair
♥10,♥J,♦J,♦3,♠5 | Pair
♥10,♥J,♦J,♦3,♥6 | Pair
♥10,♥J,♦J,♠5,♥6 | Pair
♥3,♥J,♥9,♣2,♦J | Pair
♥3,♥J,♥9,♣2,♦3 | Pair
♥3,♥J,♥9,♦J,♣K | Pair
♥3,♥J,♥9,♦J,♦3 | Two Pairs
♥3,♥J,♥9,♦J,♠5 | Pair
♥3,♥J,♥9,♦J,♥6 | Pair
♥3,♥J,♥9,♣K,♦3 | Pair
♥3,♥J,♥9,♦3,♠5 | Pair
♥3,♥J,♥9,♦3,♥6 | Pair
♥3,♥J,♣2,♦J,♣K | Pair
♥3,♥J,♣2,♦J,♦3 | Two Pairs
♥3,♥J,♣2,♦J,♠5 | Pair
♥3,♥J,♣2,♦J,♥6 | Pair
♥3,♥J,♣2,♣K,♦3 | Pair
♥3,♥J,♣2,♦3,♠5 | Pair
♥3,♥J,♣2,♦3,♥6 | Pair
♥3,♥J,♦J,♣K,♦3 | Two Pairs
♥3,♥J,♦J,♣K,♠5 | Pair
♥3,♥J,♦J,♣K,♥6 | Pair
♥3,♥J,♦J,♦3,♠5 | Two Pairs
♥3,♥J,♦J,♦3,♥6 | Two Pairs
♥3,♥J,♦J,♠5,♥6 | Pair
♥3,♥J,♣K,♦3,♠5 | Pair
♥3,♥J,♣K,♦3,♥6 | Pair
♥3,♥J,♦3,♠5,♥6 | Pair
♥3,♥9,♣2,♦J,♦3 | Pair
♥3,♥9,♣2,♣K,♦3 | Pair
♥3,♥9,♣2,♦3,♠5 | Pair
♥3,♥9,♣2,♦3,♥6 | Pair
♥3,♥9,♦J,♣K,♦3 | Pair
♥3,♥9,♦J,♦3,♠5 | Pair
♥3,♥9,♦J,♦3,♥6 | Pair
♥3,♥9,♣K,♦3,♠5 | Pair
♥3,♥9,♣K,♦3,♥6 | Pair
♥3,♥9,♦3,♠5,♥6 | Pair
♥3,♣2,♦J,♣K,♦3 | Pair
♥3,♣2,♦J,♦3,♠5 | Pair
♥3,♣2,♦J,♦3,♥6 | Pair
♥3,♣2,♣K,♦3,♠5 | Pair
♥3,♣2,♣K,♦3,♥6 | Pair
♥3,♣2,♦3,♠5,♥6 | Pair
♥3,♦J,♣K,♦3,♠5 | Pair
♥3,♦J,♣K,♦3,♥6 | Pair
♥3,♦J,♦3,♠5,♥6 | Pair
♥3,♣K,♦3,♠5,♥6 | Pair
♥J,♥9,♣2,♦J,♣K | Pair
♥J,♥9,♣2,♦J,♦3 | Pair
♥J,♥9,♣2,♦J,♠5 | Pair
♥J,♥9,♣2,♦J,♥6 | Pair
♥J,♥9,♦J,♣K,♦3 | Pair
♥J,♥9,♦J,♣K,♠5 | Pair
♥J,♥9,♦J,♣K,♥6 | Pair
♥J,♥9,♦J,♦3,♠5 | Pair
♥J,♥9,♦J,♦3,♥6 | Pair
♥J,♥9,♦J,♠5,♥6 | Pair
♥J,♣2,♦J,♣K,♦3 | Pair
♥J,♣2,♦J,♣K,♠5 | Pair
♥J,♣2,♦J,♣K,♥6 | Pair
♥J,♣2,♦J,♦3,♠5 | Pair
♥J,♣2,♦J,♦3,♥6 | Pair
♥J,♣2,♦J,♠5,♥6 | Pair
♥J,♦J,♣K,♦3,♠5 | Pair
♥J,♦J,♣K,♦3,♥6 | Pair
♥J,♦J,♣K,♠5,♥6 | Pair
♥J,♦J,♦3,♠5,♥6 | Pair
