♣9,♥6,♥3,♠J,♦3 | Pair
♥6,♦5,♦3,♠3,♥A | Pair
♥6,♦7,♣10,♦3,♠3 | Pair
♥6,♦7,♦3,♠3,♥A | Pair
♥6,♣10,♦3,♠3,♥A | Pair
♥3,♠J,♦5,♦7,♦3 | Pair
♥3,♠J,♦5,♦7,♠3 | Pair
♥3,♠J,♦5,♣10,♦3 | Pair
♥3,♠J,♦5,♣10,♠3 | Pair
♥3,♠J,♦5,♦3,♠3 | Three Of A Kind
♥3,♠J,♦5,♦3,♥A | Pair
♥3,♠J,♦5,♠3,♥A | Pair
♥3,♠J,♦7,♣10,♦3 | Pair
♥3,♠J,♦7,♣10,♠3 | Pair
♥3,♠J,♦7,♦3,♠3 | Three Of A Kind
♥3,♠J,♦7,♦3,♥A | Pair
♥3,♠J,♦7,♠3,♥A | Pair
♥3,♠J,♣10,♦3,♠3 | Three Of A Kind
♥3,♠J,♣10,♦3,♥A | Pair
♥3,♠J,♣10,♠3,♥A | Pair
♥3,♠J,♦3,♠3,♥A | Three Of A Kind
♥3,♦5,♦7,♣10,♦3 | Pair
♥3,♦5,♦7,♣10,♠3 | Pair
♥3,♦5,♦7,♦3,♠3 | Three Of A Kind
♥3,♦5,♦7,♦3,♥A | Pair
♥3,♦5,♦7,♠3,♥A | Pair
♥3,♦5,♣10,♦3,♠3 | Three Of A Kind
♥3,♦5,♣10,♦3,♥A | Pair
♥3,♦5,♣10,♠3,♥A | Pair
♥3,♦5,♦3,♠3,♥A | Three Of A Kind
♥3,♦7,♣10,♦3,♠3 | Three Of A Kind
♥3,♦7,♣10,♦3,♥A | Pair
♥3,♦7,♣10,♠3,♥A | Pair
♥3,♦7,♦3,♠3,♥A | Three Of A Kind
♥3,♣10,♦3,♠3,♥A | Three Of A Kind
♠J,♦5,♦7,♦3,♠3 | Pair
♠J,♦5,♣10,♦3,♠3 | Pair
♠J,♦5,♦3,♠3,♥A | Pair
♠J,♦7,♣10,♦3,♠3 | Pair
♠J,♦7,♦3,♠3,♥A | Pair
♠J,♣10,♦3,♠3,♥A | Pair
♦5,♦7,♣10,♦3,♠3 | Pair
♦5,♦7,♦3,♠3,♥A | Pair
♦5,♣10,♦3,♠3,♥A | Pair
♦7,♣10,♦3,♠3,♥A | Pair
