♠K,♠8,♣9,♠5,♥K | Pair
♠K,♠8,♠7,♣7,♥K | Two Pairs
♠K,♠8,♠7,♣7,♣K | Two Pairs
♠K,♠8,♠7,♣7,♥9 | Pair
♠K,♠8,♠7,♣7,♥6 | Pair
♠K,♠8,♠7,♣7,♣8 | Two Pairs
♠K,♠8,♠7,♣7,♥7 | Three Of A Kind
♠K,♠8,♠7,♣7,♦8 | Two Pairs
♠K,♠8,♠7,♥K,♣K | Three Of A Kind
♠K,♠8,♠7,♥K,♥9 | Pair
♠K,♠8,♠7,♥K,♥6 | Pair
♠K,♠8,♠7,♥K,♣8 | Two Pairs
♠K,♠8,♠7,♥K,♥7 | Two Pairs
♠K,♠8,♠7,♥K,♦8 | Two Pairs
♠K,♠8,♠7,♣K,♥9 | Pair
♠K,♠8,♠7,♣K,♥6 | Pair
♠K,♠8,♠7,♣K,♣8 | Two Pairs
♠K,♠8,♠7,♣K,♥7 | Two Pairs
♠K,♠8,♠7,♣K,♦8 | Two Pairs
♠K,♠8,♠7,♥9,♣8 | Pair
♠K,♠8,♠7,♥9,♥7 | Pair
♠K,♠8,♠7,♥9,♦8 | Pair
♠K,♠8,♠7,♥6,♣8 | Pair
♠K,♠8,♠7,♥6,♥7 | Pair
♠K,♠8,♠7,♥6,♦8 | Pair
♠K,♠8,♠7,♣8,♥7 | Two Pairs
♠K,♠8,♠7,♣8,♦8 | Three Of A Kind
♠K,♠8,♠7,♥7,♦8 | Two Pairs
♠K,♠8,♣4,♣7,♥K | Pair
♠K,♠8,♣4,♣7,♣K | Pair
♠K,♠8,♣4,♣7,♣8 | Pair
♠K,♠8,♣4,♣7,♥7 | Pair
♠K,♠8,♣4,♣7,♦8 | Pair
♠K,♠8,♣4,♥K,♣K | Three Of A Kind
♠K,♠8,♣4,♥K,♥9 | Pair
♠K,♠8,♣4,♥K,♥6 | Pair
♠K,♠8,♣4,♥K,♣8 | Two Pairs
♠K,♠8,♣4,♥K,♥7 | Pair
♠K,♠8,♣4,♥K,♦8 | Two Pairs
♠K,♠8,♣4,♣K,♥9 | Pair
♠K,♠8,♣4,♣K,♥6 | Pair
♠K,♠8,♣4,♣K,♣8 | Two Pairs
♠K,♠8,♣4,♣K,♥7 | Pair
♠K,♠8,♣4,♣K,♦8 | Two Pairs
♠K,♠8,♣4,♥9,♣8 | Pair
♠K,♠8,♣4,♥9,♦8 | Pair
♠K,♠8,♣4,♥6,♣8 | Pair
♠K,♠8,♣4,♥6,♦8 | Pair
♠K,♠8,♣4,♣8,♥7 | Pair
♠K,♠8,♣4,♣8,♦8 | Three Of A Kind
♠K,♠8,♣4,♥7,♦8 | Pair
♠K,♠8,♣7,♥K,♣K | Three Of A Kind
♠K,♠8,♣7,♥K,♥9 | Pair
♠K,♠8,♣7,♥K,♥6 | Pair
♠K,♠8,♣7,♥K,♣8 | Two Pairs
♠K,♠8,♣7,♥K,♥7 | Two Pairs
♠K,♠8,♣7,♥K,♦8 | Two Pairs
♠K,♠8,♣7,♣K,♥9 | Pair
♠K,♠8,♣7,♣K,♥6 | Pair
♠K,♠8,♣7,♣K,♣8 | Two Pairs
♠K,♠8,♣7,♣K,♥7 | Two Pairs
♠K,♠8,♣7,♣K,♦8 | Two Pairs
♠K,♠8,♣7,♥9,♣8 | Pair
♠K,♠8,♣7,♥9,♥7 | Pair
♠K,♠8,♣7,♥9,♦8 | Pair
♠K,♠8,♣7,♥6,♣8 | Pair
♠K,♠8,♣7,♥6,♥7 | Pair
♠K,♠8,♣7,♥6,♦8 | Pair
♠K,♠8,♣7,♣8,♥7 | Two Pairs
♠K,♠8,♣7,♣8,♦8 | Three Of A Kind
♠K,♠8,♣7,♥7,♦8 | Two Pairs
♠K,♠8,♥K,♣K,♥9 | Three Of A Kind
♠K,♠8,♥K,♣K,♥6 | Three Of A Kind
♠K,♠8,♥K,♣K,♣8 | Full House
♠K,♠8,♥K,♣K,♥7 | Three Of A Kind
♠K,♠8,♥K,♣K,♦8 | Full House
♠K,♠8,♥K,♥9,♥6 | Pair
♠K,♠8,♥K,♥9,♣8 | Two Pairs
♠K,♠8,♥K,♥9,♥7 | Pair
♠K,♠8,♥K,♥9,♦8 | Two Pairs
♠K,♠8,♥K,♥6,♣8 | Two Pairs
♠K,♠8,♥K,♥6,♥7 | Pair
♠K,♠8,♥K,♥6,♦8 | Two Pairs
♠K,♠8,♥K,♣8,♥7 | Two Pairs
♠K,♠8,♥K,♣8,♦8 | Full House
♠K,♠8,♥K,♥7,♦8 | Two Pairs
♠K,♠8,♣K,♥9,♥6 | Pair
♠K,♠8,♣K,♥9,♣8 | Two Pairs
♠K,♠8,♣K,♥9,♥7 | Pair
♠K,♠8,♣K,♥9,♦8 | Two Pairs
♠K,♠8,♣K,♥6,♣8 | Two Pairs
♠K,♠8,♣K,♥6,♥7 | Pair
♠K,♠8,♣K,♥6,♦8 | Two Pairs
♠K,♠8,♣K,♣8,♥7 | Two Pairs
♠K,♠8,♣K,♣8,♦8 | Full House
♠K,♠8,♣K,♥7,♦8 | Two Pairs
♠K,♠8,♥9,♥6,♣8 | Pair
♠K,♠8,♥9,♥6,♦8 | Pair
♠K,♠8,♥9,♣8,♥7 | Pair
♠K,♠8,♥9,♣8,♦8 | Three Of A Kind
♠K,♠8,♥9,♥7,♦8 | Pair
♠K,♠8,♥6,♣8,♥7 | Pair
♠K,♠8,♥6,♣8,♦8 | Three Of A Kind
♠K,♠8,♥6,♥7,♦8 | Pair
♠K,♠8,♣8,♥7,♦8 | Three Of A Kind
♠K,♣9,♠5,♠7,♣7 | Pair
♠K,♣9,♠5,♠7,♥K | Pair
♠K,♣9,♠5,♠7,♣K | Pair
♠K,♣9,♠5,♠7,♥9 | Pair
♠K,♣9,♠5,♠7,♥7 | Pair
♠K,♣9,♠5,♣4,♥K | Pair
♠K,♣9,♠5,♣4,♣K | Pair
♠K,♣9,♠5,♣4,♥9 | Pair
♠K,♣9,♠5,♣7,♥K | Pair
♠K,♣9,♠5,♣7,♣K | Pair
♠K,♣9,♠5,♣7,♥9 | Pair
♠K,♣9,♠5,♣7,♥7 | Pair
♠K,♣9,♠5,♥K,♣K | Three Of A Kind
♠K,♣9,♠5,♥K,♥9 | Two Pairs
♠K,♣9,♠5,♥K,♥6 | Pair
♠K,♣9,♠5,♥K,♣8 | Pair
♠K,♣9,♠5,♥K,♥7 | Pair
♠K,♣9,♠5,♥K,♦8 | Pair
♠K,♣9,♠5,♣K,♥9 | Two Pairs
♠K,♣9,♠5,♣K,♥6 | Pair
♠K,♣9,♠5,♣K,♣8 | Pair
♠K,♣9,♠5,♣K,♥7 | Pair
♠K,♣9,♠5,♣K,♦8 | Pair
♠K,♣9,♠5,♥9,♥6 | Pair
♠K,♣9,♠5,♥9,♣8 | Pair
♠K,♣9,♠5,♥9,♥7 | Pair
♠K,♣9,♠5,♥9,♦8 | Pair
♠K,♣9,♠5,♣8,♦8 | Pair
♠K,♣9,♠7,♣4,♣7 | Pair
♠K,♣9,♠7,♣4,♥K | Pair
♠K,♣9,♠7,♣4,♣K | Pair
♠K,♣9,♠7,♣4,♥9 | Pair
♠K,♣9,♠7,♣4,♥7 | Pair
♠K,♣9,♠7,♣7,♥K | Two Pairs
♠K,♣9,♠7,♣7,♣K | Two Pairs
♠K,♣9,♠7,♣7,♥9 | Two Pairs
♠K,♣9,♠7,♣7,♥6 | Pair
♠K,♣9,♠7,♣7,♣8 | Pair
♠K,♣9,♠7,♣7,♥7 | Three Of A Kind
♠K,♣9,♠7,♣7,♦8 | Pair
♠K,♣9,♠7,♥K,♣K | Three Of A Kind
♠K,♣9,♠7,♥K,♥9 | Two Pairs
♠K,♣9,♠7,♥K,♥6 | Pair
♠K,♣9,♠7,♥K,♣8 | Pair
♠K,♣9,♠7,♥K,♥7 | Two Pairs
♠K,♣9,♠7,♥K,♦8 | Pair
♠K,♣9,♠7,♣K,♥9 | Two Pairs
♠K,♣9,♠7,♣K,♥6 | Pair
♠K,♣9,♠7,♣K,♣8 | Pair
♠K,♣9,♠7,♣K,♥7 | Two Pairs
♠K,♣9,♠7,♣K,♦8 | Pair
♠K,♣9,♠7,♥9,♥6 | Pair
♠K,♣9,♠7,♥9,♣8 | Pair
♠K,♣9,♠7,♥9,♥7 | Two Pairs
♠K,♣9,♠7,♥9,♦8 | Pair
♠K,♣9,♠7,♥6,♥7 | Pair
♠K,♣9,♠7,♣8,♥7 | Pair
♠K,♣9,♠7,♣8,♦8 | Pair
♠K,♣9,♠7,♥7,♦8 | Pair
♠K,♣9,♣4,♣7,♥K | Pair
♠K,♣9,♣4,♣7,♣K | Pair
♠K,♣9,♣4,♣7,♥9 | Pair
♠K,♣9,♣4,♣7,♥7 | Pair
♠K,♣9,♣4,♥K,♣K | Three Of A Kind
♠K,♣9,♣4,♥K,♥9 | Two Pairs
♠K,♣9,♣4,♥K,♥6 | Pair
♠K,♣9,♣4,♥K,♣8 | Pair
♠K,♣9,♣4,♥K,♥7 | Pair
♠K,♣9,♣4,♥K,♦8 | Pair
♠K,♣9,♣4,♣K,♥9 | Two Pairs
♠K,♣9,♣4,♣K,♥6 | Pair
♠K,♣9,♣4,♣K,♣8 | Pair
♠K,♣9,♣4,♣K,♥7 | Pair
♠K,♣9,♣4,♣K,♦8 | Pair
♠K,♣9,♣4,♥9,♥6 | Pair
♠K,♣9,♣4,♥9,♣8 | Pair
♠K,♣9,♣4,♥9,♥7 | Pair
♠K,♣9,♣4,♥9,♦8 | Pair
♠K,♣9,♣4,♣8,♦8 | Pair
♠K,♣9,♣7,♥K,♣K | Three Of A Kind
♠K,♣9,♣7,♥K,♥9 | Two Pairs
♠K,♣9,♣7,♥K,♥6 | Pair
♠K,♣9,♣7,♥K,♣8 | Pair
♠K,♣9,♣7,♥K,♥7 | Two Pairs
♠K,♣9,♣7,♥K,♦8 | Pair
♠K,♣9,♣7,♣K,♥9 | Two Pairs
♠K,♣9,♣7,♣K,♥6 | Pair
♠K,♣9,♣7,♣K,♣8 | Pair
♠K,♣9,♣7,♣K,♥7 | Two Pairs
♠K,♣9,♣7,♣K,♦8 | Pair
♠K,♣9,♣7,♥9,♥6 | Pair
♠K,♣9,♣7,♥9,♣8 | Pair
♠K,♣9,♣7,♥9,♥7 | Two Pairs
♠K,♣9,♣7,♥9,♦8 | Pair
♠K,♣9,♣7,♥6,♥7 | Pair
♠K,♣9,♣7,♣8,♥7 | Pair
♠K,♣9,♣7,♣8,♦8 | Pair
♠K,♣9,♣7,♥7,♦8 | Pair
♠K,♣9,♥K,♣K,♥9 | Full House
♠K,♣9,♥K,♣K,♥6 | Three Of A Kind
♠K,♣9,♥K,♣K,♣8 | Three Of A Kind
♠K,♣9,♥K,♣K,♥7 | Three Of A Kind
♠K,♣9,♥K,♣K,♦8 | Three Of A Kind
♠K,♣9,♥K,♥9,♥6 | Two Pairs
♠K,♣9,♥K,♥9,♣8 | Two Pairs
♠K,♣9,♥K,♥9,♥7 | Two Pairs
♠K,♣9,♥K,♥9,♦8 | Two Pairs
♠K,♣9,♥K,♥6,♣8 | Pair
♠K,♣9,♥K,♥6,♥7 | Pair
♠K,♣9,♥K,♥6,♦8 | Pair
♠K,♣9,♥K,♣8,♥7 | Pair
♠K,♣9,♥K,♣8,♦8 | Two Pairs
♠K,♣9,♥K,♥7,♦8 | Pair
♠K,♣9,♣K,♥9,♥6 | Two Pairs
♠K,♣9,♣K,♥9,♣8 | Two Pairs
♠K,♣9,♣K,♥9,♥7 | Two Pairs
♠K,♣9,♣K,♥9,♦8 | Two Pairs
♠K,♣9,♣K,♥6,♣8 | Pair
♠K,♣9,♣K,♥6,♥7 | Pair
♠K,♣9,♣K,♥6,♦8 | Pair
♠K,♣9,♣K,♣8,♥7 | Pair
♠K,♣9,♣K,♣8,♦8 | Two Pairs
♠K,♣9,♣K,♥7,♦8 | Pair
♠K,♣9,♥9,♥6,♣8 | Pair
♠K,♣9,♥9,♥6,♥7 | Pair
♠K,♣9,♥9,♥6,♦8 | Pair
♠K,♣9,♥9,♣8,♥7 | Pair
♠K,♣9,♥9,♣8,♦8 | Two Pairs
♠K,♣9,♥9,♥7,♦8 | Pair
♠K,♣9,♥6,♣8,♦8 | Pair
♠K,♣9,♣8,♥7,♦8 | Pair
♠K,♠5,♠7,♣4,♣7 | Pair
♠K,♠5,♠7,♣4,♥K | Pair
♠K,♠5,♠7,♣4,♣K | Pair
♠K,♠5,♠7,♣4,♥7 | Pair
♠K,♠5,♠7,♣7,♥K | Two Pairs
♠K,♠5,♠7,♣7,♣K | Two Pairs
♠K,♠5,♠7,♣7,♥9 | Pair
♠K,♠5,♠7,♣7,♥6 | Pair
♠K,♠5,♠7,♣7,♣8 | Pair
♠K,♠5,♠7,♣7,♥7 | Three Of A Kind
♠K,♠5,♠7,♣7,♦8 | Pair
♠K,♠5,♠7,♥K,♣K | Three Of A Kind
♠K,♠5,♠7,♥K,♥9 | Pair
♠K,♠5,♠7,♥K,♥6 | Pair
♠K,♠5,♠7,♥K,♣8 | Pair
♠K,♠5,♠7,♥K,♥7 | Two Pairs
♠K,♠5,♠7,♥K,♦8 | Pair
♠K,♠5,♠7,♣K,♥9 | Pair
♠K,♠5,♠7,♣K,♥6 | Pair
♠K,♠5,♠7,♣K,♣8 | Pair
♠K,♠5,♠7,♣K,♥7 | Two Pairs
♠K,♠5,♠7,♣K,♦8 | Pair
♠K,♠5,♠7,♥9,♥7 | Pair
♠K,♠5,♠7,♥6,♥7 | Pair
♠K,♠5,♠7,♣8,♥7 | Pair
♠K,♠5,♠7,♣8,♦8 | Pair
♠K,♠5,♠7,♥7,♦8 | Pair
♠K,♠5,♣4,♣7,♥K | Pair
♠K,♠5,♣4,♣7,♣K | Pair
♠K,♠5,♣4,♣7,♥7 | Pair
♠K,♠5,♣4,♥K,♣K | Three Of A Kind
♠K,♠5,♣4,♥K,♥9 | Pair
♠K,♠5,♣4,♥K,♥6 | Pair
♠K,♠5,♣4,♥K,♣8 | Pair
♠K,♠5,♣4,♥K,♥7 | Pair
♠K,♠5,♣4,♥K,♦8 | Pair
♠K,♠5,♣4,♣K,♥9 | Pair
♠K,♠5,♣4,♣K,♥6 | Pair
♠K,♠5,♣4,♣K,♣8 | Pair
♠K,♠5,♣4,♣K,♥7 | Pair
♠K,♠5,♣4,♣K,♦8 | Pair
♠K,♠5,♣4,♣8,♦8 | Pair
♠K,♠5,♣7,♥K,♣K | Three Of A Kind
♠K,♠5,♣7,♥K,♥9 | Pair
♠K,♠5,♣7,♥K,♥6 | Pair
♠K,♠5,♣7,♥K,♣8 | Pair
♠K,♠5,♣7,♥K,♥7 | Two Pairs
♠K,♠5,♣7,♥K,♦8 | Pair
♠K,♠5,♣7,♣K,♥9 | Pair
♠K,♠5,♣7,♣K,♥6 | Pair
♠K,♠5,♣7,♣K,♣8 | Pair
♠K,♠5,♣7,♣K,♥7 | Two Pairs
♠K,♠5,♣7,♣K,♦8 | Pair
♠K,♠5,♣7,♥9,♥7 | Pair
♠K,♠5,♣7,♥6,♥7 | Pair
♠K,♠5,♣7,♣8,♥7 | Pair
♠K,♠5,♣7,♣8,♦8 | Pair
♠K,♠5,♣7,♥7,♦8 | Pair
♠K,♠5,♥K,♣K,♥9 | Three Of A Kind
♠K,♠5,♥K,♣K,♥6 | Three Of A Kind
♠K,♠5,♥K,♣K,♣8 | Three Of A Kind
♠K,♠5,♥K,♣K,♥7 | Three Of A Kind
♠K,♠5,♥K,♣K,♦8 | Three Of A Kind
♠K,♠5,♥K,♥9,♥6 | Pair
♠K,♠5,♥K,♥9,♣8 | Pair
♠K,♠5,♥K,♥9,♥7 | Pair
♠K,♠5,♥K,♥9,♦8 | Pair
♠K,♠5,♥K,♥6,♣8 | Pair
♠K,♠5,♥K,♥6,♥7 | Pair
♠K,♠5,♥K,♥6,♦8 | Pair
♠K,♠5,♥K,♣8,♥7 | Pair
♠K,♠5,♥K,♣8,♦8 | Two Pairs
♠K,♠5,♥K,♥7,♦8 | Pair
♠K,♠5,♣K,♥9,♥6 | Pair
♠K,♠5,♣K,♥9,♣8 | Pair
♠K,♠5,♣K,♥9,♥7 | Pair
♠K,♠5,♣K,♥9,♦8 | Pair
♠K,♠5,♣K,♥6,♣8 | Pair
♠K,♠5,♣K,♥6,♥7 | Pair
♠K,♠5,♣K,♥6,♦8 | Pair
♠K,♠5,♣K,♣8,♥7 | Pair
♠K,♠5,♣K,♣8,♦8 | Two Pairs
♠K,♠5,♣K,♥7,♦8 | Pair
♠K,♠5,♥9,♣8,♦8 | Pair
♠K,♠5,♥6,♣8,♦8 | Pair
♠K,♠5,♣8,♥7,♦8 | Pair
♠K,♠7,♣4,♣7,♥K | Two Pairs
♠K,♠7,♣4,♣7,♣K | Two Pairs
♠K,♠7,♣4,♣7,♥9 | Pair
♠K,♠7,♣4,♣7,♥6 | Pair
♠K,♠7,♣4,♣7,♣8 | Pair
♠K,♠7,♣4,♣7,♥7 | Three Of A Kind
♠K,♠7,♣4,♣7,♦8 | Pair
♠K,♠7,♣4,♥K,♣K | Three Of A Kind
♠K,♠7,♣4,♥K,♥9 | Pair
♠K,♠7,♣4,♥K,♥6 | Pair
♠K,♠7,♣4,♥K,♣8 | Pair
♠K,♠7,♣4,♥K,♥7 | Two Pairs
♠K,♠7,♣4,♥K,♦8 | Pair
♠K,♠7,♣4,♣K,♥9 | Pair
♠K,♠7,♣4,♣K,♥6 | Pair
♠K,♠7,♣4,♣K,♣8 | Pair
♠K,♠7,♣4,♣K,♥7 | Two Pairs
♠K,♠7,♣4,♣K,♦8 | Pair
♠K,♠7,♣4,♥9,♥7 | Pair
♠K,♠7,♣4,♥6,♥7 | Pair
♠K,♠7,♣4,♣8,♥7 | Pair
♠K,♠7,♣4,♣8,♦8 | Pair
♠K,♠7,♣4,♥7,♦8 | Pair
♠K,♠7,♣7,♥K,♣K | Full House
♠K,♠7,♣7,♥K,♥9 | Two Pairs
♠K,♠7,♣7,♥K,♥6 | Two Pairs
♠K,♠7,♣7,♥K,♣8 | Two Pairs
♠K,♠7,♣7,♥K,♥7 | Full House
♠K,♠7,♣7,♥K,♦8 | Two Pairs
♠K,♠7,♣7,♣K,♥9 | Two Pairs
♠K,♠7,♣7,♣K,♥6 | Two Pairs
♠K,♠7,♣7,♣K,♣8 | Two Pairs
♠K,♠7,♣7,♣K,♥7 | Full House
♠K,♠7,♣7,♣K,♦8 | Two Pairs
♠K,♠7,♣7,♥9,♥6 | Pair
♠K,♠7,♣7,♥9,♣8 | Pair
♠K,♠7,♣7,♥9,♥7 | Three Of A Kind
♠K,♠7,♣7,♥9,♦8 | Pair
♠K,♠7,♣7,♥6,♣8 | Pair
♠K,♠7,♣7,♥6,♥7 | Three Of A Kind
♠K,♠7,♣7,♥6,♦8 | Pair
♠K,♠7,♣7,♣8,♥7 | Three Of A Kind
♠K,♠7,♣7,♣8,♦8 | Two Pairs
♠K,♠7,♣7,♥7,♦8 | Three Of A Kind
♠K,♠7,♥K,♣K,♥9 | Three Of A Kind
♠K,♠7,♥K,♣K,♥6 | Three Of A Kind
♠K,♠7,♥K,♣K,♣8 | Three Of A Kind
♠K,♠7,♥K,♣K,♥7 | Full House
♠K,♠7,♥K,♣K,♦8 | Three Of A Kind
♠K,♠7,♥K,♥9,♥6 | Pair
♠K,♠7,♥K,♥9,♣8 | Pair
♠K,♠7,♥K,♥9,♥7 | Two Pairs
♠K,♠7,♥K,♥9,♦8 | Pair
♠K,♠7,♥K,♥6,♣8 | Pair
♠K,♠7,♥K,♥6,♥7 | Two Pairs
♠K,♠7,♥K,♥6,♦8 | Pair
♠K,♠7,♥K,♣8,♥7 | Two Pairs
♠K,♠7,♥K,♣8,♦8 | Two Pairs
♠K,♠7,♥K,♥7,♦8 | Two Pairs
♠K,♠7,♣K,♥9,♥6 | Pair
♠K,♠7,♣K,♥9,♣8 | Pair
♠K,♠7,♣K,♥9,♥7 | Two Pairs
♠K,♠7,♣K,♥9,♦8 | Pair
♠K,♠7,♣K,♥6,♣8 | Pair
♠K,♠7,♣K,♥6,♥7 | Two Pairs
♠K,♠7,♣K,♥6,♦8 | Pair
♠K,♠7,♣K,♣8,♥7 | Two Pairs
♠K,♠7,♣K,♣8,♦8 | Two Pairs
♠K,♠7,♣K,♥7,♦8 | Two Pairs
♠K,♠7,♥9,♥6,♥7 | Pair
♠K,♠7,♥9,♣8,♥7 | Pair
♠K,♠7,♥9,♣8,♦8 | Pair
♠K,♠7,♥9,♥7,♦8 | Pair
♠K,♠7,♥6,♣8,♥7 | Pair
♠K,♠7,♥6,♣8,♦8 | Pair
♠K,♠7,♥6,♥7,♦8 | Pair
♠K,♠7,♣8,♥7,♦8 | Two Pairs
♠K,♣4,♣7,♥K,♣K | Three Of A Kind
♠K,♣4,♣7,♥K,♥9 | Pair
♠K,♣4,♣7,♥K,♥6 | Pair
♠K,♣4,♣7,♥K,♣8 | Pair
♠K,♣4,♣7,♥K,♥7 | Two Pairs
♠K,♣4,♣7,♥K,♦8 | Pair
♠K,♣4,♣7,♣K,♥9 | Pair
♠K,♣4,♣7,♣K,♥6 | Pair
♠K,♣4,♣7,♣K,♣8 | Pair
♠K,♣4,♣7,♣K,♥7 | Two Pairs
♠K,♣4,♣7,♣K,♦8 | Pair
♠K,♣4,♣7,♥9,♥7 | Pair
♠K,♣4,♣7,♥6,♥7 | Pair
♠K,♣4,♣7,♣8,♥7 | Pair
♠K,♣4,♣7,♣8,♦8 | Pair
♠K,♣4,♣7,♥7,♦8 | Pair
♠K,♣4,♥K,♣K,♥9 | Three Of A Kind
♠K,♣4,♥K,♣K,♥6 | Three Of A Kind
♠K,♣4,♥K,♣K,♣8 | Three Of A Kind
♠K,♣4,♥K,♣K,♥7 | Three Of A Kind
♠K,♣4,♥K,♣K,♦8 | Three Of A Kind
♠K,♣4,♥K,♥9,♥6 | Pair
♠K,♣4,♥K,♥9,♣8 | Pair
♠K,♣4,♥K,♥9,♥7 | Pair
♠K,♣4,♥K,♥9,♦8 | Pair
♠K,♣4,♥K,♥6,♣8 | Pair
♠K,♣4,♥K,♥6,♥7 | Pair
♠K,♣4,♥K,♥6,♦8 | Pair
♠K,♣4,♥K,♣8,♥7 | Pair
♠K,♣4,♥K,♣8,♦8 | Two Pairs
♠K,♣4,♥K,♥7,♦8 | Pair
♠K,♣4,♣K,♥9,♥6 | Pair
♠K,♣4,♣K,♥9,♣8 | Pair
♠K,♣4,♣K,♥9,♥7 | Pair
♠K,♣4,♣K,♥9,♦8 | Pair
♠K,♣4,♣K,♥6,♣8 | Pair
♠K,♣4,♣K,♥6,♥7 | Pair
♠K,♣4,♣K,♥6,♦8 | Pair
♠K,♣4,♣K,♣8,♥7 | Pair
♠K,♣4,♣K,♣8,♦8 | Two Pairs
♠K,♣4,♣K,♥7,♦8 | Pair
♠K,♣4,♥9,♣8,♦8 | Pair
♠K,♣4,♥6,♣8,♦8 | Pair
♠K,♣4,♣8,♥7,♦8 | Pair
♠K,♣7,♥K,♣K,♥9 | Three Of A Kind
♠K,♣7,♥K,♣K,♥6 | Three Of A Kind
♠K,♣7,♥K,♣K,♣8 | Three Of A Kind
♠K,♣7,♥K,♣K,♥7 | Full House
♠K,♣7,♥K,♣K,♦8 | Three Of A Kind
♠K,♣7,♥K,♥9,♥6 | Pair
♠K,♣7,♥K,♥9,♣8 | Pair
♠K,♣7,♥K,♥9,♥7 | Two Pairs
♠K,♣7,♥K,♥9,♦8 | Pair
♠K,♣7,♥K,♥6,♣8 | Pair
♠K,♣7,♥K,♥6,♥7 | Two Pairs
♠K,♣7,♥K,♥6,♦8 | Pair
