♦J,♠2,♠3,♠8,♥J | Pair
♦J,♣3,♣2,♥4,♥2 | Pair
♠2,♠3,♠8,♦K,♥K | Pair
♠2,♠3,♠8,♦K,♣3 | Pair
♠2,♠3,♠8,♦K,♣2 | Pair
♠2,♠3,♠8,♦K,♥2 | Pair
♠2,♠3,♠8,♥5,♣3 | Pair
♠2,♠3,♠8,♥5,♣2 | Pair
♠2,♠3,♠8,♥5,♥2 | Pair
♠2,♠3,♠8,♥J,♣3 | Pair
♠2,♠3,♠8,♥J,♣2 | Pair
♠2,♠3,♠8,♥J,♥2 | Pair
♠2,♠3,♠8,♥K,♣3 | Pair
♠2,♠3,♠8,♥K,♣2 | Pair
♠2,♠3,♠8,♥K,♥2 | Pair
♠2,♠3,♠8,♣3,♣2 | Two Pairs
♠2,♠3,♠8,♣3,♥4 | Pair
♠2,♠3,♠8,♣3,♥2 | Two Pairs
♠2,♠3,♠8,♣2,♥4 | Pair
♠2,♠3,♠8,♣2,♥2 | Three Of A Kind
♠2,♠3,♠8,♥4,♥2 | Pair
♠2,♠3,♦K,♥5,♥K | Pair
♠2,♠3,♦K,♥5,♣3 | Pair
♠2,♠3,♦K,♥5,♣2 | Pair
♠2,♠3,♦K,♥5,♥2 | Pair
♠2,♠3,♦K,♥J,♥K | Pair
♠2,♠3,♦K,♥J,♣3 | Pair
♠2,♠3,♦K,♥J,♣2 | Pair
♠2,♠3,♦K,♥J,♥2 | Pair
♠2,♠3,♦K,♥K,♣3 | Two Pairs
♠2,♠3,♦K,♥K,♣2 | Two Pairs
♠2,♠3,♦K,♥K,♥4 | Pair
♠2,♠3,♦K,♥K,♥2 | Two Pairs
♠2,♠3,♦K,♣3,♣2 | Two Pairs
♠2,♠3,♦K,♣3,♥4 | Pair
♠2,♠3,♦K,♣3,♥2 | Two Pairs
♠2,♠3,♦K,♣2,♥4 | Pair
♠2,♠3,♦K,♣2,♥2 | Three Of A Kind
♠2,♠3,♦K,♥4,♥2 | Pair
♠2,♠3,♥5,♥J,♣3 | Pair
♠2,♠3,♥5,♥J,♣2 | Pair
♠2,♠3,♥5,♥J,♥2 | Pair
♠2,♠3,♥5,♥K,♣3 | Pair
♠2,♠3,♥5,♥K,♣2 | Pair
♠2,♠3,♥5,♥K,♥2 | Pair
♠2,♠3,♥5,♣3,♣2 | Two Pairs
♠2,♠3,♥5,♣3,♥4 | Pair
♠2,♠3,♥5,♣3,♥2 | Two Pairs
♠2,♠3,♥5,♣2,♥4 | Pair
♠2,♠3,♥5,♣2,♥2 | Three Of A Kind
♠2,♠3,♥5,♥4,♥2 | Pair
♠2,♠3,♥J,♥K,♣3 | Pair
♠2,♠3,♥J,♥K,♣2 | Pair
♠2,♠3,♥J,♥K,♥2 | Pair
♠2,♠3,♥J,♣3,♣2 | Two Pairs
♠2,♠3,♥J,♣3,♥4 | Pair
♠2,♠3,♥J,♣3,♥2 | Two Pairs
♠2,♠3,♥J,♣2,♥4 | Pair
♠2,♠3,♥J,♣2,♥2 | Three Of A Kind
♠2,♠3,♥J,♥4,♥2 | Pair
♠2,♠3,♥K,♣3,♣2 | Two Pairs
♠2,♠3,♥K,♣3,♥4 | Pair
♠2,♠3,♥K,♣3,♥2 | Two Pairs
♠2,♠3,♥K,♣2,♥4 | Pair
♠2,♠3,♥K,♣2,♥2 | Three Of A Kind
♠2,♠3,♥K,♥4,♥2 | Pair
♠2,♠3,♣3,♣2,♥4 | Two Pairs
♠2,♠3,♣3,♣2,♥2 | Full House
♠2,♠3,♣3,♥4,♥2 | Two Pairs
♠2,♠3,♣2,♥4,♥2 | Three Of A Kind
♠2,♠8,♦K,♥5,♥K | Pair
♠2,♠8,♦K,♥5,♣2 | Pair
♠2,♠8,♦K,♥5,♥2 | Pair
♠2,♠8,♦K,♥J,♥K | Pair
♠2,♠8,♦K,♥J,♣2 | Pair
♠2,♠8,♦K,♥J,♥2 | Pair
♠2,♠8,♦K,♥K,♣3 | Pair
♠2,♠8,♦K,♥K,♣2 | Two Pairs
♠2,♠8,♦K,♥K,♥4 | Pair
♠2,♠8,♦K,♥K,♥2 | Two Pairs
♠2,♠8,♦K,♣3,♣2 | Pair
♠2,♠8,♦K,♣3,♥2 | Pair
♠2,♠8,♦K,♣2,♥4 | Pair
♠2,♠8,♦K,♣2,♥2 | Three Of A Kind
♠2,♠8,♦K,♥4,♥2 | Pair
♠2,♠8,♥5,♥J,♣2 | Pair
♠2,♠8,♥5,♥J,♥2 | Pair
♠2,♠8,♥5,♥K,♣2 | Pair
♠2,♠8,♥5,♥K,♥2 | Pair
♠2,♠8,♥5,♣3,♣2 | Pair
♠2,♠8,♥5,♣3,♥2 | Pair
♠2,♠8,♥5,♣2,♥4 | Pair
♠2,♠8,♥5,♣2,♥2 | Three Of A Kind
♠2,♠8,♥5,♥4,♥2 | Pair
♠2,♠8,♥J,♥K,♣2 | Pair
♠2,♠8,♥J,♥K,♥2 | Pair
♠2,♠8,♥J,♣3,♣2 | Pair
♠2,♠8,♥J,♣3,♥2 | Pair
♠2,♠8,♥J,♣2,♥4 | Pair
♠2,♠8,♥J,♣2,♥2 | Three Of A Kind
♠2,♠8,♥J,♥4,♥2 | Pair
♠2,♠8,♥K,♣3,♣2 | Pair
♠2,♠8,♥K,♣3,♥2 | Pair
♠2,♠8,♥K,♣2,♥4 | Pair
♠2,♠8,♥K,♣2,♥2 | Three Of A Kind
♠2,♠8,♥K,♥4,♥2 | Pair
♠2,♠8,♣3,♣2,♥4 | Pair
♠2,♠8,♣3,♣2,♥2 | Three Of A Kind
♠2,♠8,♣3,♥4,♥2 | Pair
♠2,♠8,♣2,♥4,♥2 | Three Of A Kind
♠2,♦K,♥5,♥J,♥K | Pair
♠2,♦K,♥5,♥J,♣2 | Pair
♠2,♦K,♥5,♥J,♥2 | Pair
♠2,♦K,♥5,♥K,♣3 | Pair
♠2,♦K,♥5,♥K,♣2 | Two Pairs
♠2,♦K,♥5,♥K,♥4 | Pair
♠2,♦K,♥5,♥K,♥2 | Two Pairs
♠2,♦K,♥5,♣3,♣2 | Pair
♠2,♦K,♥5,♣3,♥2 | Pair
♠2,♦K,♥5,♣2,♥4 | Pair
♠2,♦K,♥5,♣2,♥2 | Three Of A Kind
♠2,♦K,♥5,♥4,♥2 | Pair
♠2,♦K,♥J,♥K,♣3 | Pair
♠2,♦K,♥J,♥K,♣2 | Two Pairs
♠2,♦K,♥J,♥K,♥4 | Pair
♠2,♦K,♥J,♥K,♥2 | Two Pairs
♠2,♦K,♥J,♣3,♣2 | Pair
♠2,♦K,♥J,♣3,♥2 | Pair
♠2,♦K,♥J,♣2,♥4 | Pair
♠2,♦K,♥J,♣2,♥2 | Three Of A Kind
♠2,♦K,♥J,♥4,♥2 | Pair
♠2,♦K,♥K,♣3,♣2 | Two Pairs
♠2,♦K,♥K,♣3,♥4 | Pair
♠2,♦K,♥K,♣3,♥2 | Two Pairs
♠2,♦K,♥K,♣2,♥4 | Two Pairs
♠2,♦K,♥K,♣2,♥2 | Full House
♠2,♦K,♥K,♥4,♥2 | Two Pairs
♠2,♦K,♣3,♣2,♥4 | Pair
♠2,♦K,♣3,♣2,♥2 | Three Of A Kind
♠2,♦K,♣3,♥4,♥2 | Pair
♠2,♦K,♣2,♥4,♥2 | Three Of A Kind
♠2,♥5,♥J,♥K,♣2 | Pair
♠2,♥5,♥J,♥K,♥2 | Pair
♠2,♥5,♥J,♣3,♣2 | Pair
♠2,♥5,♥J,♣3,♥2 | Pair
♠2,♥5,♥J,♣2,♥4 | Pair
♠2,♥5,♥J,♣2,♥2 | Three Of A Kind
♠2,♥5,♥J,♥4,♥2 | Pair
♠2,♥5,♥K,♣3,♣2 | Pair
♠2,♥5,♥K,♣3,♥2 | Pair
♠2,♥5,♥K,♣2,♥4 | Pair
♠2,♥5,♥K,♣2,♥2 | Three Of A Kind
♠2,♥5,♥K,♥4,♥2 | Pair
♠2,♥5,♣3,♣2,♥4 | Pair
♠2,♥5,♣3,♣2,♥2 | Three Of A Kind
♠2,♥5,♣3,♥4,♥2 | Pair
♠2,♥5,♣2,♥4,♥2 | Three Of A Kind
♠2,♥J,♥K,♣3,♣2 | Pair
♠2,♥J,♥K,♣3,♥2 | Pair
♠2,♥J,♥K,♣2,♥4 | Pair
♠2,♥J,♥K,♣2,♥2 | Three Of A Kind
♠2,♥J,♥K,♥4,♥2 | Pair
♠2,♥J,♣3,♣2,♥4 | Pair
♠2,♥J,♣3,♣2,♥2 | Three Of A Kind
♠2,♥J,♣3,♥4,♥2 | Pair
♠2,♥J,♣2,♥4,♥2 | Three Of A Kind
♠2,♥K,♣3,♣2,♥4 | Pair
♠2,♥K,♣3,♣2,♥2 | Three Of A Kind
♠2,♥K,♣3,♥4,♥2 | Pair
♠2,♥K,♣2,♥4,♥2 | Three Of A Kind
♠2,♣3,♣2,♥4,♥2 | Three Of A Kind
♠3,♠8,♦K,♥5,♥K | Pair
♠3,♠8,♦K,♥5,♣3 | Pair
♠3,♠8,♦K,♥J,♥K | Pair
♠3,♠8,♦K,♥J,♣3 | Pair
♠3,♠8,♦K,♥K,♣3 | Two Pairs
♠3,♠8,♦K,♥K,♣2 | Pair
♠3,♠8,♦K,♥K,♥4 | Pair
♠3,♠8,♦K,♥K,♥2 | Pair
♠3,♠8,♦K,♣3,♣2 | Pair
♠3,♠8,♦K,♣3,♥4 | Pair
♠3,♠8,♦K,♣3,♥2 | Pair
♠3,♠8,♦K,♣2,♥2 | Pair
♠3,♠8,♥5,♥J,♣3 | Pair
♠3,♠8,♥5,♥K,♣3 | Pair
♠3,♠8,♥5,♣3,♣2 | Pair
♠3,♠8,♥5,♣3,♥4 | Pair
♠3,♠8,♥5,♣3,♥2 | Pair
♠3,♠8,♥5,♣2,♥2 | Pair
♠3,♠8,♥J,♥K,♣3 | Pair
♠3,♠8,♥J,♣3,♣2 | Pair
♠3,♠8,♥J,♣3,♥4 | Pair
♠3,♠8,♥J,♣3,♥2 | Pair
♠3,♠8,♥J,♣2,♥2 | Pair
♠3,♠8,♥K,♣3,♣2 | Pair
♠3,♠8,♥K,♣3,♥4 | Pair
♠3,♠8,♥K,♣3,♥2 | Pair
♠3,♠8,♥K,♣2,♥2 | Pair
♠3,♠8,♣3,♣2,♥4 | Pair
♠3,♠8,♣3,♣2,♥2 | Two Pairs
♠3,♠8,♣3,♥4,♥2 | Pair
♠3,♠8,♣2,♥4,♥2 | Pair
♠3,♦K,♥5,♥J,♥K | Pair
♠3,♦K,♥5,♥J,♣3 | Pair
♠3,♦K,♥5,♥K,♣3 | Two Pairs
♠3,♦K,♥5,♥K,♣2 | Pair
♠3,♦K,♥5,♥K,♥4 | Pair
♠3,♦K,♥5,♥K,♥2 | Pair
♠3,♦K,♥5,♣3,♣2 | Pair
♠3,♦K,♥5,♣3,♥4 | Pair
♠3,♦K,♥5,♣3,♥2 | Pair
♠3,♦K,♥5,♣2,♥2 | Pair
♠3,♦K,♥J,♥K,♣3 | Two Pairs
♠3,♦K,♥J,♥K,♣2 | Pair
♠3,♦K,♥J,♥K,♥4 | Pair
♠3,♦K,♥J,♥K,♥2 | Pair
♠3,♦K,♥J,♣3,♣2 | Pair
♠3,♦K,♥J,♣3,♥4 | Pair
♠3,♦K,♥J,♣3,♥2 | Pair
♠3,♦K,♥J,♣2,♥2 | Pair
♠3,♦K,♥K,♣3,♣2 | Two Pairs
♠3,♦K,♥K,♣3,♥4 | Two Pairs
♠3,♦K,♥K,♣3,♥2 | Two Pairs
♠3,♦K,♥K,♣2,♥4 | Pair
♠3,♦K,♥K,♣2,♥2 | Two Pairs
♠3,♦K,♥K,♥4,♥2 | Pair
♠3,♦K,♣3,♣2,♥4 | Pair
♠3,♦K,♣3,♣2,♥2 | Two Pairs
♠3,♦K,♣3,♥4,♥2 | Pair
♠3,♦K,♣2,♥4,♥2 | Pair
♠3,♥5,♥J,♥K,♣3 | Pair
♠3,♥5,♥J,♣3,♣2 | Pair
♠3,♥5,♥J,♣3,♥4 | Pair
♠3,♥5,♥J,♣3,♥2 | Pair
♠3,♥5,♥J,♣2,♥2 | Pair
♠3,♥5,♥K,♣3,♣2 | Pair
♠3,♥5,♥K,♣3,♥4 | Pair
♠3,♥5,♥K,♣3,♥2 | Pair
♠3,♥5,♥K,♣2,♥2 | Pair
♠3,♥5,♣3,♣2,♥4 | Pair
♠3,♥5,♣3,♣2,♥2 | Two Pairs
♠3,♥5,♣3,♥4,♥2 | Pair
♠3,♥5,♣2,♥4,♥2 | Pair
♠3,♥J,♥K,♣3,♣2 | Pair
♠3,♥J,♥K,♣3,♥4 | Pair
♠3,♥J,♥K,♣3,♥2 | Pair
♠3,♥J,♥K,♣2,♥2 | Pair
♠3,♥J,♣3,♣2,♥4 | Pair
♠3,♥J,♣3,♣2,♥2 | Two Pairs
♠3,♥J,♣3,♥4,♥2 | Pair
♠3,♥J,♣2,♥4,♥2 | Pair
♠3,♥K,♣3,♣2,♥4 | Pair
♠3,♥K,♣3,♣2,♥2 | Two Pairs
♠3,♥K,♣3,♥4,♥2 | Pair
♠3,♥K,♣2,♥4,♥2 | Pair
♠3,♣3,♣2,♥4,♥2 | Two Pairs
♠8,♦K,♥5,♥J,♥K | Pair
♠8,♦K,♥5,♥K,♣3 | Pair
♠8,♦K,♥5,♥K,♣2 | Pair
♠8,♦K,♥5,♥K,♥4 | Pair
♠8,♦K,♥5,♥K,♥2 | Pair
♠8,♦K,♥5,♣2,♥2 | Pair
♠8,♦K,♥J,♥K,♣3 | Pair
♠8,♦K,♥J,♥K,♣2 | Pair
♠8,♦K,♥J,♥K,♥4 | Pair
♠8,♦K,♥J,♥K,♥2 | Pair
♠8,♦K,♥J,♣2,♥2 | Pair
♠8,♦K,♥K,♣3,♣2 | Pair
♠8,♦K,♥K,♣3,♥4 | Pair
♠8,♦K,♥K,♣3,♥2 | Pair
♠8,♦K,♥K,♣2,♥4 | Pair
♠8,♦K,♥K,♣2,♥2 | Two Pairs
♠8,♦K,♥K,♥4,♥2 | Pair
♠8,♦K,♣3,♣2,♥2 | Pair
♠8,♦K,♣2,♥4,♥2 | Pair
♠8,♥5,♥J,♣2,♥2 | Pair
♠8,♥5,♥K,♣2,♥2 | Pair
♠8,♥5,♣3,♣2,♥2 | Pair
♠8,♥5,♣2,♥4,♥2 | Pair
♠8,♥J,♥K,♣2,♥2 | Pair
♠8,♥J,♣3,♣2,♥2 | Pair
♠8,♥J,♣2,♥4,♥2 | Pair
♠8,♥K,♣3,♣2,♥2 | Pair
♠8,♥K,♣2,♥4,♥2 | Pair
♠8,♣3,♣2,♥4,♥2 | Pair
♦K,♥5,♥J,♥K,♣3 | Pair
♦K,♥5,♥J,♥K,♣2 | Pair
♦K,♥5,♥J,♥K,♥4 | Pair
♦K,♥5,♥J,♥K,♥2 | Pair
♦K,♥5,♥J,♣2,♥2 | Pair
♦K,♥5,♥K,♣3,♣2 | Pair
♦K,♥5,♥K,♣3,♥4 | Pair
♦K,♥5,♥K,♣3,♥2 | Pair
♦K,♥5,♥K,♣2,♥4 | Pair
♦K,♥5,♥K,♣2,♥2 | Two Pairs
♦K,♥5,♥K,♥4,♥2 | Pair
♦K,♥5,♣3,♣2,♥2 | Pair
♦K,♥5,♣2,♥4,♥2 | Pair
♦K,♥J,♥K,♣3,♣2 | Pair
♦K,♥J,♥K,♣3,♥4 | Pair
♦K,♥J,♥K,♣3,♥2 | Pair
♦K,♥J,♥K,♣2,♥4 | Pair
♦K,♥J,♥K,♣2,♥2 | Two Pairs
♦K,♥J,♥K,♥4,♥2 | Pair
♦K,♥J,♣3,♣2,♥2 | Pair
♦K,♥J,♣2,♥4,♥2 | Pair
