♠J,♥7,♣10,♣2,♣J | Pair
♠J,♣10,♣2,♠Q,♠10 | Pair
♠J,♣10,♣2,♠3,♣J | Pair
♠J,♣10,♣2,♠3,♠10 | Pair
♠J,♣10,♣2,♠3,♥3 | Pair
♠J,♣10,♣2,♣J,♠10 | Two Pairs
♠J,♣10,♣2,♣J,♥3 | Pair
♠J,♣10,♣2,♣J,♠6 | Pair
♠J,♣10,♣2,♣J,♦8 | Pair
♠J,♣10,♣2,♣J,♣4 | Pair
♠J,♣10,♣2,♠10,♥3 | Pair
♠J,♣10,♣2,♠10,♠6 | Pair
♠J,♣10,♣2,♠10,♦8 | Pair
♠J,♣10,♣2,♠10,♣4 | Pair
♠J,♣10,♣Q,♠5,♠Q | Pair
♠J,♣10,♣Q,♠5,♣J | Pair
♠J,♣10,♣Q,♠5,♠10 | Pair
♠J,♣10,♣Q,♥8,♠Q | Pair
♠J,♣10,♣Q,♥8,♣J | Pair
♠J,♣10,♣Q,♥8,♠10 | Pair
♠J,♣10,♣Q,♥8,♦8 | Pair
♠J,♣10,♣Q,♠Q,♠3 | Pair
♠J,♣10,♣Q,♠Q,♣J | Two Pairs
♠J,♣10,♣Q,♠Q,♠10 | Two Pairs
♠J,♣10,♣Q,♠Q,♥3 | Pair
♠J,♣10,♣Q,♠Q,♠6 | Pair
♠J,♣10,♣Q,♠Q,♦8 | Pair
♠J,♣10,♣Q,♠Q,♣4 | Pair
♠J,♣10,♣Q,♠3,♣J | Pair
♠J,♣10,♣Q,♠3,♠10 | Pair
♠J,♣10,♣Q,♠3,♥3 | Pair
♠J,♣10,♣Q,♣J,♠10 | Two Pairs
♠J,♣10,♣Q,♣J,♥3 | Pair
♠J,♣10,♣Q,♣J,♠6 | Pair
♠J,♣10,♣Q,♣J,♦8 | Pair
♠J,♣10,♣Q,♣J,♣4 | Pair
♠J,♣10,♣Q,♠10,♥3 | Pair
♠J,♣10,♣Q,♠10,♠6 | Pair
♠J,♣10,♣Q,♠10,♦8 | Pair
♠J,♣10,♣Q,♠10,♣4 | Pair
♠J,♣10,♠5,♥8,♣J | Pair
♠J,♣10,♠5,♥8,♠10 | Pair
♠J,♣10,♠5,♥8,♦8 | Pair
♠J,♣10,♠5,♠Q,♣J | Pair
♠J,♣10,♠5,♠Q,♠10 | Pair
♠J,♣10,♠5,♠3,♣J | Pair
♠J,♣10,♠5,♠3,♠10 | Pair
♠J,♣10,♠5,♠3,♥3 | Pair
♠J,♣10,♠5,♣J,♠10 | Two Pairs
♠J,♣10,♠5,♣J,♥3 | Pair
♠J,♣10,♠5,♣J,♠6 | Pair
♠J,♣10,♠5,♣J,♦8 | Pair
♠J,♣10,♠5,♣J,♣4 | Pair
♠J,♣10,♠5,♠10,♥3 | Pair
♠J,♣10,♠5,♠10,♠6 | Pair
♠J,♣10,♠5,♠10,♦8 | Pair
♠J,♣10,♠5,♠10,♣4 | Pair
♠J,♣10,♥8,♠Q,♣J | Pair
♠J,♣10,♥8,♠Q,♠10 | Pair
♠J,♣10,♥8,♠Q,♦8 | Pair
♠J,♣10,♥8,♠3,♣J | Pair
♠J,♣10,♥8,♠3,♠10 | Pair
♠J,♣10,♥8,♠3,♥3 | Pair
♠J,♣10,♥8,♠3,♦8 | Pair
♠J,♣10,♥8,♣J,♠10 | Two Pairs
♠J,♣10,♥8,♣J,♥3 | Pair
♠J,♣10,♥8,♣J,♠6 | Pair
♠J,♣10,♥8,♣J,♦8 | Two Pairs
♠J,♣10,♥8,♣J,♣4 | Pair
♠J,♣10,♥8,♠10,♥3 | Pair
♠J,♣10,♥8,♠10,♠6 | Pair
♠J,♣10,♥8,♠10,♦8 | Two Pairs
♠J,♣10,♥8,♠10,♣4 | Pair
♠J,♣10,♥8,♥3,♦8 | Pair
♠J,♣10,♥8,♠6,♦8 | Pair
♠J,♣10,♥8,♦8,♣4 | Pair
♠J,♣10,♠Q,♠3,♣J | Pair
♠J,♣10,♠Q,♠3,♠10 | Pair
♠J,♣10,♠Q,♠3,♥3 | Pair
♠J,♣10,♠Q,♣J,♠10 | Two Pairs
♠J,♣10,♠Q,♣J,♥3 | Pair
♠J,♣10,♠Q,♣J,♠6 | Pair
♠J,♣10,♠Q,♣J,♦8 | Pair
♠J,♣10,♠Q,♣J,♣4 | Pair
♠J,♣10,♠Q,♠10,♥3 | Pair
♠J,♣10,♠Q,♠10,♠6 | Pair
♠J,♣10,♠Q,♠10,♦8 | Pair
♠J,♣10,♠Q,♠10,♣4 | Pair
♠J,♣10,♠3,♣J,♠10 | Two Pairs
♠J,♣10,♠3,♣J,♥3 | Two Pairs
♠J,♣10,♠3,♣J,♠6 | Pair
♠J,♣10,♠3,♣J,♦8 | Pair
♠J,♣10,♠3,♣J,♣4 | Pair
♠J,♣10,♠3,♠10,♥3 | Two Pairs
♠J,♣10,♠3,♠10,♠6 | Pair
♠J,♣10,♠3,♠10,♦8 | Pair
♠J,♣10,♠3,♠10,♣4 | Pair
♠J,♣10,♠3,♥3,♠6 | Pair
♠J,♣10,♠3,♥3,♦8 | Pair
♠J,♣10,♠3,♥3,♣4 | Pair
♠J,♣10,♣J,♠10,♥3 | Two Pairs
♠J,♣10,♣J,♠10,♠6 | Two Pairs
♠J,♣10,♣J,♠10,♦8 | Two Pairs
♠J,♣10,♣J,♠10,♣4 | Two Pairs
♠J,♣10,♣J,♥3,♠6 | Pair
♠J,♣10,♣J,♥3,♦8 | Pair
♠J,♣10,♣J,♥3,♣4 | Pair
♠J,♣10,♣J,♠6,♦8 | Pair
♠J,♣10,♣J,♠6,♣4 | Pair
♠J,♣10,♣J,♦8,♣4 | Pair
♠J,♣10,♠10,♥3,♠6 | Pair
♠J,♣10,♠10,♥3,♦8 | Pair
♠J,♣10,♠10,♥3,♣4 | Pair
♠J,♣10,♠10,♠6,♦8 | Pair
♠J,♣10,♠10,♠6,♣4 | Pair
♠J,♣10,♠10,♦8,♣4 | Pair
♠J,♣2,♣Q,♠5,♠Q | Pair
♠J,♣2,♣Q,♠5,♣J | Pair
♠J,♣2,♣Q,♥8,♠Q | Pair
♠J,♣2,♣Q,♥8,♣J | Pair
♠J,♣2,♣Q,♥8,♦8 | Pair
♠J,♣2,♣Q,♠Q,♠3 | Pair
♠J,♣2,♣Q,♠Q,♣J | Two Pairs
♠J,♣2,♣Q,♠Q,♠10 | Pair
♠J,♣2,♣Q,♠Q,♥3 | Pair
♠J,♣2,♣Q,♠Q,♠6 | Pair
♠J,♣2,♣Q,♠Q,♦8 | Pair
♠J,♣2,♣Q,♠Q,♣4 | Pair
♠J,♣2,♣Q,♠3,♣J | Pair
♠J,♣2,♣Q,♠3,♥3 | Pair
♠J,♣2,♣Q,♣J,♠10 | Pair
♠J,♣2,♣Q,♣J,♥3 | Pair
♠J,♣2,♣Q,♣J,♠6 | Pair
♠J,♣2,♣Q,♣J,♦8 | Pair
♠J,♣2,♣Q,♣J,♣4 | Pair
♠J,♣2,♠5,♥8,♣J | Pair
♠J,♣2,♠5,♥8,♦8 | Pair
♠J,♣2,♠5,♠Q,♣J | Pair
♠J,♣2,♠5,♠3,♣J | Pair
♠J,♣2,♠5,♠3,♥3 | Pair
♠J,♣2,♠5,♣J,♠10 | Pair
♠J,♣2,♠5,♣J,♥3 | Pair
♠J,♣2,♠5,♣J,♠6 | Pair
♠J,♣2,♠5,♣J,♦8 | Pair
♠J,♣2,♠5,♣J,♣4 | Pair
♠J,♣2,♥8,♠Q,♣J | Pair
♠J,♣2,♥8,♠Q,♦8 | Pair
♠J,♣2,♥8,♠3,♣J | Pair
♠J,♣2,♥8,♠3,♥3 | Pair
♠J,♣2,♥8,♠3,♦8 | Pair
♠J,♣2,♥8,♣J,♠10 | Pair
♠J,♣2,♥8,♣J,♥3 | Pair
♠J,♣2,♥8,♣J,♠6 | Pair
♠J,♣2,♥8,♣J,♦8 | Two Pairs
♠J,♣2,♥8,♣J,♣4 | Pair
♠J,♣2,♥8,♠10,♦8 | Pair
♠J,♣2,♥8,♥3,♦8 | Pair
♠J,♣2,♥8,♠6,♦8 | Pair
♠J,♣2,♥8,♦8,♣4 | Pair
♠J,♣2,♠Q,♠3,♣J | Pair
♠J,♣2,♠Q,♠3,♥3 | Pair
♠J,♣2,♠Q,♣J,♠10 | Pair
♠J,♣2,♠Q,♣J,♥3 | Pair
♠J,♣2,♠Q,♣J,♠6 | Pair
♠J,♣2,♠Q,♣J,♦8 | Pair
♠J,♣2,♠Q,♣J,♣4 | Pair
♠J,♣2,♠3,♣J,♠10 | Pair
♠J,♣2,♠3,♣J,♥3 | Two Pairs
♠J,♣2,♠3,♣J,♠6 | Pair
♠J,♣2,♠3,♣J,♦8 | Pair
♠J,♣2,♠3,♣J,♣4 | Pair
♠J,♣2,♠3,♠10,♥3 | Pair
♠J,♣2,♠3,♥3,♠6 | Pair
♠J,♣2,♠3,♥3,♦8 | Pair
♠J,♣2,♠3,♥3,♣4 | Pair
♠J,♣2,♣J,♠10,♥3 | Pair
♠J,♣2,♣J,♠10,♠6 | Pair
♠J,♣2,♣J,♠10,♦8 | Pair
♠J,♣2,♣J,♠10,♣4 | Pair
♠J,♣2,♣J,♥3,♠6 | Pair
♠J,♣2,♣J,♥3,♦8 | Pair
♠J,♣2,♣J,♥3,♣4 | Pair
♠J,♣2,♣J,♠6,♦8 | Pair
♠J,♣2,♣J,♠6,♣4 | Pair
♠J,♣2,♣J,♦8,♣4 | Pair
♠J,♣Q,♠5,♥8,♠Q | Pair
♠J,♣Q,♠5,♥8,♣J | Pair
♠J,♣Q,♠5,♥8,♦8 | Pair
♠J,♣Q,♠5,♠Q,♠3 | Pair
♠J,♣Q,♠5,♠Q,♣J | Two Pairs
♠J,♣Q,♠5,♠Q,♠10 | Pair
♠J,♣Q,♠5,♠Q,♥3 | Pair
♠J,♣Q,♠5,♠Q,♠6 | Pair
♠J,♣Q,♠5,♠Q,♦8 | Pair
♠J,♣Q,♠5,♠Q,♣4 | Pair
♠J,♣Q,♠5,♠3,♣J | Pair
♠J,♣Q,♠5,♠3,♥3 | Pair
♠J,♣Q,♠5,♣J,♠10 | Pair
♠J,♣Q,♠5,♣J,♥3 | Pair
♠J,♣Q,♠5,♣J,♠6 | Pair
♠J,♣Q,♠5,♣J,♦8 | Pair
♠J,♣Q,♠5,♣J,♣4 | Pair
♠J,♣Q,♥8,♠Q,♠3 | Pair
♠J,♣Q,♥8,♠Q,♣J | Two Pairs
♠J,♣Q,♥8,♠Q,♠10 | Pair
♠J,♣Q,♥8,♠Q,♥3 | Pair
♠J,♣Q,♥8,♠Q,♠6 | Pair
♠J,♣Q,♥8,♠Q,♦8 | Two Pairs
♠J,♣Q,♥8,♠Q,♣4 | Pair
♠J,♣Q,♥8,♠3,♣J | Pair
♠J,♣Q,♥8,♠3,♥3 | Pair
♠J,♣Q,♥8,♠3,♦8 | Pair
♠J,♣Q,♥8,♣J,♠10 | Pair
♠J,♣Q,♥8,♣J,♥3 | Pair
♠J,♣Q,♥8,♣J,♠6 | Pair
♠J,♣Q,♥8,♣J,♦8 | Two Pairs
♠J,♣Q,♥8,♣J,♣4 | Pair
♠J,♣Q,♥8,♠10,♦8 | Pair
♠J,♣Q,♥8,♥3,♦8 | Pair
♠J,♣Q,♥8,♠6,♦8 | Pair
♠J,♣Q,♥8,♦8,♣4 | Pair
♠J,♣Q,♠Q,♠3,♣J | Two Pairs
♠J,♣Q,♠Q,♠3,♠10 | Pair
♠J,♣Q,♠Q,♠3,♥3 | Two Pairs
♠J,♣Q,♠Q,♠3,♠6 | Pair
♠J,♣Q,♠Q,♠3,♦8 | Pair
♠J,♣Q,♠Q,♠3,♣4 | Pair
♠J,♣Q,♠Q,♣J,♠10 | Two Pairs
♠J,♣Q,♠Q,♣J,♥3 | Two Pairs
♠J,♣Q,♠Q,♣J,♠6 | Two Pairs
♠J,♣Q,♠Q,♣J,♦8 | Two Pairs
♠J,♣Q,♠Q,♣J,♣4 | Two Pairs
♠J,♣Q,♠Q,♠10,♥3 | Pair
♠J,♣Q,♠Q,♠10,♠6 | Pair
♠J,♣Q,♠Q,♠10,♦8 | Pair
♠J,♣Q,♠Q,♠10,♣4 | Pair
♠J,♣Q,♠Q,♥3,♠6 | Pair
♠J,♣Q,♠Q,♥3,♦8 | Pair
♠J,♣Q,♠Q,♥3,♣4 | Pair
♠J,♣Q,♠Q,♠6,♦8 | Pair
♠J,♣Q,♠Q,♠6,♣4 | Pair
♠J,♣Q,♠Q,♦8,♣4 | Pair
♠J,♣Q,♠3,♣J,♠10 | Pair
♠J,♣Q,♠3,♣J,♥3 | Two Pairs
♠J,♣Q,♠3,♣J,♠6 | Pair
♠J,♣Q,♠3,♣J,♦8 | Pair
♠J,♣Q,♠3,♣J,♣4 | Pair
♠J,♣Q,♠3,♠10,♥3 | Pair
♠J,♣Q,♠3,♥3,♠6 | Pair
♠J,♣Q,♠3,♥3,♦8 | Pair
♠J,♣Q,♠3,♥3,♣4 | Pair
♠J,♣Q,♣J,♠10,♥3 | Pair
♠J,♣Q,♣J,♠10,♠6 | Pair
♠J,♣Q,♣J,♠10,♦8 | Pair
♠J,♣Q,♣J,♠10,♣4 | Pair
♠J,♣Q,♣J,♥3,♠6 | Pair
♠J,♣Q,♣J,♥3,♦8 | Pair
♠J,♣Q,♣J,♥3,♣4 | Pair
♠J,♣Q,♣J,♠6,♦8 | Pair
♠J,♣Q,♣J,♠6,♣4 | Pair
♠J,♣Q,♣J,♦8,♣4 | Pair
♠J,♠5,♥8,♠Q,♣J | Pair
♠J,♠5,♥8,♠Q,♦8 | Pair
♠J,♠5,♥8,♠3,♣J | Pair
♠J,♠5,♥8,♠3,♥3 | Pair
♠J,♠5,♥8,♠3,♦8 | Pair
♠J,♠5,♥8,♣J,♠10 | Pair
♠J,♠5,♥8,♣J,♥3 | Pair
♠J,♠5,♥8,♣J,♠6 | Pair
♠J,♠5,♥8,♣J,♦8 | Two Pairs
♠J,♠5,♥8,♣J,♣4 | Pair
♠J,♠5,♥8,♠10,♦8 | Pair
♠J,♠5,♥8,♥3,♦8 | Pair
♠J,♠5,♥8,♠6,♦8 | Pair
♠J,♠5,♥8,♦8,♣4 | Pair
♠J,♠5,♠Q,♠3,♣J | Pair
♠J,♠5,♠Q,♠3,♠10 | Flush
♠J,♠5,♠Q,♠3,♥3 | Pair
♠J,♠5,♠Q,♠3,♠6 | Flush
♠J,♠5,♠Q,♣J,♠10 | Pair
♠J,♠5,♠Q,♣J,♥3 | Pair
♠J,♠5,♠Q,♣J,♠6 | Pair
♠J,♠5,♠Q,♣J,♦8 | Pair
♠J,♠5,♠Q,♣J,♣4 | Pair
♠J,♠5,♠Q,♠10,♠6 | Flush
♠J,♠5,♠3,♣J,♠10 | Pair
♠J,♠5,♠3,♣J,♥3 | Two Pairs
♠J,♠5,♠3,♣J,♠6 | Pair
♠J,♠5,♠3,♣J,♦8 | Pair
♠J,♠5,♠3,♣J,♣4 | Pair
♠J,♠5,♠3,♠10,♥3 | Pair
♠J,♠5,♠3,♠10,♠6 | Flush
♠J,♠5,♠3,♥3,♠6 | Pair
♠J,♠5,♠3,♥3,♦8 | Pair
♠J,♠5,♠3,♥3,♣4 | Pair
♠J,♠5,♣J,♠10,♥3 | Pair
♠J,♠5,♣J,♠10,♠6 | Pair
♠J,♠5,♣J,♠10,♦8 | Pair
♠J,♠5,♣J,♠10,♣4 | Pair
♠J,♠5,♣J,♥3,♠6 | Pair
♠J,♠5,♣J,♥3,♦8 | Pair
♠J,♠5,♣J,♥3,♣4 | Pair
♠J,♠5,♣J,♠6,♦8 | Pair
♠J,♠5,♣J,♠6,♣4 | Pair
♠J,♠5,♣J,♦8,♣4 | Pair
♠J,♥8,♠Q,♠3,♣J | Pair
♠J,♥8,♠Q,♠3,♥3 | Pair
♠J,♥8,♠Q,♠3,♦8 | Pair
♠J,♥8,♠Q,♣J,♠10 | Pair
♠J,♥8,♠Q,♣J,♥3 | Pair
♠J,♥8,♠Q,♣J,♠6 | Pair
♠J,♥8,♠Q,♣J,♦8 | Two Pairs
♠J,♥8,♠Q,♣J,♣4 | Pair
♠J,♥8,♠Q,♠10,♦8 | Pair
♠J,♥8,♠Q,♥3,♦8 | Pair
♠J,♥8,♠Q,♠6,♦8 | Pair
♠J,♥8,♠Q,♦8,♣4 | Pair
♠J,♥8,♠3,♣J,♠10 | Pair
♠J,♥8,♠3,♣J,♥3 | Two Pairs
♠J,♥8,♠3,♣J,♠6 | Pair
♠J,♥8,♠3,♣J,♦8 | Two Pairs
♠J,♥8,♠3,♣J,♣4 | Pair
♠J,♥8,♠3,♠10,♥3 | Pair
♠J,♥8,♠3,♠10,♦8 | Pair
♠J,♥8,♠3,♥3,♠6 | Pair
♠J,♥8,♠3,♥3,♦8 | Two Pairs
♠J,♥8,♠3,♥3,♣4 | Pair
♠J,♥8,♠3,♠6,♦8 | Pair
♠J,♥8,♠3,♦8,♣4 | Pair
♠J,♥8,♣J,♠10,♥3 | Pair
♠J,♥8,♣J,♠10,♠6 | Pair
♠J,♥8,♣J,♠10,♦8 | Two Pairs
♠J,♥8,♣J,♠10,♣4 | Pair
♠J,♥8,♣J,♥3,♠6 | Pair
♠J,♥8,♣J,♥3,♦8 | Two Pairs
♠J,♥8,♣J,♥3,♣4 | Pair
♠J,♥8,♣J,♠6,♦8 | Two Pairs
♠J,♥8,♣J,♠6,♣4 | Pair
♠J,♥8,♣J,♦8,♣4 | Two Pairs
♠J,♥8,♠10,♥3,♦8 | Pair
♠J,♥8,♠10,♠6,♦8 | Pair
♠J,♥8,♠10,♦8,♣4 | Pair
♠J,♥8,♥3,♠6,♦8 | Pair
♠J,♥8,♥3,♦8,♣4 | Pair
♠J,♥8,♠6,♦8,♣4 | Pair
♠J,♠Q,♠3,♣J,♠10 | Pair
♠J,♠Q,♠3,♣J,♥3 | Two Pairs
♠J,♠Q,♠3,♣J,♠6 | Pair
♠J,♠Q,♠3,♣J,♦8 | Pair
♠J,♠Q,♠3,♣J,♣4 | Pair
♠J,♠Q,♠3,♠10,♥3 | Pair
♠J,♠Q,♠3,♠10,♠6 | Flush
♠J,♠Q,♠3,♥3,♠6 | Pair
♠J,♠Q,♠3,♥3,♦8 | Pair
♠J,♠Q,♠3,♥3,♣4 | Pair
♠J,♠Q,♣J,♠10,♥3 | Pair
♠J,♠Q,♣J,♠10,♠6 | Pair
♠J,♠Q,♣J,♠10,♦8 | Pair
♠J,♠Q,♣J,♠10,♣4 | Pair
♠J,♠Q,♣J,♥3,♠6 | Pair
♠J,♠Q,♣J,♥3,♦8 | Pair
♠J,♠Q,♣J,♥3,♣4 | Pair
♠J,♠Q,♣J,♠6,♦8 | Pair
♠J,♠Q,♣J,♠6,♣4 | Pair
♠J,♠Q,♣J,♦8,♣4 | Pair
♠J,♠3,♣J,♠10,♥3 | Two Pairs
♠J,♠3,♣J,♠10,♠6 | Pair
♠J,♠3,♣J,♠10,♦8 | Pair
♠J,♠3,♣J,♠10,♣4 | Pair
♠J,♠3,♣J,♥3,♠6 | Two Pairs
♠J,♠3,♣J,♥3,♦8 | Two Pairs
♠J,♠3,♣J,♥3,♣4 | Two Pairs
♠J,♠3,♣J,♠6,♦8 | Pair
♠J,♠3,♣J,♠6,♣4 | Pair
♠J,♠3,♣J,♦8,♣4 | Pair
♠J,♠3,♠10,♥3,♠6 | Pair
♠J,♠3,♠10,♥3,♦8 | Pair
♠J,♠3,♠10,♥3,♣4 | Pair
♠J,♠3,♥3,♠6,♦8 | Pair
♠J,♠3,♥3,♠6,♣4 | Pair
♠J,♠3,♥3,♦8,♣4 | Pair
♠J,♣J,♠10,♥3,♠6 | Pair
♠J,♣J,♠10,♥3,♦8 | Pair
♠J,♣J,♠10,♥3,♣4 | Pair
♠J,♣J,♠10,♠6,♦8 | Pair
♠J,♣J,♠10,♠6,♣4 | Pair
♠J,♣J,♠10,♦8,♣4 | Pair
♠J,♣J,♥3,♠6,♦8 | Pair
♠J,♣J,♥3,♠6,♣4 | Pair
♠J,♣J,♥3,♦8,♣4 | Pair
♠J,♣J,♠6,♦8,♣4 | Pair
♥7,♣10,♣2,♣Q,♠Q | Pair
♥7,♣10,♣2,♣Q,♠10 | Pair
♥7,♣10,♣2,♠5,♠10 | Pair
♥7,♣10,♣2,♥8,♠10 | Pair
♥7,♣10,♣2,♥8,♦8 | Pair
♥7,♣10,♣2,♠Q,♠10 | Pair
♥7,♣10,♣2,♠3,♠10 | Pair
♥7,♣10,♣2,♠3,♥3 | Pair
♥7,♣10,♣2,♣J,♠10 | Pair
♥7,♣10,♣2,♠10,♥3 | Pair
♥7,♣10,♣2,♠10,♠6 | Pair
♥7,♣10,♣2,♠10,♦8 | Pair
♥7,♣10,♣2,♠10,♣4 | Pair
♥7,♣10,♣Q,♠5,♠Q | Pair
♥7,♣10,♣Q,♠5,♠10 | Pair
♥7,♣10,♣Q,♥8,♠Q | Pair
♥7,♣10,♣Q,♥8,♠10 | Pair
♥7,♣10,♣Q,♥8,♦8 | Pair
♥7,♣10,♣Q,♠Q,♠3 | Pair
♥7,♣10,♣Q,♠Q,♣J | Pair
♥7,♣10,♣Q,♠Q,♠10 | Two Pairs
♥7,♣10,♣Q,♠Q,♥3 | Pair
♥7,♣10,♣Q,♠Q,♠6 | Pair
♥7,♣10,♣Q,♠Q,♦8 | Pair
♥7,♣10,♣Q,♠Q,♣4 | Pair
♥7,♣10,♣Q,♠3,♠10 | Pair
♥7,♣10,♣Q,♠3,♥3 | Pair
♥7,♣10,♣Q,♣J,♠10 | Pair
♥7,♣10,♣Q,♠10,♥3 | Pair
♥7,♣10,♣Q,♠10,♠6 | Pair
♥7,♣10,♣Q,♠10,♦8 | Pair
♥7,♣10,♣Q,♠10,♣4 | Pair
♥7,♣10,♠5,♥8,♠10 | Pair
♥7,♣10,♠5,♥8,♦8 | Pair
♥7,♣10,♠5,♠Q,♠10 | Pair
♥7,♣10,♠5,♠3,♠10 | Pair
♥7,♣10,♠5,♠3,♥3 | Pair
