♦8,♥4,♠4,♦9,♦7 | Pair
♥4,♦7,♥7,♥K,♦K | Two Pairs
♥4,♦7,♥7,♠2,♦K | Pair
♥4,♦7,♣10,♠K,♥K | Pair
♥4,♦7,♣10,♠K,♦K | Pair
♥4,♦7,♣10,♥2,♠2 | Pair
♥4,♦7,♣10,♥K,♦K | Pair
♥4,♦7,♠K,♥2,♥K | Pair
♥4,♦7,♠K,♥2,♠2 | Pair
♥4,♦7,♠K,♥2,♦K | Pair
♥4,♦7,♠K,♥K,♠2 | Pair
♥4,♦7,♠K,♥K,♦K | Three Of A Kind
♥4,♦7,♠K,♠2,♦K | Pair
♥4,♦7,♥2,♥K,♠2 | Pair
♥4,♦7,♥2,♥K,♦K | Pair
♥4,♦7,♥2,♠2,♦K | Pair
♥4,♦7,♥K,♠2,♦K | Pair
♥4,♥7,♣10,♠K,♥K | Pair
♥4,♥7,♣10,♠K,♦K | Pair
♥4,♥7,♣10,♥2,♠2 | Pair
♥4,♥7,♣10,♥K,♦K | Pair
♥4,♥7,♠K,♥2,♥K | Pair
♥4,♥7,♠K,♥2,♠2 | Pair
♥4,♥7,♠K,♥2,♦K | Pair
♥4,♥7,♠K,♥K,♠2 | Pair
♥4,♥7,♠K,♥K,♦K | Three Of A Kind
♥4,♥7,♠K,♠2,♦K | Pair
♥4,♥7,♥2,♥K,♠2 | Pair
♥4,♥7,♥2,♥K,♦K | Pair
♥4,♥7,♥2,♠2,♦K | Pair
♥4,♥7,♥K,♠2,♦K | Pair
♥4,♣10,♠K,♥2,♥K | Pair
♥4,♣10,♠K,♥2,♠2 | Pair
♥4,♣10,♠K,♥2,♦K | Pair
♥4,♣10,♠K,♥K,♠2 | Pair
♥4,♣10,♠K,♥K,♦K | Three Of A Kind
♥4,♣10,♠K,♠2,♦K | Pair
♥4,♣10,♥2,♥K,♠2 | Pair
♥4,♣10,♥2,♥K,♦K | Pair
♥4,♣10,♥2,♠2,♦K | Pair
♥4,♣10,♥K,♠2,♦K | Pair
♥4,♠K,♥2,♥K,♠2 | Two Pairs
♥4,♠K,♥2,♥K,♦K | Three Of A Kind
♥4,♠K,♥2,♠2,♦K | Two Pairs
♥4,♠K,♥K,♠2,♦K | Three Of A Kind
♥4,♥2,♥K,♠2,♦K | Two Pairs
♠4,♦9,♦7,♥7,♣10 | Pair
♠4,♦9,♦7,♥7,♠K | Pair
♠4,♦9,♦7,♥7,♥2 | Pair
♠4,♦9,♦7,♥7,♥K | Pair
♠4,♦9,♦7,♥7,♠2 | Pair
♠4,♦9,♦7,♥7,♦K | Pair
♠4,♦9,♦7,♠K,♥K | Pair
♠4,♦9,♦7,♠K,♦K | Pair
♠4,♦9,♦7,♥2,♠2 | Pair
♠4,♦9,♦7,♥K,♦K | Pair
♠4,♦9,♥7,♠K,♥K | Pair
♠4,♦9,♥7,♠K,♦K | Pair
♠4,♦9,♥7,♥2,♠2 | Pair
♠4,♦9,♥7,♥K,♦K | Pair
♠4,♦9,♣10,♠K,♥K | Pair
♠4,♦9,♣10,♠K,♦K | Pair
♠4,♦9,♣10,♥2,♠2 | Pair
♠4,♦9,♣10,♥K,♦K | Pair
♠4,♦9,♠K,♥2,♥K | Pair
♠4,♦9,♠K,♥2,♠2 | Pair
♠4,♦9,♠K,♥2,♦K | Pair
♠4,♦9,♠K,♥K,♠2 | Pair
♠4,♦9,♠K,♥K,♦K | Three Of A Kind
♠4,♦9,♠K,♠2,♦K | Pair
♠4,♦9,♥2,♥K,♠2 | Pair
♠4,♦9,♥2,♥K,♦K | Pair
♠4,♦9,♥2,♠2,♦K | Pair
♠4,♦9,♥K,♠2,♦K | Pair
♠4,♦7,♥7,♣10,♠K | Pair
♠4,♦7,♥7,♣10,♥2 | Pair
♠4,♦7,♥7,♣10,♥K | Pair
♠4,♦7,♥7,♣10,♠2 | Pair
♠4,♦7,♥7,♣10,♦K | Pair
♠4,♦7,♥7,♠K,♥2 | Pair
♠4,♦7,♥7,♠K,♥K | Two Pairs
♠4,♦7,♥7,♠K,♠2 | Pair
♠4,♦7,♥7,♠K,♦K | Two Pairs
♠4,♦7,♥7,♥2,♥K | Pair
♠4,♦7,♥7,♥2,♠2 | Two Pairs
♠4,♦7,♥7,♥2,♦K | Pair
♠4,♦7,♥7,♥K,♠2 | Pair
♠4,♦7,♥7,♥K,♦K | Two Pairs
♠4,♦7,♥7,♠2,♦K | Pair
♠4,♦7,♣10,♠K,♥K | Pair
♠4,♦7,♣10,♠K,♦K | Pair
♠4,♦7,♣10,♥2,♠2 | Pair
♠4,♦7,♣10,♥K,♦K | Pair
♠4,♦7,♠K,♥2,♥K | Pair
♠4,♦7,♠K,♥2,♠2 | Pair
♠4,♦7,♠K,♥2,♦K | Pair
♠4,♦7,♠K,♥K,♠2 | Pair
♠4,♦7,♠K,♥K,♦K | Three Of A Kind
♠4,♦7,♠K,♠2,♦K | Pair
♠4,♦7,♥2,♥K,♠2 | Pair
♠4,♦7,♥2,♥K,♦K | Pair
♠4,♦7,♥2,♠2,♦K | Pair
♠4,♦7,♥K,♠2,♦K | Pair
♠4,♥7,♣10,♠K,♥K | Pair
♠4,♥7,♣10,♠K,♦K | Pair
♠4,♥7,♣10,♥2,♠2 | Pair
♠4,♥7,♣10,♥K,♦K | Pair
♠4,♥7,♠K,♥2,♥K | Pair
♠4,♥7,♠K,♥2,♠2 | Pair
♠4,♥7,♠K,♥2,♦K | Pair
♠4,♥7,♠K,♥K,♠2 | Pair
♠4,♥7,♠K,♥K,♦K | Three Of A Kind
♠4,♥7,♠K,♠2,♦K | Pair
♠4,♥7,♥2,♥K,♠2 | Pair
♠4,♥7,♥2,♥K,♦K | Pair
♠4,♥7,♥2,♠2,♦K | Pair
♠4,♥7,♥K,♠2,♦K | Pair
♠4,♣10,♠K,♥2,♥K | Pair
♠4,♣10,♠K,♥2,♠2 | Pair
♠4,♣10,♠K,♥2,♦K | Pair
♠4,♣10,♠K,♥K,♠2 | Pair
♠4,♣10,♠K,♥K,♦K | Three Of A Kind
♠4,♣10,♠K,♠2,♦K | Pair
♠4,♣10,♥2,♥K,♠2 | Pair
♠4,♣10,♥2,♥K,♦K | Pair
♠4,♣10,♥2,♠2,♦K | Pair
♠4,♣10,♥K,♠2,♦K | Pair
♠4,♠K,♥2,♥K,♠2 | Two Pairs
♠4,♠K,♥2,♥K,♦K | Three Of A Kind
♠4,♠K,♥2,♠2,♦K | Two Pairs
♠4,♠K,♥K,♠2,♦K | Three Of A Kind
♠4,♥2,♥K,♠2,♦K | Two Pairs
♦9,♦7,♥7,♣10,♠K | Pair
♦9,♦7,♥7,♣10,♥2 | Pair
♦9,♦7,♥7,♣10,♥K | Pair
♦9,♦7,♥7,♣10,♠2 | Pair
♦9,♦7,♥7,♣10,♦K | Pair
♦9,♦7,♥7,♠K,♥2 | Pair
♦9,♦7,♥7,♠K,♥K | Two Pairs
♦9,♦7,♥7,♠K,♠2 | Pair
♦9,♦7,♥7,♠K,♦K | Two Pairs
♦9,♦7,♥7,♥2,♥K | Pair
♦9,♦7,♥7,♥2,♠2 | Two Pairs
♦9,♦7,♥7,♥2,♦K | Pair
♦9,♦7,♥7,♥K,♠2 | Pair
♦9,♦7,♥7,♥K,♦K | Two Pairs
♦9,♦7,♥7,♠2,♦K | Pair
♦9,♦7,♣10,♠K,♥K | Pair
♦9,♦7,♣10,♠K,♦K | Pair
♦9,♦7,♣10,♥2,♠2 | Pair
♦9,♦7,♣10,♥K,♦K | Pair
♦9,♦7,♠K,♥2,♥K | Pair
♦9,♦7,♠K,♥2,♠2 | Pair
♦9,♦7,♠K,♥2,♦K | Pair
♦9,♦7,♠K,♥K,♠2 | Pair
♦9,♦7,♠K,♥K,♦K | Three Of A Kind
♦9,♦7,♠K,♠2,♦K | Pair
♦9,♦7,♥2,♥K,♠2 | Pair
♦9,♦7,♥2,♥K,♦K | Pair
♦9,♦7,♥2,♠2,♦K | Pair
♦9,♦7,♥K,♠2,♦K | Pair
♦9,♥7,♣10,♠K,♥K | Pair
♦9,♥7,♣10,♠K,♦K | Pair
♦9,♥7,♣10,♥2,♠2 | Pair
♦9,♥7,♣10,♥K,♦K | Pair
♦9,♥7,♠K,♥2,♥K | Pair
♦9,♥7,♠K,♥2,♠2 | Pair
♦9,♥7,♠K,♥2,♦K | Pair
♦9,♥7,♠K,♥K,♠2 | Pair
♦9,♥7,♠K,♥K,♦K | Three Of A Kind
♦9,♥7,♠K,♠2,♦K | Pair
♦9,♥7,♥2,♥K,♠2 | Pair
♦9,♥7,♥2,♥K,♦K | Pair
♦9,♥7,♥2,♠2,♦K | Pair
♦9,♥7,♥K,♠2,♦K | Pair
♦9,♣10,♠K,♥2,♥K | Pair
♦9,♣10,♠K,♥2,♠2 | Pair
♦9,♣10,♠K,♥2,♦K | Pair
♦9,♣10,♠K,♥K,♠2 | Pair
♦9,♣10,♠K,♥K,♦K | Three Of A Kind
♦9,♣10,♠K,♠2,♦K | Pair
♦9,♣10,♥2,♥K,♠2 | Pair
♦9,♣10,♥2,♥K,♦K | Pair
♦9,♣10,♥2,♠2,♦K | Pair
♦9,♣10,♥K,♠2,♦K | Pair
♦9,♠K,♥2,♥K,♠2 | Two Pairs
♦9,♠K,♥2,♥K,♦K | Three Of A Kind
♦9,♠K,♥2,♠2,♦K | Two Pairs
♦9,♠K,♥K,♠2,♦K | Three Of A Kind
♦9,♥2,♥K,♠2,♦K | Two Pairs
♦7,♥7,♣10,♠K,♥2 | Pair
♦7,♥7,♣10,♠K,♥K | Two Pairs
♦7,♥7,♣10,♠K,♠2 | Pair
♦7,♥7,♣10,♠K,♦K | Two Pairs
♦7,♥7,♣10,♥2,♥K | Pair
♦7,♥7,♣10,♥2,♠2 | Two Pairs
♦7,♥7,♣10,♥2,♦K | Pair
♦7,♥7,♣10,♥K,♠2 | Pair
♦7,♥7,♣10,♥K,♦K | Two Pairs
♦7,♥7,♣10,♠2,♦K | Pair
♦7,♥7,♠K,♥2,♥K | Two Pairs
♦7,♥7,♠K,♥2,♠2 | Two Pairs
♦7,♥7,♠K,♥2,♦K | Two Pairs
♦7,♥7,♠K,♥K,♠2 | Two Pairs
♦7,♥7,♠K,♥K,♦K | Full House
♦7,♥7,♠K,♠2,♦K | Two Pairs
♦7,♥7,♥2,♥K,♠2 | Two Pairs
♦7,♥7,♥2,♥K,♦K | Two Pairs
♦7,♥7,♥2,♠2,♦K | Two Pairs
♦7,♥7,♥K,♠2,♦K | Two Pairs
♦7,♣10,♠K,♥2,♥K | Pair
♦7,♣10,♠K,♥2,♠2 | Pair
♦7,♣10,♠K,♥2,♦K | Pair
♦7,♣10,♠K,♥K,♠2 | Pair
♦7,♣10,♠K,♥K,♦K | Three Of A Kind
♦7,♣10,♠K,♠2,♦K | Pair
♦7,♣10,♥2,♥K,♠2 | Pair
♦7,♣10,♥2,♥K,♦K | Pair
♦7,♣10,♥2,♠2,♦K | Pair
♦7,♣10,♥K,♠2,♦K | Pair
♦7,♠K,♥2,♥K,♠2 | Two Pairs
♦7,♠K,♥2,♥K,♦K | Three Of A Kind
♦7,♠K,♥2,♠2,♦K | Two Pairs
♦7,♠K,♥K,♠2,♦K | Three Of A Kind
♦7,♥2,♥K,♠2,♦K | Two Pairs
♥7,♣10,♠K,♥2,♥K | Pair
♥7,♣10,♠K,♥2,♠2 | Pair
♥7,♣10,♠K,♥2,♦K | Pair
♥7,♣10,♠K,♥K,♠2 | Pair
♥7,♣10,♠K,♥K,♦K | Three Of A Kind
♥7,♣10,♠K,♠2,♦K | Pair
♥7,♣10,♥2,♥K,♠2 | Pair
♥7,♣10,♥2,♥K,♦K | Pair
♥7,♣10,♥2,♠2,♦K | Pair
♥7,♣10,♥K,♠2,♦K | Pair
♥7,♠K,♥2,♥K,♠2 | Two Pairs
♥7,♠K,♥2,♥K,♦K | Three Of A Kind
♥7,♠K,♥2,♠2,♦K | Two Pairs
♥7,♠K,♥K,♠2,♦K | Three Of A Kind
♥7,♥2,♥K,♠2,♦K | Two Pairs
♣10,♠K,♥2,♥K,♠2 | Two Pairs
♣10,♠K,♥2,♥K,♦K | Three Of A Kind
♣10,♠K,♥2,♠2,♦K | Two Pairs
♣10,♠K,♥K,♠2,♦K | Three Of A Kind
