♥6,♥K,♦6,♥8,♦10 | Pair
♥6,♦10,♥Q,♦Q,♥9 | Pair
♥6,♦10,♣9,♦4,♥9 | Pair
♥6,♦10,♣9,♦Q,♥9 | Pair
♥6,♣J,♠4,♥Q,♦4 | Pair
♥6,♣J,♠4,♥Q,♦Q | Pair
♥6,♣J,♠4,♣9,♦4 | Pair
♥6,♣J,♠4,♣9,♥9 | Pair
♥6,♣J,♠4,♦4,♦Q | Pair
♥6,♣J,♠4,♦4,♥9 | Pair
♥6,♣J,♥Q,♣9,♦Q | Pair
♥6,♣J,♥Q,♣9,♥9 | Pair
♥6,♣J,♥Q,♦4,♦Q | Pair
♥6,♣J,♥Q,♦Q,♥9 | Pair
♥6,♣J,♣9,♦4,♥9 | Pair
♥6,♣J,♣9,♦Q,♥9 | Pair
♥6,♠4,♥Q,♣9,♦4 | Pair
♥6,♠4,♥Q,♣9,♦Q | Pair
♥6,♠4,♥Q,♣9,♥9 | Pair
♥6,♠4,♥Q,♦4,♦Q | Two Pairs
♥6,♠4,♥Q,♦4,♥9 | Pair
♥6,♠4,♥Q,♦Q,♥9 | Pair
♥6,♠4,♣9,♦4,♦Q | Pair
♥6,♠4,♣9,♦4,♥9 | Two Pairs
♥6,♠4,♣9,♦Q,♥9 | Pair
♥6,♠4,♦4,♦Q,♥9 | Pair
♥6,♥Q,♣9,♦4,♦Q | Pair
♥6,♥Q,♣9,♦4,♥9 | Pair
♥6,♥Q,♣9,♦Q,♥9 | Two Pairs
♥6,♥Q,♦4,♦Q,♥9 | Pair
♥6,♣9,♦4,♦Q,♥9 | Pair
♥K,♦6,♥8,♠4,♦4 | Pair
♥K,♦6,♥8,♥Q,♦Q | Pair
♥K,♦6,♥8,♣9,♥9 | Pair
♥K,♦6,♦10,♠4,♦4 | Pair
♥K,♦6,♦10,♥Q,♦Q | Pair
♥K,♦6,♦10,♣9,♥9 | Pair
♥K,♦6,♣J,♠4,♦4 | Pair
♥K,♦6,♣J,♥Q,♦Q | Pair
♥K,♦6,♣J,♣9,♥9 | Pair
♥K,♦6,♠4,♥Q,♦4 | Pair
♥K,♦6,♠4,♥Q,♦Q | Pair
♥K,♦6,♠4,♣9,♦4 | Pair
♥K,♦6,♠4,♣9,♥9 | Pair
♥K,♦6,♠4,♦4,♦Q | Pair
♥K,♦6,♠4,♦4,♥9 | Pair
♥K,♦6,♥Q,♣9,♦Q | Pair
♥K,♦6,♥Q,♣9,♥9 | Pair
♥K,♦6,♥Q,♦4,♦Q | Pair
♥K,♦6,♥Q,♦Q,♥9 | Pair
♥K,♦6,♣9,♦4,♥9 | Pair
♥K,♦6,♣9,♦Q,♥9 | Pair
♥K,♥8,♦10,♠4,♦4 | Pair
♥K,♥8,♦10,♥Q,♦Q | Pair
♥K,♥8,♦10,♣9,♥9 | Pair
♥K,♥8,♣J,♠4,♦4 | Pair
♥K,♥8,♣J,♥Q,♦Q | Pair
♥K,♥8,♣J,♣9,♥9 | Pair
♥K,♥8,♠4,♥Q,♦4 | Pair
♥K,♥8,♠4,♥Q,♦Q | Pair
♥K,♥8,♠4,♣9,♦4 | Pair
♥K,♥8,♠4,♣9,♥9 | Pair
♥K,♥8,♠4,♦4,♦Q | Pair
♥K,♥8,♠4,♦4,♥9 | Pair
♥K,♥8,♥Q,♣9,♦Q | Pair
♥K,♥8,♥Q,♣9,♥9 | Pair
♥K,♥8,♥Q,♦4,♦Q | Pair
♥K,♥8,♥Q,♦Q,♥9 | Pair
♥K,♥8,♣9,♦4,♥9 | Pair
♥K,♥8,♣9,♦Q,♥9 | Pair
♥K,♦10,♣J,♠4,♦4 | Pair
♥K,♦10,♣J,♥Q,♣9 | Straight
♥K,♦10,♣J,♥Q,♦Q | Pair
♥K,♦10,♣J,♥Q,♥9 | Straight
♥K,♦10,♣J,♣9,♦Q | Straight
♥K,♦10,♣J,♣9,♥9 | Pair
♥K,♦10,♣J,♦Q,♥9 | Straight
♥K,♦10,♠4,♥Q,♦4 | Pair
♥K,♦10,♠4,♥Q,♦Q | Pair
♥K,♦10,♠4,♣9,♦4 | Pair
♥K,♦10,♠4,♣9,♥9 | Pair
♥K,♦10,♠4,♦4,♦Q | Pair
♥K,♦10,♠4,♦4,♥9 | Pair
♥K,♦10,♥Q,♣9,♦Q | Pair
♥K,♦10,♥Q,♣9,♥9 | Pair
♥K,♦10,♥Q,♦4,♦Q | Pair
♥K,♦10,♥Q,♦Q,♥9 | Pair
♥K,♦10,♣9,♦4,♥9 | Pair
♥K,♦10,♣9,♦Q,♥9 | Pair
♥K,♣J,♠4,♥Q,♦4 | Pair
♥K,♣J,♠4,♥Q,♦Q | Pair
♥K,♣J,♠4,♣9,♦4 | Pair
♥K,♣J,♠4,♣9,♥9 | Pair
♥K,♣J,♠4,♦4,♦Q | Pair
♥K,♣J,♠4,♦4,♥9 | Pair
♥K,♣J,♥Q,♣9,♦Q | Pair
♥K,♣J,♥Q,♣9,♥9 | Pair
♥K,♣J,♥Q,♦4,♦Q | Pair
♥K,♣J,♥Q,♦Q,♥9 | Pair
♥K,♣J,♣9,♦4,♥9 | Pair
♥K,♣J,♣9,♦Q,♥9 | Pair
♥K,♠4,♥Q,♣9,♦4 | Pair
♥K,♠4,♥Q,♣9,♦Q | Pair
♥K,♠4,♥Q,♣9,♥9 | Pair
♥K,♠4,♥Q,♦4,♦Q | Two Pairs
♥K,♠4,♥Q,♦4,♥9 | Pair
♥K,♠4,♥Q,♦Q,♥9 | Pair
♥K,♠4,♣9,♦4,♦Q | Pair
♥K,♠4,♣9,♦4,♥9 | Two Pairs
♥K,♠4,♣9,♦Q,♥9 | Pair
♥K,♠4,♦4,♦Q,♥9 | Pair
♥K,♥Q,♣9,♦4,♦Q | Pair
♥K,♥Q,♣9,♦4,♥9 | Pair
♥K,♥Q,♣9,♦Q,♥9 | Two Pairs
♥K,♥Q,♦4,♦Q,♥9 | Pair
♥K,♣9,♦4,♦Q,♥9 | Pair
♦6,♥8,♦10,♠4,♦4 | Pair
♦6,♥8,♦10,♥Q,♦Q | Pair
♦6,♥8,♦10,♣9,♥9 | Pair
♦6,♥8,♣J,♠4,♦4 | Pair
♦6,♥8,♣J,♥Q,♦Q | Pair
♦6,♥8,♣J,♣9,♥9 | Pair
♦6,♥8,♠4,♥Q,♦4 | Pair
♦6,♥8,♠4,♥Q,♦Q | Pair
♦6,♥8,♠4,♣9,♦4 | Pair
♦6,♥8,♠4,♣9,♥9 | Pair
♦6,♥8,♠4,♦4,♦Q | Pair
♦6,♥8,♠4,♦4,♥9 | Pair
♦6,♥8,♥Q,♣9,♦Q | Pair
♦6,♥8,♥Q,♣9,♥9 | Pair
♦6,♥8,♥Q,♦4,♦Q | Pair
♦6,♥8,♥Q,♦Q,♥9 | Pair
♦6,♥8,♣9,♦4,♥9 | Pair
♦6,♥8,♣9,♦Q,♥9 | Pair
♦6,♦10,♣J,♠4,♦4 | Pair
♦6,♦10,♣J,♥Q,♦Q | Pair
♦6,♦10,♣J,♣9,♥9 | Pair
♦6,♦10,♠4,♥Q,♦4 | Pair
♦6,♦10,♠4,♥Q,♦Q | Pair
♦6,♦10,♠4,♣9,♦4 | Pair
♦6,♦10,♠4,♣9,♥9 | Pair
♦6,♦10,♠4,♦4,♦Q | Pair
♦6,♦10,♠4,♦4,♥9 | Pair
♦6,♦10,♥Q,♣9,♦Q | Pair
♦6,♦10,♥Q,♣9,♥9 | Pair
♦6,♦10,♥Q,♦4,♦Q | Pair
♦6,♦10,♥Q,♦Q,♥9 | Pair
♦6,♦10,♣9,♦4,♥9 | Pair
♦6,♦10,♣9,♦Q,♥9 | Pair
♦6,♣J,♠4,♥Q,♦4 | Pair
♦6,♣J,♠4,♥Q,♦Q | Pair
♦6,♣J,♠4,♣9,♦4 | Pair
♦6,♣J,♠4,♣9,♥9 | Pair
♦6,♣J,♠4,♦4,♦Q | Pair
♦6,♣J,♠4,♦4,♥9 | Pair
♦6,♣J,♥Q,♣9,♦Q | Pair
♦6,♣J,♥Q,♣9,♥9 | Pair
♦6,♣J,♥Q,♦4,♦Q | Pair
♦6,♣J,♥Q,♦Q,♥9 | Pair
♦6,♣J,♣9,♦4,♥9 | Pair
♦6,♣J,♣9,♦Q,♥9 | Pair
♦6,♠4,♥Q,♣9,♦4 | Pair
♦6,♠4,♥Q,♣9,♦Q | Pair
♦6,♠4,♥Q,♣9,♥9 | Pair
♦6,♠4,♥Q,♦4,♦Q | Two Pairs
♦6,♠4,♥Q,♦4,♥9 | Pair
♦6,♠4,♥Q,♦Q,♥9 | Pair
♦6,♠4,♣9,♦4,♦Q | Pair
♦6,♠4,♣9,♦4,♥9 | Two Pairs
♦6,♠4,♣9,♦Q,♥9 | Pair
♦6,♠4,♦4,♦Q,♥9 | Pair
♦6,♥Q,♣9,♦4,♦Q | Pair
♦6,♥Q,♣9,♦4,♥9 | Pair
♦6,♥Q,♣9,♦Q,♥9 | Two Pairs
♦6,♥Q,♦4,♦Q,♥9 | Pair
♦6,♣9,♦4,♦Q,♥9 | Pair
♥8,♦10,♣J,♠4,♦4 | Pair
♥8,♦10,♣J,♥Q,♣9 | Straight
♥8,♦10,♣J,♥Q,♦Q | Pair
♥8,♦10,♣J,♥Q,♥9 | Straight
♥8,♦10,♣J,♣9,♦Q | Straight
♥8,♦10,♣J,♣9,♥9 | Pair
♥8,♦10,♣J,♦Q,♥9 | Straight
♥8,♦10,♠4,♥Q,♦4 | Pair
♥8,♦10,♠4,♥Q,♦Q | Pair
♥8,♦10,♠4,♣9,♦4 | Pair
♥8,♦10,♠4,♣9,♥9 | Pair
♥8,♦10,♠4,♦4,♦Q | Pair
♥8,♦10,♠4,♦4,♥9 | Pair
♥8,♦10,♥Q,♣9,♦Q | Pair
♥8,♦10,♥Q,♣9,♥9 | Pair
♥8,♦10,♥Q,♦4,♦Q | Pair
♥8,♦10,♥Q,♦Q,♥9 | Pair
♥8,♦10,♣9,♦4,♥9 | Pair
♥8,♦10,♣9,♦Q,♥9 | Pair
♥8,♣J,♠4,♥Q,♦4 | Pair
♥8,♣J,♠4,♥Q,♦Q | Pair
♥8,♣J,♠4,♣9,♦4 | Pair
♥8,♣J,♠4,♣9,♥9 | Pair
♥8,♣J,♠4,♦4,♦Q | Pair
♥8,♣J,♠4,♦4,♥9 | Pair
♥8,♣J,♥Q,♣9,♦Q | Pair
♥8,♣J,♥Q,♣9,♥9 | Pair
♥8,♣J,♥Q,♦4,♦Q | Pair
♥8,♣J,♥Q,♦Q,♥9 | Pair
♥8,♣J,♣9,♦4,♥9 | Pair
♥8,♣J,♣9,♦Q,♥9 | Pair
♥8,♠4,♥Q,♣9,♦4 | Pair
♥8,♠4,♥Q,♣9,♦Q | Pair
♥8,♠4,♥Q,♣9,♥9 | Pair
♥8,♠4,♥Q,♦4,♦Q | Two Pairs
♥8,♠4,♥Q,♦4,♥9 | Pair
♥8,♠4,♥Q,♦Q,♥9 | Pair
♥8,♠4,♣9,♦4,♦Q | Pair
♥8,♠4,♣9,♦4,♥9 | Two Pairs
♥8,♠4,♣9,♦Q,♥9 | Pair
♥8,♠4,♦4,♦Q,♥9 | Pair
♥8,♥Q,♣9,♦4,♦Q | Pair
♥8,♥Q,♣9,♦4,♥9 | Pair
♥8,♥Q,♣9,♦Q,♥9 | Two Pairs
♥8,♥Q,♦4,♦Q,♥9 | Pair
♥8,♣9,♦4,♦Q,♥9 | Pair
♦10,♣J,♠4,♥Q,♦4 | Pair
♦10,♣J,♠4,♥Q,♦Q | Pair
♦10,♣J,♠4,♣9,♦4 | Pair
♦10,♣J,♠4,♣9,♥9 | Pair
♦10,♣J,♠4,♦4,♦Q | Pair
♦10,♣J,♠4,♦4,♥9 | Pair
♦10,♣J,♥Q,♣9,♦Q | Pair
♦10,♣J,♥Q,♣9,♥9 | Pair
♦10,♣J,♥Q,♦4,♦Q | Pair
♦10,♣J,♥Q,♦Q,♥9 | Pair
♦10,♣J,♣9,♦4,♥9 | Pair
♦10,♣J,♣9,♦Q,♥9 | Pair
♦10,♠4,♥Q,♣9,♦4 | Pair
♦10,♠4,♥Q,♣9,♦Q | Pair
♦10,♠4,♥Q,♣9,♥9 | Pair
♦10,♠4,♥Q,♦4,♦Q | Two Pairs
♦10,♠4,♥Q,♦4,♥9 | Pair
♦10,♠4,♥Q,♦Q,♥9 | Pair
♦10,♠4,♣9,♦4,♦Q | Pair
♦10,♠4,♣9,♦4,♥9 | Two Pairs
♦10,♠4,♣9,♦Q,♥9 | Pair
♦10,♠4,♦4,♦Q,♥9 | Pair
♦10,♥Q,♣9,♦4,♦Q | Pair
♦10,♥Q,♣9,♦4,♥9 | Pair
♦10,♥Q,♣9,♦Q,♥9 | Two Pairs
♦10,♥Q,♦4,♦Q,♥9 | Pair
♦10,♣9,♦4,♦Q,♥9 | Pair
♣J,♠4,♥Q,♣9,♦4 | Pair
♣J,♠4,♥Q,♣9,♦Q | Pair
♣J,♠4,♥Q,♣9,♥9 | Pair
♣J,♠4,♥Q,♦4,♦Q | Two Pairs
♣J,♠4,♥Q,♦4,♥9 | Pair
♣J,♠4,♥Q,♦Q,♥9 | Pair
♣J,♠4,♣9,♦4,♦Q | Pair
♣J,♠4,♣9,♦4,♥9 | Two Pairs
♣J,♠4,♣9,♦Q,♥9 | Pair
♣J,♠4,♦4,♦Q,♥9 | Pair
♣J,♥Q,♣9,♦4,♦Q | Pair
♣J,♥Q,♣9,♦4,♥9 | Pair
♣J,♥Q,♣9,♦Q,♥9 | Two Pairs
♣J,♥Q,♦4,♦Q,♥9 | Pair
♣J,♣9,♦4,♦Q,♥9 | Pair
♠4,♥Q,♣9,♦4,♦Q | Two Pairs
♠4,♥Q,♣9,♦4,♥9 | Two Pairs
♠4,♥Q,♣9,♦Q,♥9 | Two Pairs
♠4,♥Q,♦4,♦Q,♥9 | Two Pairs
♠4,♣9,♦4,♦Q,♥9 | Two Pairs
♥Q,♣9,♦4,♦Q,♥9 | Two Pairs
