♠7,♣A,♦8,♠J,♣7 | Pair
♠7,♦8,♦10,♣7,♠10 | Two Pairs
♠7,♦8,♦10,♣7,♠2 | Pair
♠7,♦8,♦10,♦K,♠10 | Pair
♠7,♦8,♦10,♠10,♠2 | Pair
♠7,♦8,♣7,♦K,♠10 | Pair
♠7,♦8,♣7,♦K,♠2 | Pair
♠7,♦8,♣7,♠10,♠2 | Pair
♠7,♠J,♥5,♠Q,♣7 | Pair
♠7,♠J,♥5,♦10,♣7 | Pair
♠7,♠J,♥5,♦10,♠10 | Pair
♠7,♠J,♥5,♣7,♦K | Pair
♠7,♠J,♥5,♣7,♠10 | Pair
♠7,♠J,♥5,♣7,♠2 | Pair
♠7,♠J,♠Q,♦10,♣7 | Pair
♠7,♠J,♠Q,♦10,♠10 | Pair
♠7,♠J,♠Q,♣7,♦K | Pair
♠7,♠J,♠Q,♣7,♠10 | Pair
♠7,♠J,♠Q,♣7,♠2 | Pair
♠7,♠J,♠Q,♠10,♠2 | Flush
♠7,♠J,♦10,♣7,♦K | Pair
♠7,♠J,♦10,♣7,♠10 | Two Pairs
♠7,♠J,♦10,♣7,♠2 | Pair
♠7,♠J,♦10,♦K,♠10 | Pair
♠7,♠J,♦10,♠10,♠2 | Pair
♠7,♠J,♣7,♦K,♠10 | Pair
♠7,♠J,♣7,♦K,♠2 | Pair
♠7,♠J,♣7,♠10,♠2 | Pair
♠7,♥5,♠Q,♦10,♣7 | Pair
♠7,♥5,♠Q,♦10,♠10 | Pair
♠7,♥5,♠Q,♣7,♦K | Pair
♠7,♥5,♠Q,♣7,♠10 | Pair
♠7,♥5,♠Q,♣7,♠2 | Pair
♠7,♥5,♦10,♣7,♦K | Pair
♠7,♥5,♦10,♣7,♠10 | Two Pairs
♠7,♥5,♦10,♣7,♠2 | Pair
♠7,♥5,♦10,♦K,♠10 | Pair
♠7,♥5,♦10,♠10,♠2 | Pair
♠7,♥5,♣7,♦K,♠10 | Pair
♠7,♥5,♣7,♦K,♠2 | Pair
♠7,♥5,♣7,♠10,♠2 | Pair
♠7,♠Q,♦10,♣7,♦K | Pair
♠7,♠Q,♦10,♣7,♠10 | Two Pairs
♠7,♠Q,♦10,♣7,♠2 | Pair
♠7,♠Q,♦10,♦K,♠10 | Pair
♠7,♠Q,♦10,♠10,♠2 | Pair
♠7,♠Q,♣7,♦K,♠10 | Pair
♠7,♠Q,♣7,♦K,♠2 | Pair
♠7,♠Q,♣7,♠10,♠2 | Pair
♠7,♦10,♣7,♦K,♠10 | Two Pairs
♠7,♦10,♣7,♦K,♠2 | Pair
♠7,♦10,♣7,♠10,♠2 | Two Pairs
♠7,♦10,♦K,♠10,♠2 | Pair
♠7,♣7,♦K,♠10,♠2 | Pair
♣A,♦8,♠J,♦10,♠10 | Pair
♣A,♦8,♥5,♦10,♠10 | Pair
♣A,♦8,♠Q,♦10,♠10 | Pair
♣A,♦8,♦10,♣7,♠10 | Pair
♣A,♦8,♦10,♦K,♠10 | Pair
♣A,♦8,♦10,♠10,♠2 | Pair
♣A,♠J,♥5,♦10,♠10 | Pair
♣A,♠J,♠Q,♦10,♦K | Straight
♣A,♠J,♠Q,♦10,♠10 | Pair
♣A,♠J,♠Q,♦K,♠10 | Straight
♣A,♠J,♦10,♣7,♠10 | Pair
♣A,♠J,♦10,♦K,♠10 | Pair
♣A,♠J,♦10,♠10,♠2 | Pair
♣A,♥5,♠Q,♦10,♠10 | Pair
♣A,♥5,♦10,♣7,♠10 | Pair
♣A,♥5,♦10,♦K,♠10 | Pair
♣A,♥5,♦10,♠10,♠2 | Pair
♣A,♠Q,♦10,♣7,♠10 | Pair
♣A,♠Q,♦10,♦K,♠10 | Pair
♣A,♠Q,♦10,♠10,♠2 | Pair
♣A,♦10,♣7,♦K,♠10 | Pair
♣A,♦10,♣7,♠10,♠2 | Pair
♣A,♦10,♦K,♠10,♠2 | Pair
♦8,♠J,♥5,♦10,♠10 | Pair
♦8,♠J,♠Q,♦10,♠10 | Pair
♦8,♠J,♦10,♣7,♠10 | Pair
♦8,♠J,♦10,♦K,♠10 | Pair
♦8,♠J,♦10,♠10,♠2 | Pair
♦8,♥5,♠Q,♦10,♠10 | Pair
♦8,♥5,♦10,♣7,♠10 | Pair
♦8,♥5,♦10,♦K,♠10 | Pair
♦8,♥5,♦10,♠10,♠2 | Pair
♦8,♠Q,♦10,♣7,♠10 | Pair
♦8,♠Q,♦10,♦K,♠10 | Pair
♦8,♠Q,♦10,♠10,♠2 | Pair
♦8,♦10,♣7,♦K,♠10 | Pair
♦8,♦10,♣7,♠10,♠2 | Pair
♦8,♦10,♦K,♠10,♠2 | Pair
♠J,♥5,♠Q,♦10,♠10 | Pair
♠J,♥5,♦10,♣7,♠10 | Pair
♠J,♥5,♦10,♦K,♠10 | Pair
♠J,♥5,♦10,♠10,♠2 | Pair
♠J,♠Q,♦10,♣7,♠10 | Pair
♠J,♠Q,♦10,♦K,♠10 | Pair
♠J,♠Q,♦10,♠10,♠2 | Pair
♠J,♦10,♣7,♦K,♠10 | Pair
♠J,♦10,♣7,♠10,♠2 | Pair
♠J,♦10,♦K,♠10,♠2 | Pair
♥5,♠Q,♦10,♣7,♠10 | Pair
♥5,♠Q,♦10,♦K,♠10 | Pair
♥5,♠Q,♦10,♠10,♠2 | Pair
♥5,♦10,♣7,♦K,♠10 | Pair
♥5,♦10,♣7,♠10,♠2 | Pair
♥5,♦10,♦K,♠10,♠2 | Pair
♠Q,♦10,♣7,♦K,♠10 | Pair
♠Q,♦10,♣7,♠10,♠2 | Pair
♠Q,♦10,♦K,♠10,♠2 | Pair
♦10,♣7,♦K,♠10,♠2 | Pair
