♥7,♣7,♥3,♣8,♣5 | Pair
♥7,♣7,♥6,♦Q,♣J | Pair
♥7,♣7,♥6,♠K,♣J | Pair
♥7,♣7,♠J,♥K,♣10 | Pair
♥7,♣7,♠J,♥K,♦K | Two Pairs
♥7,♣7,♠J,♥K,♦Q | Pair
♥7,♣7,♠J,♥K,♠K | Two Pairs
♥7,♣7,♠J,♥K,♣J | Two Pairs
♥7,♣7,♠J,♣10,♦K | Pair
♥7,♣7,♠J,♣10,♦Q | Pair
♥7,♣7,♠J,♣10,♠K | Pair
♥7,♣7,♠J,♣10,♣J | Two Pairs
♥7,♣7,♠J,♦K,♦Q | Pair
♥7,♣7,♠J,♦K,♠K | Two Pairs
♥7,♣7,♠J,♦K,♣J | Two Pairs
♥7,♣7,♠J,♦Q,♠K | Pair
♥7,♣7,♠J,♦Q,♣J | Two Pairs
♥7,♣7,♠J,♠K,♣J | Two Pairs
♥7,♣7,♥K,♣10,♦K | Two Pairs
♥7,♣7,♥K,♣10,♦Q | Pair
♥7,♣7,♥K,♣10,♠K | Two Pairs
♥7,♣7,♥K,♣10,♣J | Pair
♥7,♣7,♥K,♦K,♦Q | Two Pairs
♥7,♣7,♥K,♦K,♠K | Full House
♥7,♣7,♥K,♦K,♣J | Two Pairs
♥7,♣7,♥K,♦Q,♠K | Two Pairs
♥7,♣7,♥K,♦Q,♣J | Pair
♥7,♣7,♥K,♠K,♣J | Two Pairs
♥7,♣7,♣10,♦K,♦Q | Pair
♥7,♣7,♣10,♦K,♠K | Two Pairs
♥7,♣7,♣10,♦K,♣J | Pair
♥7,♣7,♣10,♦Q,♠K | Pair
♥7,♣7,♣10,♦Q,♣J | Pair
♥7,♣7,♣10,♠K,♣J | Pair
♥7,♣7,♦K,♦Q,♠K | Two Pairs
♥7,♣7,♦K,♦Q,♣J | Pair
♥7,♣7,♦K,♠K,♣J | Two Pairs
♥7,♣7,♦Q,♠K,♣J | Pair
♥7,♥3,♣8,♠J,♣J | Pair
♥7,♥3,♣8,♥K,♦K | Pair
♥7,♥3,♣8,♥K,♠K | Pair
♥7,♥3,♣8,♦K,♠K | Pair
♥7,♥3,♣5,♠J,♣J | Pair
♥7,♥3,♣5,♥K,♦K | Pair
♥7,♥3,♣5,♥K,♠K | Pair
♥7,♥3,♣5,♦K,♠K | Pair
♥7,♥3,♥6,♠J,♣J | Pair
♥7,♥3,♥6,♥K,♦K | Pair
♥7,♥3,♥6,♥K,♠K | Pair
♥7,♥3,♥6,♦K,♠K | Pair
♥7,♥3,♠J,♥K,♦K | Pair
♥7,♥3,♠J,♥K,♠K | Pair
♥7,♥3,♠J,♥K,♣J | Pair
♥7,♥3,♠J,♣10,♣J | Pair
♥7,♥3,♠J,♦K,♠K | Pair
♥7,♥3,♠J,♦K,♣J | Pair
♥7,♥3,♠J,♦Q,♣J | Pair
♥7,♥3,♠J,♠K,♣J | Pair
♥7,♥3,♥K,♣10,♦K | Pair
♥7,♥3,♥K,♣10,♠K | Pair
♥7,♥3,♥K,♦K,♦Q | Pair
♥7,♥3,♥K,♦K,♠K | Three Of A Kind
♥7,♥3,♥K,♦K,♣J | Pair
♥7,♥3,♥K,♦Q,♠K | Pair
♥7,♥3,♥K,♠K,♣J | Pair
♥7,♥3,♣10,♦K,♠K | Pair
♥7,♥3,♦K,♦Q,♠K | Pair
♥7,♥3,♦K,♠K,♣J | Pair
♥7,♣8,♣5,♠J,♣J | Pair
♥7,♣8,♣5,♥K,♦K | Pair
♥7,♣8,♣5,♥K,♠K | Pair
♥7,♣8,♣5,♦K,♠K | Pair
♥7,♣8,♥6,♠J,♣J | Pair
♥7,♣8,♥6,♥K,♦K | Pair
♥7,♣8,♥6,♥K,♠K | Pair
♥7,♣8,♥6,♦K,♠K | Pair
♥7,♣8,♠J,♥K,♦K | Pair
♥7,♣8,♠J,♥K,♠K | Pair
♥7,♣8,♠J,♥K,♣J | Pair
♥7,♣8,♠J,♣10,♣J | Pair
♥7,♣8,♠J,♦K,♠K | Pair
♥7,♣8,♠J,♦K,♣J | Pair
♥7,♣8,♠J,♦Q,♣J | Pair
♥7,♣8,♠J,♠K,♣J | Pair
♥7,♣8,♥K,♣10,♦K | Pair
♥7,♣8,♥K,♣10,♠K | Pair
♥7,♣8,♥K,♦K,♦Q | Pair
♥7,♣8,♥K,♦K,♠K | Three Of A Kind
♥7,♣8,♥K,♦K,♣J | Pair
♥7,♣8,♥K,♦Q,♠K | Pair
♥7,♣8,♥K,♠K,♣J | Pair
♥7,♣8,♣10,♦K,♠K | Pair
♥7,♣8,♦K,♦Q,♠K | Pair
♥7,♣8,♦K,♠K,♣J | Pair
♥7,♣5,♥6,♠J,♣J | Pair
♥7,♣5,♥6,♥K,♦K | Pair
♥7,♣5,♥6,♥K,♠K | Pair
♥7,♣5,♥6,♦K,♠K | Pair
♥7,♣5,♠J,♥K,♦K | Pair
♥7,♣5,♠J,♥K,♠K | Pair
♥7,♣5,♠J,♥K,♣J | Pair
♥7,♣5,♠J,♣10,♣J | Pair
♥7,♣5,♠J,♦K,♠K | Pair
♥7,♣5,♠J,♦K,♣J | Pair
♥7,♣5,♠J,♦Q,♣J | Pair
♥7,♣5,♠J,♠K,♣J | Pair
♥7,♣5,♥K,♣10,♦K | Pair
♥7,♣5,♥K,♣10,♠K | Pair
♥7,♣5,♥K,♦K,♦Q | Pair
♥7,♣5,♥K,♦K,♠K | Three Of A Kind
♥7,♣5,♥K,♦K,♣J | Pair
♥7,♣5,♥K,♦Q,♠K | Pair
♥7,♣5,♥K,♠K,♣J | Pair
♥7,♣5,♣10,♦K,♠K | Pair
♥7,♣5,♦K,♦Q,♠K | Pair
♥7,♣5,♦K,♠K,♣J | Pair
♥7,♥6,♠J,♥K,♦K | Pair
♥7,♥6,♠J,♥K,♠K | Pair
♥7,♥6,♠J,♥K,♣J | Pair
♥7,♥6,♠J,♣10,♣J | Pair
♥7,♥6,♠J,♦K,♠K | Pair
♥7,♥6,♠J,♦K,♣J | Pair
♥7,♥6,♠J,♦Q,♣J | Pair
♥7,♥6,♠J,♠K,♣J | Pair
♥7,♥6,♥K,♣10,♦K | Pair
♥7,♥6,♥K,♣10,♠K | Pair
♥7,♥6,♥K,♦K,♦Q | Pair
♥7,♥6,♥K,♦K,♠K | Three Of A Kind
♥7,♥6,♥K,♦K,♣J | Pair
♥7,♥6,♥K,♦Q,♠K | Pair
♥7,♥6,♥K,♠K,♣J | Pair
♥7,♥6,♣10,♦K,♠K | Pair
♥7,♥6,♦K,♦Q,♠K | Pair
♥7,♥6,♦K,♠K,♣J | Pair
♥7,♠J,♥K,♣10,♦K | Pair
♥7,♠J,♥K,♣10,♠K | Pair
♥7,♠J,♥K,♣10,♣J | Pair
♥7,♠J,♥K,♦K,♦Q | Pair
♥7,♠J,♥K,♦K,♠K | Three Of A Kind
♥7,♠J,♥K,♦K,♣J | Two Pairs
♥7,♠J,♥K,♦Q,♠K | Pair
♥7,♠J,♥K,♦Q,♣J | Pair
♥7,♠J,♥K,♠K,♣J | Two Pairs
♥7,♠J,♣10,♦K,♠K | Pair
♥7,♠J,♣10,♦K,♣J | Pair
♥7,♠J,♣10,♦Q,♣J | Pair
♥7,♠J,♣10,♠K,♣J | Pair
♥7,♠J,♦K,♦Q,♠K | Pair
♥7,♠J,♦K,♦Q,♣J | Pair
♥7,♠J,♦K,♠K,♣J | Two Pairs
♥7,♠J,♦Q,♠K,♣J | Pair
♥7,♥K,♣10,♦K,♦Q | Pair
♥7,♥K,♣10,♦K,♠K | Three Of A Kind
♥7,♥K,♣10,♦K,♣J | Pair
♥7,♥K,♣10,♦Q,♠K | Pair
♥7,♥K,♣10,♠K,♣J | Pair
♥7,♥K,♦K,♦Q,♠K | Three Of A Kind
♥7,♥K,♦K,♦Q,♣J | Pair
♥7,♥K,♦K,♠K,♣J | Three Of A Kind
♥7,♥K,♦Q,♠K,♣J | Pair
♥7,♣10,♦K,♦Q,♠K | Pair
♥7,♣10,♦K,♠K,♣J | Pair
♥7,♦K,♦Q,♠K,♣J | Pair
♣7,♥3,♣8,♠J,♣J | Pair
♣7,♥3,♣8,♥K,♦K | Pair
♣7,♥3,♣8,♥K,♠K | Pair
♣7,♥3,♣8,♦K,♠K | Pair
♣7,♥3,♣5,♠J,♣J | Pair
♣7,♥3,♣5,♥K,♦K | Pair
♣7,♥3,♣5,♥K,♠K | Pair
♣7,♥3,♣5,♦K,♠K | Pair
♣7,♥3,♥6,♠J,♣J | Pair
♣7,♥3,♥6,♥K,♦K | Pair
♣7,♥3,♥6,♥K,♠K | Pair
♣7,♥3,♥6,♦K,♠K | Pair
♣7,♥3,♠J,♥K,♦K | Pair
♣7,♥3,♠J,♥K,♠K | Pair
♣7,♥3,♠J,♥K,♣J | Pair
♣7,♥3,♠J,♣10,♣J | Pair
♣7,♥3,♠J,♦K,♠K | Pair
♣7,♥3,♠J,♦K,♣J | Pair
♣7,♥3,♠J,♦Q,♣J | Pair
♣7,♥3,♠J,♠K,♣J | Pair
♣7,♥3,♥K,♣10,♦K | Pair
♣7,♥3,♥K,♣10,♠K | Pair
♣7,♥3,♥K,♦K,♦Q | Pair
♣7,♥3,♥K,♦K,♠K | Three Of A Kind
♣7,♥3,♥K,♦K,♣J | Pair
♣7,♥3,♥K,♦Q,♠K | Pair
♣7,♥3,♥K,♠K,♣J | Pair
♣7,♥3,♣10,♦K,♠K | Pair
♣7,♥3,♦K,♦Q,♠K | Pair
♣7,♥3,♦K,♠K,♣J | Pair
♣7,♣8,♣5,♠J,♣J | Pair
♣7,♣8,♣5,♥K,♦K | Pair
♣7,♣8,♣5,♥K,♠K | Pair
♣7,♣8,♣5,♣10,♣J | Flush
♣7,♣8,♣5,♦K,♠K | Pair
♣7,♣8,♥6,♠J,♣J | Pair
♣7,♣8,♥6,♥K,♦K | Pair
♣7,♣8,♥6,♥K,♠K | Pair
♣7,♣8,♥6,♦K,♠K | Pair
♣7,♣8,♠J,♥K,♦K | Pair
♣7,♣8,♠J,♥K,♠K | Pair
♣7,♣8,♠J,♥K,♣J | Pair
♣7,♣8,♠J,♣10,♣J | Pair
♣7,♣8,♠J,♦K,♠K | Pair
♣7,♣8,♠J,♦K,♣J | Pair
♣7,♣8,♠J,♦Q,♣J | Pair
♣7,♣8,♠J,♠K,♣J | Pair
♣7,♣8,♥K,♣10,♦K | Pair
♣7,♣8,♥K,♣10,♠K | Pair
♣7,♣8,♥K,♦K,♦Q | Pair
♣7,♣8,♥K,♦K,♠K | Three Of A Kind
♣7,♣8,♥K,♦K,♣J | Pair
♣7,♣8,♥K,♦Q,♠K | Pair
♣7,♣8,♥K,♠K,♣J | Pair
♣7,♣8,♣10,♦K,♠K | Pair
♣7,♣8,♦K,♦Q,♠K | Pair
♣7,♣8,♦K,♠K,♣J | Pair
♣7,♣5,♥6,♠J,♣J | Pair
♣7,♣5,♥6,♥K,♦K | Pair
♣7,♣5,♥6,♥K,♠K | Pair
♣7,♣5,♥6,♦K,♠K | Pair
♣7,♣5,♠J,♥K,♦K | Pair
♣7,♣5,♠J,♥K,♠K | Pair
♣7,♣5,♠J,♥K,♣J | Pair
♣7,♣5,♠J,♣10,♣J | Pair
♣7,♣5,♠J,♦K,♠K | Pair
♣7,♣5,♠J,♦K,♣J | Pair
♣7,♣5,♠J,♦Q,♣J | Pair
♣7,♣5,♠J,♠K,♣J | Pair
♣7,♣5,♥K,♣10,♦K | Pair
♣7,♣5,♥K,♣10,♠K | Pair
♣7,♣5,♥K,♦K,♦Q | Pair
♣7,♣5,♥K,♦K,♠K | Three Of A Kind
♣7,♣5,♥K,♦K,♣J | Pair
♣7,♣5,♥K,♦Q,♠K | Pair
♣7,♣5,♥K,♠K,♣J | Pair
♣7,♣5,♣10,♦K,♠K | Pair
♣7,♣5,♦K,♦Q,♠K | Pair
♣7,♣5,♦K,♠K,♣J | Pair
♣7,♥6,♠J,♥K,♦K | Pair
♣7,♥6,♠J,♥K,♠K | Pair
♣7,♥6,♠J,♥K,♣J | Pair
♣7,♥6,♠J,♣10,♣J | Pair
♣7,♥6,♠J,♦K,♠K | Pair
♣7,♥6,♠J,♦K,♣J | Pair
♣7,♥6,♠J,♦Q,♣J | Pair
♣7,♥6,♠J,♠K,♣J | Pair
♣7,♥6,♥K,♣10,♦K | Pair
♣7,♥6,♥K,♣10,♠K | Pair
♣7,♥6,♥K,♦K,♦Q | Pair
♣7,♥6,♥K,♦K,♠K | Three Of A Kind
♣7,♥6,♥K,♦K,♣J | Pair
♣7,♥6,♥K,♦Q,♠K | Pair
♣7,♥6,♥K,♠K,♣J | Pair
♣7,♥6,♣10,♦K,♠K | Pair
♣7,♥6,♦K,♦Q,♠K | Pair
♣7,♥6,♦K,♠K,♣J | Pair
♣7,♠J,♥K,♣10,♦K | Pair
♣7,♠J,♥K,♣10,♠K | Pair
♣7,♠J,♥K,♣10,♣J | Pair
♣7,♠J,♥K,♦K,♦Q | Pair
♣7,♠J,♥K,♦K,♠K | Three Of A Kind
♣7,♠J,♥K,♦K,♣J | Two Pairs
♣7,♠J,♥K,♦Q,♠K | Pair
♣7,♠J,♥K,♦Q,♣J | Pair
♣7,♠J,♥K,♠K,♣J | Two Pairs
♣7,♠J,♣10,♦K,♠K | Pair
♣7,♠J,♣10,♦K,♣J | Pair
♣7,♠J,♣10,♦Q,♣J | Pair
♣7,♠J,♣10,♠K,♣J | Pair
♣7,♠J,♦K,♦Q,♠K | Pair
♣7,♠J,♦K,♦Q,♣J | Pair
♣7,♠J,♦K,♠K,♣J | Two Pairs
♣7,♠J,♦Q,♠K,♣J | Pair
♣7,♥K,♣10,♦K,♦Q | Pair
♣7,♥K,♣10,♦K,♠K | Three Of A Kind
♣7,♥K,♣10,♦K,♣J | Pair
♣7,♥K,♣10,♦Q,♠K | Pair
♣7,♥K,♣10,♠K,♣J | Pair
♣7,♥K,♦K,♦Q,♠K | Three Of A Kind
♣7,♥K,♦K,♦Q,♣J | Pair
♣7,♥K,♦K,♠K,♣J | Three Of A Kind
♣7,♥K,♦Q,♠K,♣J | Pair
♣7,♣10,♦K,♦Q,♠K | Pair
♣7,♣10,♦K,♠K,♣J | Pair
♣7,♦K,♦Q,♠K,♣J | Pair
♥3,♣8,♣5,♠J,♣J | Pair
♥3,♣8,♣5,♥K,♦K | Pair
♥3,♣8,♣5,♥K,♠K | Pair
♥3,♣8,♣5,♦K,♠K | Pair
♥3,♣8,♥6,♠J,♣J | Pair
♥3,♣8,♥6,♥K,♦K | Pair
♥3,♣8,♥6,♥K,♠K | Pair
♥3,♣8,♥6,♦K,♠K | Pair
♥3,♣8,♠J,♥K,♦K | Pair
♥3,♣8,♠J,♥K,♠K | Pair
♥3,♣8,♠J,♥K,♣J | Pair
♥3,♣8,♠J,♣10,♣J | Pair
♥3,♣8,♠J,♦K,♠K | Pair
♥3,♣8,♠J,♦K,♣J | Pair
♥3,♣8,♠J,♦Q,♣J | Pair
♥3,♣8,♠J,♠K,♣J | Pair
♥3,♣8,♥K,♣10,♦K | Pair
♥3,♣8,♥K,♣10,♠K | Pair
♥3,♣8,♥K,♦K,♦Q | Pair
♥3,♣8,♥K,♦K,♠K | Three Of A Kind
♥3,♣8,♥K,♦K,♣J | Pair
♥3,♣8,♥K,♦Q,♠K | Pair
♥3,♣8,♥K,♠K,♣J | Pair
♥3,♣8,♣10,♦K,♠K | Pair
♥3,♣8,♦K,♦Q,♠K | Pair
♥3,♣8,♦K,♠K,♣J | Pair
♥3,♣5,♥6,♠J,♣J | Pair
♥3,♣5,♥6,♥K,♦K | Pair
♥3,♣5,♥6,♥K,♠K | Pair
♥3,♣5,♥6,♦K,♠K | Pair
♥3,♣5,♠J,♥K,♦K | Pair
♥3,♣5,♠J,♥K,♠K | Pair
♥3,♣5,♠J,♥K,♣J | Pair
♥3,♣5,♠J,♣10,♣J | Pair
♥3,♣5,♠J,♦K,♠K | Pair
♥3,♣5,♠J,♦K,♣J | Pair
♥3,♣5,♠J,♦Q,♣J | Pair
♥3,♣5,♠J,♠K,♣J | Pair
♥3,♣5,♥K,♣10,♦K | Pair
♥3,♣5,♥K,♣10,♠K | Pair
♥3,♣5,♥K,♦K,♦Q | Pair
♥3,♣5,♥K,♦K,♠K | Three Of A Kind
♥3,♣5,♥K,♦K,♣J | Pair
♥3,♣5,♥K,♦Q,♠K | Pair
♥3,♣5,♥K,♠K,♣J | Pair
♥3,♣5,♣10,♦K,♠K | Pair
♥3,♣5,♦K,♦Q,♠K | Pair
♥3,♣5,♦K,♠K,♣J | Pair
♥3,♥6,♠J,♥K,♦K | Pair
♥3,♥6,♠J,♥K,♠K | Pair
♥3,♥6,♠J,♥K,♣J | Pair
♥3,♥6,♠J,♣10,♣J | Pair
♥3,♥6,♠J,♦K,♠K | Pair
♥3,♥6,♠J,♦K,♣J | Pair
♥3,♥6,♠J,♦Q,♣J | Pair
♥3,♥6,♠J,♠K,♣J | Pair
♥3,♥6,♥K,♣10,♦K | Pair
♥3,♥6,♥K,♣10,♠K | Pair
♥3,♥6,♥K,♦K,♦Q | Pair
♥3,♥6,♥K,♦K,♠K | Three Of A Kind
♥3,♥6,♥K,♦K,♣J | Pair
♥3,♥6,♥K,♦Q,♠K | Pair
♥3,♥6,♥K,♠K,♣J | Pair
♥3,♥6,♣10,♦K,♠K | Pair
♥3,♥6,♦K,♦Q,♠K | Pair
♥3,♥6,♦K,♠K,♣J | Pair
♥3,♠J,♥K,♣10,♦K | Pair
♥3,♠J,♥K,♣10,♠K | Pair
♥3,♠J,♥K,♣10,♣J | Pair
♥3,♠J,♥K,♦K,♦Q | Pair
♥3,♠J,♥K,♦K,♠K | Three Of A Kind
♥3,♠J,♥K,♦K,♣J | Two Pairs
♥3,♠J,♥K,♦Q,♠K | Pair
♥3,♠J,♥K,♦Q,♣J | Pair
♥3,♠J,♥K,♠K,♣J | Two Pairs
♥3,♠J,♣10,♦K,♠K | Pair
♥3,♠J,♣10,♦K,♣J | Pair
♥3,♠J,♣10,♦Q,♣J | Pair
♥3,♠J,♣10,♠K,♣J | Pair
♥3,♠J,♦K,♦Q,♠K | Pair
♥3,♠J,♦K,♦Q,♣J | Pair
♥3,♠J,♦K,♠K,♣J | Two Pairs
♥3,♠J,♦Q,♠K,♣J | Pair
♥3,♥K,♣10,♦K,♦Q | Pair
♥3,♥K,♣10,♦K,♠K | Three Of A Kind
♥3,♥K,♣10,♦K,♣J | Pair
♥3,♥K,♣10,♦Q,♠K | Pair
♥3,♥K,♣10,♠K,♣J | Pair
♥3,♥K,♦K,♦Q,♠K | Three Of A Kind
♥3,♥K,♦K,♦Q,♣J | Pair
♥3,♥K,♦K,♠K,♣J | Three Of A Kind
♥3,♥K,♦Q,♠K,♣J | Pair
♥3,♣10,♦K,♦Q,♠K | Pair
♥3,♣10,♦K,♠K,♣J | Pair
♥3,♦K,♦Q,♠K,♣J | Pair
♣8,♣5,♥6,♠J,♣J | Pair
♣8,♣5,♥6,♥K,♦K | Pair
♣8,♣5,♥6,♥K,♠K | Pair
♣8,♣5,♥6,♦K,♠K | Pair
♣8,♣5,♠J,♥K,♦K | Pair
♣8,♣5,♠J,♥K,♠K | Pair
♣8,♣5,♠J,♥K,♣J | Pair
♣8,♣5,♠J,♣10,♣J | Pair
♣8,♣5,♠J,♦K,♠K | Pair
♣8,♣5,♠J,♦K,♣J | Pair
♣8,♣5,♠J,♦Q,♣J | Pair
♣8,♣5,♠J,♠K,♣J | Pair
♣8,♣5,♥K,♣10,♦K | Pair
♣8,♣5,♥K,♣10,♠K | Pair
♣8,♣5,♥K,♦K,♦Q | Pair
♣8,♣5,♥K,♦K,♠K | Three Of A Kind
♣8,♣5,♥K,♦K,♣J | Pair
♣8,♣5,♥K,♦Q,♠K | Pair
♣8,♣5,♥K,♠K,♣J | Pair
♣8,♣5,♣10,♦K,♠K | Pair
♣8,♣5,♦K,♦Q,♠K | Pair
♣8,♣5,♦K,♠K,♣J | Pair
♣8,♥6,♠J,♥K,♦K | Pair
♣8,♥6,♠J,♥K,♠K | Pair
♣8,♥6,♠J,♥K,♣J | Pair
♣8,♥6,♠J,♣10,♣J | Pair
♣8,♥6,♠J,♦K,♠K | Pair
♣8,♥6,♠J,♦K,♣J | Pair
♣8,♥6,♠J,♦Q,♣J | Pair
♣8,♥6,♠J,♠K,♣J | Pair
♣8,♥6,♥K,♣10,♦K | Pair
♣8,♥6,♥K,♣10,♠K | Pair
♣8,♥6,♥K,♦K,♦Q | Pair
♣8,♥6,♥K,♦K,♠K | Three Of A Kind
♣8,♥6,♥K,♦K,♣J | Pair
♣8,♥6,♥K,♦Q,♠K | Pair
♣8,♥6,♥K,♠K,♣J | Pair
♣8,♥6,♣10,♦K,♠K | Pair
♣8,♥6,♦K,♦Q,♠K | Pair
♣8,♥6,♦K,♠K,♣J | Pair
♣8,♠J,♥K,♣10,♦K | Pair
♣8,♠J,♥K,♣10,♠K | Pair
♣8,♠J,♥K,♣10,♣J | Pair
♣8,♠J,♥K,♦K,♦Q | Pair
♣8,♠J,♥K,♦K,♠K | Three Of A Kind
♣8,♠J,♥K,♦K,♣J | Two Pairs
♣8,♠J,♥K,♦Q,♠K | Pair
♣8,♠J,♥K,♦Q,♣J | Pair
♣8,♠J,♥K,♠K,♣J | Two Pairs
♣8,♠J,♣10,♦K,♠K | Pair
♣8,♠J,♣10,♦K,♣J | Pair
♣8,♠J,♣10,♦Q,♣J | Pair
♣8,♠J,♣10,♠K,♣J | Pair
