♠J,♥4,♣4,♣3,♣10 | Pair
♠J,♥4,♣9,♠4,♠7 | Pair
♠J,♥4,♣9,♠4,♣A | Pair
♠J,♥4,♠4,♦8,♥6 | Pair
♠J,♥4,♠4,♦8,♣2 | Pair
♠J,♥4,♠4,♦8,♠7 | Pair
♠J,♥4,♠4,♦8,♣A | Pair
♠J,♥4,♠4,♥6,♣2 | Pair
♠J,♥4,♠4,♥6,♠7 | Pair
♠J,♥4,♠4,♥6,♣A | Pair
♠J,♥4,♠4,♣2,♠7 | Pair
♠J,♥4,♠4,♣2,♣A | Pair
♠J,♥4,♠4,♠7,♣A | Pair
♠J,♣4,♣3,♣10,♠4 | Pair
♠J,♣4,♣3,♥A,♠4 | Pair
♠J,♣4,♣3,♥A,♣A | Pair
♠J,♣4,♣3,♣9,♠4 | Pair
♠J,♣4,♣3,♠4,♦8 | Pair
♠J,♣4,♣3,♠4,♥6 | Pair
♠J,♣4,♣3,♠4,♣2 | Pair
♠J,♣4,♣3,♠4,♠7 | Pair
♠J,♣4,♣3,♠4,♣A | Pair
♠J,♣4,♣10,♥A,♠4 | Pair
♠J,♣4,♣10,♥A,♣A | Pair
♠J,♣4,♣10,♣9,♠4 | Pair
♠J,♣4,♣10,♠4,♦8 | Pair
♠J,♣4,♣10,♠4,♥6 | Pair
♠J,♣4,♣10,♠4,♣2 | Pair
♠J,♣4,♣10,♠4,♠7 | Pair
♠J,♣4,♣10,♠4,♣A | Pair
♠J,♣4,♥A,♣9,♠4 | Pair
♠J,♣4,♥A,♣9,♣A | Pair
♠J,♣4,♥A,♠4,♦8 | Pair
♠J,♣4,♥A,♠4,♥6 | Pair
♠J,♣4,♥A,♠4,♣2 | Pair
♠J,♣4,♥A,♠4,♠7 | Pair
♠J,♣4,♥A,♠4,♣A | Two Pairs
♠J,♣4,♥A,♦8,♣A | Pair
♠J,♣4,♥A,♥6,♣A | Pair
♠J,♣4,♥A,♣2,♣A | Pair
♠J,♣4,♥A,♠7,♣A | Pair
♠J,♣4,♣9,♠4,♦8 | Pair
♠J,♣4,♣9,♠4,♥6 | Pair
♠J,♣4,♣9,♠4,♣2 | Pair
♠J,♣4,♣9,♠4,♠7 | Pair
♠J,♣4,♣9,♠4,♣A | Pair
♠J,♣4,♠4,♦8,♥6 | Pair
♠J,♣4,♠4,♦8,♣2 | Pair
♠J,♣4,♠4,♦8,♠7 | Pair
♠J,♣4,♠4,♦8,♣A | Pair
♠J,♣4,♠4,♥6,♣2 | Pair
♠J,♣4,♠4,♥6,♠7 | Pair
♠J,♣4,♠4,♥6,♣A | Pair
♠J,♣4,♠4,♣2,♠7 | Pair
♠J,♣4,♠4,♣2,♣A | Pair
♠J,♣4,♠4,♠7,♣A | Pair
♠J,♣3,♣10,♥A,♣A | Pair
♠J,♣3,♥A,♣9,♣A | Pair
♠J,♣3,♥A,♠4,♣A | Pair
♠J,♣3,♥A,♦8,♣A | Pair
♠J,♣3,♥A,♥6,♣A | Pair
♠J,♣3,♥A,♣2,♣A | Pair
♠J,♣3,♥A,♠7,♣A | Pair
♠J,♣10,♥A,♣9,♣A | Pair
♠J,♣10,♥A,♠4,♣A | Pair
♠J,♣10,♥A,♦8,♣A | Pair
♠J,♣10,♥A,♥6,♣A | Pair
♠J,♣10,♥A,♣2,♣A | Pair
♠J,♣10,♥A,♠7,♣A | Pair
♠J,♣10,♣9,♦8,♠7 | Straight
♠J,♥A,♣9,♠4,♣A | Pair
♠J,♥A,♣9,♦8,♣A | Pair
♠J,♥A,♣9,♥6,♣A | Pair
♠J,♥A,♣9,♣2,♣A | Pair
♠J,♥A,♣9,♠7,♣A | Pair
♠J,♥A,♠4,♦8,♣A | Pair
♠J,♥A,♠4,♥6,♣A | Pair
♠J,♥A,♠4,♣2,♣A | Pair
♠J,♥A,♠4,♠7,♣A | Pair
♠J,♥A,♦8,♥6,♣A | Pair
♠J,♥A,♦8,♣2,♣A | Pair
♠J,♥A,♦8,♠7,♣A | Pair
♠J,♥A,♥6,♣2,♣A | Pair
♠J,♥A,♥6,♠7,♣A | Pair
♠J,♥A,♣2,♠7,♣A | Pair
♥4,♣4,♣3,♣10,♥A | Pair
♥4,♣4,♣3,♣10,♣9 | Pair
♥4,♣4,♣3,♣10,♠4 | Three Of A Kind
♥4,♣4,♣3,♣10,♦8 | Pair
♥4,♣4,♣3,♣10,♥6 | Pair
♥4,♣4,♣3,♣10,♣2 | Pair
♥4,♣4,♣3,♣10,♠7 | Pair
♥4,♣4,♣3,♣10,♣A | Pair
♥4,♣4,♣3,♥A,♣9 | Pair
♥4,♣4,♣3,♥A,♠4 | Three Of A Kind
♥4,♣4,♣3,♥A,♦8 | Pair
♥4,♣4,♣3,♥A,♥6 | Pair
♥4,♣4,♣3,♥A,♣2 | Pair
♥4,♣4,♣3,♥A,♠7 | Pair
♥4,♣4,♣3,♥A,♣A | Two Pairs
♥4,♣4,♣3,♣9,♠4 | Three Of A Kind
♥4,♣4,♣3,♣9,♦8 | Pair
♥4,♣4,♣3,♣9,♥6 | Pair
♥4,♣4,♣3,♣9,♣2 | Pair
♥4,♣4,♣3,♣9,♠7 | Pair
♥4,♣4,♣3,♣9,♣A | Pair
♥4,♣4,♣3,♠4,♦8 | Three Of A Kind
♥4,♣4,♣3,♠4,♥6 | Three Of A Kind
♥4,♣4,♣3,♠4,♣2 | Three Of A Kind
♥4,♣4,♣3,♠4,♠7 | Three Of A Kind
♥4,♣4,♣3,♠4,♣A | Three Of A Kind
♥4,♣4,♣3,♦8,♥6 | Pair
♥4,♣4,♣3,♦8,♣2 | Pair
♥4,♣4,♣3,♦8,♠7 | Pair
♥4,♣4,♣3,♦8,♣A | Pair
♥4,♣4,♣3,♥6,♣2 | Pair
♥4,♣4,♣3,♥6,♠7 | Pair
♥4,♣4,♣3,♥6,♣A | Pair
♥4,♣4,♣3,♣2,♠7 | Pair
♥4,♣4,♣3,♣2,♣A | Pair
♥4,♣4,♣3,♠7,♣A | Pair
♥4,♣4,♣10,♥A,♣9 | Pair
♥4,♣4,♣10,♥A,♠4 | Three Of A Kind
♥4,♣4,♣10,♥A,♦8 | Pair
♥4,♣4,♣10,♥A,♥6 | Pair
♥4,♣4,♣10,♥A,♣2 | Pair
♥4,♣4,♣10,♥A,♠7 | Pair
♥4,♣4,♣10,♥A,♣A | Two Pairs
♥4,♣4,♣10,♣9,♠4 | Three Of A Kind
♥4,♣4,♣10,♣9,♦8 | Pair
♥4,♣4,♣10,♣9,♥6 | Pair
♥4,♣4,♣10,♣9,♣2 | Pair
♥4,♣4,♣10,♣9,♠7 | Pair
♥4,♣4,♣10,♣9,♣A | Pair
♥4,♣4,♣10,♠4,♦8 | Three Of A Kind
♥4,♣4,♣10,♠4,♥6 | Three Of A Kind
♥4,♣4,♣10,♠4,♣2 | Three Of A Kind
♥4,♣4,♣10,♠4,♠7 | Three Of A Kind
♥4,♣4,♣10,♠4,♣A | Three Of A Kind
♥4,♣4,♣10,♦8,♥6 | Pair
♥4,♣4,♣10,♦8,♣2 | Pair
♥4,♣4,♣10,♦8,♠7 | Pair
♥4,♣4,♣10,♦8,♣A | Pair
♥4,♣4,♣10,♥6,♣2 | Pair
♥4,♣4,♣10,♥6,♠7 | Pair
♥4,♣4,♣10,♥6,♣A | Pair
♥4,♣4,♣10,♣2,♠7 | Pair
♥4,♣4,♣10,♣2,♣A | Pair
♥4,♣4,♣10,♠7,♣A | Pair
♥4,♣4,♥A,♣9,♠4 | Three Of A Kind
♥4,♣4,♥A,♣9,♦8 | Pair
♥4,♣4,♥A,♣9,♥6 | Pair
♥4,♣4,♥A,♣9,♣2 | Pair
♥4,♣4,♥A,♣9,♠7 | Pair
♥4,♣4,♥A,♣9,♣A | Two Pairs
♥4,♣4,♥A,♠4,♦8 | Three Of A Kind
♥4,♣4,♥A,♠4,♥6 | Three Of A Kind
♥4,♣4,♥A,♠4,♣2 | Three Of A Kind
♥4,♣4,♥A,♠4,♠7 | Three Of A Kind
♥4,♣4,♥A,♠4,♣A | Full House
♥4,♣4,♥A,♦8,♥6 | Pair
♥4,♣4,♥A,♦8,♣2 | Pair
♥4,♣4,♥A,♦8,♠7 | Pair
♥4,♣4,♥A,♦8,♣A | Two Pairs
♥4,♣4,♥A,♥6,♣2 | Pair
♥4,♣4,♥A,♥6,♠7 | Pair
♥4,♣4,♥A,♥6,♣A | Two Pairs
♥4,♣4,♥A,♣2,♠7 | Pair
♥4,♣4,♥A,♣2,♣A | Two Pairs
♥4,♣4,♥A,♠7,♣A | Two Pairs
♥4,♣4,♣9,♠4,♦8 | Three Of A Kind
♥4,♣4,♣9,♠4,♥6 | Three Of A Kind
♥4,♣4,♣9,♠4,♣2 | Three Of A Kind
♥4,♣4,♣9,♠4,♠7 | Three Of A Kind
♥4,♣4,♣9,♠4,♣A | Three Of A Kind
♥4,♣4,♣9,♦8,♥6 | Pair
♥4,♣4,♣9,♦8,♣2 | Pair
♥4,♣4,♣9,♦8,♠7 | Pair
♥4,♣4,♣9,♦8,♣A | Pair
♥4,♣4,♣9,♥6,♣2 | Pair
♥4,♣4,♣9,♥6,♠7 | Pair
♥4,♣4,♣9,♥6,♣A | Pair
♥4,♣4,♣9,♣2,♠7 | Pair
♥4,♣4,♣9,♣2,♣A | Pair
♥4,♣4,♣9,♠7,♣A | Pair
♥4,♣4,♠4,♦8,♥6 | Three Of A Kind
♥4,♣4,♠4,♦8,♣2 | Three Of A Kind
♥4,♣4,♠4,♦8,♠7 | Three Of A Kind
♥4,♣4,♠4,♦8,♣A | Three Of A Kind
♥4,♣4,♠4,♥6,♣2 | Three Of A Kind
♥4,♣4,♠4,♥6,♠7 | Three Of A Kind
♥4,♣4,♠4,♥6,♣A | Three Of A Kind
♥4,♣4,♠4,♣2,♠7 | Three Of A Kind
♥4,♣4,♠4,♣2,♣A | Three Of A Kind
♥4,♣4,♠4,♠7,♣A | Three Of A Kind
♥4,♣4,♦8,♥6,♣2 | Pair
♥4,♣4,♦8,♥6,♠7 | Pair
♥4,♣4,♦8,♥6,♣A | Pair
♥4,♣4,♦8,♣2,♠7 | Pair
♥4,♣4,♦8,♣2,♣A | Pair
♥4,♣4,♦8,♠7,♣A | Pair
♥4,♣4,♥6,♣2,♠7 | Pair
♥4,♣4,♥6,♣2,♣A | Pair
♥4,♣4,♥6,♠7,♣A | Pair
♥4,♣4,♣2,♠7,♣A | Pair
♥4,♣3,♣10,♥A,♠4 | Pair
♥4,♣3,♣10,♥A,♣A | Pair
♥4,♣3,♣10,♣9,♠4 | Pair
♥4,♣3,♣10,♠4,♦8 | Pair
♥4,♣3,♣10,♠4,♥6 | Pair
♥4,♣3,♣10,♠4,♣2 | Pair
♥4,♣3,♣10,♠4,♠7 | Pair
♥4,♣3,♣10,♠4,♣A | Pair
♥4,♣3,♥A,♣9,♠4 | Pair
♥4,♣3,♥A,♣9,♣A | Pair
♥4,♣3,♥A,♠4,♦8 | Pair
♥4,♣3,♥A,♠4,♥6 | Pair
♥4,♣3,♥A,♠4,♣2 | Pair
♥4,♣3,♥A,♠4,♠7 | Pair
♥4,♣3,♥A,♠4,♣A | Two Pairs
♥4,♣3,♥A,♦8,♣A | Pair
♥4,♣3,♥A,♥6,♣A | Pair
♥4,♣3,♥A,♣2,♣A | Pair
♥4,♣3,♥A,♠7,♣A | Pair
♥4,♣3,♣9,♠4,♦8 | Pair
♥4,♣3,♣9,♠4,♥6 | Pair
♥4,♣3,♣9,♠4,♣2 | Pair
♥4,♣3,♣9,♠4,♠7 | Pair
♥4,♣3,♣9,♠4,♣A | Pair
♥4,♣3,♠4,♦8,♥6 | Pair
♥4,♣3,♠4,♦8,♣2 | Pair
♥4,♣3,♠4,♦8,♠7 | Pair
♥4,♣3,♠4,♦8,♣A | Pair
♥4,♣3,♠4,♥6,♣2 | Pair
♥4,♣3,♠4,♥6,♠7 | Pair
♥4,♣3,♠4,♥6,♣A | Pair
♥4,♣3,♠4,♣2,♠7 | Pair
♥4,♣3,♠4,♣2,♣A | Pair
♥4,♣3,♠4,♠7,♣A | Pair
♥4,♣10,♥A,♣9,♠4 | Pair
♥4,♣10,♥A,♣9,♣A | Pair
♥4,♣10,♥A,♠4,♦8 | Pair
♥4,♣10,♥A,♠4,♥6 | Pair
♥4,♣10,♥A,♠4,♣2 | Pair
♥4,♣10,♥A,♠4,♠7 | Pair
♥4,♣10,♥A,♠4,♣A | Two Pairs
♥4,♣10,♥A,♦8,♣A | Pair
♥4,♣10,♥A,♥6,♣A | Pair
♥4,♣10,♥A,♣2,♣A | Pair
♥4,♣10,♥A,♠7,♣A | Pair
♥4,♣10,♣9,♠4,♦8 | Pair
♥4,♣10,♣9,♠4,♥6 | Pair
♥4,♣10,♣9,♠4,♣2 | Pair
♥4,♣10,♣9,♠4,♠7 | Pair
♥4,♣10,♣9,♠4,♣A | Pair
♥4,♣10,♠4,♦8,♥6 | Pair
♥4,♣10,♠4,♦8,♣2 | Pair
♥4,♣10,♠4,♦8,♠7 | Pair
♥4,♣10,♠4,♦8,♣A | Pair
♥4,♣10,♠4,♥6,♣2 | Pair
♥4,♣10,♠4,♥6,♠7 | Pair
♥4,♣10,♠4,♥6,♣A | Pair
♥4,♣10,♠4,♣2,♠7 | Pair
♥4,♣10,♠4,♣2,♣A | Pair
♥4,♣10,♠4,♠7,♣A | Pair
♥4,♥A,♣9,♠4,♦8 | Pair
♥4,♥A,♣9,♠4,♥6 | Pair
♥4,♥A,♣9,♠4,♣2 | Pair
♥4,♥A,♣9,♠4,♠7 | Pair
♥4,♥A,♣9,♠4,♣A | Two Pairs
♥4,♥A,♣9,♦8,♣A | Pair
♥4,♥A,♣9,♥6,♣A | Pair
♥4,♥A,♣9,♣2,♣A | Pair
♥4,♥A,♣9,♠7,♣A | Pair
♥4,♥A,♠4,♦8,♥6 | Pair
♥4,♥A,♠4,♦8,♣2 | Pair
♥4,♥A,♠4,♦8,♠7 | Pair
♥4,♥A,♠4,♦8,♣A | Two Pairs
♥4,♥A,♠4,♥6,♣2 | Pair
♥4,♥A,♠4,♥6,♠7 | Pair
♥4,♥A,♠4,♥6,♣A | Two Pairs
♥4,♥A,♠4,♣2,♠7 | Pair
♥4,♥A,♠4,♣2,♣A | Two Pairs
♥4,♥A,♠4,♠7,♣A | Two Pairs
♥4,♥A,♦8,♥6,♣A | Pair
♥4,♥A,♦8,♣2,♣A | Pair
♥4,♥A,♦8,♠7,♣A | Pair
♥4,♥A,♥6,♣2,♣A | Pair
♥4,♥A,♥6,♠7,♣A | Pair
♥4,♥A,♣2,♠7,♣A | Pair
♥4,♣9,♠4,♦8,♥6 | Pair
♥4,♣9,♠4,♦8,♣2 | Pair
♥4,♣9,♠4,♦8,♠7 | Pair
♥4,♣9,♠4,♦8,♣A | Pair
♥4,♣9,♠4,♥6,♣2 | Pair
♥4,♣9,♠4,♥6,♠7 | Pair
♥4,♣9,♠4,♥6,♣A | Pair
♥4,♣9,♠4,♣2,♠7 | Pair
♥4,♣9,♠4,♣2,♣A | Pair
♥4,♣9,♠4,♠7,♣A | Pair
♥4,♠4,♦8,♥6,♣2 | Pair
♥4,♠4,♦8,♥6,♠7 | Pair
♥4,♠4,♦8,♥6,♣A | Pair
♥4,♠4,♦8,♣2,♠7 | Pair
♥4,♠4,♦8,♣2,♣A | Pair
♥4,♠4,♦8,♠7,♣A | Pair
♥4,♠4,♥6,♣2,♠7 | Pair
♥4,♠4,♥6,♣2,♣A | Pair
♥4,♠4,♥6,♠7,♣A | Pair
♥4,♠4,♣2,♠7,♣A | Pair
♣4,♣3,♣10,♥A,♠4 | Pair
♣4,♣3,♣10,♥A,♣A | Pair
♣4,♣3,♣10,♣9,♠4 | Pair
♣4,♣3,♣10,♣9,♣2 | Flush
♣4,♣3,♣10,♣9,♣A | Flush
♣4,♣3,♣10,♠4,♦8 | Pair
♣4,♣3,♣10,♠4,♥6 | Pair
♣4,♣3,♣10,♠4,♣2 | Pair
♣4,♣3,♣10,♠4,♠7 | Pair
♣4,♣3,♣10,♠4,♣A | Pair
♣4,♣3,♣10,♣2,♣A | Flush
♣4,♣3,♥A,♣9,♠4 | Pair
♣4,♣3,♥A,♣9,♣A | Pair
♣4,♣3,♥A,♠4,♦8 | Pair
♣4,♣3,♥A,♠4,♥6 | Pair
♣4,♣3,♥A,♠4,♣2 | Pair
♣4,♣3,♥A,♠4,♠7 | Pair
♣4,♣3,♥A,♠4,♣A | Two Pairs
♣4,♣3,♥A,♦8,♣A | Pair
♣4,♣3,♥A,♥6,♣A | Pair
♣4,♣3,♥A,♣2,♣A | Pair
♣4,♣3,♥A,♠7,♣A | Pair
♣4,♣3,♣9,♠4,♦8 | Pair
♣4,♣3,♣9,♠4,♥6 | Pair
♣4,♣3,♣9,♠4,♣2 | Pair
♣4,♣3,♣9,♠4,♠7 | Pair
♣4,♣3,♣9,♠4,♣A | Pair
♣4,♣3,♣9,♣2,♣A | Flush
♣4,♣3,♠4,♦8,♥6 | Pair
♣4,♣3,♠4,♦8,♣2 | Pair
♣4,♣3,♠4,♦8,♠7 | Pair
♣4,♣3,♠4,♦8,♣A | Pair
♣4,♣3,♠4,♥6,♣2 | Pair
♣4,♣3,♠4,♥6,♠7 | Pair
♣4,♣3,♠4,♥6,♣A | Pair
♣4,♣3,♠4,♣2,♠7 | Pair
♣4,♣3,♠4,♣2,♣A | Pair
♣4,♣3,♠4,♠7,♣A | Pair
♣4,♣10,♥A,♣9,♠4 | Pair
♣4,♣10,♥A,♣9,♣A | Pair
♣4,♣10,♥A,♠4,♦8 | Pair
♣4,♣10,♥A,♠4,♥6 | Pair
♣4,♣10,♥A,♠4,♣2 | Pair
♣4,♣10,♥A,♠4,♠7 | Pair
♣4,♣10,♥A,♠4,♣A | Two Pairs
♣4,♣10,♥A,♦8,♣A | Pair
♣4,♣10,♥A,♥6,♣A | Pair
♣4,♣10,♥A,♣2,♣A | Pair
♣4,♣10,♥A,♠7,♣A | Pair
♣4,♣10,♣9,♠4,♦8 | Pair
♣4,♣10,♣9,♠4,♥6 | Pair
♣4,♣10,♣9,♠4,♣2 | Pair
♣4,♣10,♣9,♠4,♠7 | Pair
♣4,♣10,♣9,♠4,♣A | Pair
♣4,♣10,♣9,♣2,♣A | Flush
♣4,♣10,♠4,♦8,♥6 | Pair
♣4,♣10,♠4,♦8,♣2 | Pair
♣4,♣10,♠4,♦8,♠7 | Pair
♣4,♣10,♠4,♦8,♣A | Pair
♣4,♣10,♠4,♥6,♣2 | Pair
♣4,♣10,♠4,♥6,♠7 | Pair
♣4,♣10,♠4,♥6,♣A | Pair
♣4,♣10,♠4,♣2,♠7 | Pair
♣4,♣10,♠4,♣2,♣A | Pair
♣4,♣10,♠4,♠7,♣A | Pair
♣4,♥A,♣9,♠4,♦8 | Pair
♣4,♥A,♣9,♠4,♥6 | Pair
♣4,♥A,♣9,♠4,♣2 | Pair
♣4,♥A,♣9,♠4,♠7 | Pair
♣4,♥A,♣9,♠4,♣A | Two Pairs
♣4,♥A,♣9,♦8,♣A | Pair
♣4,♥A,♣9,♥6,♣A | Pair
♣4,♥A,♣9,♣2,♣A | Pair
♣4,♥A,♣9,♠7,♣A | Pair
♣4,♥A,♠4,♦8,♥6 | Pair
♣4,♥A,♠4,♦8,♣2 | Pair
♣4,♥A,♠4,♦8,♠7 | Pair
♣4,♥A,♠4,♦8,♣A | Two Pairs
♣4,♥A,♠4,♥6,♣2 | Pair
♣4,♥A,♠4,♥6,♠7 | Pair
♣4,♥A,♠4,♥6,♣A | Two Pairs
♣4,♥A,♠4,♣2,♠7 | Pair
♣4,♥A,♠4,♣2,♣A | Two Pairs
♣4,♥A,♠4,♠7,♣A | Two Pairs
♣4,♥A,♦8,♥6,♣A | Pair
♣4,♥A,♦8,♣2,♣A | Pair
♣4,♥A,♦8,♠7,♣A | Pair
♣4,♥A,♥6,♣2,♣A | Pair
♣4,♥A,♥6,♠7,♣A | Pair
♣4,♥A,♣2,♠7,♣A | Pair
♣4,♣9,♠4,♦8,♥6 | Pair
♣4,♣9,♠4,♦8,♣2 | Pair
♣4,♣9,♠4,♦8,♠7 | Pair
♣4,♣9,♠4,♦8,♣A | Pair
♣4,♣9,♠4,♥6,♣2 | Pair
♣4,♣9,♠4,♥6,♠7 | Pair
♣4,♣9,♠4,♥6,♣A | Pair
♣4,♣9,♠4,♣2,♠7 | Pair
♣4,♣9,♠4,♣2,♣A | Pair
♣4,♣9,♠4,♠7,♣A | Pair
♣4,♠4,♦8,♥6,♣2 | Pair
♣4,♠4,♦8,♥6,♠7 | Pair
♣4,♠4,♦8,♥6,♣A | Pair
♣4,♠4,♦8,♣2,♠7 | Pair
♣4,♠4,♦8,♣2,♣A | Pair
♣4,♠4,♦8,♠7,♣A | Pair
♣4,♠4,♥6,♣2,♠7 | Pair
♣4,♠4,♥6,♣2,♣A | Pair
♣4,♠4,♥6,♠7,♣A | Pair
♣4,♠4,♣2,♠7,♣A | Pair
♣3,♣10,♥A,♣9,♣A | Pair
♣3,♣10,♥A,♠4,♣A | Pair
♣3,♣10,♥A,♦8,♣A | Pair
♣3,♣10,♥A,♥6,♣A | Pair
♣3,♣10,♥A,♣2,♣A | Pair
♣3,♣10,♥A,♠7,♣A | Pair
♣3,♣10,♣9,♣2,♣A | Flush
♣3,♥A,♣9,♠4,♣A | Pair
♣3,♥A,♣9,♦8,♣A | Pair
♣3,♥A,♣9,♥6,♣A | Pair
♣3,♥A,♣9,♣2,♣A | Pair
♣3,♥A,♣9,♠7,♣A | Pair
♣3,♥A,♠4,♦8,♣A | Pair
♣3,♥A,♠4,♥6,♣A | Pair
♣3,♥A,♠4,♣2,♣A | Pair
♣3,♥A,♠4,♠7,♣A | Pair
♣3,♥A,♦8,♥6,♣A | Pair
♣3,♥A,♦8,♣2,♣A | Pair
♣3,♥A,♦8,♠7,♣A | Pair
♣3,♥A,♥6,♣2,♣A | Pair
♣3,♥A,♥6,♠7,♣A | Pair
♣3,♥A,♣2,♠7,♣A | Pair
♣10,♥A,♣9,♠4,♣A | Pair
♣10,♥A,♣9,♦8,♣A | Pair
♣10,♥A,♣9,♥6,♣A | Pair
♣10,♥A,♣9,♣2,♣A | Pair
♣10,♥A,♣9,♠7,♣A | Pair
♣10,♥A,♠4,♦8,♣A | Pair
♣10,♥A,♠4,♥6,♣A | Pair
♣10,♥A,♠4,♣2,♣A | Pair
♣10,♥A,♠4,♠7,♣A | Pair
♣10,♥A,♦8,♥6,♣A | Pair
♣10,♥A,♦8,♣2,♣A | Pair
♣10,♥A,♦8,♠7,♣A | Pair
♣10,♥A,♥6,♣2,♣A | Pair
♣10,♥A,♥6,♠7,♣A | Pair
♣10,♥A,♣2,♠7,♣A | Pair
♣10,♣9,♦8,♥6,♠7 | Straight
♥A,♣9,♠4,♦8,♣A | Pair
♥A,♣9,♠4,♥6,♣A | Pair
♥A,♣9,♠4,♣2,♣A | Pair
♥A,♣9,♠4,♠7,♣A | Pair
♥A,♣9,♦8,♥6,♣A | Pair
♥A,♣9,♦8,♣2,♣A | Pair
♥A,♣9,♦8,♠7,♣A | Pair
♥A,♣9,♥6,♣2,♣A | Pair
♥A,♣9,♥6,♠7,♣A | Pair
♥A,♣9,♣2,♠7,♣A | Pair
♥A,♠4,♦8,♥6,♣A | Pair
♥A,♠4,♦8,♣2,♣A | Pair
♥A,♠4,♦8,♠7,♣A | Pair
♥A,♠4,♥6,♣2,♣A | Pair
♥A,♠4,♥6,♠7,♣A | Pair
♥A,♠4,♣2,♠7,♣A | Pair
♥A,♦8,♥6,♣2,♣A | Pair
♥A,♦8,♥6,♠7,♣A | Pair
♥A,♦8,♣2,♠7,♣A | Pair
♥A,♥6,♣2,♠7,♣A | Pair
