♦7,♠10,♥K,♣3,♥3 | Pair
♦7,♣3,♥3,♣A,♣2 | Pair
♦7,♣3,♥3,♣A,♦Q | Pair
♦7,♣3,♥3,♣A,♣10 | Pair
♦7,♣3,♥3,♣A,♠A | Two Pairs
♦7,♣3,♥3,♥4,♣2 | Pair
♦7,♣3,♥3,♥4,♦Q | Pair
♦7,♣3,♥3,♥4,♣10 | Pair
♦7,♣3,♥3,♥4,♠A | Pair
♦7,♣3,♥3,♣2,♦Q | Pair
♦7,♣3,♥3,♣2,♣10 | Pair
♦7,♣3,♥3,♣2,♠A | Pair
♦7,♣3,♥3,♦Q,♣10 | Pair
♦7,♣3,♥3,♦Q,♠A | Pair
♦7,♣3,♥3,♣10,♠A | Pair
♦7,♣3,♠7,♣A,♥4 | Pair
♦7,♣3,♠7,♣A,♣2 | Pair
♦7,♣3,♠7,♣A,♦Q | Pair
♦7,♣3,♠7,♣A,♣10 | Pair
♦7,♣3,♠7,♣A,♠A | Two Pairs
♦7,♣3,♠7,♥4,♣2 | Pair
♦7,♣3,♠7,♥4,♦Q | Pair
♦7,♣3,♠7,♥4,♣10 | Pair
♦7,♣3,♠7,♥4,♠A | Pair
♦7,♣3,♠7,♣2,♦Q | Pair
♦7,♣3,♠7,♣2,♣10 | Pair
♦7,♣3,♠7,♣2,♠A | Pair
♦7,♣3,♠7,♦Q,♣10 | Pair
♦7,♣3,♠7,♦Q,♠A | Pair
♦7,♣3,♠7,♣10,♠A | Pair
♦7,♣3,♣A,♥4,♠A | Pair
♦7,♣3,♣A,♣2,♠A | Pair
♦7,♣3,♣A,♦Q,♠A | Pair
♦7,♣3,♣A,♣10,♠A | Pair
♦7,♠9,♥3,♠7,♣A | Pair
♦7,♠9,♥3,♠7,♥4 | Pair
♦7,♠9,♥3,♠7,♣2 | Pair
♦7,♠9,♥3,♠7,♦Q | Pair
♦7,♠9,♥3,♠7,♣10 | Pair
♦7,♠9,♥3,♠7,♠A | Pair
♦7,♠9,♥3,♣A,♠A | Pair
♦7,♠9,♠7,♣A,♥4 | Pair
♦7,♠9,♠7,♣A,♣2 | Pair
♦7,♠9,♠7,♣A,♦Q | Pair
♦7,♠9,♠7,♣A,♣10 | Pair
♦7,♠9,♠7,♣A,♠A | Two Pairs
♦7,♠9,♠7,♥4,♣2 | Pair
♦7,♠9,♠7,♥4,♦Q | Pair
♦7,♠9,♠7,♥4,♣10 | Pair
♦7,♠9,♠7,♥4,♠A | Pair
♦7,♠9,♠7,♣2,♦Q | Pair
♦7,♠9,♠7,♣2,♣10 | Pair
♦7,♠9,♠7,♣2,♠A | Pair
♦7,♠9,♠7,♦Q,♣10 | Pair
♦7,♠9,♠7,♦Q,♠A | Pair
♦7,♠9,♠7,♣10,♠A | Pair
♦7,♠9,♣A,♥4,♠A | Pair
♦7,♠9,♣A,♣2,♠A | Pair
♦7,♠9,♣A,♦Q,♠A | Pair
♦7,♠9,♣A,♣10,♠A | Pair
♦7,♥3,♠7,♣A,♥4 | Pair
♦7,♥3,♠7,♣A,♣2 | Pair
♦7,♥3,♠7,♣A,♦Q | Pair
♦7,♥3,♠7,♣A,♣10 | Pair
♦7,♥3,♠7,♣A,♠A | Two Pairs
♦7,♥3,♠7,♥4,♣2 | Pair
♦7,♥3,♠7,♥4,♦Q | Pair
♦7,♥3,♠7,♥4,♣10 | Pair
♦7,♥3,♠7,♥4,♠A | Pair
♦7,♥3,♠7,♣2,♦Q | Pair
♦7,♥3,♠7,♣2,♣10 | Pair
♦7,♥3,♠7,♣2,♠A | Pair
♦7,♥3,♠7,♦Q,♣10 | Pair
♦7,♥3,♠7,♦Q,♠A | Pair
♦7,♥3,♠7,♣10,♠A | Pair
♦7,♥3,♣A,♥4,♠A | Pair
♦7,♥3,♣A,♣2,♠A | Pair
♦7,♥3,♣A,♦Q,♠A | Pair
♦7,♥3,♣A,♣10,♠A | Pair
♦7,♠7,♣A,♥4,♣2 | Pair
♦7,♠7,♣A,♥4,♦Q | Pair
♦7,♠7,♣A,♥4,♣10 | Pair
♦7,♠7,♣A,♥4,♠A | Two Pairs
♦7,♠7,♣A,♣2,♦Q | Pair
♦7,♠7,♣A,♣2,♣10 | Pair
♦7,♠7,♣A,♣2,♠A | Two Pairs
♦7,♠7,♣A,♦Q,♣10 | Pair
♦7,♠7,♣A,♦Q,♠A | Two Pairs
♦7,♠7,♣A,♣10,♠A | Two Pairs
♦7,♠7,♥4,♣2,♦Q | Pair
♦7,♠7,♥4,♣2,♣10 | Pair
♦7,♠7,♥4,♣2,♠A | Pair
♦7,♠7,♥4,♦Q,♣10 | Pair
♦7,♠7,♥4,♦Q,♠A | Pair
♦7,♠7,♥4,♣10,♠A | Pair
♦7,♠7,♣2,♦Q,♣10 | Pair
♦7,♠7,♣2,♦Q,♠A | Pair
♦7,♠7,♣2,♣10,♠A | Pair
♦7,♠7,♦Q,♣10,♠A | Pair
♦7,♣A,♥4,♣2,♠A | Pair
♦7,♣A,♥4,♦Q,♠A | Pair
♦7,♣A,♥4,♣10,♠A | Pair
♦7,♣A,♣2,♦Q,♠A | Pair
♦7,♣A,♣2,♣10,♠A | Pair
♦7,♣A,♦Q,♣10,♠A | Pair
♠10,♥K,♣3,♠9,♥3 | Pair
♠10,♥K,♣3,♠9,♣10 | Pair
♠10,♥K,♣3,♥3,♠7 | Pair
♠10,♥K,♣3,♥3,♣A | Pair
♠10,♥K,♣3,♥3,♥4 | Pair
♠10,♥K,♣3,♥3,♣2 | Pair
♠10,♥K,♣3,♥3,♦Q | Pair
♠10,♥K,♣3,♥3,♣10 | Two Pairs
♠10,♥K,♣3,♥3,♠A | Pair
♠10,♥K,♣3,♠7,♣10 | Pair
♠10,♥K,♣3,♣A,♣10 | Pair
♠10,♥K,♣3,♣A,♠A | Pair
♠10,♥K,♣3,♥4,♣10 | Pair
♠10,♥K,♣3,♣2,♣10 | Pair
♠10,♥K,♣3,♦Q,♣10 | Pair
♠10,♥K,♣3,♣10,♠A | Pair
♠10,♥K,♠9,♥3,♣10 | Pair
♠10,♥K,♠9,♠7,♣10 | Pair
♠10,♥K,♠9,♣A,♣10 | Pair
♠10,♥K,♠9,♣A,♠A | Pair
♠10,♥K,♠9,♥4,♣10 | Pair
♠10,♥K,♠9,♣2,♣10 | Pair
♠10,♥K,♠9,♦Q,♣10 | Pair
♠10,♥K,♠9,♣10,♠A | Pair
♠10,♥K,♥3,♠7,♣10 | Pair
♠10,♥K,♥3,♣A,♣10 | Pair
♠10,♥K,♥3,♣A,♠A | Pair
♠10,♥K,♥3,♥4,♣10 | Pair
♠10,♥K,♥3,♣2,♣10 | Pair
♠10,♥K,♥3,♦Q,♣10 | Pair
♠10,♥K,♥3,♣10,♠A | Pair
♠10,♥K,♠7,♣A,♣10 | Pair
♠10,♥K,♠7,♣A,♠A | Pair
♠10,♥K,♠7,♥4,♣10 | Pair
♠10,♥K,♠7,♣2,♣10 | Pair
♠10,♥K,♠7,♦Q,♣10 | Pair
♠10,♥K,♠7,♣10,♠A | Pair
♠10,♥K,♣A,♥4,♣10 | Pair
♠10,♥K,♣A,♥4,♠A | Pair
♠10,♥K,♣A,♣2,♣10 | Pair
♠10,♥K,♣A,♣2,♠A | Pair
♠10,♥K,♣A,♦Q,♣10 | Pair
♠10,♥K,♣A,♦Q,♠A | Pair
♠10,♥K,♣A,♣10,♠A | Two Pairs
♠10,♥K,♥4,♣2,♣10 | Pair
♠10,♥K,♥4,♦Q,♣10 | Pair
♠10,♥K,♥4,♣10,♠A | Pair
♠10,♥K,♣2,♦Q,♣10 | Pair
♠10,♥K,♣2,♣10,♠A | Pair
♠10,♥K,♦Q,♣10,♠A | Pair
♠10,♣3,♠9,♥3,♠7 | Pair
♠10,♣3,♠9,♥3,♣A | Pair
♠10,♣3,♠9,♥3,♥4 | Pair
♠10,♣3,♠9,♥3,♣2 | Pair
♠10,♣3,♠9,♥3,♦Q | Pair
♠10,♣3,♠9,♥3,♣10 | Two Pairs
♠10,♣3,♠9,♥3,♠A | Pair
♠10,♣3,♠9,♠7,♣10 | Pair
♠10,♣3,♠9,♣A,♣10 | Pair
♠10,♣3,♠9,♣A,♠A | Pair
♠10,♣3,♠9,♥4,♣10 | Pair
♠10,♣3,♠9,♣2,♣10 | Pair
♠10,♣3,♠9,♦Q,♣10 | Pair
♠10,♣3,♠9,♣10,♠A | Pair
♠10,♣3,♥3,♠7,♣A | Pair
♠10,♣3,♥3,♠7,♥4 | Pair
♠10,♣3,♥3,♠7,♣2 | Pair
♠10,♣3,♥3,♠7,♦Q | Pair
♠10,♣3,♥3,♠7,♣10 | Two Pairs
♠10,♣3,♥3,♠7,♠A | Pair
♠10,♣3,♥3,♣A,♥4 | Pair
♠10,♣3,♥3,♣A,♣2 | Pair
♠10,♣3,♥3,♣A,♦Q | Pair
♠10,♣3,♥3,♣A,♣10 | Two Pairs
♠10,♣3,♥3,♣A,♠A | Two Pairs
♠10,♣3,♥3,♥4,♣2 | Pair
♠10,♣3,♥3,♥4,♦Q | Pair
♠10,♣3,♥3,♥4,♣10 | Two Pairs
♠10,♣3,♥3,♥4,♠A | Pair
♠10,♣3,♥3,♣2,♦Q | Pair
♠10,♣3,♥3,♣2,♣10 | Two Pairs
♠10,♣3,♥3,♣2,♠A | Pair
♠10,♣3,♥3,♦Q,♣10 | Two Pairs
♠10,♣3,♥3,♦Q,♠A | Pair
♠10,♣3,♥3,♣10,♠A | Two Pairs
♠10,♣3,♠7,♣A,♣10 | Pair
♠10,♣3,♠7,♣A,♠A | Pair
♠10,♣3,♠7,♥4,♣10 | Pair
♠10,♣3,♠7,♣2,♣10 | Pair
♠10,♣3,♠7,♦Q,♣10 | Pair
♠10,♣3,♠7,♣10,♠A | Pair
♠10,♣3,♣A,♥4,♣10 | Pair
♠10,♣3,♣A,♥4,♠A | Pair
♠10,♣3,♣A,♣2,♣10 | Pair
♠10,♣3,♣A,♣2,♠A | Pair
♠10,♣3,♣A,♦Q,♣10 | Pair
♠10,♣3,♣A,♦Q,♠A | Pair
♠10,♣3,♣A,♣10,♠A | Two Pairs
♠10,♣3,♥4,♣2,♣10 | Pair
♠10,♣3,♥4,♦Q,♣10 | Pair
♠10,♣3,♥4,♣10,♠A | Pair
♠10,♣3,♣2,♦Q,♣10 | Pair
♠10,♣3,♣2,♣10,♠A | Pair
♠10,♣3,♦Q,♣10,♠A | Pair
♠10,♠9,♥3,♠7,♣10 | Pair
♠10,♠9,♥3,♣A,♣10 | Pair
♠10,♠9,♥3,♣A,♠A | Pair
♠10,♠9,♥3,♥4,♣10 | Pair
♠10,♠9,♥3,♣2,♣10 | Pair
♠10,♠9,♥3,♦Q,♣10 | Pair
♠10,♠9,♥3,♣10,♠A | Pair
♠10,♠9,♠7,♣A,♣10 | Pair
♠10,♠9,♠7,♣A,♠A | Pair
♠10,♠9,♠7,♥4,♣10 | Pair
♠10,♠9,♠7,♣2,♣10 | Pair
♠10,♠9,♠7,♦Q,♣10 | Pair
♠10,♠9,♠7,♣10,♠A | Pair
♠10,♠9,♣A,♥4,♣10 | Pair
♠10,♠9,♣A,♥4,♠A | Pair
♠10,♠9,♣A,♣2,♣10 | Pair
♠10,♠9,♣A,♣2,♠A | Pair
♠10,♠9,♣A,♦Q,♣10 | Pair
♠10,♠9,♣A,♦Q,♠A | Pair
♠10,♠9,♣A,♣10,♠A | Two Pairs
♠10,♠9,♥4,♣2,♣10 | Pair
♠10,♠9,♥4,♦Q,♣10 | Pair
♠10,♠9,♥4,♣10,♠A | Pair
♠10,♠9,♣2,♦Q,♣10 | Pair
♠10,♠9,♣2,♣10,♠A | Pair
♠10,♠9,♦Q,♣10,♠A | Pair
♠10,♥3,♠7,♣A,♣10 | Pair
♠10,♥3,♠7,♣A,♠A | Pair
♠10,♥3,♠7,♥4,♣10 | Pair
♠10,♥3,♠7,♣2,♣10 | Pair
♠10,♥3,♠7,♦Q,♣10 | Pair
♠10,♥3,♠7,♣10,♠A | Pair
♠10,♥3,♣A,♥4,♣10 | Pair
♠10,♥3,♣A,♥4,♠A | Pair
♠10,♥3,♣A,♣2,♣10 | Pair
♠10,♥3,♣A,♣2,♠A | Pair
♠10,♥3,♣A,♦Q,♣10 | Pair
♠10,♥3,♣A,♦Q,♠A | Pair
♠10,♥3,♣A,♣10,♠A | Two Pairs
♠10,♥3,♥4,♣2,♣10 | Pair
♠10,♥3,♥4,♦Q,♣10 | Pair
♠10,♥3,♥4,♣10,♠A | Pair
♠10,♥3,♣2,♦Q,♣10 | Pair
♠10,♥3,♣2,♣10,♠A | Pair
♠10,♥3,♦Q,♣10,♠A | Pair
♠10,♠7,♣A,♥4,♣10 | Pair
♠10,♠7,♣A,♥4,♠A | Pair
♠10,♠7,♣A,♣2,♣10 | Pair
♠10,♠7,♣A,♣2,♠A | Pair
♠10,♠7,♣A,♦Q,♣10 | Pair
♠10,♠7,♣A,♦Q,♠A | Pair
♠10,♠7,♣A,♣10,♠A | Two Pairs
♠10,♠7,♥4,♣2,♣10 | Pair
♠10,♠7,♥4,♦Q,♣10 | Pair
♠10,♠7,♥4,♣10,♠A | Pair
♠10,♠7,♣2,♦Q,♣10 | Pair
♠10,♠7,♣2,♣10,♠A | Pair
♠10,♠7,♦Q,♣10,♠A | Pair
♠10,♣A,♥4,♣2,♣10 | Pair
♠10,♣A,♥4,♣2,♠A | Pair
♠10,♣A,♥4,♦Q,♣10 | Pair
♠10,♣A,♥4,♦Q,♠A | Pair
♠10,♣A,♥4,♣10,♠A | Two Pairs
♠10,♣A,♣2,♦Q,♣10 | Pair
♠10,♣A,♣2,♦Q,♠A | Pair
♠10,♣A,♣2,♣10,♠A | Two Pairs
♠10,♣A,♦Q,♣10,♠A | Two Pairs
♠10,♥4,♣2,♦Q,♣10 | Pair
♠10,♥4,♣2,♣10,♠A | Pair
♠10,♥4,♦Q,♣10,♠A | Pair
♠10,♣2,♦Q,♣10,♠A | Pair
♥K,♣3,♠9,♥3,♠7 | Pair
♥K,♣3,♠9,♥3,♣A | Pair
♥K,♣3,♠9,♥3,♥4 | Pair
♥K,♣3,♠9,♥3,♣2 | Pair
♥K,♣3,♠9,♥3,♦Q | Pair
♥K,♣3,♠9,♥3,♣10 | Pair
♥K,♣3,♠9,♥3,♠A | Pair
♥K,♣3,♠9,♣A,♠A | Pair
♥K,♣3,♥3,♠7,♣A | Pair
♥K,♣3,♥3,♠7,♥4 | Pair
♥K,♣3,♥3,♠7,♣2 | Pair
♥K,♣3,♥3,♠7,♦Q | Pair
♥K,♣3,♥3,♠7,♣10 | Pair
♥K,♣3,♥3,♠7,♠A | Pair
♥K,♣3,♥3,♣A,♥4 | Pair
♥K,♣3,♥3,♣A,♣2 | Pair
♥K,♣3,♥3,♣A,♦Q | Pair
♥K,♣3,♥3,♣A,♣10 | Pair
♥K,♣3,♥3,♣A,♠A | Two Pairs
♥K,♣3,♥3,♥4,♣2 | Pair
♥K,♣3,♥3,♥4,♦Q | Pair
♥K,♣3,♥3,♥4,♣10 | Pair
♥K,♣3,♥3,♥4,♠A | Pair
♥K,♣3,♥3,♣2,♦Q | Pair
♥K,♣3,♥3,♣2,♣10 | Pair
♥K,♣3,♥3,♣2,♠A | Pair
♥K,♣3,♥3,♦Q,♣10 | Pair
♥K,♣3,♥3,♦Q,♠A | Pair
♥K,♣3,♥3,♣10,♠A | Pair
♥K,♣3,♠7,♣A,♠A | Pair
♥K,♣3,♣A,♥4,♠A | Pair
♥K,♣3,♣A,♣2,♠A | Pair
♥K,♣3,♣A,♦Q,♠A | Pair
♥K,♣3,♣A,♣10,♠A | Pair
♥K,♠9,♥3,♣A,♠A | Pair
♥K,♠9,♠7,♣A,♠A | Pair
♥K,♠9,♣A,♥4,♠A | Pair
♥K,♠9,♣A,♣2,♠A | Pair
♥K,♠9,♣A,♦Q,♠A | Pair
♥K,♠9,♣A,♣10,♠A | Pair
♥K,♥3,♠7,♣A,♠A | Pair
♥K,♥3,♣A,♥4,♠A | Pair
♥K,♥3,♣A,♣2,♠A | Pair
♥K,♥3,♣A,♦Q,♠A | Pair
♥K,♥3,♣A,♣10,♠A | Pair
♥K,♠7,♣A,♥4,♠A | Pair
♥K,♠7,♣A,♣2,♠A | Pair
♥K,♠7,♣A,♦Q,♠A | Pair
♥K,♠7,♣A,♣10,♠A | Pair
♥K,♣A,♥4,♣2,♠A | Pair
♥K,♣A,♥4,♦Q,♠A | Pair
♥K,♣A,♥4,♣10,♠A | Pair
♥K,♣A,♣2,♦Q,♠A | Pair
♥K,♣A,♣2,♣10,♠A | Pair
♥K,♣A,♦Q,♣10,♠A | Pair
♣3,♠9,♥3,♠7,♣A | Pair
♣3,♠9,♥3,♠7,♥4 | Pair
♣3,♠9,♥3,♠7,♣2 | Pair
♣3,♠9,♥3,♠7,♦Q | Pair
♣3,♠9,♥3,♠7,♣10 | Pair
♣3,♠9,♥3,♠7,♠A | Pair
♣3,♠9,♥3,♣A,♥4 | Pair
♣3,♠9,♥3,♣A,♣2 | Pair
♣3,♠9,♥3,♣A,♦Q | Pair
♣3,♠9,♥3,♣A,♣10 | Pair
♣3,♠9,♥3,♣A,♠A | Two Pairs
♣3,♠9,♥3,♥4,♣2 | Pair
♣3,♠9,♥3,♥4,♦Q | Pair
♣3,♠9,♥3,♥4,♣10 | Pair
♣3,♠9,♥3,♥4,♠A | Pair
♣3,♠9,♥3,♣2,♦Q | Pair
♣3,♠9,♥3,♣2,♣10 | Pair
♣3,♠9,♥3,♣2,♠A | Pair
♣3,♠9,♥3,♦Q,♣10 | Pair
♣3,♠9,♥3,♦Q,♠A | Pair
♣3,♠9,♥3,♣10,♠A | Pair
♣3,♠9,♠7,♣A,♠A | Pair
♣3,♠9,♣A,♥4,♠A | Pair
♣3,♠9,♣A,♣2,♠A | Pair
♣3,♠9,♣A,♦Q,♠A | Pair
♣3,♠9,♣A,♣10,♠A | Pair
♣3,♥3,♠7,♣A,♥4 | Pair
♣3,♥3,♠7,♣A,♣2 | Pair
♣3,♥3,♠7,♣A,♦Q | Pair
♣3,♥3,♠7,♣A,♣10 | Pair
♣3,♥3,♠7,♣A,♠A | Two Pairs
♣3,♥3,♠7,♥4,♣2 | Pair
♣3,♥3,♠7,♥4,♦Q | Pair
♣3,♥3,♠7,♥4,♣10 | Pair
♣3,♥3,♠7,♥4,♠A | Pair
♣3,♥3,♠7,♣2,♦Q | Pair
♣3,♥3,♠7,♣2,♣10 | Pair
♣3,♥3,♠7,♣2,♠A | Pair
♣3,♥3,♠7,♦Q,♣10 | Pair
♣3,♥3,♠7,♦Q,♠A | Pair
♣3,♥3,♠7,♣10,♠A | Pair
♣3,♥3,♣A,♥4,♣2 | Pair
♣3,♥3,♣A,♥4,♦Q | Pair
♣3,♥3,♣A,♥4,♣10 | Pair
♣3,♥3,♣A,♥4,♠A | Two Pairs
♣3,♥3,♣A,♣2,♦Q | Pair
♣3,♥3,♣A,♣2,♣10 | Pair
♣3,♥3,♣A,♣2,♠A | Two Pairs
♣3,♥3,♣A,♦Q,♣10 | Pair
♣3,♥3,♣A,♦Q,♠A | Two Pairs
♣3,♥3,♣A,♣10,♠A | Two Pairs
♣3,♥3,♥4,♣2,♦Q | Pair
♣3,♥3,♥4,♣2,♣10 | Pair
♣3,♥3,♥4,♣2,♠A | Pair
♣3,♥3,♥4,♦Q,♣10 | Pair
♣3,♥3,♥4,♦Q,♠A | Pair
♣3,♥3,♥4,♣10,♠A | Pair
♣3,♥3,♣2,♦Q,♣10 | Pair
