♥A,♠7,♦J,♣5,♣7 | Pair
♠7,♦J,♣5,♣7,♠6 | Pair
♠7,♦J,♣5,♣6,♣J | Pair
♠7,♦J,♣5,♣6,♠6 | Pair
♠7,♦J,♣5,♠4,♣J | Pair
♠7,♦J,♣5,♠K,♣J | Pair
♠7,♦J,♣5,♣J,♠6 | Pair
♠7,♦J,♥3,♦9,♣7 | Pair
♠7,♦J,♥3,♦9,♣J | Pair
♠7,♦J,♥3,♣8,♣7 | Pair
♠7,♦J,♥3,♣8,♣J | Pair
♠7,♦J,♥3,♣Q,♣7 | Pair
♠7,♦J,♥3,♣Q,♣J | Pair
♠7,♦J,♥3,♣7,♣6 | Pair
♠7,♦J,♥3,♣7,♠4 | Pair
♠7,♦J,♥3,♣7,♠K | Pair
♠7,♦J,♥3,♣7,♣J | Two Pairs
♠7,♦J,♥3,♣7,♠6 | Pair
♠7,♦J,♥3,♣6,♣J | Pair
♠7,♦J,♥3,♣6,♠6 | Pair
♠7,♦J,♥3,♠4,♣J | Pair
♠7,♦J,♥3,♠K,♣J | Pair
♠7,♦J,♥3,♣J,♠6 | Pair
♠7,♦J,♦9,♣8,♣7 | Pair
♠7,♦J,♦9,♣8,♣J | Pair
♠7,♦J,♦9,♣Q,♣7 | Pair
♠7,♦J,♦9,♣Q,♣J | Pair
♠7,♦J,♦9,♣7,♣6 | Pair
♠7,♦J,♦9,♣7,♠4 | Pair
♠7,♦J,♦9,♣7,♠K | Pair
♠7,♦J,♦9,♣7,♣J | Two Pairs
♠7,♦J,♦9,♣7,♠6 | Pair
♠7,♦J,♦9,♣6,♣J | Pair
♠7,♦J,♦9,♣6,♠6 | Pair
♠7,♦J,♦9,♠4,♣J | Pair
♠7,♦J,♦9,♠K,♣J | Pair
♠7,♦J,♦9,♣J,♠6 | Pair
♠7,♦J,♣8,♣Q,♣7 | Pair
♠7,♦J,♣8,♣Q,♣J | Pair
♠7,♦J,♣8,♣7,♣6 | Pair
♠7,♦J,♣8,♣7,♠4 | Pair
♠7,♦J,♣8,♣7,♠K | Pair
♠7,♦J,♣8,♣7,♣J | Two Pairs
♠7,♦J,♣8,♣7,♠6 | Pair
♠7,♦J,♣8,♣6,♣J | Pair
♠7,♦J,♣8,♣6,♠6 | Pair
♠7,♦J,♣8,♠4,♣J | Pair
♠7,♦J,♣8,♠K,♣J | Pair
♠7,♦J,♣8,♣J,♠6 | Pair
♠7,♦J,♣Q,♣7,♣6 | Pair
♠7,♦J,♣Q,♣7,♠4 | Pair
♠7,♦J,♣Q,♣7,♠K | Pair
♠7,♦J,♣Q,♣7,♣J | Two Pairs
♠7,♦J,♣Q,♣7,♠6 | Pair
♠7,♦J,♣Q,♣6,♣J | Pair
♠7,♦J,♣Q,♣6,♠6 | Pair
♠7,♦J,♣Q,♠4,♣J | Pair
♠7,♦J,♣Q,♠K,♣J | Pair
♠7,♦J,♣Q,♣J,♠6 | Pair
♠7,♦J,♣7,♣6,♠4 | Pair
♠7,♦J,♣7,♣6,♠K | Pair
♠7,♦J,♣7,♣6,♣J | Two Pairs
♠7,♦J,♣7,♣6,♠6 | Two Pairs
♠7,♦J,♣7,♠4,♠K | Pair
♠7,♦J,♣7,♠4,♣J | Two Pairs
♠7,♦J,♣7,♠4,♠6 | Pair
♠7,♦J,♣7,♠K,♣J | Two Pairs
♠7,♦J,♣7,♠K,♠6 | Pair
♠7,♦J,♣7,♣J,♠6 | Two Pairs
♠7,♦J,♣6,♠4,♣J | Pair
♠7,♦J,♣6,♠4,♠6 | Pair
♠7,♦J,♣6,♠K,♣J | Pair
♠7,♦J,♣6,♠K,♠6 | Pair
♠7,♦J,♣6,♣J,♠6 | Two Pairs
♠7,♦J,♠4,♠K,♣J | Pair
♠7,♦J,♠4,♣J,♠6 | Pair
♠7,♦J,♠K,♣J,♠6 | Pair
♠7,♣5,♥3,♦9,♣7 | Pair
♠7,♣5,♥3,♣8,♣7 | Pair
♠7,♣5,♥3,♣Q,♣7 | Pair
♠7,♣5,♥3,♣7,♣6 | Pair
♠7,♣5,♥3,♣7,♠4 | Pair
♠7,♣5,♥3,♣7,♠K | Pair
♠7,♣5,♥3,♣7,♣J | Pair
♠7,♣5,♥3,♣7,♠6 | Pair
♠7,♣5,♥3,♣6,♠4 | Straight
♠7,♣5,♥3,♣6,♠6 | Pair
♠7,♣5,♥3,♠4,♠6 | Straight
♠7,♣5,♦9,♣8,♣7 | Pair
♠7,♣5,♦9,♣8,♣6 | Straight
♠7,♣5,♦9,♣8,♠6 | Straight
♠7,♣5,♦9,♣Q,♣7 | Pair
♠7,♣5,♦9,♣7,♣6 | Pair
♠7,♣5,♦9,♣7,♠4 | Pair
♠7,♣5,♦9,♣7,♠K | Pair
♠7,♣5,♦9,♣7,♣J | Pair
♠7,♣5,♦9,♣7,♠6 | Pair
♠7,♣5,♦9,♣6,♠6 | Pair
♠7,♣5,♣8,♣Q,♣7 | Pair
♠7,♣5,♣8,♣7,♣6 | Pair
♠7,♣5,♣8,♣7,♠4 | Pair
♠7,♣5,♣8,♣7,♠K | Pair
♠7,♣5,♣8,♣7,♣J | Pair
♠7,♣5,♣8,♣7,♠6 | Pair
♠7,♣5,♣8,♣6,♠4 | Straight
♠7,♣5,♣8,♣6,♠6 | Pair
♠7,♣5,♣8,♠4,♠6 | Straight
♠7,♣5,♣Q,♣7,♣6 | Pair
♠7,♣5,♣Q,♣7,♠4 | Pair
♠7,♣5,♣Q,♣7,♠K | Pair
♠7,♣5,♣Q,♣7,♣J | Pair
♠7,♣5,♣Q,♣7,♠6 | Pair
♠7,♣5,♣Q,♣6,♠6 | Pair
♠7,♣5,♣7,♣6,♠4 | Pair
♠7,♣5,♣7,♣6,♠K | Pair
♠7,♣5,♣7,♣6,♣J | Pair
♠7,♣5,♣7,♣6,♠6 | Two Pairs
♠7,♣5,♣7,♠4,♠K | Pair
♠7,♣5,♣7,♠4,♣J | Pair
♠7,♣5,♣7,♠4,♠6 | Pair
♠7,♣5,♣7,♠K,♣J | Pair
♠7,♣5,♣7,♠K,♠6 | Pair
♠7,♣5,♣7,♣J,♠6 | Pair
♠7,♣5,♣6,♠4,♠6 | Pair
♠7,♣5,♣6,♠K,♠6 | Pair
♠7,♣5,♣6,♣J,♠6 | Pair
♠7,♥3,♦9,♣8,♣7 | Pair
♠7,♥3,♦9,♣Q,♣7 | Pair
♠7,♥3,♦9,♣7,♣6 | Pair
♠7,♥3,♦9,♣7,♠4 | Pair
♠7,♥3,♦9,♣7,♠K | Pair
♠7,♥3,♦9,♣7,♣J | Pair
♠7,♥3,♦9,♣7,♠6 | Pair
♠7,♥3,♦9,♣6,♠6 | Pair
♠7,♥3,♣8,♣Q,♣7 | Pair
♠7,♥3,♣8,♣7,♣6 | Pair
♠7,♥3,♣8,♣7,♠4 | Pair
♠7,♥3,♣8,♣7,♠K | Pair
♠7,♥3,♣8,♣7,♣J | Pair
♠7,♥3,♣8,♣7,♠6 | Pair
♠7,♥3,♣8,♣6,♠6 | Pair
♠7,♥3,♣Q,♣7,♣6 | Pair
♠7,♥3,♣Q,♣7,♠4 | Pair
♠7,♥3,♣Q,♣7,♠K | Pair
♠7,♥3,♣Q,♣7,♣J | Pair
♠7,♥3,♣Q,♣7,♠6 | Pair
♠7,♥3,♣Q,♣6,♠6 | Pair
♠7,♥3,♣7,♣6,♠4 | Pair
♠7,♥3,♣7,♣6,♠K | Pair
♠7,♥3,♣7,♣6,♣J | Pair
♠7,♥3,♣7,♣6,♠6 | Two Pairs
♠7,♥3,♣7,♠4,♠K | Pair
♠7,♥3,♣7,♠4,♣J | Pair
♠7,♥3,♣7,♠4,♠6 | Pair
♠7,♥3,♣7,♠K,♣J | Pair
♠7,♥3,♣7,♠K,♠6 | Pair
♠7,♥3,♣7,♣J,♠6 | Pair
♠7,♥3,♣6,♠4,♠6 | Pair
♠7,♥3,♣6,♠K,♠6 | Pair
♠7,♥3,♣6,♣J,♠6 | Pair
♠7,♦9,♣8,♣Q,♣7 | Pair
♠7,♦9,♣8,♣7,♣6 | Pair
♠7,♦9,♣8,♣7,♠4 | Pair
♠7,♦9,♣8,♣7,♠K | Pair
♠7,♦9,♣8,♣7,♣J | Pair
♠7,♦9,♣8,♣7,♠6 | Pair
♠7,♦9,♣8,♣6,♠6 | Pair
♠7,♦9,♣Q,♣7,♣6 | Pair
♠7,♦9,♣Q,♣7,♠4 | Pair
♠7,♦9,♣Q,♣7,♠K | Pair
♠7,♦9,♣Q,♣7,♣J | Pair
♠7,♦9,♣Q,♣7,♠6 | Pair
♠7,♦9,♣Q,♣6,♠6 | Pair
♠7,♦9,♣7,♣6,♠4 | Pair
♠7,♦9,♣7,♣6,♠K | Pair
♠7,♦9,♣7,♣6,♣J | Pair
♠7,♦9,♣7,♣6,♠6 | Two Pairs
♠7,♦9,♣7,♠4,♠K | Pair
♠7,♦9,♣7,♠4,♣J | Pair
♠7,♦9,♣7,♠4,♠6 | Pair
♠7,♦9,♣7,♠K,♣J | Pair
♠7,♦9,♣7,♠K,♠6 | Pair
♠7,♦9,♣7,♣J,♠6 | Pair
♠7,♦9,♣6,♠4,♠6 | Pair
♠7,♦9,♣6,♠K,♠6 | Pair
♠7,♦9,♣6,♣J,♠6 | Pair
♠7,♣8,♣Q,♣7,♣6 | Pair
♠7,♣8,♣Q,♣7,♠4 | Pair
♠7,♣8,♣Q,♣7,♠K | Pair
♠7,♣8,♣Q,♣7,♣J | Pair
♠7,♣8,♣Q,♣7,♠6 | Pair
♠7,♣8,♣Q,♣6,♠6 | Pair
♠7,♣8,♣7,♣6,♠4 | Pair
♠7,♣8,♣7,♣6,♠K | Pair
♠7,♣8,♣7,♣6,♣J | Pair
♠7,♣8,♣7,♣6,♠6 | Two Pairs
♠7,♣8,♣7,♠4,♠K | Pair
♠7,♣8,♣7,♠4,♣J | Pair
♠7,♣8,♣7,♠4,♠6 | Pair
♠7,♣8,♣7,♠K,♣J | Pair
♠7,♣8,♣7,♠K,♠6 | Pair
♠7,♣8,♣7,♣J,♠6 | Pair
♠7,♣8,♣6,♠4,♠6 | Pair
♠7,♣8,♣6,♠K,♠6 | Pair
♠7,♣8,♣6,♣J,♠6 | Pair
♠7,♣Q,♣7,♣6,♠4 | Pair
♠7,♣Q,♣7,♣6,♠K | Pair
♠7,♣Q,♣7,♣6,♣J | Pair
♠7,♣Q,♣7,♣6,♠6 | Two Pairs
♠7,♣Q,♣7,♠4,♠K | Pair
♠7,♣Q,♣7,♠4,♣J | Pair
♠7,♣Q,♣7,♠4,♠6 | Pair
♠7,♣Q,♣7,♠K,♣J | Pair
♠7,♣Q,♣7,♠K,♠6 | Pair
♠7,♣Q,♣7,♣J,♠6 | Pair
♠7,♣Q,♣6,♠4,♠6 | Pair
♠7,♣Q,♣6,♠K,♠6 | Pair
♠7,♣Q,♣6,♣J,♠6 | Pair
♠7,♣7,♣6,♠4,♠K | Pair
♠7,♣7,♣6,♠4,♣J | Pair
♠7,♣7,♣6,♠4,♠6 | Two Pairs
♠7,♣7,♣6,♠K,♣J | Pair
♠7,♣7,♣6,♠K,♠6 | Two Pairs
♠7,♣7,♣6,♣J,♠6 | Two Pairs
♠7,♣7,♠4,♠K,♣J | Pair
♠7,♣7,♠4,♠K,♠6 | Pair
♠7,♣7,♠4,♣J,♠6 | Pair
♠7,♣7,♠K,♣J,♠6 | Pair
♠7,♣6,♠4,♠K,♠6 | Pair
♠7,♣6,♠4,♣J,♠6 | Pair
♠7,♣6,♠K,♣J,♠6 | Pair
♦J,♣5,♥3,♦9,♣J | Pair
♦J,♣5,♥3,♣8,♣J | Pair
♦J,♣5,♥3,♣Q,♣J | Pair
♦J,♣5,♥3,♣7,♣J | Pair
♦J,♣5,♥3,♣6,♣J | Pair
♦J,♣5,♥3,♣6,♠6 | Pair
♦J,♣5,♥3,♠4,♣J | Pair
♦J,♣5,♥3,♠K,♣J | Pair
♦J,♣5,♥3,♣J,♠6 | Pair
♦J,♣5,♦9,♣8,♣J | Pair
♦J,♣5,♦9,♣Q,♣J | Pair
♦J,♣5,♦9,♣7,♣J | Pair
♦J,♣5,♦9,♣6,♣J | Pair
♦J,♣5,♦9,♣6,♠6 | Pair
♦J,♣5,♦9,♠4,♣J | Pair
♦J,♣5,♦9,♠K,♣J | Pair
♦J,♣5,♦9,♣J,♠6 | Pair
♦J,♣5,♣8,♣Q,♣J | Pair
♦J,♣5,♣8,♣7,♣J | Pair
♦J,♣5,♣8,♣6,♣J | Pair
♦J,♣5,♣8,♣6,♠6 | Pair
♦J,♣5,♣8,♠4,♣J | Pair
♦J,♣5,♣8,♠K,♣J | Pair
♦J,♣5,♣8,♣J,♠6 | Pair
♦J,♣5,♣Q,♣7,♣J | Pair
♦J,♣5,♣Q,♣6,♣J | Pair
♦J,♣5,♣Q,♣6,♠6 | Pair
♦J,♣5,♣Q,♠4,♣J | Pair
♦J,♣5,♣Q,♠K,♣J | Pair
♦J,♣5,♣Q,♣J,♠6 | Pair
♦J,♣5,♣7,♣6,♣J | Pair
♦J,♣5,♣7,♣6,♠6 | Pair
♦J,♣5,♣7,♠4,♣J | Pair
♦J,♣5,♣7,♠K,♣J | Pair
♦J,♣5,♣7,♣J,♠6 | Pair
♦J,♣5,♣6,♠4,♣J | Pair
♦J,♣5,♣6,♠4,♠6 | Pair
♦J,♣5,♣6,♠K,♣J | Pair
♦J,♣5,♣6,♠K,♠6 | Pair
♦J,♣5,♣6,♣J,♠6 | Two Pairs
♦J,♣5,♠4,♠K,♣J | Pair
♦J,♣5,♠4,♣J,♠6 | Pair
♦J,♣5,♠K,♣J,♠6 | Pair
♦J,♥3,♦9,♣8,♣J | Pair
♦J,♥3,♦9,♣Q,♣J | Pair
♦J,♥3,♦9,♣7,♣J | Pair
♦J,♥3,♦9,♣6,♣J | Pair
♦J,♥3,♦9,♣6,♠6 | Pair
♦J,♥3,♦9,♠4,♣J | Pair
♦J,♥3,♦9,♠K,♣J | Pair
♦J,♥3,♦9,♣J,♠6 | Pair
♦J,♥3,♣8,♣Q,♣J | Pair
♦J,♥3,♣8,♣7,♣J | Pair
♦J,♥3,♣8,♣6,♣J | Pair
♦J,♥3,♣8,♣6,♠6 | Pair
♦J,♥3,♣8,♠4,♣J | Pair
♦J,♥3,♣8,♠K,♣J | Pair
♦J,♥3,♣8,♣J,♠6 | Pair
♦J,♥3,♣Q,♣7,♣J | Pair
♦J,♥3,♣Q,♣6,♣J | Pair
♦J,♥3,♣Q,♣6,♠6 | Pair
♦J,♥3,♣Q,♠4,♣J | Pair
♦J,♥3,♣Q,♠K,♣J | Pair
♦J,♥3,♣Q,♣J,♠6 | Pair
♦J,♥3,♣7,♣6,♣J | Pair
♦J,♥3,♣7,♣6,♠6 | Pair
♦J,♥3,♣7,♠4,♣J | Pair
♦J,♥3,♣7,♠K,♣J | Pair
♦J,♥3,♣7,♣J,♠6 | Pair
♦J,♥3,♣6,♠4,♣J | Pair
♦J,♥3,♣6,♠4,♠6 | Pair
♦J,♥3,♣6,♠K,♣J | Pair
♦J,♥3,♣6,♠K,♠6 | Pair
♦J,♥3,♣6,♣J,♠6 | Two Pairs
♦J,♥3,♠4,♠K,♣J | Pair
♦J,♥3,♠4,♣J,♠6 | Pair
♦J,♥3,♠K,♣J,♠6 | Pair
♦J,♦9,♣8,♣Q,♣J | Pair
♦J,♦9,♣8,♣7,♣J | Pair
♦J,♦9,♣8,♣6,♣J | Pair
♦J,♦9,♣8,♣6,♠6 | Pair
♦J,♦9,♣8,♠4,♣J | Pair
♦J,♦9,♣8,♠K,♣J | Pair
♦J,♦9,♣8,♣J,♠6 | Pair
♦J,♦9,♣Q,♣7,♣J | Pair
♦J,♦9,♣Q,♣6,♣J | Pair
♦J,♦9,♣Q,♣6,♠6 | Pair
♦J,♦9,♣Q,♠4,♣J | Pair
♦J,♦9,♣Q,♠K,♣J | Pair
♦J,♦9,♣Q,♣J,♠6 | Pair
♦J,♦9,♣7,♣6,♣J | Pair
♦J,♦9,♣7,♣6,♠6 | Pair
♦J,♦9,♣7,♠4,♣J | Pair
♦J,♦9,♣7,♠K,♣J | Pair
♦J,♦9,♣7,♣J,♠6 | Pair
♦J,♦9,♣6,♠4,♣J | Pair
♦J,♦9,♣6,♠4,♠6 | Pair
♦J,♦9,♣6,♠K,♣J | Pair
♦J,♦9,♣6,♠K,♠6 | Pair
♦J,♦9,♣6,♣J,♠6 | Two Pairs
♦J,♦9,♠4,♠K,♣J | Pair
♦J,♦9,♠4,♣J,♠6 | Pair
♦J,♦9,♠K,♣J,♠6 | Pair
♦J,♣8,♣Q,♣7,♣J | Pair
♦J,♣8,♣Q,♣6,♣J | Pair
♦J,♣8,♣Q,♣6,♠6 | Pair
♦J,♣8,♣Q,♠4,♣J | Pair
♦J,♣8,♣Q,♠K,♣J | Pair
♦J,♣8,♣Q,♣J,♠6 | Pair
♦J,♣8,♣7,♣6,♣J | Pair
♦J,♣8,♣7,♣6,♠6 | Pair
♦J,♣8,♣7,♠4,♣J | Pair
♦J,♣8,♣7,♠K,♣J | Pair
♦J,♣8,♣7,♣J,♠6 | Pair
♦J,♣8,♣6,♠4,♣J | Pair
♦J,♣8,♣6,♠4,♠6 | Pair
♦J,♣8,♣6,♠K,♣J | Pair
♦J,♣8,♣6,♠K,♠6 | Pair
♦J,♣8,♣6,♣J,♠6 | Two Pairs
♦J,♣8,♠4,♠K,♣J | Pair
♦J,♣8,♠4,♣J,♠6 | Pair
♦J,♣8,♠K,♣J,♠6 | Pair
♦J,♣Q,♣7,♣6,♣J | Pair
♦J,♣Q,♣7,♣6,♠6 | Pair
♦J,♣Q,♣7,♠4,♣J | Pair
♦J,♣Q,♣7,♠K,♣J | Pair
♦J,♣Q,♣7,♣J,♠6 | Pair
♦J,♣Q,♣6,♠4,♣J | Pair
♦J,♣Q,♣6,♠4,♠6 | Pair
♦J,♣Q,♣6,♠K,♣J | Pair
♦J,♣Q,♣6,♠K,♠6 | Pair
♦J,♣Q,♣6,♣J,♠6 | Two Pairs
♦J,♣Q,♠4,♠K,♣J | Pair
♦J,♣Q,♠4,♣J,♠6 | Pair
♦J,♣Q,♠K,♣J,♠6 | Pair
♦J,♣7,♣6,♠4,♣J | Pair
♦J,♣7,♣6,♠4,♠6 | Pair
♦J,♣7,♣6,♠K,♣J | Pair
♦J,♣7,♣6,♠K,♠6 | Pair
♦J,♣7,♣6,♣J,♠6 | Two Pairs
♦J,♣7,♠4,♠K,♣J | Pair
♦J,♣7,♠4,♣J,♠6 | Pair
♦J,♣7,♠K,♣J,♠6 | Pair
♦J,♣6,♠4,♠K,♣J | Pair
♦J,♣6,♠4,♠K,♠6 | Pair
♦J,♣6,♠4,♣J,♠6 | Two Pairs
♦J,♣6,♠K,♣J,♠6 | Two Pairs
♦J,♠4,♠K,♣J,♠6 | Pair
♣5,♥3,♦9,♣6,♠6 | Pair
♣5,♥3,♣8,♣6,♠6 | Pair
♣5,♥3,♣Q,♣6,♠6 | Pair
♣5,♥3,♣7,♣6,♠4 | Straight
♣5,♥3,♣7,♣6,♠6 | Pair
♣5,♥3,♣7,♠4,♠6 | Straight
♣5,♥3,♣6,♠4,♠6 | Pair
