♠10,♠7,♠8,♣8,♥6 | Pair
♠7,♠8,♣8,♦5,♦2 | Pair
♠7,♠8,♣8,♦6,♣5 | Pair
♠7,♠8,♣8,♦6,♦2 | Pair
♠7,♠8,♣8,♣5,♦2 | Pair
♠7,♠8,♥6,♥4,♦5 | Straight
♠7,♠8,♥6,♥4,♦6 | Pair
♠7,♠8,♥6,♥4,♣5 | Straight
♠7,♠8,♥6,♦5,♦6 | Pair
♠7,♠8,♥6,♦5,♣5 | Pair
♠7,♠8,♥6,♦6,♣5 | Pair
♠7,♠8,♥6,♦6,♦2 | Pair
♠7,♠8,♥4,♦5,♦6 | Straight
♠7,♠8,♥4,♦5,♣5 | Pair
♠7,♠8,♥4,♦6,♣5 | Straight
♠7,♠8,♦5,♦6,♣5 | Pair
♠7,♠8,♦5,♣5,♦2 | Pair
♠7,♣8,♥6,♥4,♦5 | Straight
♠7,♣8,♥6,♥4,♦6 | Pair
♠7,♣8,♥6,♥4,♣5 | Straight
♠7,♣8,♥6,♦5,♦6 | Pair
♠7,♣8,♥6,♦5,♣5 | Pair
♠7,♣8,♥6,♦6,♣5 | Pair
♠7,♣8,♥6,♦6,♦2 | Pair
♠7,♣8,♥4,♦5,♦6 | Straight
♠7,♣8,♥4,♦5,♣5 | Pair
♠7,♣8,♥4,♦6,♣5 | Straight
♠7,♣8,♦5,♦6,♣5 | Pair
♠7,♣8,♦5,♣5,♦2 | Pair
♠7,♥6,♥4,♦5,♦6 | Pair
♠7,♥6,♥4,♦5,♣5 | Pair
♠7,♥6,♥4,♦6,♣5 | Pair
♠7,♥6,♥4,♦6,♦2 | Pair
♠7,♥6,♦5,♦6,♣5 | Two Pairs
♠7,♥6,♦5,♦6,♦2 | Pair
♠7,♥6,♦5,♣5,♦2 | Pair
♠7,♥6,♦6,♣5,♦2 | Pair
♠7,♥4,♦5,♦6,♣5 | Pair
♠7,♥4,♦5,♣5,♦2 | Pair
♠7,♦5,♦6,♣5,♦2 | Pair
♠8,♣8,♥6,♥4,♦5 | Pair
♠8,♣8,♥6,♥4,♦6 | Two Pairs
♠8,♣8,♥6,♥4,♣5 | Pair
♠8,♣8,♥6,♥4,♦2 | Pair
♠8,♣8,♥6,♦5,♦6 | Two Pairs
♠8,♣8,♥6,♦5,♣5 | Two Pairs
♠8,♣8,♥6,♦5,♦2 | Pair
♠8,♣8,♥6,♦6,♣5 | Two Pairs
♠8,♣8,♥6,♦6,♦2 | Two Pairs
♠8,♣8,♥6,♣5,♦2 | Pair
♠8,♣8,♥4,♦5,♦6 | Pair
♠8,♣8,♥4,♦5,♣5 | Two Pairs
♠8,♣8,♥4,♦5,♦2 | Pair
♠8,♣8,♥4,♦6,♣5 | Pair
♠8,♣8,♥4,♦6,♦2 | Pair
♠8,♣8,♥4,♣5,♦2 | Pair
♠8,♣8,♦5,♦6,♣5 | Two Pairs
♠8,♣8,♦5,♦6,♦2 | Pair
♠8,♣8,♦5,♣5,♦2 | Two Pairs
♠8,♣8,♦6,♣5,♦2 | Pair
♠8,♥6,♥4,♦5,♦6 | Pair
♠8,♥6,♥4,♦5,♣5 | Pair
♠8,♥6,♥4,♦6,♣5 | Pair
♠8,♥6,♥4,♦6,♦2 | Pair
♠8,♥6,♦5,♦6,♣5 | Two Pairs
♠8,♥6,♦5,♦6,♦2 | Pair
♠8,♥6,♦5,♣5,♦2 | Pair
♠8,♥6,♦6,♣5,♦2 | Pair
♠8,♥4,♦5,♦6,♣5 | Pair
♠8,♥4,♦5,♣5,♦2 | Pair
♠8,♦5,♦6,♣5,♦2 | Pair
♣8,♥6,♥4,♦5,♦6 | Pair
♣8,♥6,♥4,♦5,♣5 | Pair
♣8,♥6,♥4,♦6,♣5 | Pair
♣8,♥6,♥4,♦6,♦2 | Pair
♣8,♥6,♦5,♦6,♣5 | Two Pairs
♣8,♥6,♦5,♦6,♦2 | Pair
♣8,♥6,♦5,♣5,♦2 | Pair
♣8,♥6,♦6,♣5,♦2 | Pair
♣8,♥4,♦5,♦6,♣5 | Pair
♣8,♥4,♦5,♣5,♦2 | Pair
♣8,♦5,♦6,♣5,♦2 | Pair
♥6,♥4,♦5,♦6,♣5 | Two Pairs
♥6,♥4,♦5,♦6,♦2 | Pair
♥6,♥4,♦5,♣5,♦2 | Pair
♥6,♥4,♦6,♣5,♦2 | Pair
♥6,♦5,♦6,♣5,♦2 | Two Pairs
♥4,♦5,♦6,♣5,♦2 | Pair
