♠A,♣2,♥8,♣Q,♥2 | Pair
♠A,♣2,♥6,♥2,♠Q | Pair
♠A,♣2,♥6,♥2,♠4 | Pair
♠A,♣2,♥6,♥4,♠4 | Pair
♠A,♣2,♥10,♣4,♥2 | Pair
♠A,♣2,♥10,♣4,♥4 | Pair
♠A,♣2,♥10,♣4,♠4 | Pair
♠A,♣2,♥10,♥2,♥K | Pair
♠A,♣2,♥10,♥2,♠8 | Pair
♠A,♣2,♥10,♥2,♥4 | Pair
♠A,♣2,♥10,♥2,♠Q | Pair
♠A,♣2,♥10,♥2,♠4 | Pair
♠A,♣2,♥10,♥4,♠4 | Pair
♠A,♣2,♣4,♥2,♥K | Pair
♠A,♣2,♣4,♥2,♠8 | Pair
♠A,♣2,♣4,♥2,♥4 | Two Pairs
♠A,♣2,♣4,♥2,♠Q | Pair
♠A,♣2,♣4,♥2,♠4 | Two Pairs
♠A,♣2,♣4,♥K,♥4 | Pair
♠A,♣2,♣4,♥K,♠4 | Pair
♠A,♣2,♣4,♠8,♥4 | Pair
♠A,♣2,♣4,♠8,♠4 | Pair
♠A,♣2,♣4,♥4,♠Q | Pair
♠A,♣2,♣4,♥4,♠4 | Three Of A Kind
♠A,♣2,♣4,♠Q,♠4 | Pair
♠A,♣2,♥2,♥K,♠8 | Pair
♠A,♣2,♥2,♥K,♥4 | Pair
♠A,♣2,♥2,♥K,♠Q | Pair
♠A,♣2,♥2,♥K,♠4 | Pair
♠A,♣2,♥2,♠8,♥4 | Pair
♠A,♣2,♥2,♠8,♠Q | Pair
♠A,♣2,♥2,♠8,♠4 | Pair
♠A,♣2,♥2,♥4,♠Q | Pair
♠A,♣2,♥2,♥4,♠4 | Two Pairs
♠A,♣2,♥2,♠Q,♠4 | Pair
♠A,♣2,♥K,♥4,♠4 | Pair
♠A,♣2,♠8,♥4,♠4 | Pair
♠A,♣2,♥4,♠Q,♠4 | Pair
♠A,♥8,♣Q,♦K,♥K | Pair
♠A,♥8,♣Q,♦K,♠8 | Pair
♠A,♥8,♣Q,♦K,♠Q | Pair
♠A,♥8,♣Q,♣5,♠8 | Pair
♠A,♥8,♣Q,♣5,♠Q | Pair
♠A,♥8,♣Q,♥6,♠8 | Pair
♠A,♥8,♣Q,♥6,♠Q | Pair
♠A,♥8,♣Q,♥10,♠8 | Pair
♠A,♥8,♣Q,♥10,♠Q | Pair
♠A,♥8,♣Q,♣4,♠8 | Pair
♠A,♥8,♣Q,♣4,♥4 | Pair
♠A,♥8,♣Q,♣4,♠Q | Pair
♠A,♥8,♣Q,♣4,♠4 | Pair
♠A,♥8,♣Q,♥2,♠8 | Pair
♠A,♥8,♣Q,♥2,♠Q | Pair
♠A,♥8,♣Q,♥K,♠8 | Pair
♠A,♥8,♣Q,♥K,♠Q | Pair
♠A,♥8,♣Q,♠8,♥4 | Pair
♠A,♥8,♣Q,♠8,♠Q | Two Pairs
♠A,♥8,♣Q,♠8,♠4 | Pair
♠A,♥8,♣Q,♥4,♠Q | Pair
♠A,♥8,♣Q,♥4,♠4 | Pair
♠A,♥8,♣Q,♠Q,♠4 | Pair
♠A,♥8,♦K,♣5,♥K | Pair
♠A,♥8,♦K,♣5,♠8 | Pair
♠A,♥8,♦K,♥6,♥K | Pair
♠A,♥8,♦K,♥6,♠8 | Pair
♠A,♥8,♦K,♥10,♥K | Pair
♠A,♥8,♦K,♥10,♠8 | Pair
♠A,♥8,♦K,♣4,♥K | Pair
♠A,♥8,♦K,♣4,♠8 | Pair
♠A,♥8,♦K,♣4,♥4 | Pair
♠A,♥8,♦K,♣4,♠4 | Pair
♠A,♥8,♦K,♥2,♥K | Pair
♠A,♥8,♦K,♥2,♠8 | Pair
♠A,♥8,♦K,♥K,♠8 | Two Pairs
♠A,♥8,♦K,♥K,♥4 | Pair
♠A,♥8,♦K,♥K,♠Q | Pair
♠A,♥8,♦K,♥K,♠4 | Pair
♠A,♥8,♦K,♠8,♥4 | Pair
♠A,♥8,♦K,♠8,♠Q | Pair
♠A,♥8,♦K,♠8,♠4 | Pair
♠A,♥8,♦K,♥4,♠4 | Pair
♠A,♥8,♣5,♥6,♠8 | Pair
♠A,♥8,♣5,♥10,♠8 | Pair
♠A,♥8,♣5,♣4,♠8 | Pair
♠A,♥8,♣5,♣4,♥4 | Pair
♠A,♥8,♣5,♣4,♠4 | Pair
♠A,♥8,♣5,♥2,♠8 | Pair
♠A,♥8,♣5,♥K,♠8 | Pair
♠A,♥8,♣5,♠8,♥4 | Pair
♠A,♥8,♣5,♠8,♠Q | Pair
♠A,♥8,♣5,♠8,♠4 | Pair
♠A,♥8,♣5,♥4,♠4 | Pair
♠A,♥8,♥6,♥10,♠8 | Pair
♠A,♥8,♥6,♣4,♠8 | Pair
♠A,♥8,♥6,♣4,♥4 | Pair
♠A,♥8,♥6,♣4,♠4 | Pair
♠A,♥8,♥6,♥2,♠8 | Pair
♠A,♥8,♥6,♥K,♠8 | Pair
♠A,♥8,♥6,♠8,♥4 | Pair
♠A,♥8,♥6,♠8,♠Q | Pair
♠A,♥8,♥6,♠8,♠4 | Pair
♠A,♥8,♥6,♥4,♠4 | Pair
♠A,♥8,♥10,♣4,♠8 | Pair
♠A,♥8,♥10,♣4,♥4 | Pair
♠A,♥8,♥10,♣4,♠4 | Pair
♠A,♥8,♥10,♥2,♠8 | Pair
♠A,♥8,♥10,♥K,♠8 | Pair
♠A,♥8,♥10,♠8,♥4 | Pair
♠A,♥8,♥10,♠8,♠Q | Pair
♠A,♥8,♥10,♠8,♠4 | Pair
♠A,♥8,♥10,♥4,♠4 | Pair
♠A,♥8,♣4,♥2,♠8 | Pair
♠A,♥8,♣4,♥2,♥4 | Pair
♠A,♥8,♣4,♥2,♠4 | Pair
♠A,♥8,♣4,♥K,♠8 | Pair
♠A,♥8,♣4,♥K,♥4 | Pair
♠A,♥8,♣4,♥K,♠4 | Pair
♠A,♥8,♣4,♠8,♥4 | Two Pairs
♠A,♥8,♣4,♠8,♠Q | Pair
♠A,♥8,♣4,♠8,♠4 | Two Pairs
♠A,♥8,♣4,♥4,♠Q | Pair
♠A,♥8,♣4,♥4,♠4 | Three Of A Kind
♠A,♥8,♣4,♠Q,♠4 | Pair
♠A,♥8,♥2,♥K,♠8 | Pair
♠A,♥8,♥2,♠8,♥4 | Pair
♠A,♥8,♥2,♠8,♠Q | Pair
♠A,♥8,♥2,♠8,♠4 | Pair
♠A,♥8,♥2,♥4,♠4 | Pair
♠A,♥8,♥K,♠8,♥4 | Pair
♠A,♥8,♥K,♠8,♠Q | Pair
♠A,♥8,♥K,♠8,♠4 | Pair
♠A,♥8,♥K,♥4,♠4 | Pair
♠A,♥8,♠8,♥4,♠Q | Pair
♠A,♥8,♠8,♥4,♠4 | Two Pairs
♠A,♥8,♠8,♠Q,♠4 | Pair
♠A,♥8,♥4,♠Q,♠4 | Pair
♠A,♣Q,♦K,♣5,♥K | Pair
♠A,♣Q,♦K,♣5,♠Q | Pair
♠A,♣Q,♦K,♥6,♥K | Pair
♠A,♣Q,♦K,♥6,♠Q | Pair
♠A,♣Q,♦K,♥10,♥K | Pair
♠A,♣Q,♦K,♥10,♠Q | Pair
♠A,♣Q,♦K,♣4,♥K | Pair
♠A,♣Q,♦K,♣4,♥4 | Pair
♠A,♣Q,♦K,♣4,♠Q | Pair
♠A,♣Q,♦K,♣4,♠4 | Pair
♠A,♣Q,♦K,♥2,♥K | Pair
♠A,♣Q,♦K,♥2,♠Q | Pair
♠A,♣Q,♦K,♥K,♠8 | Pair
♠A,♣Q,♦K,♥K,♥4 | Pair
♠A,♣Q,♦K,♥K,♠Q | Two Pairs
♠A,♣Q,♦K,♥K,♠4 | Pair
♠A,♣Q,♦K,♠8,♠Q | Pair
♠A,♣Q,♦K,♥4,♠Q | Pair
♠A,♣Q,♦K,♥4,♠4 | Pair
♠A,♣Q,♦K,♠Q,♠4 | Pair
♠A,♣Q,♣5,♥6,♠Q | Pair
♠A,♣Q,♣5,♥10,♠Q | Pair
♠A,♣Q,♣5,♣4,♥4 | Pair
♠A,♣Q,♣5,♣4,♠Q | Pair
♠A,♣Q,♣5,♣4,♠4 | Pair
♠A,♣Q,♣5,♥2,♠Q | Pair
♠A,♣Q,♣5,♥K,♠Q | Pair
♠A,♣Q,♣5,♠8,♠Q | Pair
♠A,♣Q,♣5,♥4,♠Q | Pair
♠A,♣Q,♣5,♥4,♠4 | Pair
♠A,♣Q,♣5,♠Q,♠4 | Pair
♠A,♣Q,♥6,♥10,♠Q | Pair
♠A,♣Q,♥6,♣4,♥4 | Pair
♠A,♣Q,♥6,♣4,♠Q | Pair
♠A,♣Q,♥6,♣4,♠4 | Pair
♠A,♣Q,♥6,♥2,♠Q | Pair
♠A,♣Q,♥6,♥K,♠Q | Pair
♠A,♣Q,♥6,♠8,♠Q | Pair
♠A,♣Q,♥6,♥4,♠Q | Pair
♠A,♣Q,♥6,♥4,♠4 | Pair
♠A,♣Q,♥6,♠Q,♠4 | Pair
♠A,♣Q,♥10,♣4,♥4 | Pair
♠A,♣Q,♥10,♣4,♠Q | Pair
♠A,♣Q,♥10,♣4,♠4 | Pair
♠A,♣Q,♥10,♥2,♠Q | Pair
♠A,♣Q,♥10,♥K,♠Q | Pair
♠A,♣Q,♥10,♠8,♠Q | Pair
♠A,♣Q,♥10,♥4,♠Q | Pair
♠A,♣Q,♥10,♥4,♠4 | Pair
♠A,♣Q,♥10,♠Q,♠4 | Pair
♠A,♣Q,♣4,♥2,♥4 | Pair
♠A,♣Q,♣4,♥2,♠Q | Pair
♠A,♣Q,♣4,♥2,♠4 | Pair
♠A,♣Q,♣4,♥K,♥4 | Pair
♠A,♣Q,♣4,♥K,♠Q | Pair
♠A,♣Q,♣4,♥K,♠4 | Pair
♠A,♣Q,♣4,♠8,♥4 | Pair
♠A,♣Q,♣4,♠8,♠Q | Pair
♠A,♣Q,♣4,♠8,♠4 | Pair
♠A,♣Q,♣4,♥4,♠Q | Two Pairs
♠A,♣Q,♣4,♥4,♠4 | Three Of A Kind
♠A,♣Q,♣4,♠Q,♠4 | Two Pairs
♠A,♣Q,♥2,♥K,♠Q | Pair
♠A,♣Q,♥2,♠8,♠Q | Pair
♠A,♣Q,♥2,♥4,♠Q | Pair
♠A,♣Q,♥2,♥4,♠4 | Pair
♠A,♣Q,♥2,♠Q,♠4 | Pair
♠A,♣Q,♥K,♠8,♠Q | Pair
♠A,♣Q,♥K,♥4,♠Q | Pair
♠A,♣Q,♥K,♥4,♠4 | Pair
♠A,♣Q,♥K,♠Q,♠4 | Pair
♠A,♣Q,♠8,♥4,♠Q | Pair
♠A,♣Q,♠8,♥4,♠4 | Pair
♠A,♣Q,♠8,♠Q,♠4 | Pair
♠A,♣Q,♥4,♠Q,♠4 | Two Pairs
♠A,♦K,♣5,♥6,♥K | Pair
♠A,♦K,♣5,♥10,♥K | Pair
♠A,♦K,♣5,♣4,♥K | Pair
♠A,♦K,♣5,♣4,♥4 | Pair
♠A,♦K,♣5,♣4,♠4 | Pair
♠A,♦K,♣5,♥2,♥K | Pair
♠A,♦K,♣5,♥K,♠8 | Pair
♠A,♦K,♣5,♥K,♥4 | Pair
♠A,♦K,♣5,♥K,♠Q | Pair
♠A,♦K,♣5,♥K,♠4 | Pair
♠A,♦K,♣5,♥4,♠4 | Pair
♠A,♦K,♥6,♥10,♥K | Pair
♠A,♦K,♥6,♣4,♥K | Pair
♠A,♦K,♥6,♣4,♥4 | Pair
♠A,♦K,♥6,♣4,♠4 | Pair
♠A,♦K,♥6,♥2,♥K | Pair
♠A,♦K,♥6,♥K,♠8 | Pair
♠A,♦K,♥6,♥K,♥4 | Pair
♠A,♦K,♥6,♥K,♠Q | Pair
♠A,♦K,♥6,♥K,♠4 | Pair
♠A,♦K,♥6,♥4,♠4 | Pair
♠A,♦K,♥10,♣4,♥K | Pair
♠A,♦K,♥10,♣4,♥4 | Pair
♠A,♦K,♥10,♣4,♠4 | Pair
♠A,♦K,♥10,♥2,♥K | Pair
♠A,♦K,♥10,♥K,♠8 | Pair
♠A,♦K,♥10,♥K,♥4 | Pair
♠A,♦K,♥10,♥K,♠Q | Pair
♠A,♦K,♥10,♥K,♠4 | Pair
♠A,♦K,♥10,♥4,♠4 | Pair
♠A,♦K,♣4,♥2,♥K | Pair
♠A,♦K,♣4,♥2,♥4 | Pair
♠A,♦K,♣4,♥2,♠4 | Pair
♠A,♦K,♣4,♥K,♠8 | Pair
♠A,♦K,♣4,♥K,♥4 | Two Pairs
♠A,♦K,♣4,♥K,♠Q | Pair
♠A,♦K,♣4,♥K,♠4 | Two Pairs
♠A,♦K,♣4,♠8,♥4 | Pair
♠A,♦K,♣4,♠8,♠4 | Pair
♠A,♦K,♣4,♥4,♠Q | Pair
♠A,♦K,♣4,♥4,♠4 | Three Of A Kind
♠A,♦K,♣4,♠Q,♠4 | Pair
♠A,♦K,♥2,♥K,♠8 | Pair
♠A,♦K,♥2,♥K,♥4 | Pair
♠A,♦K,♥2,♥K,♠Q | Pair
♠A,♦K,♥2,♥K,♠4 | Pair
♠A,♦K,♥2,♥4,♠4 | Pair
♠A,♦K,♥K,♠8,♥4 | Pair
♠A,♦K,♥K,♠8,♠Q | Pair
♠A,♦K,♥K,♠8,♠4 | Pair
♠A,♦K,♥K,♥4,♠Q | Pair
♠A,♦K,♥K,♥4,♠4 | Two Pairs
♠A,♦K,♥K,♠Q,♠4 | Pair
♠A,♦K,♠8,♥4,♠4 | Pair
♠A,♦K,♥4,♠Q,♠4 | Pair
♠A,♣5,♥6,♣4,♥4 | Pair
♠A,♣5,♥6,♣4,♠4 | Pair
♠A,♣5,♥6,♥4,♠4 | Pair
♠A,♣5,♥10,♣4,♥4 | Pair
♠A,♣5,♥10,♣4,♠4 | Pair
♠A,♣5,♥10,♥4,♠4 | Pair
♠A,♣5,♣4,♥2,♥4 | Pair
♠A,♣5,♣4,♥2,♠4 | Pair
♠A,♣5,♣4,♥K,♥4 | Pair
♠A,♣5,♣4,♥K,♠4 | Pair
♠A,♣5,♣4,♠8,♥4 | Pair
♠A,♣5,♣4,♠8,♠4 | Pair
♠A,♣5,♣4,♥4,♠Q | Pair
♠A,♣5,♣4,♥4,♠4 | Three Of A Kind
♠A,♣5,♣4,♠Q,♠4 | Pair
♠A,♣5,♥2,♥4,♠4 | Pair
♠A,♣5,♥K,♥4,♠4 | Pair
♠A,♣5,♠8,♥4,♠4 | Pair
♠A,♣5,♥4,♠Q,♠4 | Pair
♠A,♥6,♥10,♣4,♥4 | Pair
♠A,♥6,♥10,♣4,♠4 | Pair
♠A,♥6,♥10,♥4,♠4 | Pair
♠A,♥6,♣4,♥2,♥4 | Pair
♠A,♥6,♣4,♥2,♠4 | Pair
♠A,♥6,♣4,♥K,♥4 | Pair
♠A,♥6,♣4,♥K,♠4 | Pair
♠A,♥6,♣4,♠8,♥4 | Pair
♠A,♥6,♣4,♠8,♠4 | Pair
♠A,♥6,♣4,♥4,♠Q | Pair
♠A,♥6,♣4,♥4,♠4 | Three Of A Kind
♠A,♥6,♣4,♠Q,♠4 | Pair
♠A,♥6,♥2,♥4,♠4 | Pair
♠A,♥6,♥K,♥4,♠4 | Pair
♠A,♥6,♠8,♥4,♠4 | Pair
♠A,♥6,♥4,♠Q,♠4 | Pair
♠A,♥10,♣4,♥2,♥4 | Pair
♠A,♥10,♣4,♥2,♠4 | Pair
♠A,♥10,♣4,♥K,♥4 | Pair
♠A,♥10,♣4,♥K,♠4 | Pair
♠A,♥10,♣4,♠8,♥4 | Pair
♠A,♥10,♣4,♠8,♠4 | Pair
♠A,♥10,♣4,♥4,♠Q | Pair
♠A,♥10,♣4,♥4,♠4 | Three Of A Kind
♠A,♥10,♣4,♠Q,♠4 | Pair
♠A,♥10,♥2,♥4,♠4 | Pair
♠A,♥10,♥K,♥4,♠4 | Pair
♠A,♥10,♠8,♥4,♠4 | Pair
♠A,♥10,♥4,♠Q,♠4 | Pair
♠A,♣4,♥2,♥K,♥4 | Pair
♠A,♣4,♥2,♥K,♠4 | Pair
♠A,♣4,♥2,♠8,♥4 | Pair
♠A,♣4,♥2,♠8,♠4 | Pair
♠A,♣4,♥2,♥4,♠Q | Pair
♠A,♣4,♥2,♥4,♠4 | Three Of A Kind
♠A,♣4,♥2,♠Q,♠4 | Pair
♠A,♣4,♥K,♠8,♥4 | Pair
♠A,♣4,♥K,♠8,♠4 | Pair
♠A,♣4,♥K,♥4,♠Q | Pair
♠A,♣4,♥K,♥4,♠4 | Three Of A Kind
♠A,♣4,♥K,♠Q,♠4 | Pair
♠A,♣4,♠8,♥4,♠Q | Pair
♠A,♣4,♠8,♥4,♠4 | Three Of A Kind
♠A,♣4,♠8,♠Q,♠4 | Pair
♠A,♣4,♥4,♠Q,♠4 | Three Of A Kind
♠A,♥2,♥K,♥4,♠4 | Pair
♠A,♥2,♠8,♥4,♠4 | Pair
♠A,♥2,♥4,♠Q,♠4 | Pair
♠A,♥K,♠8,♥4,♠4 | Pair
♠A,♥K,♥4,♠Q,♠4 | Pair
♠A,♠8,♥4,♠Q,♠4 | Pair
♣2,♥8,♣Q,♦K,♥2 | Pair
♣2,♥8,♣Q,♦K,♥K | Pair
♣2,♥8,♣Q,♦K,♠8 | Pair
♣2,♥8,♣Q,♦K,♠Q | Pair
♣2,♥8,♣Q,♣5,♥2 | Pair
♣2,♥8,♣Q,♣5,♠8 | Pair
♣2,♥8,♣Q,♣5,♠Q | Pair
♣2,♥8,♣Q,♥6,♥2 | Pair
♣2,♥8,♣Q,♥6,♠8 | Pair
♣2,♥8,♣Q,♥6,♠Q | Pair
♣2,♥8,♣Q,♥10,♥2 | Pair
♣2,♥8,♣Q,♥10,♠8 | Pair
♣2,♥8,♣Q,♥10,♠Q | Pair
♣2,♥8,♣Q,♣4,♥2 | Pair
♣2,♥8,♣Q,♣4,♠8 | Pair
♣2,♥8,♣Q,♣4,♥4 | Pair
♣2,♥8,♣Q,♣4,♠Q | Pair
♣2,♥8,♣Q,♣4,♠4 | Pair
♣2,♥8,♣Q,♥2,♥K | Pair
♣2,♥8,♣Q,♥2,♠8 | Two Pairs
♣2,♥8,♣Q,♥2,♥4 | Pair
♣2,♥8,♣Q,♥2,♠Q | Two Pairs
♣2,♥8,♣Q,♥2,♠4 | Pair
♣2,♥8,♣Q,♥K,♠8 | Pair
♣2,♥8,♣Q,♥K,♠Q | Pair
♣2,♥8,♣Q,♠8,♥4 | Pair
♣2,♥8,♣Q,♠8,♠Q | Two Pairs
♣2,♥8,♣Q,♠8,♠4 | Pair
♣2,♥8,♣Q,♥4,♠Q | Pair
♣2,♥8,♣Q,♥4,♠4 | Pair
♣2,♥8,♣Q,♠Q,♠4 | Pair
♣2,♥8,♦K,♣5,♥2 | Pair
♣2,♥8,♦K,♣5,♥K | Pair
♣2,♥8,♦K,♣5,♠8 | Pair
♣2,♥8,♦K,♥6,♥2 | Pair
♣2,♥8,♦K,♥6,♥K | Pair
♣2,♥8,♦K,♥6,♠8 | Pair
♣2,♥8,♦K,♥10,♥2 | Pair
♣2,♥8,♦K,♥10,♥K | Pair
♣2,♥8,♦K,♥10,♠8 | Pair
♣2,♥8,♦K,♣4,♥2 | Pair
♣2,♥8,♦K,♣4,♥K | Pair
♣2,♥8,♦K,♣4,♠8 | Pair
♣2,♥8,♦K,♣4,♥4 | Pair
♣2,♥8,♦K,♣4,♠4 | Pair
♣2,♥8,♦K,♥2,♥K | Two Pairs
♣2,♥8,♦K,♥2,♠8 | Two Pairs
♣2,♥8,♦K,♥2,♥4 | Pair
♣2,♥8,♦K,♥2,♠Q | Pair
♣2,♥8,♦K,♥2,♠4 | Pair
♣2,♥8,♦K,♥K,♠8 | Two Pairs
♣2,♥8,♦K,♥K,♥4 | Pair
♣2,♥8,♦K,♥K,♠Q | Pair
♣2,♥8,♦K,♥K,♠4 | Pair
♣2,♥8,♦K,♠8,♥4 | Pair
♣2,♥8,♦K,♠8,♠Q | Pair
♣2,♥8,♦K,♠8,♠4 | Pair
♣2,♥8,♦K,♥4,♠4 | Pair
♣2,♥8,♣5,♥6,♥2 | Pair
♣2,♥8,♣5,♥6,♠8 | Pair
♣2,♥8,♣5,♥10,♥2 | Pair
♣2,♥8,♣5,♥10,♠8 | Pair
♣2,♥8,♣5,♣4,♥2 | Pair
♣2,♥8,♣5,♣4,♠8 | Pair
♣2,♥8,♣5,♣4,♥4 | Pair
♣2,♥8,♣5,♣4,♠4 | Pair
♣2,♥8,♣5,♥2,♥K | Pair
♣2,♥8,♣5,♥2,♠8 | Two Pairs
♣2,♥8,♣5,♥2,♥4 | Pair
♣2,♥8,♣5,♥2,♠Q | Pair
♣2,♥8,♣5,♥2,♠4 | Pair
♣2,♥8,♣5,♥K,♠8 | Pair
♣2,♥8,♣5,♠8,♥4 | Pair
♣2,♥8,♣5,♠8,♠Q | Pair
♣2,♥8,♣5,♠8,♠4 | Pair
♣2,♥8,♣5,♥4,♠4 | Pair
♣2,♥8,♥6,♥10,♥2 | Pair
♣2,♥8,♥6,♥10,♠8 | Pair
♣2,♥8,♥6,♣4,♥2 | Pair
♣2,♥8,♥6,♣4,♠8 | Pair
♣2,♥8,♥6,♣4,♥4 | Pair
♣2,♥8,♥6,♣4,♠4 | Pair
♣2,♥8,♥6,♥2,♥K | Pair
♣2,♥8,♥6,♥2,♠8 | Two Pairs
♣2,♥8,♥6,♥2,♥4 | Pair
♣2,♥8,♥6,♥2,♠Q | Pair
♣2,♥8,♥6,♥2,♠4 | Pair
♣2,♥8,♥6,♥K,♠8 | Pair
♣2,♥8,♥6,♠8,♥4 | Pair
♣2,♥8,♥6,♠8,♠Q | Pair
♣2,♥8,♥6,♠8,♠4 | Pair
♣2,♥8,♥6,♥4,♠4 | Pair
♣2,♥8,♥10,♣4,♥2 | Pair
♣2,♥8,♥10,♣4,♠8 | Pair
♣2,♥8,♥10,♣4,♥4 | Pair
♣2,♥8,♥10,♣4,♠4 | Pair
♣2,♥8,♥10,♥2,♥K | Pair
♣2,♥8,♥10,♥2,♠8 | Two Pairs
♣2,♥8,♥10,♥2,♥4 | Pair
♣2,♥8,♥10,♥2,♠Q | Pair
♣2,♥8,♥10,♥2,♠4 | Pair
♣2,♥8,♥10,♥K,♠8 | Pair
♣2,♥8,♥10,♠8,♥4 | Pair
♣2,♥8,♥10,♠8,♠Q | Pair
♣2,♥8,♥10,♠8,♠4 | Pair
♣2,♥8,♥10,♥4,♠4 | Pair
♣2,♥8,♣4,♥2,♥K | Pair
♣2,♥8,♣4,♥2,♠8 | Two Pairs
♣2,♥8,♣4,♥2,♥4 | Two Pairs
♣2,♥8,♣4,♥2,♠Q | Pair
♣2,♥8,♣4,♥2,♠4 | Two Pairs
♣2,♥8,♣4,♥K,♠8 | Pair
♣2,♥8,♣4,♥K,♥4 | Pair
♣2,♥8,♣4,♥K,♠4 | Pair
♣2,♥8,♣4,♠8,♥4 | Two Pairs
♣2,♥8,♣4,♠8,♠Q | Pair
♣2,♥8,♣4,♠8,♠4 | Two Pairs
♣2,♥8,♣4,♥4,♠Q | Pair
♣2,♥8,♣4,♥4,♠4 | Three Of A Kind
♣2,♥8,♣4,♠Q,♠4 | Pair
♣2,♥8,♥2,♥K,♠8 | Two Pairs
♣2,♥8,♥2,♥K,♥4 | Pair
♣2,♥8,♥2,♥K,♠Q | Pair
♣2,♥8,♥2,♥K,♠4 | Pair
