♥J,♣J,♦4,♥10,♥2 | Pair
♥J,♦4,♥10,♥4,♦8 | Pair
♥J,♦4,♥10,♥4,♠K | Pair
♥J,♦4,♥2,♣8,♠2 | Pair
♥J,♦4,♥2,♣8,♥4 | Pair
♥J,♦4,♥2,♣8,♦8 | Pair
♥J,♦4,♥2,♦7,♠2 | Pair
♥J,♦4,♥2,♦7,♥4 | Pair
♥J,♦4,♥2,♦9,♠2 | Pair
♥J,♦4,♥2,♦9,♥4 | Pair
♥J,♦4,♥2,♠2,♥4 | Two Pairs
♥J,♦4,♥2,♠2,♥6 | Pair
♥J,♦4,♥2,♠2,♦8 | Pair
♥J,♦4,♥2,♠2,♠K | Pair
♥J,♦4,♥2,♥4,♥6 | Pair
♥J,♦4,♥2,♥4,♦8 | Pair
♥J,♦4,♥2,♥4,♠K | Pair
♥J,♦4,♣8,♦7,♥4 | Pair
♥J,♦4,♣8,♦7,♦8 | Pair
♥J,♦4,♣8,♦9,♥4 | Pair
♥J,♦4,♣8,♦9,♦8 | Pair
♥J,♦4,♣8,♠2,♥4 | Pair
♥J,♦4,♣8,♠2,♦8 | Pair
♥J,♦4,♣8,♥4,♥6 | Pair
♥J,♦4,♣8,♥4,♦8 | Two Pairs
♥J,♦4,♣8,♥4,♠K | Pair
♥J,♦4,♣8,♥6,♦8 | Pair
♥J,♦4,♣8,♦8,♠K | Pair
♥J,♦4,♦7,♦9,♥4 | Pair
♥J,♦4,♦7,♠2,♥4 | Pair
♥J,♦4,♦7,♥4,♥6 | Pair
♥J,♦4,♦7,♥4,♦8 | Pair
♥J,♦4,♦7,♥4,♠K | Pair
♥J,♦4,♦9,♠2,♥4 | Pair
♥J,♦4,♦9,♥4,♥6 | Pair
♥J,♦4,♦9,♥4,♦8 | Pair
♥J,♦4,♦9,♥4,♠K | Pair
♥J,♦4,♠2,♥4,♥6 | Pair
♥J,♦4,♠2,♥4,♦8 | Pair
♥J,♦4,♠2,♥4,♠K | Pair
♥J,♦4,♥4,♥6,♦8 | Pair
♥J,♦4,♥4,♥6,♠K | Pair
♥J,♦4,♥4,♦8,♠K | Pair
♥J,♥10,♥2,♣8,♠2 | Pair
♥J,♥10,♥2,♣8,♦8 | Pair
♥J,♥10,♥2,♦7,♠2 | Pair
♥J,♥10,♥2,♦9,♠2 | Pair
♥J,♥10,♥2,♠2,♥4 | Pair
♥J,♥10,♥2,♠2,♥6 | Pair
♥J,♥10,♥2,♠2,♦8 | Pair
♥J,♥10,♥2,♠2,♠K | Pair
♥J,♥10,♥2,♥4,♥6 | Flush
♥J,♥10,♣8,♦7,♦9 | Straight
♥J,♥10,♣8,♦7,♦8 | Pair
♥J,♥10,♣8,♦9,♦8 | Pair
♥J,♥10,♣8,♠2,♦8 | Pair
♥J,♥10,♣8,♥4,♦8 | Pair
♥J,♥10,♣8,♥6,♦8 | Pair
♥J,♥10,♣8,♦8,♠K | Pair
♥J,♥10,♦7,♦9,♦8 | Straight
♥J,♥2,♣8,♦7,♠2 | Pair
♥J,♥2,♣8,♦7,♦8 | Pair
♥J,♥2,♣8,♦9,♠2 | Pair
♥J,♥2,♣8,♦9,♦8 | Pair
♥J,♥2,♣8,♠2,♥4 | Pair
♥J,♥2,♣8,♠2,♥6 | Pair
♥J,♥2,♣8,♠2,♦8 | Two Pairs
♥J,♥2,♣8,♠2,♠K | Pair
♥J,♥2,♣8,♥4,♦8 | Pair
♥J,♥2,♣8,♥6,♦8 | Pair
♥J,♥2,♣8,♦8,♠K | Pair
♥J,♥2,♦7,♦9,♠2 | Pair
♥J,♥2,♦7,♠2,♥4 | Pair
♥J,♥2,♦7,♠2,♥6 | Pair
♥J,♥2,♦7,♠2,♦8 | Pair
♥J,♥2,♦7,♠2,♠K | Pair
♥J,♥2,♦9,♠2,♥4 | Pair
♥J,♥2,♦9,♠2,♥6 | Pair
♥J,♥2,♦9,♠2,♦8 | Pair
♥J,♥2,♦9,♠2,♠K | Pair
♥J,♥2,♠2,♥4,♥6 | Pair
♥J,♥2,♠2,♥4,♦8 | Pair
♥J,♥2,♠2,♥4,♠K | Pair
♥J,♥2,♠2,♥6,♦8 | Pair
♥J,♥2,♠2,♥6,♠K | Pair
♥J,♥2,♠2,♦8,♠K | Pair
♥J,♣8,♦7,♦9,♦8 | Pair
♥J,♣8,♦7,♠2,♦8 | Pair
♥J,♣8,♦7,♥4,♦8 | Pair
♥J,♣8,♦7,♥6,♦8 | Pair
♥J,♣8,♦7,♦8,♠K | Pair
♥J,♣8,♦9,♠2,♦8 | Pair
♥J,♣8,♦9,♥4,♦8 | Pair
♥J,♣8,♦9,♥6,♦8 | Pair
♥J,♣8,♦9,♦8,♠K | Pair
♥J,♣8,♠2,♥4,♦8 | Pair
♥J,♣8,♠2,♥6,♦8 | Pair
♥J,♣8,♠2,♦8,♠K | Pair
♥J,♣8,♥4,♥6,♦8 | Pair
♥J,♣8,♥4,♦8,♠K | Pair
♥J,♣8,♥6,♦8,♠K | Pair
♣J,♦4,♥10,♥2,♠2 | Pair
♣J,♦4,♥10,♥2,♥4 | Pair
♣J,♦4,♥10,♣8,♥4 | Pair
♣J,♦4,♥10,♣8,♦8 | Pair
♣J,♦4,♥10,♦7,♥4 | Pair
♣J,♦4,♥10,♦9,♥4 | Pair
♣J,♦4,♥10,♠2,♥4 | Pair
♣J,♦4,♥10,♥4,♥6 | Pair
♣J,♦4,♥10,♥4,♦8 | Pair
♣J,♦4,♥10,♥4,♠K | Pair
♣J,♦4,♥2,♣8,♠2 | Pair
♣J,♦4,♥2,♣8,♥4 | Pair
♣J,♦4,♥2,♣8,♦8 | Pair
♣J,♦4,♥2,♦7,♠2 | Pair
♣J,♦4,♥2,♦7,♥4 | Pair
♣J,♦4,♥2,♦9,♠2 | Pair
♣J,♦4,♥2,♦9,♥4 | Pair
♣J,♦4,♥2,♠2,♥4 | Two Pairs
♣J,♦4,♥2,♠2,♥6 | Pair
♣J,♦4,♥2,♠2,♦8 | Pair
♣J,♦4,♥2,♠2,♠K | Pair
♣J,♦4,♥2,♥4,♥6 | Pair
♣J,♦4,♥2,♥4,♦8 | Pair
♣J,♦4,♥2,♥4,♠K | Pair
♣J,♦4,♣8,♦7,♥4 | Pair
♣J,♦4,♣8,♦7,♦8 | Pair
♣J,♦4,♣8,♦9,♥4 | Pair
♣J,♦4,♣8,♦9,♦8 | Pair
♣J,♦4,♣8,♠2,♥4 | Pair
♣J,♦4,♣8,♠2,♦8 | Pair
♣J,♦4,♣8,♥4,♥6 | Pair
♣J,♦4,♣8,♥4,♦8 | Two Pairs
♣J,♦4,♣8,♥4,♠K | Pair
♣J,♦4,♣8,♥6,♦8 | Pair
♣J,♦4,♣8,♦8,♠K | Pair
♣J,♦4,♦7,♦9,♥4 | Pair
♣J,♦4,♦7,♠2,♥4 | Pair
♣J,♦4,♦7,♥4,♥6 | Pair
♣J,♦4,♦7,♥4,♦8 | Pair
♣J,♦4,♦7,♥4,♠K | Pair
♣J,♦4,♦9,♠2,♥4 | Pair
♣J,♦4,♦9,♥4,♥6 | Pair
♣J,♦4,♦9,♥4,♦8 | Pair
♣J,♦4,♦9,♥4,♠K | Pair
♣J,♦4,♠2,♥4,♥6 | Pair
♣J,♦4,♠2,♥4,♦8 | Pair
♣J,♦4,♠2,♥4,♠K | Pair
♣J,♦4,♥4,♥6,♦8 | Pair
♣J,♦4,♥4,♥6,♠K | Pair
♣J,♦4,♥4,♦8,♠K | Pair
♣J,♥10,♥2,♣8,♠2 | Pair
♣J,♥10,♥2,♣8,♦8 | Pair
♣J,♥10,♥2,♦7,♠2 | Pair
♣J,♥10,♥2,♦9,♠2 | Pair
♣J,♥10,♥2,♠2,♥4 | Pair
♣J,♥10,♥2,♠2,♥6 | Pair
♣J,♥10,♥2,♠2,♦8 | Pair
♣J,♥10,♥2,♠2,♠K | Pair
♣J,♥10,♣8,♦7,♦9 | Straight
♣J,♥10,♣8,♦7,♦8 | Pair
♣J,♥10,♣8,♦9,♦8 | Pair
♣J,♥10,♣8,♠2,♦8 | Pair
♣J,♥10,♣8,♥4,♦8 | Pair
♣J,♥10,♣8,♥6,♦8 | Pair
♣J,♥10,♣8,♦8,♠K | Pair
♣J,♥10,♦7,♦9,♦8 | Straight
♣J,♥2,♣8,♦7,♠2 | Pair
♣J,♥2,♣8,♦7,♦8 | Pair
♣J,♥2,♣8,♦9,♠2 | Pair
♣J,♥2,♣8,♦9,♦8 | Pair
♣J,♥2,♣8,♠2,♥4 | Pair
♣J,♥2,♣8,♠2,♥6 | Pair
♣J,♥2,♣8,♠2,♦8 | Two Pairs
♣J,♥2,♣8,♠2,♠K | Pair
♣J,♥2,♣8,♥4,♦8 | Pair
♣J,♥2,♣8,♥6,♦8 | Pair
♣J,♥2,♣8,♦8,♠K | Pair
♣J,♥2,♦7,♦9,♠2 | Pair
♣J,♥2,♦7,♠2,♥4 | Pair
♣J,♥2,♦7,♠2,♥6 | Pair
♣J,♥2,♦7,♠2,♦8 | Pair
♣J,♥2,♦7,♠2,♠K | Pair
♣J,♥2,♦9,♠2,♥4 | Pair
♣J,♥2,♦9,♠2,♥6 | Pair
♣J,♥2,♦9,♠2,♦8 | Pair
♣J,♥2,♦9,♠2,♠K | Pair
♣J,♥2,♠2,♥4,♥6 | Pair
♣J,♥2,♠2,♥4,♦8 | Pair
♣J,♥2,♠2,♥4,♠K | Pair
♣J,♥2,♠2,♥6,♦8 | Pair
♣J,♥2,♠2,♥6,♠K | Pair
♣J,♥2,♠2,♦8,♠K | Pair
♣J,♣8,♦7,♦9,♦8 | Pair
♣J,♣8,♦7,♠2,♦8 | Pair
♣J,♣8,♦7,♥4,♦8 | Pair
♣J,♣8,♦7,♥6,♦8 | Pair
♣J,♣8,♦7,♦8,♠K | Pair
♣J,♣8,♦9,♠2,♦8 | Pair
♣J,♣8,♦9,♥4,♦8 | Pair
♣J,♣8,♦9,♥6,♦8 | Pair
♣J,♣8,♦9,♦8,♠K | Pair
♣J,♣8,♠2,♥4,♦8 | Pair
♣J,♣8,♠2,♥6,♦8 | Pair
♣J,♣8,♠2,♦8,♠K | Pair
♣J,♣8,♥4,♥6,♦8 | Pair
♣J,♣8,♥4,♦8,♠K | Pair
♣J,♣8,♥6,♦8,♠K | Pair
♦4,♥10,♥2,♣8,♠2 | Pair
♦4,♥10,♥2,♣8,♥4 | Pair
♦4,♥10,♥2,♣8,♦8 | Pair
♦4,♥10,♥2,♦7,♠2 | Pair
♦4,♥10,♥2,♦7,♥4 | Pair
♦4,♥10,♥2,♦9,♠2 | Pair
♦4,♥10,♥2,♦9,♥4 | Pair
♦4,♥10,♥2,♠2,♥4 | Two Pairs
♦4,♥10,♥2,♠2,♥6 | Pair
♦4,♥10,♥2,♠2,♦8 | Pair
♦4,♥10,♥2,♠2,♠K | Pair
♦4,♥10,♥2,♥4,♥6 | Pair
♦4,♥10,♥2,♥4,♦8 | Pair
♦4,♥10,♥2,♥4,♠K | Pair
♦4,♥10,♣8,♦7,♥4 | Pair
♦4,♥10,♣8,♦7,♦8 | Pair
♦4,♥10,♣8,♦9,♥4 | Pair
♦4,♥10,♣8,♦9,♦8 | Pair
♦4,♥10,♣8,♠2,♥4 | Pair
♦4,♥10,♣8,♠2,♦8 | Pair
♦4,♥10,♣8,♥4,♥6 | Pair
♦4,♥10,♣8,♥4,♦8 | Two Pairs
♦4,♥10,♣8,♥4,♠K | Pair
♦4,♥10,♣8,♥6,♦8 | Pair
♦4,♥10,♣8,♦8,♠K | Pair
♦4,♥10,♦7,♦9,♥4 | Pair
♦4,♥10,♦7,♠2,♥4 | Pair
♦4,♥10,♦7,♥4,♥6 | Pair
♦4,♥10,♦7,♥4,♦8 | Pair
♦4,♥10,♦7,♥4,♠K | Pair
♦4,♥10,♦9,♠2,♥4 | Pair
♦4,♥10,♦9,♥4,♥6 | Pair
♦4,♥10,♦9,♥4,♦8 | Pair
♦4,♥10,♦9,♥4,♠K | Pair
♦4,♥10,♠2,♥4,♥6 | Pair
♦4,♥10,♠2,♥4,♦8 | Pair
♦4,♥10,♠2,♥4,♠K | Pair
♦4,♥10,♥4,♥6,♦8 | Pair
♦4,♥10,♥4,♥6,♠K | Pair
♦4,♥10,♥4,♦8,♠K | Pair
♦4,♥2,♣8,♦7,♠2 | Pair
♦4,♥2,♣8,♦7,♥4 | Pair
♦4,♥2,♣8,♦7,♦8 | Pair
♦4,♥2,♣8,♦9,♠2 | Pair
♦4,♥2,♣8,♦9,♥4 | Pair
♦4,♥2,♣8,♦9,♦8 | Pair
♦4,♥2,♣8,♠2,♥4 | Two Pairs
♦4,♥2,♣8,♠2,♥6 | Pair
♦4,♥2,♣8,♠2,♦8 | Two Pairs
♦4,♥2,♣8,♠2,♠K | Pair
♦4,♥2,♣8,♥4,♥6 | Pair
♦4,♥2,♣8,♥4,♦8 | Two Pairs
♦4,♥2,♣8,♥4,♠K | Pair
♦4,♥2,♣8,♥6,♦8 | Pair
♦4,♥2,♣8,♦8,♠K | Pair
♦4,♥2,♦7,♦9,♠2 | Pair
♦4,♥2,♦7,♦9,♥4 | Pair
♦4,♥2,♦7,♠2,♥4 | Two Pairs
♦4,♥2,♦7,♠2,♥6 | Pair
♦4,♥2,♦7,♠2,♦8 | Pair
♦4,♥2,♦7,♠2,♠K | Pair
♦4,♥2,♦7,♥4,♥6 | Pair
♦4,♥2,♦7,♥4,♦8 | Pair
♦4,♥2,♦7,♥4,♠K | Pair
♦4,♥2,♦9,♠2,♥4 | Two Pairs
♦4,♥2,♦9,♠2,♥6 | Pair
♦4,♥2,♦9,♠2,♦8 | Pair
♦4,♥2,♦9,♠2,♠K | Pair
♦4,♥2,♦9,♥4,♥6 | Pair
♦4,♥2,♦9,♥4,♦8 | Pair
♦4,♥2,♦9,♥4,♠K | Pair
♦4,♥2,♠2,♥4,♥6 | Two Pairs
♦4,♥2,♠2,♥4,♦8 | Two Pairs
♦4,♥2,♠2,♥4,♠K | Two Pairs
♦4,♥2,♠2,♥6,♦8 | Pair
♦4,♥2,♠2,♥6,♠K | Pair
♦4,♥2,♠2,♦8,♠K | Pair
♦4,♥2,♥4,♥6,♦8 | Pair
♦4,♥2,♥4,♥6,♠K | Pair
♦4,♥2,♥4,♦8,♠K | Pair
♦4,♣8,♦7,♦9,♥4 | Pair
♦4,♣8,♦7,♦9,♦8 | Pair
♦4,♣8,♦7,♠2,♥4 | Pair
♦4,♣8,♦7,♠2,♦8 | Pair
♦4,♣8,♦7,♥4,♥6 | Pair
♦4,♣8,♦7,♥4,♦8 | Two Pairs
♦4,♣8,♦7,♥4,♠K | Pair
♦4,♣8,♦7,♥6,♦8 | Pair
♦4,♣8,♦7,♦8,♠K | Pair
♦4,♣8,♦9,♠2,♥4 | Pair
♦4,♣8,♦9,♠2,♦8 | Pair
♦4,♣8,♦9,♥4,♥6 | Pair
♦4,♣8,♦9,♥4,♦8 | Two Pairs
♦4,♣8,♦9,♥4,♠K | Pair
♦4,♣8,♦9,♥6,♦8 | Pair
♦4,♣8,♦9,♦8,♠K | Pair
♦4,♣8,♠2,♥4,♥6 | Pair
♦4,♣8,♠2,♥4,♦8 | Two Pairs
♦4,♣8,♠2,♥4,♠K | Pair
♦4,♣8,♠2,♥6,♦8 | Pair
♦4,♣8,♠2,♦8,♠K | Pair
♦4,♣8,♥4,♥6,♦8 | Two Pairs
♦4,♣8,♥4,♥6,♠K | Pair
♦4,♣8,♥4,♦8,♠K | Two Pairs
♦4,♣8,♥6,♦8,♠K | Pair
♦4,♦7,♦9,♠2,♥4 | Pair
♦4,♦7,♦9,♥4,♥6 | Pair
♦4,♦7,♦9,♥4,♦8 | Pair
♦4,♦7,♦9,♥4,♠K | Pair
♦4,♦7,♠2,♥4,♥6 | Pair
♦4,♦7,♠2,♥4,♦8 | Pair
♦4,♦7,♠2,♥4,♠K | Pair
♦4,♦7,♥4,♥6,♦8 | Pair
♦4,♦7,♥4,♥6,♠K | Pair
♦4,♦7,♥4,♦8,♠K | Pair
♦4,♦9,♠2,♥4,♥6 | Pair
♦4,♦9,♠2,♥4,♦8 | Pair
♦4,♦9,♠2,♥4,♠K | Pair
♦4,♦9,♥4,♥6,♦8 | Pair
♦4,♦9,♥4,♥6,♠K | Pair
♦4,♦9,♥4,♦8,♠K | Pair
♦4,♠2,♥4,♥6,♦8 | Pair
♦4,♠2,♥4,♥6,♠K | Pair
♦4,♠2,♥4,♦8,♠K | Pair
♦4,♥4,♥6,♦8,♠K | Pair
♥10,♥2,♣8,♦7,♠2 | Pair
♥10,♥2,♣8,♦7,♦8 | Pair
♥10,♥2,♣8,♦9,♠2 | Pair
♥10,♥2,♣8,♦9,♦8 | Pair
♥10,♥2,♣8,♠2,♥4 | Pair
♥10,♥2,♣8,♠2,♥6 | Pair
♥10,♥2,♣8,♠2,♦8 | Two Pairs
♥10,♥2,♣8,♠2,♠K | Pair
♥10,♥2,♣8,♥4,♦8 | Pair
♥10,♥2,♣8,♥6,♦8 | Pair
♥10,♥2,♣8,♦8,♠K | Pair
♥10,♥2,♦7,♦9,♠2 | Pair
♥10,♥2,♦7,♠2,♥4 | Pair
♥10,♥2,♦7,♠2,♥6 | Pair
♥10,♥2,♦7,♠2,♦8 | Pair
♥10,♥2,♦7,♠2,♠K | Pair
♥10,♥2,♦9,♠2,♥4 | Pair
♥10,♥2,♦9,♠2,♥6 | Pair
♥10,♥2,♦9,♠2,♦8 | Pair
♥10,♥2,♦9,♠2,♠K | Pair
♥10,♥2,♠2,♥4,♥6 | Pair
♥10,♥2,♠2,♥4,♦8 | Pair
♥10,♥2,♠2,♥4,♠K | Pair
♥10,♥2,♠2,♥6,♦8 | Pair
♥10,♥2,♠2,♥6,♠K | Pair
♥10,♥2,♠2,♦8,♠K | Pair
♥10,♣8,♦7,♦9,♥6 | Straight
♥10,♣8,♦7,♦9,♦8 | Pair
♥10,♣8,♦7,♠2,♦8 | Pair
♥10,♣8,♦7,♥4,♦8 | Pair
♥10,♣8,♦7,♥6,♦8 | Pair
♥10,♣8,♦7,♦8,♠K | Pair
♥10,♣8,♦9,♠2,♦8 | Pair
♥10,♣8,♦9,♥4,♦8 | Pair
♥10,♣8,♦9,♥6,♦8 | Pair
♥10,♣8,♦9,♦8,♠K | Pair
♥10,♣8,♠2,♥4,♦8 | Pair
♥10,♣8,♠2,♥6,♦8 | Pair
♥10,♣8,♠2,♦8,♠K | Pair
♥10,♣8,♥4,♥6,♦8 | Pair
♥10,♣8,♥4,♦8,♠K | Pair
♥10,♣8,♥6,♦8,♠K | Pair
♥10,♦7,♦9,♥6,♦8 | Straight
♥2,♣8,♦7,♦9,♠2 | Pair
♥2,♣8,♦7,♦9,♦8 | Pair
♥2,♣8,♦7,♠2,♥4 | Pair
♥2,♣8,♦7,♠2,♥6 | Pair
♥2,♣8,♦7,♠2,♦8 | Two Pairs
♥2,♣8,♦7,♠2,♠K | Pair
♥2,♣8,♦7,♥4,♦8 | Pair
♥2,♣8,♦7,♥6,♦8 | Pair
♥2,♣8,♦7,♦8,♠K | Pair
♥2,♣8,♦9,♠2,♥4 | Pair
