♦Q,♥Q,♣J,♥10,♥5 | Pair
♦Q,♥Q,♥5,♦3,♥4 | Pair
♦Q,♥Q,♦10,♠A,♣4 | Pair
♦Q,♥Q,♦10,♠A,♦3 | Pair
♦Q,♥Q,♦10,♠A,♥4 | Pair
♦Q,♥Q,♦10,♣4,♦3 | Pair
♦Q,♥Q,♦10,♣4,♥4 | Two Pairs
♦Q,♥Q,♦10,♦3,♥4 | Pair
♦Q,♥Q,♠A,♣4,♦3 | Pair
♦Q,♥Q,♠A,♣4,♥4 | Two Pairs
♦Q,♥Q,♠A,♦3,♥4 | Pair
♦Q,♥Q,♣4,♦3,♥4 | Two Pairs
♦Q,♣J,♥10,♥5,♦10 | Pair
♦Q,♣J,♥10,♦10,♠A | Pair
♦Q,♣J,♥10,♦10,♣4 | Pair
♦Q,♣J,♥10,♦10,♦3 | Pair
♦Q,♣J,♥10,♦10,♥4 | Pair
♦Q,♣J,♥10,♣4,♥4 | Pair
♦Q,♣J,♥5,♣4,♥4 | Pair
♦Q,♣J,♦10,♣4,♥4 | Pair
♦Q,♣J,♠A,♣4,♥4 | Pair
♦Q,♣J,♣4,♦3,♥4 | Pair
♦Q,♥10,♥5,♦10,♠A | Pair
♦Q,♥10,♥5,♦10,♣4 | Pair
♦Q,♥10,♥5,♦10,♦3 | Pair
♦Q,♥10,♥5,♦10,♥4 | Pair
♦Q,♥10,♥5,♣4,♥4 | Pair
♦Q,♥10,♦10,♠A,♣4 | Pair
♦Q,♥10,♦10,♠A,♦3 | Pair
♦Q,♥10,♦10,♠A,♥4 | Pair
♦Q,♥10,♦10,♣4,♦3 | Pair
♦Q,♥10,♦10,♣4,♥4 | Two Pairs
♦Q,♥10,♦10,♦3,♥4 | Pair
♦Q,♥10,♠A,♣4,♥4 | Pair
♦Q,♥10,♣4,♦3,♥4 | Pair
♦Q,♥5,♦10,♣4,♥4 | Pair
♦Q,♥5,♠A,♣4,♥4 | Pair
♦Q,♥5,♣4,♦3,♥4 | Pair
♦Q,♦10,♠A,♣4,♥4 | Pair
♦Q,♦10,♣4,♦3,♥4 | Pair
♦Q,♠A,♣4,♦3,♥4 | Pair
♥Q,♣J,♥10,♥5,♦10 | Pair
♥Q,♣J,♥10,♦10,♠A | Pair
♥Q,♣J,♥10,♦10,♣4 | Pair
♥Q,♣J,♥10,♦10,♦3 | Pair
♥Q,♣J,♥10,♦10,♥4 | Pair
♥Q,♣J,♥10,♣4,♥4 | Pair
♥Q,♣J,♥5,♣4,♥4 | Pair
♥Q,♣J,♦10,♣4,♥4 | Pair
♥Q,♣J,♠A,♣4,♥4 | Pair
♥Q,♣J,♣4,♦3,♥4 | Pair
♥Q,♥10,♥5,♦10,♠A | Pair
♥Q,♥10,♥5,♦10,♣4 | Pair
♥Q,♥10,♥5,♦10,♦3 | Pair
♥Q,♥10,♥5,♦10,♥4 | Pair
♥Q,♥10,♥5,♣4,♥4 | Pair
♥Q,♥10,♦10,♠A,♣4 | Pair
♥Q,♥10,♦10,♠A,♦3 | Pair
♥Q,♥10,♦10,♠A,♥4 | Pair
♥Q,♥10,♦10,♣4,♦3 | Pair
♥Q,♥10,♦10,♣4,♥4 | Two Pairs
♥Q,♥10,♦10,♦3,♥4 | Pair
♥Q,♥10,♠A,♣4,♥4 | Pair
♥Q,♥10,♣4,♦3,♥4 | Pair
♥Q,♥5,♦10,♣4,♥4 | Pair
♥Q,♥5,♠A,♣4,♥4 | Pair
♥Q,♥5,♣4,♦3,♥4 | Pair
♥Q,♦10,♠A,♣4,♥4 | Pair
♥Q,♦10,♣4,♦3,♥4 | Pair
♥Q,♠A,♣4,♦3,♥4 | Pair
♣J,♥10,♥5,♦10,♠A | Pair
♣J,♥10,♥5,♦10,♣4 | Pair
♣J,♥10,♥5,♦10,♦3 | Pair
♣J,♥10,♥5,♦10,♥4 | Pair
♣J,♥10,♥5,♣4,♥4 | Pair
♣J,♥10,♦10,♠A,♣4 | Pair
♣J,♥10,♦10,♠A,♦3 | Pair
♣J,♥10,♦10,♠A,♥4 | Pair
♣J,♥10,♦10,♣4,♦3 | Pair
♣J,♥10,♦10,♣4,♥4 | Two Pairs
♣J,♥10,♦10,♦3,♥4 | Pair
♣J,♥10,♠A,♣4,♥4 | Pair
♣J,♥10,♣4,♦3,♥4 | Pair
♣J,♥5,♦10,♣4,♥4 | Pair
♣J,♥5,♠A,♣4,♥4 | Pair
♣J,♥5,♣4,♦3,♥4 | Pair
♣J,♦10,♠A,♣4,♥4 | Pair
♣J,♦10,♣4,♦3,♥4 | Pair
♣J,♠A,♣4,♦3,♥4 | Pair
♥10,♥5,♦10,♠A,♣4 | Pair
♥10,♥5,♦10,♠A,♦3 | Pair
♥10,♥5,♦10,♠A,♥4 | Pair
♥10,♥5,♦10,♣4,♦3 | Pair
♥10,♥5,♦10,♣4,♥4 | Two Pairs
♥10,♥5,♦10,♦3,♥4 | Pair
♥10,♥5,♠A,♣4,♥4 | Pair
♥10,♥5,♣4,♦3,♥4 | Pair
♥10,♦10,♠A,♣4,♦3 | Pair
♥10,♦10,♠A,♣4,♥4 | Two Pairs
♥10,♦10,♠A,♦3,♥4 | Pair
♥10,♦10,♣4,♦3,♥4 | Two Pairs
♥10,♠A,♣4,♦3,♥4 | Pair
♥5,♦10,♠A,♣4,♥4 | Pair
♥5,♦10,♣4,♦3,♥4 | Pair
♥5,♠A,♣4,♦3,♥4 | Pair
♦10,♠A,♣4,♦3,♥4 | Pair
