♠10,♣Q,♣8,♣10,♣7 | Pair
♠10,♣8,♣10,♣7,♥8 | Two Pairs
♠10,♣8,♣10,♣7,♥2 | Pair
♠10,♣8,♣10,♣7,♣4 | Pair
♠10,♣8,♣10,♣7,♣2 | Pair
♠10,♣8,♣10,♣7,♦J | Pair
♠10,♣8,♣10,♠2,♣3 | Pair
♠10,♣8,♣10,♠2,♠5 | Pair
♠10,♣8,♣10,♠2,♥8 | Two Pairs
♠10,♣8,♣10,♠2,♥2 | Two Pairs
♠10,♣8,♣10,♠2,♣4 | Pair
♠10,♣8,♣10,♠2,♣2 | Two Pairs
♠10,♣8,♣10,♠2,♦J | Pair
♠10,♣8,♣10,♣3,♠5 | Pair
♠10,♣8,♣10,♣3,♥8 | Two Pairs
♠10,♣8,♣10,♣3,♥2 | Pair
♠10,♣8,♣10,♣3,♣4 | Pair
♠10,♣8,♣10,♣3,♣2 | Pair
♠10,♣8,♣10,♣3,♦J | Pair
♠10,♣8,♣10,♠5,♥8 | Two Pairs
♠10,♣8,♣10,♠5,♥2 | Pair
♠10,♣8,♣10,♠5,♣4 | Pair
♠10,♣8,♣10,♠5,♣2 | Pair
♠10,♣8,♣10,♠5,♦J | Pair
♠10,♣8,♣10,♥8,♥2 | Two Pairs
♠10,♣8,♣10,♥8,♣4 | Two Pairs
♠10,♣8,♣10,♥8,♣2 | Two Pairs
♠10,♣8,♣10,♥8,♦J | Two Pairs
♠10,♣8,♣10,♥2,♣4 | Pair
♠10,♣8,♣10,♥2,♣2 | Two Pairs
♠10,♣8,♣10,♥2,♦J | Pair
♠10,♣8,♣10,♣4,♣2 | Pair
♠10,♣8,♣10,♣4,♦J | Pair
♠10,♣8,♣10,♣2,♦J | Pair
♠10,♣8,♣7,♠2,♥8 | Pair
♠10,♣8,♣7,♠2,♥2 | Pair
♠10,♣8,♣7,♠2,♣2 | Pair
♠10,♣8,♣7,♣3,♥8 | Pair
♠10,♣8,♣7,♠5,♥8 | Pair
♠10,♣8,♣7,♥8,♥2 | Pair
♠10,♣8,♣7,♥8,♣4 | Pair
♠10,♣8,♣7,♥8,♣2 | Pair
♠10,♣8,♣7,♥8,♦J | Pair
♠10,♣8,♣7,♥2,♣2 | Pair
♠10,♣8,♠2,♣3,♥8 | Pair
♠10,♣8,♠2,♣3,♥2 | Pair
♠10,♣8,♠2,♣3,♣2 | Pair
♠10,♣8,♠2,♠5,♥8 | Pair
♠10,♣8,♠2,♠5,♥2 | Pair
♠10,♣8,♠2,♠5,♣2 | Pair
♠10,♣8,♠2,♥8,♥2 | Two Pairs
♠10,♣8,♠2,♥8,♣4 | Pair
♠10,♣8,♠2,♥8,♣2 | Two Pairs
♠10,♣8,♠2,♥8,♦J | Pair
♠10,♣8,♠2,♥2,♣4 | Pair
♠10,♣8,♠2,♥2,♣2 | Three Of A Kind
♠10,♣8,♠2,♥2,♦J | Pair
♠10,♣8,♠2,♣4,♣2 | Pair
♠10,♣8,♠2,♣2,♦J | Pair
♠10,♣8,♣3,♠5,♥8 | Pair
♠10,♣8,♣3,♥8,♥2 | Pair
♠10,♣8,♣3,♥8,♣4 | Pair
♠10,♣8,♣3,♥8,♣2 | Pair
♠10,♣8,♣3,♥8,♦J | Pair
♠10,♣8,♣3,♥2,♣2 | Pair
♠10,♣8,♠5,♥8,♥2 | Pair
♠10,♣8,♠5,♥8,♣4 | Pair
♠10,♣8,♠5,♥8,♣2 | Pair
♠10,♣8,♠5,♥8,♦J | Pair
♠10,♣8,♠5,♥2,♣2 | Pair
♠10,♣8,♥8,♥2,♣4 | Pair
♠10,♣8,♥8,♥2,♣2 | Two Pairs
♠10,♣8,♥8,♥2,♦J | Pair
♠10,♣8,♥8,♣4,♣2 | Pair
♠10,♣8,♥8,♣4,♦J | Pair
♠10,♣8,♥8,♣2,♦J | Pair
♠10,♣8,♥2,♣4,♣2 | Pair
♠10,♣8,♥2,♣2,♦J | Pair
♠10,♣10,♣7,♠2,♣3 | Pair
♠10,♣10,♣7,♠2,♠5 | Pair
♠10,♣10,♣7,♠2,♥8 | Pair
♠10,♣10,♣7,♠2,♥2 | Two Pairs
♠10,♣10,♣7,♠2,♣4 | Pair
♠10,♣10,♣7,♠2,♣2 | Two Pairs
♠10,♣10,♣7,♠2,♦J | Pair
♠10,♣10,♣7,♣3,♠5 | Pair
♠10,♣10,♣7,♣3,♥8 | Pair
♠10,♣10,♣7,♣3,♥2 | Pair
♠10,♣10,♣7,♣3,♣4 | Pair
♠10,♣10,♣7,♣3,♣2 | Pair
♠10,♣10,♣7,♣3,♦J | Pair
♠10,♣10,♣7,♠5,♥8 | Pair
♠10,♣10,♣7,♠5,♥2 | Pair
♠10,♣10,♣7,♠5,♣4 | Pair
♠10,♣10,♣7,♠5,♣2 | Pair
♠10,♣10,♣7,♠5,♦J | Pair
♠10,♣10,♣7,♥8,♥2 | Pair
♠10,♣10,♣7,♥8,♣4 | Pair
♠10,♣10,♣7,♥8,♣2 | Pair
♠10,♣10,♣7,♥8,♦J | Pair
♠10,♣10,♣7,♥2,♣4 | Pair
♠10,♣10,♣7,♥2,♣2 | Two Pairs
♠10,♣10,♣7,♥2,♦J | Pair
♠10,♣10,♣7,♣4,♣2 | Pair
♠10,♣10,♣7,♣4,♦J | Pair
♠10,♣10,♣7,♣2,♦J | Pair
♠10,♣10,♠2,♣3,♠5 | Pair
♠10,♣10,♠2,♣3,♥8 | Pair
♠10,♣10,♠2,♣3,♥2 | Two Pairs
♠10,♣10,♠2,♣3,♣4 | Pair
♠10,♣10,♠2,♣3,♣2 | Two Pairs
♠10,♣10,♠2,♣3,♦J | Pair
♠10,♣10,♠2,♠5,♥8 | Pair
♠10,♣10,♠2,♠5,♥2 | Two Pairs
♠10,♣10,♠2,♠5,♣4 | Pair
♠10,♣10,♠2,♠5,♣2 | Two Pairs
♠10,♣10,♠2,♠5,♦J | Pair
♠10,♣10,♠2,♥8,♥2 | Two Pairs
♠10,♣10,♠2,♥8,♣4 | Pair
♠10,♣10,♠2,♥8,♣2 | Two Pairs
♠10,♣10,♠2,♥8,♦J | Pair
♠10,♣10,♠2,♥2,♣4 | Two Pairs
♠10,♣10,♠2,♥2,♣2 | Full House
♠10,♣10,♠2,♥2,♦J | Two Pairs
♠10,♣10,♠2,♣4,♣2 | Two Pairs
♠10,♣10,♠2,♣4,♦J | Pair
♠10,♣10,♠2,♣2,♦J | Two Pairs
♠10,♣10,♣3,♠5,♥8 | Pair
♠10,♣10,♣3,♠5,♥2 | Pair
♠10,♣10,♣3,♠5,♣4 | Pair
♠10,♣10,♣3,♠5,♣2 | Pair
♠10,♣10,♣3,♠5,♦J | Pair
♠10,♣10,♣3,♥8,♥2 | Pair
♠10,♣10,♣3,♥8,♣4 | Pair
♠10,♣10,♣3,♥8,♣2 | Pair
♠10,♣10,♣3,♥8,♦J | Pair
♠10,♣10,♣3,♥2,♣4 | Pair
♠10,♣10,♣3,♥2,♣2 | Two Pairs
♠10,♣10,♣3,♥2,♦J | Pair
♠10,♣10,♣3,♣4,♣2 | Pair
♠10,♣10,♣3,♣4,♦J | Pair
♠10,♣10,♣3,♣2,♦J | Pair
♠10,♣10,♠5,♥8,♥2 | Pair
♠10,♣10,♠5,♥8,♣4 | Pair
♠10,♣10,♠5,♥8,♣2 | Pair
♠10,♣10,♠5,♥8,♦J | Pair
♠10,♣10,♠5,♥2,♣4 | Pair
♠10,♣10,♠5,♥2,♣2 | Two Pairs
♠10,♣10,♠5,♥2,♦J | Pair
♠10,♣10,♠5,♣4,♣2 | Pair
♠10,♣10,♠5,♣4,♦J | Pair
♠10,♣10,♠5,♣2,♦J | Pair
♠10,♣10,♥8,♥2,♣4 | Pair
♠10,♣10,♥8,♥2,♣2 | Two Pairs
♠10,♣10,♥8,♥2,♦J | Pair
♠10,♣10,♥8,♣4,♣2 | Pair
♠10,♣10,♥8,♣4,♦J | Pair
♠10,♣10,♥8,♣2,♦J | Pair
♠10,♣10,♥2,♣4,♣2 | Two Pairs
♠10,♣10,♥2,♣4,♦J | Pair
♠10,♣10,♥2,♣2,♦J | Two Pairs
♠10,♣10,♣4,♣2,♦J | Pair
♠10,♣7,♠2,♣3,♥2 | Pair
♠10,♣7,♠2,♣3,♣2 | Pair
♠10,♣7,♠2,♠5,♥2 | Pair
♠10,♣7,♠2,♠5,♣2 | Pair
♠10,♣7,♠2,♥8,♥2 | Pair
♠10,♣7,♠2,♥8,♣2 | Pair
♠10,♣7,♠2,♥2,♣4 | Pair
♠10,♣7,♠2,♥2,♣2 | Three Of A Kind
♠10,♣7,♠2,♥2,♦J | Pair
♠10,♣7,♠2,♣4,♣2 | Pair
♠10,♣7,♠2,♣2,♦J | Pair
♠10,♣7,♣3,♥2,♣2 | Pair
♠10,♣7,♠5,♥2,♣2 | Pair
♠10,♣7,♥8,♥2,♣2 | Pair
♠10,♣7,♥2,♣4,♣2 | Pair
♠10,♣7,♥2,♣2,♦J | Pair
♠10,♠2,♣3,♠5,♥2 | Pair
♠10,♠2,♣3,♠5,♣2 | Pair
♠10,♠2,♣3,♥8,♥2 | Pair
♠10,♠2,♣3,♥8,♣2 | Pair
♠10,♠2,♣3,♥2,♣4 | Pair
♠10,♠2,♣3,♥2,♣2 | Three Of A Kind
♠10,♠2,♣3,♥2,♦J | Pair
♠10,♠2,♣3,♣4,♣2 | Pair
♠10,♠2,♣3,♣2,♦J | Pair
♠10,♠2,♠5,♥8,♥2 | Pair
♠10,♠2,♠5,♥8,♣2 | Pair
♠10,♠2,♠5,♥2,♣4 | Pair
♠10,♠2,♠5,♥2,♣2 | Three Of A Kind
♠10,♠2,♠5,♥2,♦J | Pair
♠10,♠2,♠5,♣4,♣2 | Pair
♠10,♠2,♠5,♣2,♦J | Pair
♠10,♠2,♥8,♥2,♣4 | Pair
♠10,♠2,♥8,♥2,♣2 | Three Of A Kind
♠10,♠2,♥8,♥2,♦J | Pair
♠10,♠2,♥8,♣4,♣2 | Pair
♠10,♠2,♥8,♣2,♦J | Pair
♠10,♠2,♥2,♣4,♣2 | Three Of A Kind
♠10,♠2,♥2,♣4,♦J | Pair
♠10,♠2,♥2,♣2,♦J | Three Of A Kind
♠10,♠2,♣4,♣2,♦J | Pair
♠10,♣3,♠5,♥2,♣2 | Pair
♠10,♣3,♥8,♥2,♣2 | Pair
♠10,♣3,♥2,♣4,♣2 | Pair
♠10,♣3,♥2,♣2,♦J | Pair
♠10,♠5,♥8,♥2,♣2 | Pair
♠10,♠5,♥2,♣4,♣2 | Pair
♠10,♠5,♥2,♣2,♦J | Pair
♠10,♥8,♥2,♣4,♣2 | Pair
♠10,♥8,♥2,♣2,♦J | Pair
♠10,♥2,♣4,♣2,♦J | Pair
♣Q,♣8,♣10,♣7,♣3 | Flush
♣Q,♣8,♣10,♣7,♥8 | Pair
♣Q,♣8,♣10,♣7,♣4 | Flush
♣Q,♣8,♣10,♣7,♣2 | Flush
♣Q,♣8,♣10,♠2,♥8 | Pair
♣Q,♣8,♣10,♠2,♥2 | Pair
♣Q,♣8,♣10,♠2,♣2 | Pair
♣Q,♣8,♣10,♣3,♥8 | Pair
♣Q,♣8,♣10,♣3,♣4 | Flush
♣Q,♣8,♣10,♣3,♣2 | Flush
♣Q,♣8,♣10,♠5,♥8 | Pair
♣Q,♣8,♣10,♥8,♥2 | Pair
♣Q,♣8,♣10,♥8,♣4 | Pair
♣Q,♣8,♣10,♥8,♣2 | Pair
♣Q,♣8,♣10,♥8,♦J | Pair
♣Q,♣8,♣10,♥2,♣2 | Pair
♣Q,♣8,♣10,♣4,♣2 | Flush
♣Q,♣8,♣7,♠2,♥8 | Pair
♣Q,♣8,♣7,♠2,♥2 | Pair
♣Q,♣8,♣7,♠2,♣2 | Pair
♣Q,♣8,♣7,♣3,♥8 | Pair
♣Q,♣8,♣7,♣3,♣4 | Flush
♣Q,♣8,♣7,♣3,♣2 | Flush
♣Q,♣8,♣7,♠5,♥8 | Pair
♣Q,♣8,♣7,♥8,♥2 | Pair
♣Q,♣8,♣7,♥8,♣4 | Pair
♣Q,♣8,♣7,♥8,♣2 | Pair
♣Q,♣8,♣7,♥8,♦J | Pair
♣Q,♣8,♣7,♥2,♣2 | Pair
♣Q,♣8,♣7,♣4,♣2 | Flush
♣Q,♣8,♠2,♣3,♥8 | Pair
♣Q,♣8,♠2,♣3,♥2 | Pair
♣Q,♣8,♠2,♣3,♣2 | Pair
♣Q,♣8,♠2,♠5,♥8 | Pair
♣Q,♣8,♠2,♠5,♥2 | Pair
♣Q,♣8,♠2,♠5,♣2 | Pair
♣Q,♣8,♠2,♥8,♥2 | Two Pairs
♣Q,♣8,♠2,♥8,♣4 | Pair
♣Q,♣8,♠2,♥8,♣2 | Two Pairs
♣Q,♣8,♠2,♥8,♦J | Pair
♣Q,♣8,♠2,♥2,♣4 | Pair
♣Q,♣8,♠2,♥2,♣2 | Three Of A Kind
♣Q,♣8,♠2,♥2,♦J | Pair
♣Q,♣8,♠2,♣4,♣2 | Pair
♣Q,♣8,♠2,♣2,♦J | Pair
♣Q,♣8,♣3,♠5,♥8 | Pair
♣Q,♣8,♣3,♥8,♥2 | Pair
♣Q,♣8,♣3,♥8,♣4 | Pair
♣Q,♣8,♣3,♥8,♣2 | Pair
♣Q,♣8,♣3,♥8,♦J | Pair
♣Q,♣8,♣3,♥2,♣2 | Pair
♣Q,♣8,♣3,♣4,♣2 | Flush
♣Q,♣8,♠5,♥8,♥2 | Pair
♣Q,♣8,♠5,♥8,♣4 | Pair
♣Q,♣8,♠5,♥8,♣2 | Pair
♣Q,♣8,♠5,♥8,♦J | Pair
♣Q,♣8,♠5,♥2,♣2 | Pair
♣Q,♣8,♥8,♥2,♣4 | Pair
♣Q,♣8,♥8,♥2,♣2 | Two Pairs
♣Q,♣8,♥8,♥2,♦J | Pair
♣Q,♣8,♥8,♣4,♣2 | Pair
♣Q,♣8,♥8,♣4,♦J | Pair
♣Q,♣8,♥8,♣2,♦J | Pair
♣Q,♣8,♥2,♣4,♣2 | Pair
♣Q,♣8,♥2,♣2,♦J | Pair
♣Q,♣10,♣7,♠2,♥2 | Pair
♣Q,♣10,♣7,♠2,♣2 | Pair
♣Q,♣10,♣7,♣3,♣4 | Flush
♣Q,♣10,♣7,♣3,♣2 | Flush
♣Q,♣10,♣7,♥2,♣2 | Pair
♣Q,♣10,♣7,♣4,♣2 | Flush
♣Q,♣10,♠2,♣3,♥2 | Pair
♣Q,♣10,♠2,♣3,♣2 | Pair
♣Q,♣10,♠2,♠5,♥2 | Pair
♣Q,♣10,♠2,♠5,♣2 | Pair
♣Q,♣10,♠2,♥8,♥2 | Pair
♣Q,♣10,♠2,♥8,♣2 | Pair
♣Q,♣10,♠2,♥2,♣4 | Pair
♣Q,♣10,♠2,♥2,♣2 | Three Of A Kind
♣Q,♣10,♠2,♥2,♦J | Pair
♣Q,♣10,♠2,♣4,♣2 | Pair
♣Q,♣10,♠2,♣2,♦J | Pair
♣Q,♣10,♣3,♥2,♣2 | Pair
♣Q,♣10,♣3,♣4,♣2 | Flush
♣Q,♣10,♠5,♥2,♣2 | Pair
♣Q,♣10,♥8,♥2,♣2 | Pair
♣Q,♣10,♥2,♣4,♣2 | Pair
♣Q,♣10,♥2,♣2,♦J | Pair
♣Q,♣7,♠2,♣3,♥2 | Pair
♣Q,♣7,♠2,♣3,♣2 | Pair
♣Q,♣7,♠2,♠5,♥2 | Pair
♣Q,♣7,♠2,♠5,♣2 | Pair
♣Q,♣7,♠2,♥8,♥2 | Pair
♣Q,♣7,♠2,♥8,♣2 | Pair
♣Q,♣7,♠2,♥2,♣4 | Pair
♣Q,♣7,♠2,♥2,♣2 | Three Of A Kind
♣Q,♣7,♠2,♥2,♦J | Pair
♣Q,♣7,♠2,♣4,♣2 | Pair
♣Q,♣7,♠2,♣2,♦J | Pair
♣Q,♣7,♣3,♥2,♣2 | Pair
♣Q,♣7,♣3,♣4,♣2 | Flush
♣Q,♣7,♠5,♥2,♣2 | Pair
♣Q,♣7,♥8,♥2,♣2 | Pair
♣Q,♣7,♥2,♣4,♣2 | Pair
♣Q,♣7,♥2,♣2,♦J | Pair
♣Q,♠2,♣3,♠5,♥2 | Pair
♣Q,♠2,♣3,♠5,♣2 | Pair
♣Q,♠2,♣3,♥8,♥2 | Pair
♣Q,♠2,♣3,♥8,♣2 | Pair
♣Q,♠2,♣3,♥2,♣4 | Pair
♣Q,♠2,♣3,♥2,♣2 | Three Of A Kind
♣Q,♠2,♣3,♥2,♦J | Pair
♣Q,♠2,♣3,♣4,♣2 | Pair
♣Q,♠2,♣3,♣2,♦J | Pair
♣Q,♠2,♠5,♥8,♥2 | Pair
♣Q,♠2,♠5,♥8,♣2 | Pair
♣Q,♠2,♠5,♥2,♣4 | Pair
♣Q,♠2,♠5,♥2,♣2 | Three Of A Kind
♣Q,♠2,♠5,♥2,♦J | Pair
♣Q,♠2,♠5,♣4,♣2 | Pair
♣Q,♠2,♠5,♣2,♦J | Pair
♣Q,♠2,♥8,♥2,♣4 | Pair
♣Q,♠2,♥8,♥2,♣2 | Three Of A Kind
♣Q,♠2,♥8,♥2,♦J | Pair
♣Q,♠2,♥8,♣4,♣2 | Pair
♣Q,♠2,♥8,♣2,♦J | Pair
♣Q,♠2,♥2,♣4,♣2 | Three Of A Kind
♣Q,♠2,♥2,♣4,♦J | Pair
♣Q,♠2,♥2,♣2,♦J | Three Of A Kind
♣Q,♠2,♣4,♣2,♦J | Pair
♣Q,♣3,♠5,♥2,♣2 | Pair
♣Q,♣3,♥8,♥2,♣2 | Pair
♣Q,♣3,♥2,♣4,♣2 | Pair
♣Q,♣3,♥2,♣2,♦J | Pair
♣Q,♠5,♥8,♥2,♣2 | Pair
♣Q,♠5,♥2,♣4,♣2 | Pair
♣Q,♠5,♥2,♣2,♦J | Pair
♣Q,♥8,♥2,♣4,♣2 | Pair
♣Q,♥8,♥2,♣2,♦J | Pair
♣Q,♥2,♣4,♣2,♦J | Pair
♣8,♣10,♣7,♠2,♥8 | Pair
♣8,♣10,♣7,♠2,♥2 | Pair
♣8,♣10,♣7,♠2,♣2 | Pair
♣8,♣10,♣7,♣3,♥8 | Pair
♣8,♣10,♣7,♣3,♣4 | Flush
♣8,♣10,♣7,♣3,♣2 | Flush
♣8,♣10,♣7,♠5,♥8 | Pair
♣8,♣10,♣7,♥8,♥2 | Pair
♣8,♣10,♣7,♥8,♣4 | Pair
♣8,♣10,♣7,♥8,♣2 | Pair
♣8,♣10,♣7,♥8,♦J | Pair
♣8,♣10,♣7,♥2,♣2 | Pair
♣8,♣10,♣7,♣4,♣2 | Flush
♣8,♣10,♠2,♣3,♥8 | Pair
♣8,♣10,♠2,♣3,♥2 | Pair
♣8,♣10,♠2,♣3,♣2 | Pair
♣8,♣10,♠2,♠5,♥8 | Pair
♣8,♣10,♠2,♠5,♥2 | Pair
♣8,♣10,♠2,♠5,♣2 | Pair
♣8,♣10,♠2,♥8,♥2 | Two Pairs
♣8,♣10,♠2,♥8,♣4 | Pair
♣8,♣10,♠2,♥8,♣2 | Two Pairs
♣8,♣10,♠2,♥8,♦J | Pair
♣8,♣10,♠2,♥2,♣4 | Pair
♣8,♣10,♠2,♥2,♣2 | Three Of A Kind
♣8,♣10,♠2,♥2,♦J | Pair
♣8,♣10,♠2,♣4,♣2 | Pair
♣8,♣10,♠2,♣2,♦J | Pair
♣8,♣10,♣3,♠5,♥8 | Pair
♣8,♣10,♣3,♥8,♥2 | Pair
♣8,♣10,♣3,♥8,♣4 | Pair
♣8,♣10,♣3,♥8,♣2 | Pair
♣8,♣10,♣3,♥8,♦J | Pair
♣8,♣10,♣3,♥2,♣2 | Pair
♣8,♣10,♣3,♣4,♣2 | Flush
♣8,♣10,♠5,♥8,♥2 | Pair
♣8,♣10,♠5,♥8,♣4 | Pair
♣8,♣10,♠5,♥8,♣2 | Pair
♣8,♣10,♠5,♥8,♦J | Pair
♣8,♣10,♠5,♥2,♣2 | Pair
♣8,♣10,♥8,♥2,♣4 | Pair
♣8,♣10,♥8,♥2,♣2 | Two Pairs
♣8,♣10,♥8,♥2,♦J | Pair
♣8,♣10,♥8,♣4,♣2 | Pair
♣8,♣10,♥8,♣4,♦J | Pair
♣8,♣10,♥8,♣2,♦J | Pair
♣8,♣10,♥2,♣4,♣2 | Pair
♣8,♣10,♥2,♣2,♦J | Pair
♣8,♣7,♠2,♣3,♥8 | Pair
♣8,♣7,♠2,♣3,♥2 | Pair
♣8,♣7,♠2,♣3,♣2 | Pair
♣8,♣7,♠2,♠5,♥8 | Pair
♣8,♣7,♠2,♠5,♥2 | Pair
♣8,♣7,♠2,♠5,♣2 | Pair
♣8,♣7,♠2,♥8,♥2 | Two Pairs
♣8,♣7,♠2,♥8,♣4 | Pair
♣8,♣7,♠2,♥8,♣2 | Two Pairs
♣8,♣7,♠2,♥8,♦J | Pair
♣8,♣7,♠2,♥2,♣4 | Pair
♣8,♣7,♠2,♥2,♣2 | Three Of A Kind
♣8,♣7,♠2,♥2,♦J | Pair
♣8,♣7,♠2,♣4,♣2 | Pair
♣8,♣7,♠2,♣2,♦J | Pair
♣8,♣7,♣3,♠5,♥8 | Pair
♣8,♣7,♣3,♥8,♥2 | Pair
♣8,♣7,♣3,♥8,♣4 | Pair
♣8,♣7,♣3,♥8,♣2 | Pair
♣8,♣7,♣3,♥8,♦J | Pair
♣8,♣7,♣3,♥2,♣2 | Pair
♣8,♣7,♣3,♣4,♣2 | Flush
♣8,♣7,♠5,♥8,♥2 | Pair
♣8,♣7,♠5,♥8,♣4 | Pair
♣8,♣7,♠5,♥8,♣2 | Pair
♣8,♣7,♠5,♥8,♦J | Pair
♣8,♣7,♠5,♥2,♣2 | Pair
♣8,♣7,♥8,♥2,♣4 | Pair
♣8,♣7,♥8,♥2,♣2 | Two Pairs
♣8,♣7,♥8,♥2,♦J | Pair
♣8,♣7,♥8,♣4,♣2 | Pair
♣8,♣7,♥8,♣4,♦J | Pair
♣8,♣7,♥8,♣2,♦J | Pair
♣8,♣7,♥2,♣4,♣2 | Pair
♣8,♣7,♥2,♣2,♦J | Pair
♣8,♠2,♣3,♠5,♥8 | Pair
♣8,♠2,♣3,♠5,♥2 | Pair
♣8,♠2,♣3,♠5,♣2 | Pair
♣8,♠2,♣3,♥8,♥2 | Two Pairs
♣8,♠2,♣3,♥8,♣4 | Pair
♣8,♠2,♣3,♥8,♣2 | Two Pairs
♣8,♠2,♣3,♥8,♦J | Pair
♣8,♠2,♣3,♥2,♣4 | Pair
♣8,♠2,♣3,♥2,♣2 | Three Of A Kind
♣8,♠2,♣3,♥2,♦J | Pair
♣8,♠2,♣3,♣4,♣2 | Pair
♣8,♠2,♣3,♣2,♦J | Pair
♣8,♠2,♠5,♥8,♥2 | Two Pairs
♣8,♠2,♠5,♥8,♣4 | Pair
♣8,♠2,♠5,♥8,♣2 | Two Pairs
♣8,♠2,♠5,♥8,♦J | Pair
♣8,♠2,♠5,♥2,♣4 | Pair
♣8,♠2,♠5,♥2,♣2 | Three Of A Kind
♣8,♠2,♠5,♥2,♦J | Pair
♣8,♠2,♠5,♣4,♣2 | Pair
♣8,♠2,♠5,♣2,♦J | Pair
♣8,♠2,♥8,♥2,♣4 | Two Pairs
♣8,♠2,♥8,♥2,♣2 | Full House
♣8,♠2,♥8,♥2,♦J | Two Pairs
♣8,♠2,♥8,♣4,♣2 | Two Pairs
♣8,♠2,♥8,♣4,♦J | Pair
♣8,♠2,♥8,♣2,♦J | Two Pairs
♣8,♠2,♥2,♣4,♣2 | Three Of A Kind
♣8,♠2,♥2,♣4,♦J | Pair
♣8,♠2,♥2,♣2,♦J | Three Of A Kind
♣8,♠2,♣4,♣2,♦J | Pair
♣8,♣3,♠5,♥8,♥2 | Pair
