♦7,♣Q,♠J,♣3,♥3 | Pair
♦7,♣3,♥3,♦4,♥8 | Pair
♦7,♣3,♥3,♥4,♥8 | Pair
♦7,♣3,♠10,♦4,♥4 | Pair
♦7,♣3,♠K,♦4,♥4 | Pair
♦7,♣3,♣A,♦4,♥4 | Pair
♦7,♣3,♥J,♦4,♥4 | Pair
♦7,♣3,♦4,♥4,♥8 | Pair
♦7,♥K,♥3,♠10,♠K | Pair
♦7,♥K,♥3,♠K,♣A | Pair
♦7,♥K,♥3,♠K,♥J | Pair
♦7,♥K,♥3,♠K,♦4 | Pair
♦7,♥K,♥3,♠K,♥4 | Pair
♦7,♥K,♥3,♠K,♥8 | Pair
♦7,♥K,♥3,♦4,♥4 | Pair
♦7,♥K,♠10,♠K,♣A | Pair
♦7,♥K,♠10,♠K,♥J | Pair
♦7,♥K,♠10,♠K,♦4 | Pair
♦7,♥K,♠10,♠K,♥4 | Pair
♦7,♥K,♠10,♠K,♥8 | Pair
♦7,♥K,♠10,♦4,♥4 | Pair
♦7,♥K,♠K,♣A,♥J | Pair
♦7,♥K,♠K,♣A,♦4 | Pair
♦7,♥K,♠K,♣A,♥4 | Pair
♦7,♥K,♠K,♣A,♥8 | Pair
♦7,♥K,♠K,♥J,♦4 | Pair
♦7,♥K,♠K,♥J,♥4 | Pair
♦7,♥K,♠K,♥J,♥8 | Pair
♦7,♥K,♠K,♦4,♥4 | Two Pairs
♦7,♥K,♠K,♦4,♥8 | Pair
♦7,♥K,♠K,♥4,♥8 | Pair
♦7,♥K,♣A,♦4,♥4 | Pair
♦7,♥K,♥J,♦4,♥4 | Pair
♦7,♥K,♦4,♥4,♥8 | Pair
♦7,♥3,♠10,♦4,♥4 | Pair
♦7,♥3,♠K,♦4,♥4 | Pair
♦7,♥3,♣A,♦4,♥4 | Pair
♦7,♥3,♥J,♦4,♥4 | Pair
♦7,♥3,♦4,♥4,♥8 | Pair
♦7,♠10,♠K,♦4,♥4 | Pair
♦7,♠10,♣A,♦4,♥4 | Pair
♦7,♠10,♥J,♦4,♥4 | Pair
♦7,♠10,♦4,♥4,♥8 | Pair
♦7,♠K,♣A,♦4,♥4 | Pair
♦7,♠K,♥J,♦4,♥4 | Pair
♦7,♠K,♦4,♥4,♥8 | Pair
♦7,♣A,♥J,♦4,♥4 | Pair
♦7,♣A,♦4,♥4,♥8 | Pair
♦7,♥J,♦4,♥4,♥8 | Pair
♣Q,♠J,♣3,♥K,♥3 | Pair
♣Q,♠J,♣3,♥K,♠K | Pair
♣Q,♠J,♣3,♥K,♥J | Pair
♣Q,♠J,♣3,♥3,♠10 | Pair
♣Q,♠J,♣3,♥3,♠K | Pair
♣Q,♠J,♣3,♥3,♣A | Pair
♣Q,♠J,♣3,♥3,♥J | Two Pairs
♣Q,♠J,♣3,♥3,♦4 | Pair
♣Q,♠J,♣3,♥3,♥4 | Pair
♣Q,♠J,♣3,♥3,♥8 | Pair
♣Q,♠J,♣3,♠10,♥J | Pair
♣Q,♠J,♣3,♠K,♥J | Pair
♣Q,♠J,♣3,♣A,♥J | Pair
♣Q,♠J,♣3,♥J,♦4 | Pair
♣Q,♠J,♣3,♥J,♥4 | Pair
♣Q,♠J,♣3,♥J,♥8 | Pair
♣Q,♠J,♣3,♦4,♥4 | Pair
♣Q,♠J,♥K,♥3,♠K | Pair
♣Q,♠J,♥K,♥3,♥J | Pair
♣Q,♠J,♥K,♠10,♠K | Pair
♣Q,♠J,♥K,♠10,♣A | Straight
♣Q,♠J,♥K,♠10,♥J | Pair
♣Q,♠J,♥K,♠K,♣A | Pair
♣Q,♠J,♥K,♠K,♥J | Two Pairs
♣Q,♠J,♥K,♠K,♦4 | Pair
♣Q,♠J,♥K,♠K,♥4 | Pair
♣Q,♠J,♥K,♠K,♥8 | Pair
♣Q,♠J,♥K,♣A,♥J | Pair
♣Q,♠J,♥K,♥J,♦4 | Pair
♣Q,♠J,♥K,♥J,♥4 | Pair
♣Q,♠J,♥K,♥J,♥8 | Pair
♣Q,♠J,♥K,♦4,♥4 | Pair
♣Q,♠J,♥3,♠10,♥J | Pair
♣Q,♠J,♥3,♠K,♥J | Pair
♣Q,♠J,♥3,♣A,♥J | Pair
♣Q,♠J,♥3,♥J,♦4 | Pair
♣Q,♠J,♥3,♥J,♥4 | Pair
♣Q,♠J,♥3,♥J,♥8 | Pair
♣Q,♠J,♥3,♦4,♥4 | Pair
♣Q,♠J,♠10,♠K,♣A | Straight
♣Q,♠J,♠10,♠K,♥J | Pair
♣Q,♠J,♠10,♣A,♥J | Pair
♣Q,♠J,♠10,♥J,♦4 | Pair
♣Q,♠J,♠10,♥J,♥4 | Pair
♣Q,♠J,♠10,♥J,♥8 | Pair
♣Q,♠J,♠10,♦4,♥4 | Pair
♣Q,♠J,♠K,♣A,♥J | Pair
♣Q,♠J,♠K,♥J,♦4 | Pair
♣Q,♠J,♠K,♥J,♥4 | Pair
♣Q,♠J,♠K,♥J,♥8 | Pair
♣Q,♠J,♠K,♦4,♥4 | Pair
♣Q,♠J,♣A,♥J,♦4 | Pair
♣Q,♠J,♣A,♥J,♥4 | Pair
♣Q,♠J,♣A,♥J,♥8 | Pair
♣Q,♠J,♣A,♦4,♥4 | Pair
♣Q,♠J,♥J,♦4,♥4 | Two Pairs
♣Q,♠J,♥J,♦4,♥8 | Pair
♣Q,♠J,♥J,♥4,♥8 | Pair
♣Q,♠J,♦4,♥4,♥8 | Pair
♣Q,♣3,♥K,♥3,♠10 | Pair
♣Q,♣3,♥K,♥3,♠K | Two Pairs
♣Q,♣3,♥K,♥3,♣A | Pair
♣Q,♣3,♥K,♥3,♥J | Pair
♣Q,♣3,♥K,♥3,♦4 | Pair
♣Q,♣3,♥K,♥3,♥4 | Pair
♣Q,♣3,♥K,♥3,♥8 | Pair
♣Q,♣3,♥K,♠10,♠K | Pair
♣Q,♣3,♥K,♠K,♣A | Pair
♣Q,♣3,♥K,♠K,♥J | Pair
♣Q,♣3,♥K,♠K,♦4 | Pair
♣Q,♣3,♥K,♠K,♥4 | Pair
♣Q,♣3,♥K,♠K,♥8 | Pair
♣Q,♣3,♥K,♦4,♥4 | Pair
♣Q,♣3,♥3,♠10,♠K | Pair
♣Q,♣3,♥3,♠10,♣A | Pair
♣Q,♣3,♥3,♠10,♥J | Pair
♣Q,♣3,♥3,♠10,♦4 | Pair
♣Q,♣3,♥3,♠10,♥4 | Pair
♣Q,♣3,♥3,♠10,♥8 | Pair
♣Q,♣3,♥3,♠K,♣A | Pair
♣Q,♣3,♥3,♠K,♥J | Pair
♣Q,♣3,♥3,♠K,♦4 | Pair
♣Q,♣3,♥3,♠K,♥4 | Pair
♣Q,♣3,♥3,♠K,♥8 | Pair
♣Q,♣3,♥3,♣A,♥J | Pair
♣Q,♣3,♥3,♣A,♦4 | Pair
♣Q,♣3,♥3,♣A,♥4 | Pair
♣Q,♣3,♥3,♣A,♥8 | Pair
♣Q,♣3,♥3,♥J,♦4 | Pair
♣Q,♣3,♥3,♥J,♥4 | Pair
♣Q,♣3,♥3,♥J,♥8 | Pair
♣Q,♣3,♥3,♦4,♥4 | Two Pairs
♣Q,♣3,♥3,♦4,♥8 | Pair
♣Q,♣3,♥3,♥4,♥8 | Pair
♣Q,♣3,♠10,♦4,♥4 | Pair
♣Q,♣3,♠K,♦4,♥4 | Pair
♣Q,♣3,♣A,♦4,♥4 | Pair
♣Q,♣3,♥J,♦4,♥4 | Pair
♣Q,♣3,♦4,♥4,♥8 | Pair
♣Q,♥K,♥3,♠10,♠K | Pair
♣Q,♥K,♥3,♠K,♣A | Pair
♣Q,♥K,♥3,♠K,♥J | Pair
♣Q,♥K,♥3,♠K,♦4 | Pair
♣Q,♥K,♥3,♠K,♥4 | Pair
♣Q,♥K,♥3,♠K,♥8 | Pair
♣Q,♥K,♥3,♦4,♥4 | Pair
♣Q,♥K,♠10,♠K,♣A | Pair
♣Q,♥K,♠10,♠K,♥J | Pair
♣Q,♥K,♠10,♠K,♦4 | Pair
♣Q,♥K,♠10,♠K,♥4 | Pair
♣Q,♥K,♠10,♠K,♥8 | Pair
♣Q,♥K,♠10,♣A,♥J | Straight
♣Q,♥K,♠10,♦4,♥4 | Pair
♣Q,♥K,♠K,♣A,♥J | Pair
♣Q,♥K,♠K,♣A,♦4 | Pair
♣Q,♥K,♠K,♣A,♥4 | Pair
♣Q,♥K,♠K,♣A,♥8 | Pair
♣Q,♥K,♠K,♥J,♦4 | Pair
♣Q,♥K,♠K,♥J,♥4 | Pair
♣Q,♥K,♠K,♥J,♥8 | Pair
♣Q,♥K,♠K,♦4,♥4 | Two Pairs
♣Q,♥K,♠K,♦4,♥8 | Pair
♣Q,♥K,♠K,♥4,♥8 | Pair
♣Q,♥K,♣A,♦4,♥4 | Pair
♣Q,♥K,♥J,♦4,♥4 | Pair
♣Q,♥K,♦4,♥4,♥8 | Pair
♣Q,♥3,♠10,♦4,♥4 | Pair
♣Q,♥3,♠K,♦4,♥4 | Pair
♣Q,♥3,♣A,♦4,♥4 | Pair
♣Q,♥3,♥J,♦4,♥4 | Pair
♣Q,♥3,♦4,♥4,♥8 | Pair
♣Q,♠10,♠K,♣A,♥J | Straight
♣Q,♠10,♠K,♦4,♥4 | Pair
♣Q,♠10,♣A,♦4,♥4 | Pair
♣Q,♠10,♥J,♦4,♥4 | Pair
♣Q,♠10,♦4,♥4,♥8 | Pair
♣Q,♠K,♣A,♦4,♥4 | Pair
♣Q,♠K,♥J,♦4,♥4 | Pair
♣Q,♠K,♦4,♥4,♥8 | Pair
♣Q,♣A,♥J,♦4,♥4 | Pair
♣Q,♣A,♦4,♥4,♥8 | Pair
♣Q,♥J,♦4,♥4,♥8 | Pair
♠J,♣3,♥K,♥3,♠10 | Pair
♠J,♣3,♥K,♥3,♠K | Two Pairs
♠J,♣3,♥K,♥3,♣A | Pair
♠J,♣3,♥K,♥3,♥J | Two Pairs
♠J,♣3,♥K,♥3,♦4 | Pair
♠J,♣3,♥K,♥3,♥4 | Pair
♠J,♣3,♥K,♥3,♥8 | Pair
♠J,♣3,♥K,♠10,♠K | Pair
♠J,♣3,♥K,♠10,♥J | Pair
♠J,♣3,♥K,♠K,♣A | Pair
♠J,♣3,♥K,♠K,♥J | Two Pairs
♠J,♣3,♥K,♠K,♦4 | Pair
♠J,♣3,♥K,♠K,♥4 | Pair
♠J,♣3,♥K,♠K,♥8 | Pair
♠J,♣3,♥K,♣A,♥J | Pair
♠J,♣3,♥K,♥J,♦4 | Pair
♠J,♣3,♥K,♥J,♥4 | Pair
♠J,♣3,♥K,♥J,♥8 | Pair
♠J,♣3,♥K,♦4,♥4 | Pair
♠J,♣3,♥3,♠10,♠K | Pair
♠J,♣3,♥3,♠10,♣A | Pair
♠J,♣3,♥3,♠10,♥J | Two Pairs
♠J,♣3,♥3,♠10,♦4 | Pair
♠J,♣3,♥3,♠10,♥4 | Pair
♠J,♣3,♥3,♠10,♥8 | Pair
♠J,♣3,♥3,♠K,♣A | Pair
♠J,♣3,♥3,♠K,♥J | Two Pairs
♠J,♣3,♥3,♠K,♦4 | Pair
♠J,♣3,♥3,♠K,♥4 | Pair
♠J,♣3,♥3,♠K,♥8 | Pair
♠J,♣3,♥3,♣A,♥J | Two Pairs
♠J,♣3,♥3,♣A,♦4 | Pair
♠J,♣3,♥3,♣A,♥4 | Pair
♠J,♣3,♥3,♣A,♥8 | Pair
♠J,♣3,♥3,♥J,♦4 | Two Pairs
♠J,♣3,♥3,♥J,♥4 | Two Pairs
♠J,♣3,♥3,♥J,♥8 | Two Pairs
♠J,♣3,♥3,♦4,♥4 | Two Pairs
♠J,♣3,♥3,♦4,♥8 | Pair
♠J,♣3,♥3,♥4,♥8 | Pair
♠J,♣3,♠10,♠K,♥J | Pair
♠J,♣3,♠10,♣A,♥J | Pair
♠J,♣3,♠10,♥J,♦4 | Pair
♠J,♣3,♠10,♥J,♥4 | Pair
♠J,♣3,♠10,♥J,♥8 | Pair
♠J,♣3,♠10,♦4,♥4 | Pair
♠J,♣3,♠K,♣A,♥J | Pair
♠J,♣3,♠K,♥J,♦4 | Pair
♠J,♣3,♠K,♥J,♥4 | Pair
♠J,♣3,♠K,♥J,♥8 | Pair
♠J,♣3,♠K,♦4,♥4 | Pair
♠J,♣3,♣A,♥J,♦4 | Pair
♠J,♣3,♣A,♥J,♥4 | Pair
♠J,♣3,♣A,♥J,♥8 | Pair
♠J,♣3,♣A,♦4,♥4 | Pair
♠J,♣3,♥J,♦4,♥4 | Two Pairs
♠J,♣3,♥J,♦4,♥8 | Pair
♠J,♣3,♥J,♥4,♥8 | Pair
♠J,♣3,♦4,♥4,♥8 | Pair
♠J,♥K,♥3,♠10,♠K | Pair
♠J,♥K,♥3,♠10,♥J | Pair
♠J,♥K,♥3,♠K,♣A | Pair
♠J,♥K,♥3,♠K,♥J | Two Pairs
♠J,♥K,♥3,♠K,♦4 | Pair
♠J,♥K,♥3,♠K,♥4 | Pair
♠J,♥K,♥3,♠K,♥8 | Pair
♠J,♥K,♥3,♣A,♥J | Pair
♠J,♥K,♥3,♥J,♦4 | Pair
♠J,♥K,♥3,♥J,♥4 | Pair
♠J,♥K,♥3,♥J,♥8 | Pair
♠J,♥K,♥3,♦4,♥4 | Pair
♠J,♥K,♠10,♠K,♣A | Pair
♠J,♥K,♠10,♠K,♥J | Two Pairs
♠J,♥K,♠10,♠K,♦4 | Pair
♠J,♥K,♠10,♠K,♥4 | Pair
♠J,♥K,♠10,♠K,♥8 | Pair
♠J,♥K,♠10,♣A,♥J | Pair
♠J,♥K,♠10,♥J,♦4 | Pair
♠J,♥K,♠10,♥J,♥4 | Pair
♠J,♥K,♠10,♥J,♥8 | Pair
♠J,♥K,♠10,♦4,♥4 | Pair
♠J,♥K,♠K,♣A,♥J | Two Pairs
♠J,♥K,♠K,♣A,♦4 | Pair
♠J,♥K,♠K,♣A,♥4 | Pair
♠J,♥K,♠K,♣A,♥8 | Pair
♠J,♥K,♠K,♥J,♦4 | Two Pairs
♠J,♥K,♠K,♥J,♥4 | Two Pairs
♠J,♥K,♠K,♥J,♥8 | Two Pairs
♠J,♥K,♠K,♦4,♥4 | Two Pairs
♠J,♥K,♠K,♦4,♥8 | Pair
♠J,♥K,♠K,♥4,♥8 | Pair
♠J,♥K,♣A,♥J,♦4 | Pair
♠J,♥K,♣A,♥J,♥4 | Pair
♠J,♥K,♣A,♥J,♥8 | Pair
♠J,♥K,♣A,♦4,♥4 | Pair
♠J,♥K,♥J,♦4,♥4 | Two Pairs
♠J,♥K,♥J,♦4,♥8 | Pair
♠J,♥K,♥J,♥4,♥8 | Pair
♠J,♥K,♦4,♥4,♥8 | Pair
♠J,♥3,♠10,♠K,♥J | Pair
♠J,♥3,♠10,♣A,♥J | Pair
♠J,♥3,♠10,♥J,♦4 | Pair
♠J,♥3,♠10,♥J,♥4 | Pair
♠J,♥3,♠10,♥J,♥8 | Pair
♠J,♥3,♠10,♦4,♥4 | Pair
♠J,♥3,♠K,♣A,♥J | Pair
♠J,♥3,♠K,♥J,♦4 | Pair
♠J,♥3,♠K,♥J,♥4 | Pair
♠J,♥3,♠K,♥J,♥8 | Pair
♠J,♥3,♠K,♦4,♥4 | Pair
♠J,♥3,♣A,♥J,♦4 | Pair
♠J,♥3,♣A,♥J,♥4 | Pair
♠J,♥3,♣A,♥J,♥8 | Pair
♠J,♥3,♣A,♦4,♥4 | Pair
♠J,♥3,♥J,♦4,♥4 | Two Pairs
♠J,♥3,♥J,♦4,♥8 | Pair
♠J,♥3,♥J,♥4,♥8 | Pair
♠J,♥3,♦4,♥4,♥8 | Pair
♠J,♠10,♠K,♣A,♥J | Pair
♠J,♠10,♠K,♥J,♦4 | Pair
♠J,♠10,♠K,♥J,♥4 | Pair
♠J,♠10,♠K,♥J,♥8 | Pair
♠J,♠10,♠K,♦4,♥4 | Pair
♠J,♠10,♣A,♥J,♦4 | Pair
♠J,♠10,♣A,♥J,♥4 | Pair
♠J,♠10,♣A,♥J,♥8 | Pair
♠J,♠10,♣A,♦4,♥4 | Pair
♠J,♠10,♥J,♦4,♥4 | Two Pairs
♠J,♠10,♥J,♦4,♥8 | Pair
♠J,♠10,♥J,♥4,♥8 | Pair
♠J,♠10,♦4,♥4,♥8 | Pair
♠J,♠K,♣A,♥J,♦4 | Pair
♠J,♠K,♣A,♥J,♥4 | Pair
♠J,♠K,♣A,♥J,♥8 | Pair
♠J,♠K,♣A,♦4,♥4 | Pair
♠J,♠K,♥J,♦4,♥4 | Two Pairs
♠J,♠K,♥J,♦4,♥8 | Pair
♠J,♠K,♥J,♥4,♥8 | Pair
♠J,♠K,♦4,♥4,♥8 | Pair
♠J,♣A,♥J,♦4,♥4 | Two Pairs
♠J,♣A,♥J,♦4,♥8 | Pair
♠J,♣A,♥J,♥4,♥8 | Pair
♠J,♣A,♦4,♥4,♥8 | Pair
♠J,♥J,♦4,♥4,♥8 | Two Pairs
♣3,♥K,♥3,♠10,♠K | Two Pairs
♣3,♥K,♥3,♠10,♣A | Pair
♣3,♥K,♥3,♠10,♥J | Pair
♣3,♥K,♥3,♠10,♦4 | Pair
♣3,♥K,♥3,♠10,♥4 | Pair
♣3,♥K,♥3,♠10,♥8 | Pair
♣3,♥K,♥3,♠K,♣A | Two Pairs
♣3,♥K,♥3,♠K,♥J | Two Pairs
♣3,♥K,♥3,♠K,♦4 | Two Pairs
♣3,♥K,♥3,♠K,♥4 | Two Pairs
♣3,♥K,♥3,♠K,♥8 | Two Pairs
♣3,♥K,♥3,♣A,♥J | Pair
♣3,♥K,♥3,♣A,♦4 | Pair
♣3,♥K,♥3,♣A,♥4 | Pair
♣3,♥K,♥3,♣A,♥8 | Pair
♣3,♥K,♥3,♥J,♦4 | Pair
♣3,♥K,♥3,♥J,♥4 | Pair
♣3,♥K,♥3,♥J,♥8 | Pair
♣3,♥K,♥3,♦4,♥4 | Two Pairs
♣3,♥K,♥3,♦4,♥8 | Pair
♣3,♥K,♥3,♥4,♥8 | Pair
♣3,♥K,♠10,♠K,♣A | Pair
♣3,♥K,♠10,♠K,♥J | Pair
♣3,♥K,♠10,♠K,♦4 | Pair
♣3,♥K,♠10,♠K,♥4 | Pair
♣3,♥K,♠10,♠K,♥8 | Pair
♣3,♥K,♠10,♦4,♥4 | Pair
♣3,♥K,♠K,♣A,♥J | Pair
♣3,♥K,♠K,♣A,♦4 | Pair
♣3,♥K,♠K,♣A,♥4 | Pair
♣3,♥K,♠K,♣A,♥8 | Pair
♣3,♥K,♠K,♥J,♦4 | Pair
♣3,♥K,♠K,♥J,♥4 | Pair
♣3,♥K,♠K,♥J,♥8 | Pair
♣3,♥K,♠K,♦4,♥4 | Two Pairs
♣3,♥K,♠K,♦4,♥8 | Pair
♣3,♥K,♠K,♥4,♥8 | Pair
♣3,♥K,♣A,♦4,♥4 | Pair
♣3,♥K,♥J,♦4,♥4 | Pair
♣3,♥K,♦4,♥4,♥8 | Pair
♣3,♥3,♠10,♠K,♣A | Pair
♣3,♥3,♠10,♠K,♥J | Pair
♣3,♥3,♠10,♠K,♦4 | Pair
♣3,♥3,♠10,♠K,♥4 | Pair
♣3,♥3,♠10,♠K,♥8 | Pair
♣3,♥3,♠10,♣A,♥J | Pair
♣3,♥3,♠10,♣A,♦4 | Pair
♣3,♥3,♠10,♣A,♥4 | Pair
♣3,♥3,♠10,♣A,♥8 | Pair
♣3,♥3,♠10,♥J,♦4 | Pair
♣3,♥3,♠10,♥J,♥4 | Pair
♣3,♥3,♠10,♥J,♥8 | Pair
♣3,♥3,♠10,♦4,♥4 | Two Pairs
♣3,♥3,♠10,♦4,♥8 | Pair
♣3,♥3,♠10,♥4,♥8 | Pair
♣3,♥3,♠K,♣A,♥J | Pair
♣3,♥3,♠K,♣A,♦4 | Pair
♣3,♥3,♠K,♣A,♥4 | Pair
♣3,♥3,♠K,♣A,♥8 | Pair
♣3,♥3,♠K,♥J,♦4 | Pair
♣3,♥3,♠K,♥J,♥4 | Pair
♣3,♥3,♠K,♥J,♥8 | Pair
♣3,♥3,♠K,♦4,♥4 | Two Pairs
♣3,♥3,♠K,♦4,♥8 | Pair
♣3,♥3,♠K,♥4,♥8 | Pair
♣3,♥3,♣A,♥J,♦4 | Pair
♣3,♥3,♣A,♥J,♥4 | Pair
♣3,♥3,♣A,♥J,♥8 | Pair
♣3,♥3,♣A,♦4,♥4 | Two Pairs
♣3,♥3,♣A,♦4,♥8 | Pair
♣3,♥3,♣A,♥4,♥8 | Pair
♣3,♥3,♥J,♦4,♥4 | Two Pairs
♣3,♥3,♥J,♦4,♥8 | Pair
♣3,♥3,♥J,♥4,♥8 | Pair
♣3,♥3,♦4,♥4,♥8 | Two Pairs
♣3,♠10,♠K,♦4,♥4 | Pair
♣3,♠10,♣A,♦4,♥4 | Pair
♣3,♠10,♥J,♦4,♥4 | Pair
♣3,♠10,♦4,♥4,♥8 | Pair
♣3,♠K,♣A,♦4,♥4 | Pair
♣3,♠K,♥J,♦4,♥4 | Pair
♣3,♠K,♦4,♥4,♥8 | Pair
♣3,♣A,♥J,♦4,♥4 | Pair
♣3,♣A,♦4,♥4,♥8 | Pair
♣3,♥J,♦4,♥4,♥8 | Pair
♥K,♥3,♠10,♠K,♣A | Pair
♥K,♥3,♠10,♠K,♥J | Pair
♥K,♥3,♠10,♠K,♦4 | Pair
♥K,♥3,♠10,♠K,♥4 | Pair
♥K,♥3,♠10,♠K,♥8 | Pair
♥K,♥3,♠10,♦4,♥4 | Pair
