♦Q,♣5,♠A,♦8,♠Q | Pair
♦Q,♣5,♣10,♠Q,♦3 | Pair
♦Q,♣5,♣10,♠Q,♥8 | Pair
♦Q,♣5,♣10,♠Q,♥10 | Two Pairs
♦Q,♣5,♣10,♠Q,♥9 | Pair
♦Q,♣5,♣10,♣6,♥10 | Pair
♦Q,♣5,♣10,♦7,♥10 | Pair
♦Q,♣5,♣10,♦3,♥10 | Pair
♦Q,♣5,♣10,♥8,♥10 | Pair
♦Q,♣5,♣10,♥10,♥9 | Pair
♦Q,♣5,♠Q,♣6,♦7 | Pair
♦Q,♣5,♠Q,♣6,♦3 | Pair
♦Q,♣5,♠Q,♣6,♥8 | Pair
♦Q,♣5,♠Q,♣6,♥10 | Pair
♦Q,♣5,♠Q,♣6,♥9 | Pair
♦Q,♣5,♠Q,♦7,♦3 | Pair
♦Q,♣5,♠Q,♦7,♥8 | Pair
♦Q,♣5,♠Q,♦7,♥10 | Pair
♦Q,♣5,♠Q,♦7,♥9 | Pair
♦Q,♣5,♠Q,♦3,♥8 | Pair
♦Q,♣5,♠Q,♦3,♥10 | Pair
♦Q,♣5,♠Q,♦3,♥9 | Pair
♦Q,♣5,♠Q,♥8,♥10 | Pair
♦Q,♣5,♠Q,♥8,♥9 | Pair
♦Q,♣5,♠Q,♥10,♥9 | Pair
♦Q,♠A,♦8,♣K,♠Q | Pair
♦Q,♠A,♦8,♣K,♥8 | Pair
♦Q,♠A,♦8,♣10,♠Q | Pair
♦Q,♠A,♦8,♣10,♥8 | Pair
♦Q,♠A,♦8,♣10,♥10 | Pair
♦Q,♠A,♦8,♠Q,♣6 | Pair
♦Q,♠A,♦8,♠Q,♦7 | Pair
♦Q,♠A,♦8,♠Q,♦3 | Pair
♦Q,♠A,♦8,♠Q,♥8 | Two Pairs
♦Q,♠A,♦8,♠Q,♥10 | Pair
♦Q,♠A,♦8,♠Q,♥9 | Pair
♦Q,♠A,♦8,♣6,♥8 | Pair
♦Q,♠A,♦8,♦7,♥8 | Pair
♦Q,♠A,♦8,♦3,♥8 | Pair
♦Q,♠A,♦8,♥8,♥10 | Pair
♦Q,♠A,♦8,♥8,♥9 | Pair
♦Q,♠A,♣K,♣10,♠Q | Pair
♦Q,♠A,♣K,♣10,♥10 | Pair
♦Q,♠A,♣K,♠Q,♣6 | Pair
♦Q,♠A,♣K,♠Q,♦7 | Pair
♦Q,♠A,♣K,♠Q,♦3 | Pair
♦Q,♠A,♣K,♠Q,♥8 | Pair
♦Q,♠A,♣K,♠Q,♥10 | Pair
♦Q,♠A,♣K,♠Q,♥9 | Pair
♦Q,♠A,♣10,♠Q,♣6 | Pair
♦Q,♠A,♣10,♠Q,♦7 | Pair
♦Q,♠A,♣10,♠Q,♦3 | Pair
♦Q,♠A,♣10,♠Q,♥8 | Pair
♦Q,♠A,♣10,♠Q,♥10 | Two Pairs
♦Q,♠A,♣10,♠Q,♥9 | Pair
♦Q,♠A,♣10,♣6,♥10 | Pair
♦Q,♠A,♣10,♦7,♥10 | Pair
♦Q,♠A,♣10,♦3,♥10 | Pair
♦Q,♠A,♣10,♥8,♥10 | Pair
♦Q,♠A,♣10,♥10,♥9 | Pair
♦Q,♠A,♠Q,♣6,♦7 | Pair
♦Q,♠A,♠Q,♣6,♦3 | Pair
♦Q,♠A,♠Q,♣6,♥8 | Pair
♦Q,♠A,♠Q,♣6,♥10 | Pair
♦Q,♠A,♠Q,♣6,♥9 | Pair
♦Q,♠A,♠Q,♦7,♦3 | Pair
♦Q,♠A,♠Q,♦7,♥8 | Pair
♦Q,♠A,♠Q,♦7,♥10 | Pair
♦Q,♠A,♠Q,♦7,♥9 | Pair
♦Q,♠A,♠Q,♦3,♥8 | Pair
♦Q,♠A,♠Q,♦3,♥10 | Pair
♦Q,♠A,♠Q,♦3,♥9 | Pair
♦Q,♠A,♠Q,♥8,♥10 | Pair
♦Q,♠A,♠Q,♥8,♥9 | Pair
♦Q,♠A,♠Q,♥10,♥9 | Pair
♦Q,♦8,♣K,♣10,♠Q | Pair
♦Q,♦8,♣K,♣10,♥8 | Pair
♦Q,♦8,♣K,♣10,♥10 | Pair
♦Q,♦8,♣K,♠Q,♣6 | Pair
♦Q,♦8,♣K,♠Q,♦7 | Pair
♦Q,♦8,♣K,♠Q,♦3 | Pair
♦Q,♦8,♣K,♠Q,♥8 | Two Pairs
♦Q,♦8,♣K,♠Q,♥10 | Pair
♦Q,♦8,♣K,♠Q,♥9 | Pair
♦Q,♦8,♣K,♣6,♥8 | Pair
♦Q,♦8,♣K,♦7,♥8 | Pair
♦Q,♦8,♣K,♦3,♥8 | Pair
♦Q,♦8,♣K,♥8,♥10 | Pair
♦Q,♦8,♣K,♥8,♥9 | Pair
♦Q,♦8,♣10,♠Q,♣6 | Pair
♦Q,♦8,♣10,♠Q,♦7 | Pair
♦Q,♦8,♣10,♠Q,♦3 | Pair
♦Q,♦8,♣10,♠Q,♥8 | Two Pairs
♦Q,♦8,♣10,♠Q,♥10 | Two Pairs
♦Q,♦8,♣10,♠Q,♥9 | Pair
♦Q,♦8,♣10,♣6,♥8 | Pair
♦Q,♦8,♣10,♣6,♥10 | Pair
♦Q,♦8,♣10,♦7,♥8 | Pair
♦Q,♦8,♣10,♦7,♥10 | Pair
♦Q,♦8,♣10,♦3,♥8 | Pair
♦Q,♦8,♣10,♦3,♥10 | Pair
♦Q,♦8,♣10,♥8,♥10 | Two Pairs
♦Q,♦8,♣10,♥8,♥9 | Pair
♦Q,♦8,♣10,♥10,♥9 | Pair
♦Q,♦8,♠Q,♣6,♦7 | Pair
♦Q,♦8,♠Q,♣6,♦3 | Pair
♦Q,♦8,♠Q,♣6,♥8 | Two Pairs
♦Q,♦8,♠Q,♣6,♥10 | Pair
♦Q,♦8,♠Q,♣6,♥9 | Pair
♦Q,♦8,♠Q,♦7,♦3 | Pair
♦Q,♦8,♠Q,♦7,♥8 | Two Pairs
♦Q,♦8,♠Q,♦7,♥10 | Pair
♦Q,♦8,♠Q,♦7,♥9 | Pair
♦Q,♦8,♠Q,♦3,♥8 | Two Pairs
♦Q,♦8,♠Q,♦3,♥10 | Pair
♦Q,♦8,♠Q,♦3,♥9 | Pair
♦Q,♦8,♠Q,♥8,♥10 | Two Pairs
♦Q,♦8,♠Q,♥8,♥9 | Two Pairs
♦Q,♦8,♠Q,♥10,♥9 | Pair
♦Q,♦8,♣6,♦7,♥8 | Pair
♦Q,♦8,♣6,♦3,♥8 | Pair
♦Q,♦8,♣6,♥8,♥10 | Pair
♦Q,♦8,♣6,♥8,♥9 | Pair
♦Q,♦8,♦7,♦3,♥8 | Pair
♦Q,♦8,♦7,♥8,♥10 | Pair
♦Q,♦8,♦7,♥8,♥9 | Pair
♦Q,♦8,♦3,♥8,♥10 | Pair
♦Q,♦8,♦3,♥8,♥9 | Pair
♦Q,♦8,♥8,♥10,♥9 | Pair
♦Q,♣K,♣10,♠Q,♣6 | Pair
♦Q,♣K,♣10,♠Q,♦7 | Pair
♦Q,♣K,♣10,♠Q,♦3 | Pair
♦Q,♣K,♣10,♠Q,♥8 | Pair
♦Q,♣K,♣10,♠Q,♥10 | Two Pairs
♦Q,♣K,♣10,♠Q,♥9 | Pair
♦Q,♣K,♣10,♣6,♥10 | Pair
♦Q,♣K,♣10,♦7,♥10 | Pair
♦Q,♣K,♣10,♦3,♥10 | Pair
♦Q,♣K,♣10,♥8,♥10 | Pair
♦Q,♣K,♣10,♥10,♥9 | Pair
♦Q,♣K,♠Q,♣6,♦7 | Pair
♦Q,♣K,♠Q,♣6,♦3 | Pair
♦Q,♣K,♠Q,♣6,♥8 | Pair
♦Q,♣K,♠Q,♣6,♥10 | Pair
♦Q,♣K,♠Q,♣6,♥9 | Pair
♦Q,♣K,♠Q,♦7,♦3 | Pair
♦Q,♣K,♠Q,♦7,♥8 | Pair
♦Q,♣K,♠Q,♦7,♥10 | Pair
♦Q,♣K,♠Q,♦7,♥9 | Pair
♦Q,♣K,♠Q,♦3,♥8 | Pair
♦Q,♣K,♠Q,♦3,♥10 | Pair
♦Q,♣K,♠Q,♦3,♥9 | Pair
♦Q,♣K,♠Q,♥8,♥10 | Pair
♦Q,♣K,♠Q,♥8,♥9 | Pair
♦Q,♣K,♠Q,♥10,♥9 | Pair
♦Q,♣10,♠Q,♣6,♦7 | Pair
♦Q,♣10,♠Q,♣6,♦3 | Pair
♦Q,♣10,♠Q,♣6,♥8 | Pair
♦Q,♣10,♠Q,♣6,♥10 | Two Pairs
♦Q,♣10,♠Q,♣6,♥9 | Pair
♦Q,♣10,♠Q,♦7,♦3 | Pair
♦Q,♣10,♠Q,♦7,♥8 | Pair
♦Q,♣10,♠Q,♦7,♥10 | Two Pairs
♦Q,♣10,♠Q,♦7,♥9 | Pair
♦Q,♣10,♠Q,♦3,♥8 | Pair
♦Q,♣10,♠Q,♦3,♥10 | Two Pairs
♦Q,♣10,♠Q,♦3,♥9 | Pair
♦Q,♣10,♠Q,♥8,♥10 | Two Pairs
♦Q,♣10,♠Q,♥8,♥9 | Pair
♦Q,♣10,♠Q,♥10,♥9 | Two Pairs
♦Q,♣10,♣6,♦7,♥10 | Pair
♦Q,♣10,♣6,♦3,♥10 | Pair
♦Q,♣10,♣6,♥8,♥10 | Pair
♦Q,♣10,♣6,♥10,♥9 | Pair
♦Q,♣10,♦7,♦3,♥10 | Pair
♦Q,♣10,♦7,♥8,♥10 | Pair
♦Q,♣10,♦7,♥10,♥9 | Pair
♦Q,♣10,♦3,♥8,♥10 | Pair
♦Q,♣10,♦3,♥10,♥9 | Pair
♦Q,♣10,♥8,♥10,♥9 | Pair
♦Q,♠Q,♣6,♦7,♦3 | Pair
♦Q,♠Q,♣6,♦7,♥8 | Pair
♦Q,♠Q,♣6,♦7,♥10 | Pair
♦Q,♠Q,♣6,♦7,♥9 | Pair
♦Q,♠Q,♣6,♦3,♥8 | Pair
♦Q,♠Q,♣6,♦3,♥10 | Pair
♦Q,♠Q,♣6,♦3,♥9 | Pair
♦Q,♠Q,♣6,♥8,♥10 | Pair
♦Q,♠Q,♣6,♥8,♥9 | Pair
♦Q,♠Q,♣6,♥10,♥9 | Pair
♦Q,♠Q,♦7,♦3,♥8 | Pair
♦Q,♠Q,♦7,♦3,♥10 | Pair
♦Q,♠Q,♦7,♦3,♥9 | Pair
♦Q,♠Q,♦7,♥8,♥10 | Pair
♦Q,♠Q,♦7,♥8,♥9 | Pair
♦Q,♠Q,♦7,♥10,♥9 | Pair
♦Q,♠Q,♦3,♥8,♥10 | Pair
♦Q,♠Q,♦3,♥8,♥9 | Pair
♦Q,♠Q,♦3,♥10,♥9 | Pair
♦Q,♠Q,♥8,♥10,♥9 | Pair
♣5,♠A,♦8,♣K,♥8 | Pair
♣5,♠A,♦8,♣10,♥8 | Pair
♣5,♠A,♦8,♣10,♥10 | Pair
♣5,♠A,♦8,♠Q,♥8 | Pair
♣5,♠A,♦8,♣6,♥8 | Pair
♣5,♠A,♦8,♦7,♥8 | Pair
♣5,♠A,♦8,♦3,♥8 | Pair
♣5,♠A,♦8,♥8,♥10 | Pair
♣5,♠A,♦8,♥8,♥9 | Pair
♣5,♠A,♣K,♣10,♥10 | Pair
♣5,♠A,♣10,♠Q,♥10 | Pair
♣5,♠A,♣10,♣6,♥10 | Pair
♣5,♠A,♣10,♦7,♥10 | Pair
♣5,♠A,♣10,♦3,♥10 | Pair
♣5,♠A,♣10,♥8,♥10 | Pair
♣5,♠A,♣10,♥10,♥9 | Pair
♣5,♦8,♣K,♣10,♥8 | Pair
♣5,♦8,♣K,♣10,♥10 | Pair
♣5,♦8,♣K,♠Q,♥8 | Pair
♣5,♦8,♣K,♣6,♥8 | Pair
♣5,♦8,♣K,♦7,♥8 | Pair
♣5,♦8,♣K,♦3,♥8 | Pair
♣5,♦8,♣K,♥8,♥10 | Pair
♣5,♦8,♣K,♥8,♥9 | Pair
♣5,♦8,♣10,♠Q,♥8 | Pair
♣5,♦8,♣10,♠Q,♥10 | Pair
♣5,♦8,♣10,♣6,♥8 | Pair
♣5,♦8,♣10,♣6,♥10 | Pair
♣5,♦8,♣10,♦7,♥8 | Pair
♣5,♦8,♣10,♦7,♥10 | Pair
♣5,♦8,♣10,♦3,♥8 | Pair
♣5,♦8,♣10,♦3,♥10 | Pair
♣5,♦8,♣10,♥8,♥10 | Two Pairs
♣5,♦8,♣10,♥8,♥9 | Pair
♣5,♦8,♣10,♥10,♥9 | Pair
♣5,♦8,♠Q,♣6,♥8 | Pair
♣5,♦8,♠Q,♦7,♥8 | Pair
♣5,♦8,♠Q,♦3,♥8 | Pair
♣5,♦8,♠Q,♥8,♥10 | Pair
♣5,♦8,♠Q,♥8,♥9 | Pair
♣5,♦8,♣6,♦7,♥8 | Pair
♣5,♦8,♣6,♦7,♥9 | Straight
♣5,♦8,♣6,♦3,♥8 | Pair
♣5,♦8,♣6,♥8,♥10 | Pair
♣5,♦8,♣6,♥8,♥9 | Pair
♣5,♦8,♦7,♦3,♥8 | Pair
♣5,♦8,♦7,♥8,♥10 | Pair
♣5,♦8,♦7,♥8,♥9 | Pair
♣5,♦8,♦3,♥8,♥10 | Pair
♣5,♦8,♦3,♥8,♥9 | Pair
♣5,♦8,♥8,♥10,♥9 | Pair
♣5,♣K,♣10,♠Q,♥10 | Pair
♣5,♣K,♣10,♣6,♥10 | Pair
♣5,♣K,♣10,♦7,♥10 | Pair
♣5,♣K,♣10,♦3,♥10 | Pair
♣5,♣K,♣10,♥8,♥10 | Pair
♣5,♣K,♣10,♥10,♥9 | Pair
♣5,♣10,♠Q,♣6,♥10 | Pair
♣5,♣10,♠Q,♦7,♥10 | Pair
♣5,♣10,♠Q,♦3,♥10 | Pair
♣5,♣10,♠Q,♥8,♥10 | Pair
♣5,♣10,♠Q,♥10,♥9 | Pair
♣5,♣10,♣6,♦7,♥10 | Pair
♣5,♣10,♣6,♦3,♥10 | Pair
♣5,♣10,♣6,♥8,♥10 | Pair
♣5,♣10,♣6,♥10,♥9 | Pair
♣5,♣10,♦7,♦3,♥10 | Pair
♣5,♣10,♦7,♥8,♥10 | Pair
♣5,♣10,♦7,♥10,♥9 | Pair
♣5,♣10,♦3,♥8,♥10 | Pair
♣5,♣10,♦3,♥10,♥9 | Pair
♣5,♣10,♥8,♥10,♥9 | Pair
♣5,♣6,♦7,♥8,♥9 | Straight
♠A,♦8,♣K,♣10,♥8 | Pair
♠A,♦8,♣K,♣10,♥10 | Pair
♠A,♦8,♣K,♠Q,♥8 | Pair
♠A,♦8,♣K,♣6,♥8 | Pair
♠A,♦8,♣K,♦7,♥8 | Pair
♠A,♦8,♣K,♦3,♥8 | Pair
♠A,♦8,♣K,♥8,♥10 | Pair
♠A,♦8,♣K,♥8,♥9 | Pair
♠A,♦8,♣10,♠Q,♥8 | Pair
♠A,♦8,♣10,♠Q,♥10 | Pair
♠A,♦8,♣10,♣6,♥8 | Pair
♠A,♦8,♣10,♣6,♥10 | Pair
♠A,♦8,♣10,♦7,♥8 | Pair
♠A,♦8,♣10,♦7,♥10 | Pair
♠A,♦8,♣10,♦3,♥8 | Pair
♠A,♦8,♣10,♦3,♥10 | Pair
♠A,♦8,♣10,♥8,♥10 | Two Pairs
♠A,♦8,♣10,♥8,♥9 | Pair
♠A,♦8,♣10,♥10,♥9 | Pair
♠A,♦8,♠Q,♣6,♥8 | Pair
♠A,♦8,♠Q,♦7,♥8 | Pair
♠A,♦8,♠Q,♦3,♥8 | Pair
♠A,♦8,♠Q,♥8,♥10 | Pair
♠A,♦8,♠Q,♥8,♥9 | Pair
♠A,♦8,♣6,♦7,♥8 | Pair
♠A,♦8,♣6,♦3,♥8 | Pair
♠A,♦8,♣6,♥8,♥10 | Pair
♠A,♦8,♣6,♥8,♥9 | Pair
♠A,♦8,♦7,♦3,♥8 | Pair
♠A,♦8,♦7,♥8,♥10 | Pair
♠A,♦8,♦7,♥8,♥9 | Pair
♠A,♦8,♦3,♥8,♥10 | Pair
♠A,♦8,♦3,♥8,♥9 | Pair
♠A,♦8,♥8,♥10,♥9 | Pair
♠A,♣K,♣10,♠Q,♥10 | Pair
♠A,♣K,♣10,♣6,♥10 | Pair
♠A,♣K,♣10,♦7,♥10 | Pair
♠A,♣K,♣10,♦3,♥10 | Pair
♠A,♣K,♣10,♥8,♥10 | Pair
♠A,♣K,♣10,♥10,♥9 | Pair
♠A,♣10,♠Q,♣6,♥10 | Pair
♠A,♣10,♠Q,♦7,♥10 | Pair
♠A,♣10,♠Q,♦3,♥10 | Pair
♠A,♣10,♠Q,♥8,♥10 | Pair
♠A,♣10,♠Q,♥10,♥9 | Pair
♠A,♣10,♣6,♦7,♥10 | Pair
♠A,♣10,♣6,♦3,♥10 | Pair
♠A,♣10,♣6,♥8,♥10 | Pair
♠A,♣10,♣6,♥10,♥9 | Pair
♠A,♣10,♦7,♦3,♥10 | Pair
♠A,♣10,♦7,♥8,♥10 | Pair
♠A,♣10,♦7,♥10,♥9 | Pair
♠A,♣10,♦3,♥8,♥10 | Pair
♠A,♣10,♦3,♥10,♥9 | Pair
♠A,♣10,♥8,♥10,♥9 | Pair
♦8,♣K,♣10,♠Q,♥8 | Pair
♦8,♣K,♣10,♠Q,♥10 | Pair
♦8,♣K,♣10,♣6,♥8 | Pair
♦8,♣K,♣10,♣6,♥10 | Pair
♦8,♣K,♣10,♦7,♥8 | Pair
♦8,♣K,♣10,♦7,♥10 | Pair
♦8,♣K,♣10,♦3,♥8 | Pair
♦8,♣K,♣10,♦3,♥10 | Pair
♦8,♣K,♣10,♥8,♥10 | Two Pairs
♦8,♣K,♣10,♥8,♥9 | Pair
♦8,♣K,♣10,♥10,♥9 | Pair
♦8,♣K,♠Q,♣6,♥8 | Pair
♦8,♣K,♠Q,♦7,♥8 | Pair
♦8,♣K,♠Q,♦3,♥8 | Pair
♦8,♣K,♠Q,♥8,♥10 | Pair
♦8,♣K,♠Q,♥8,♥9 | Pair
♦8,♣K,♣6,♦7,♥8 | Pair
♦8,♣K,♣6,♦3,♥8 | Pair
♦8,♣K,♣6,♥8,♥10 | Pair
♦8,♣K,♣6,♥8,♥9 | Pair
♦8,♣K,♦7,♦3,♥8 | Pair
♦8,♣K,♦7,♥8,♥10 | Pair
♦8,♣K,♦7,♥8,♥9 | Pair
♦8,♣K,♦3,♥8,♥10 | Pair
♦8,♣K,♦3,♥8,♥9 | Pair
♦8,♣K,♥8,♥10,♥9 | Pair
♦8,♣10,♠Q,♣6,♥8 | Pair
♦8,♣10,♠Q,♣6,♥10 | Pair
♦8,♣10,♠Q,♦7,♥8 | Pair
♦8,♣10,♠Q,♦7,♥10 | Pair
♦8,♣10,♠Q,♦3,♥8 | Pair
♦8,♣10,♠Q,♦3,♥10 | Pair
♦8,♣10,♠Q,♥8,♥10 | Two Pairs
♦8,♣10,♠Q,♥8,♥9 | Pair
♦8,♣10,♠Q,♥10,♥9 | Pair
♦8,♣10,♣6,♦7,♥8 | Pair
♦8,♣10,♣6,♦7,♥10 | Pair
♦8,♣10,♣6,♦7,♥9 | Straight
♦8,♣10,♣6,♦3,♥8 | Pair
♦8,♣10,♣6,♦3,♥10 | Pair
♦8,♣10,♣6,♥8,♥10 | Two Pairs
♦8,♣10,♣6,♥8,♥9 | Pair
♦8,♣10,♣6,♥10,♥9 | Pair
♦8,♣10,♦7,♦3,♥8 | Pair
♦8,♣10,♦7,♦3,♥10 | Pair
♦8,♣10,♦7,♥8,♥10 | Two Pairs
♦8,♣10,♦7,♥8,♥9 | Pair
♦8,♣10,♦7,♥10,♥9 | Pair
♦8,♣10,♦3,♥8,♥10 | Two Pairs
♦8,♣10,♦3,♥8,♥9 | Pair
♦8,♣10,♦3,♥10,♥9 | Pair
♦8,♣10,♥8,♥10,♥9 | Two Pairs
♦8,♠Q,♣6,♦7,♥8 | Pair
♦8,♠Q,♣6,♦3,♥8 | Pair
♦8,♠Q,♣6,♥8,♥10 | Pair
♦8,♠Q,♣6,♥8,♥9 | Pair
♦8,♠Q,♦7,♦3,♥8 | Pair
♦8,♠Q,♦7,♥8,♥10 | Pair
♦8,♠Q,♦7,♥8,♥9 | Pair
♦8,♠Q,♦3,♥8,♥10 | Pair
♦8,♠Q,♦3,♥8,♥9 | Pair
♦8,♠Q,♥8,♥10,♥9 | Pair
♦8,♣6,♦7,♦3,♥8 | Pair
♦8,♣6,♦7,♥8,♥10 | Pair
♦8,♣6,♦7,♥8,♥9 | Pair
♦8,♣6,♦7,♥10,♥9 | Straight
♦8,♣6,♦3,♥8,♥10 | Pair
♦8,♣6,♦3,♥8,♥9 | Pair
♦8,♣6,♥8,♥10,♥9 | Pair
♦8,♦7,♦3,♥8,♥10 | Pair
♦8,♦7,♦3,♥8,♥9 | Pair
♦8,♦7,♥8,♥10,♥9 | Pair
♦8,♦3,♥8,♥10,♥9 | Pair
♣K,♣10,♠Q,♣6,♥10 | Pair
♣K,♣10,♠Q,♦7,♥10 | Pair
♣K,♣10,♠Q,♦3,♥10 | Pair
♣K,♣10,♠Q,♥8,♥10 | Pair
♣K,♣10,♠Q,♥10,♥9 | Pair
♣K,♣10,♣6,♦7,♥10 | Pair
♣K,♣10,♣6,♦3,♥10 | Pair
♣K,♣10,♣6,♥8,♥10 | Pair
♣K,♣10,♣6,♥10,♥9 | Pair
♣K,♣10,♦7,♦3,♥10 | Pair
♣K,♣10,♦7,♥8,♥10 | Pair
♣K,♣10,♦7,♥10,♥9 | Pair
♣K,♣10,♦3,♥8,♥10 | Pair
♣K,♣10,♦3,♥10,♥9 | Pair
♣K,♣10,♥8,♥10,♥9 | Pair
♣10,♠Q,♣6,♦7,♥10 | Pair
♣10,♠Q,♣6,♦3,♥10 | Pair
♣10,♠Q,♣6,♥8,♥10 | Pair
♣10,♠Q,♣6,♥10,♥9 | Pair
♣10,♠Q,♦7,♦3,♥10 | Pair
♣10,♠Q,♦7,♥8,♥10 | Pair
♣10,♠Q,♦7,♥10,♥9 | Pair
♣10,♠Q,♦3,♥8,♥10 | Pair
♣10,♠Q,♦3,♥10,♥9 | Pair
♣10,♠Q,♥8,♥10,♥9 | Pair
♣10,♣6,♦7,♦3,♥10 | Pair
♣10,♣6,♦7,♥8,♥10 | Pair
♣10,♣6,♦7,♥8,♥9 | Straight
♣10,♣6,♦7,♥10,♥9 | Pair
♣10,♣6,♦3,♥8,♥10 | Pair
♣10,♣6,♦3,♥10,♥9 | Pair
♣10,♣6,♥8,♥10,♥9 | Pair
♣10,♦7,♦3,♥8,♥10 | Pair
♣10,♦7,♦3,♥10,♥9 | Pair
♣10,♦7,♥8,♥10,♥9 | Pair
♣10,♦3,♥8,♥10,♥9 | Pair
♣6,♦7,♥8,♥10,♥9 | Straight
