♥8,♣4,♥7,♥K,♠8 | Pair
♥8,♣4,♠8,♥10,♠9 | Pair
♥8,♣4,♠8,♥10,♥4 | Two Pairs
♥8,♣4,♠8,♥10,♠3 | Pair
♥8,♣4,♠8,♥10,♠4 | Two Pairs
♥8,♣4,♠8,♥10,♥9 | Pair
♥8,♣4,♠8,♣A,♦A | Two Pairs
♥8,♣4,♠8,♣A,♠9 | Pair
♥8,♣4,♠8,♣A,♥4 | Two Pairs
♥8,♣4,♠8,♣A,♠3 | Pair
♥8,♣4,♠8,♣A,♠4 | Two Pairs
♥8,♣4,♠8,♣A,♥9 | Pair
♥8,♣4,♠8,♦A,♠9 | Pair
♥8,♣4,♠8,♦A,♥4 | Two Pairs
♥8,♣4,♠8,♦A,♠3 | Pair
♥8,♣4,♠8,♦A,♠4 | Two Pairs
♥8,♣4,♠8,♦A,♥9 | Pair
♥8,♣4,♠8,♠9,♥4 | Two Pairs
♥8,♣4,♠8,♠9,♠3 | Pair
♥8,♣4,♠8,♠9,♠4 | Two Pairs
♥8,♣4,♠8,♠9,♥9 | Two Pairs
♥8,♣4,♠8,♥4,♠3 | Two Pairs
♥8,♣4,♠8,♥4,♠4 | Full House
♥8,♣4,♠8,♥4,♥9 | Two Pairs
♥8,♣4,♠8,♠3,♠4 | Two Pairs
♥8,♣4,♠8,♠3,♥9 | Pair
♥8,♣4,♠8,♠4,♥9 | Two Pairs
♥8,♣4,♥10,♣A,♦A | Pair
♥8,♣4,♥10,♣A,♥4 | Pair
♥8,♣4,♥10,♣A,♠4 | Pair
♥8,♣4,♥10,♦A,♥4 | Pair
♥8,♣4,♥10,♦A,♠4 | Pair
♥8,♣4,♥10,♠9,♥4 | Pair
♥8,♣4,♥10,♠9,♠4 | Pair
♥8,♣4,♥10,♠9,♥9 | Pair
♥8,♣4,♥10,♥4,♠3 | Pair
♥8,♣4,♥10,♥4,♠4 | Three Of A Kind
♥8,♣4,♥10,♥4,♥9 | Pair
♥8,♣4,♥10,♠3,♠4 | Pair
♥8,♣4,♥10,♠4,♥9 | Pair
♥8,♣4,♣A,♦A,♠9 | Pair
♥8,♣4,♣A,♦A,♥4 | Two Pairs
♥8,♣4,♣A,♦A,♠3 | Pair
♥8,♣4,♣A,♦A,♠4 | Two Pairs
♥8,♣4,♣A,♦A,♥9 | Pair
♥8,♣4,♣A,♠9,♥4 | Pair
♥8,♣4,♣A,♠9,♠4 | Pair
♥8,♣4,♣A,♠9,♥9 | Pair
♥8,♣4,♣A,♥4,♠3 | Pair
♥8,♣4,♣A,♥4,♠4 | Three Of A Kind
♥8,♣4,♣A,♥4,♥9 | Pair
♥8,♣4,♣A,♠3,♠4 | Pair
♥8,♣4,♣A,♠4,♥9 | Pair
♥8,♣4,♦A,♠9,♥4 | Pair
♥8,♣4,♦A,♠9,♠4 | Pair
♥8,♣4,♦A,♠9,♥9 | Pair
♥8,♣4,♦A,♥4,♠3 | Pair
♥8,♣4,♦A,♥4,♠4 | Three Of A Kind
♥8,♣4,♦A,♥4,♥9 | Pair
♥8,♣4,♦A,♠3,♠4 | Pair
♥8,♣4,♦A,♠4,♥9 | Pair
♥8,♣4,♠9,♥4,♠3 | Pair
♥8,♣4,♠9,♥4,♠4 | Three Of A Kind
♥8,♣4,♠9,♥4,♥9 | Two Pairs
♥8,♣4,♠9,♠3,♠4 | Pair
♥8,♣4,♠9,♠3,♥9 | Pair
♥8,♣4,♠9,♠4,♥9 | Two Pairs
♥8,♣4,♥4,♠3,♠4 | Three Of A Kind
♥8,♣4,♥4,♠3,♥9 | Pair
♥8,♣4,♥4,♠4,♥9 | Three Of A Kind
♥8,♣4,♠3,♠4,♥9 | Pair
♥8,♥7,♥K,♠8,♥10 | Pair
♥8,♥7,♥K,♠8,♣A | Pair
♥8,♥7,♥K,♠8,♦A | Pair
♥8,♥7,♥K,♠8,♠9 | Pair
♥8,♥7,♥K,♠8,♥4 | Pair
♥8,♥7,♥K,♠8,♠3 | Pair
♥8,♥7,♥K,♠8,♠4 | Pair
♥8,♥7,♥K,♠8,♥9 | Pair
♥8,♥7,♥K,♥10,♥4 | Flush
♥8,♥7,♥K,♥10,♥9 | Flush
♥8,♥7,♥K,♣A,♦A | Pair
♥8,♥7,♥K,♠9,♥9 | Pair
♥8,♥7,♥K,♥4,♠4 | Pair
♥8,♥7,♥K,♥4,♥9 | Flush
♥8,♥7,♠8,♥10,♣A | Pair
♥8,♥7,♠8,♥10,♦A | Pair
♥8,♥7,♠8,♥10,♠9 | Pair
♥8,♥7,♠8,♥10,♥4 | Pair
♥8,♥7,♠8,♥10,♠3 | Pair
♥8,♥7,♠8,♥10,♠4 | Pair
♥8,♥7,♠8,♥10,♥9 | Pair
♥8,♥7,♠8,♣A,♦A | Two Pairs
♥8,♥7,♠8,♣A,♠9 | Pair
♥8,♥7,♠8,♣A,♥4 | Pair
♥8,♥7,♠8,♣A,♠3 | Pair
♥8,♥7,♠8,♣A,♠4 | Pair
♥8,♥7,♠8,♣A,♥9 | Pair
♥8,♥7,♠8,♦A,♠9 | Pair
♥8,♥7,♠8,♦A,♥4 | Pair
♥8,♥7,♠8,♦A,♠3 | Pair
♥8,♥7,♠8,♦A,♠4 | Pair
♥8,♥7,♠8,♦A,♥9 | Pair
♥8,♥7,♠8,♠9,♥4 | Pair
♥8,♥7,♠8,♠9,♠3 | Pair
♥8,♥7,♠8,♠9,♠4 | Pair
♥8,♥7,♠8,♠9,♥9 | Two Pairs
♥8,♥7,♠8,♥4,♠3 | Pair
♥8,♥7,♠8,♥4,♠4 | Two Pairs
♥8,♥7,♠8,♥4,♥9 | Pair
♥8,♥7,♠8,♠3,♠4 | Pair
♥8,♥7,♠8,♠3,♥9 | Pair
♥8,♥7,♠8,♠4,♥9 | Pair
♥8,♥7,♥10,♣A,♦A | Pair
♥8,♥7,♥10,♠9,♥9 | Pair
♥8,♥7,♥10,♥4,♠4 | Pair
♥8,♥7,♥10,♥4,♥9 | Flush
♥8,♥7,♣A,♦A,♠9 | Pair
♥8,♥7,♣A,♦A,♥4 | Pair
♥8,♥7,♣A,♦A,♠3 | Pair
♥8,♥7,♣A,♦A,♠4 | Pair
♥8,♥7,♣A,♦A,♥9 | Pair
♥8,♥7,♣A,♠9,♥9 | Pair
♥8,♥7,♣A,♥4,♠4 | Pair
♥8,♥7,♦A,♠9,♥9 | Pair
♥8,♥7,♦A,♥4,♠4 | Pair
♥8,♥7,♠9,♥4,♠4 | Pair
♥8,♥7,♠9,♥4,♥9 | Pair
♥8,♥7,♠9,♠3,♥9 | Pair
♥8,♥7,♠9,♠4,♥9 | Pair
♥8,♥7,♥4,♠3,♠4 | Pair
♥8,♥7,♥4,♠4,♥9 | Pair
♥8,♥K,♠8,♥10,♣A | Pair
♥8,♥K,♠8,♥10,♦A | Pair
♥8,♥K,♠8,♥10,♠9 | Pair
♥8,♥K,♠8,♥10,♥4 | Pair
♥8,♥K,♠8,♥10,♠3 | Pair
♥8,♥K,♠8,♥10,♠4 | Pair
♥8,♥K,♠8,♥10,♥9 | Pair
♥8,♥K,♠8,♣A,♦A | Two Pairs
♥8,♥K,♠8,♣A,♠9 | Pair
♥8,♥K,♠8,♣A,♥4 | Pair
♥8,♥K,♠8,♣A,♠3 | Pair
♥8,♥K,♠8,♣A,♠4 | Pair
♥8,♥K,♠8,♣A,♥9 | Pair
♥8,♥K,♠8,♦A,♠9 | Pair
♥8,♥K,♠8,♦A,♥4 | Pair
♥8,♥K,♠8,♦A,♠3 | Pair
♥8,♥K,♠8,♦A,♠4 | Pair
♥8,♥K,♠8,♦A,♥9 | Pair
♥8,♥K,♠8,♠9,♥4 | Pair
♥8,♥K,♠8,♠9,♠3 | Pair
♥8,♥K,♠8,♠9,♠4 | Pair
♥8,♥K,♠8,♠9,♥9 | Two Pairs
♥8,♥K,♠8,♥4,♠3 | Pair
♥8,♥K,♠8,♥4,♠4 | Two Pairs
♥8,♥K,♠8,♥4,♥9 | Pair
♥8,♥K,♠8,♠3,♠4 | Pair
♥8,♥K,♠8,♠3,♥9 | Pair
♥8,♥K,♠8,♠4,♥9 | Pair
♥8,♥K,♥10,♣A,♦A | Pair
♥8,♥K,♥10,♠9,♥9 | Pair
♥8,♥K,♥10,♥4,♠4 | Pair
♥8,♥K,♥10,♥4,♥9 | Flush
♥8,♥K,♣A,♦A,♠9 | Pair
♥8,♥K,♣A,♦A,♥4 | Pair
♥8,♥K,♣A,♦A,♠3 | Pair
♥8,♥K,♣A,♦A,♠4 | Pair
♥8,♥K,♣A,♦A,♥9 | Pair
♥8,♥K,♣A,♠9,♥9 | Pair
♥8,♥K,♣A,♥4,♠4 | Pair
♥8,♥K,♦A,♠9,♥9 | Pair
♥8,♥K,♦A,♥4,♠4 | Pair
♥8,♥K,♠9,♥4,♠4 | Pair
♥8,♥K,♠9,♥4,♥9 | Pair
♥8,♥K,♠9,♠3,♥9 | Pair
♥8,♥K,♠9,♠4,♥9 | Pair
♥8,♥K,♥4,♠3,♠4 | Pair
♥8,♥K,♥4,♠4,♥9 | Pair
♥8,♠8,♥10,♣A,♦A | Two Pairs
♥8,♠8,♥10,♣A,♠9 | Pair
♥8,♠8,♥10,♣A,♥4 | Pair
♥8,♠8,♥10,♣A,♠3 | Pair
♥8,♠8,♥10,♣A,♠4 | Pair
♥8,♠8,♥10,♣A,♥9 | Pair
♥8,♠8,♥10,♦A,♠9 | Pair
♥8,♠8,♥10,♦A,♥4 | Pair
♥8,♠8,♥10,♦A,♠3 | Pair
♥8,♠8,♥10,♦A,♠4 | Pair
♥8,♠8,♥10,♦A,♥9 | Pair
♥8,♠8,♥10,♠9,♥4 | Pair
♥8,♠8,♥10,♠9,♠3 | Pair
♥8,♠8,♥10,♠9,♠4 | Pair
♥8,♠8,♥10,♠9,♥9 | Two Pairs
♥8,♠8,♥10,♥4,♠3 | Pair
♥8,♠8,♥10,♥4,♠4 | Two Pairs
♥8,♠8,♥10,♥4,♥9 | Pair
♥8,♠8,♥10,♠3,♠4 | Pair
♥8,♠8,♥10,♠3,♥9 | Pair
♥8,♠8,♥10,♠4,♥9 | Pair
♥8,♠8,♣A,♦A,♠9 | Two Pairs
♥8,♠8,♣A,♦A,♥4 | Two Pairs
♥8,♠8,♣A,♦A,♠3 | Two Pairs
♥8,♠8,♣A,♦A,♠4 | Two Pairs
♥8,♠8,♣A,♦A,♥9 | Two Pairs
♥8,♠8,♣A,♠9,♥4 | Pair
♥8,♠8,♣A,♠9,♠3 | Pair
♥8,♠8,♣A,♠9,♠4 | Pair
♥8,♠8,♣A,♠9,♥9 | Two Pairs
♥8,♠8,♣A,♥4,♠3 | Pair
♥8,♠8,♣A,♥4,♠4 | Two Pairs
♥8,♠8,♣A,♥4,♥9 | Pair
♥8,♠8,♣A,♠3,♠4 | Pair
♥8,♠8,♣A,♠3,♥9 | Pair
♥8,♠8,♣A,♠4,♥9 | Pair
♥8,♠8,♦A,♠9,♥4 | Pair
♥8,♠8,♦A,♠9,♠3 | Pair
♥8,♠8,♦A,♠9,♠4 | Pair
♥8,♠8,♦A,♠9,♥9 | Two Pairs
♥8,♠8,♦A,♥4,♠3 | Pair
♥8,♠8,♦A,♥4,♠4 | Two Pairs
♥8,♠8,♦A,♥4,♥9 | Pair
♥8,♠8,♦A,♠3,♠4 | Pair
♥8,♠8,♦A,♠3,♥9 | Pair
♥8,♠8,♦A,♠4,♥9 | Pair
♥8,♠8,♠9,♥4,♠3 | Pair
♥8,♠8,♠9,♥4,♠4 | Two Pairs
♥8,♠8,♠9,♥4,♥9 | Two Pairs
♥8,♠8,♠9,♠3,♠4 | Pair
♥8,♠8,♠9,♠3,♥9 | Two Pairs
♥8,♠8,♠9,♠4,♥9 | Two Pairs
♥8,♠8,♥4,♠3,♠4 | Two Pairs
♥8,♠8,♥4,♠3,♥9 | Pair
♥8,♠8,♥4,♠4,♥9 | Two Pairs
♥8,♠8,♠3,♠4,♥9 | Pair
♥8,♥10,♣A,♦A,♠9 | Pair
♥8,♥10,♣A,♦A,♥4 | Pair
♥8,♥10,♣A,♦A,♠3 | Pair
♥8,♥10,♣A,♦A,♠4 | Pair
♥8,♥10,♣A,♦A,♥9 | Pair
♥8,♥10,♣A,♠9,♥9 | Pair
♥8,♥10,♣A,♥4,♠4 | Pair
♥8,♥10,♦A,♠9,♥9 | Pair
♥8,♥10,♦A,♥4,♠4 | Pair
♥8,♥10,♠9,♥4,♠4 | Pair
♥8,♥10,♠9,♥4,♥9 | Pair
♥8,♥10,♠9,♠3,♥9 | Pair
♥8,♥10,♠9,♠4,♥9 | Pair
♥8,♥10,♥4,♠3,♠4 | Pair
♥8,♥10,♥4,♠4,♥9 | Pair
♥8,♣A,♦A,♠9,♥4 | Pair
♥8,♣A,♦A,♠9,♠3 | Pair
♥8,♣A,♦A,♠9,♠4 | Pair
♥8,♣A,♦A,♠9,♥9 | Two Pairs
♥8,♣A,♦A,♥4,♠3 | Pair
♥8,♣A,♦A,♥4,♠4 | Two Pairs
♥8,♣A,♦A,♥4,♥9 | Pair
♥8,♣A,♦A,♠3,♠4 | Pair
♥8,♣A,♦A,♠3,♥9 | Pair
♥8,♣A,♦A,♠4,♥9 | Pair
♥8,♣A,♠9,♥4,♠4 | Pair
♥8,♣A,♠9,♥4,♥9 | Pair
♥8,♣A,♠9,♠3,♥9 | Pair
♥8,♣A,♠9,♠4,♥9 | Pair
♥8,♣A,♥4,♠3,♠4 | Pair
♥8,♣A,♥4,♠4,♥9 | Pair
♥8,♦A,♠9,♥4,♠4 | Pair
♥8,♦A,♠9,♥4,♥9 | Pair
♥8,♦A,♠9,♠3,♥9 | Pair
♥8,♦A,♠9,♠4,♥9 | Pair
♥8,♦A,♥4,♠3,♠4 | Pair
♥8,♦A,♥4,♠4,♥9 | Pair
♥8,♠9,♥4,♠3,♠4 | Pair
♥8,♠9,♥4,♠3,♥9 | Pair
♥8,♠9,♥4,♠4,♥9 | Two Pairs
♥8,♠9,♠3,♠4,♥9 | Pair
♥8,♥4,♠3,♠4,♥9 | Pair
♣4,♥7,♥K,♠8,♥4 | Pair
♣4,♥7,♥K,♠8,♠4 | Pair
♣4,♥7,♥K,♥10,♥4 | Pair
♣4,♥7,♥K,♥10,♠4 | Pair
♣4,♥7,♥K,♣A,♦A | Pair
♣4,♥7,♥K,♣A,♥4 | Pair
♣4,♥7,♥K,♣A,♠4 | Pair
♣4,♥7,♥K,♦A,♥4 | Pair
♣4,♥7,♥K,♦A,♠4 | Pair
♣4,♥7,♥K,♠9,♥4 | Pair
♣4,♥7,♥K,♠9,♠4 | Pair
♣4,♥7,♥K,♠9,♥9 | Pair
♣4,♥7,♥K,♥4,♠3 | Pair
♣4,♥7,♥K,♥4,♠4 | Three Of A Kind
♣4,♥7,♥K,♥4,♥9 | Pair
♣4,♥7,♥K,♠3,♠4 | Pair
♣4,♥7,♥K,♠4,♥9 | Pair
♣4,♥7,♠8,♥10,♥4 | Pair
♣4,♥7,♠8,♥10,♠4 | Pair
♣4,♥7,♠8,♣A,♦A | Pair
♣4,♥7,♠8,♣A,♥4 | Pair
♣4,♥7,♠8,♣A,♠4 | Pair
♣4,♥7,♠8,♦A,♥4 | Pair
♣4,♥7,♠8,♦A,♠4 | Pair
♣4,♥7,♠8,♠9,♥4 | Pair
♣4,♥7,♠8,♠9,♠4 | Pair
♣4,♥7,♠8,♠9,♥9 | Pair
♣4,♥7,♠8,♥4,♠3 | Pair
♣4,♥7,♠8,♥4,♠4 | Three Of A Kind
♣4,♥7,♠8,♥4,♥9 | Pair
♣4,♥7,♠8,♠3,♠4 | Pair
♣4,♥7,♠8,♠4,♥9 | Pair
♣4,♥7,♥10,♣A,♦A | Pair
♣4,♥7,♥10,♣A,♥4 | Pair
♣4,♥7,♥10,♣A,♠4 | Pair
♣4,♥7,♥10,♦A,♥4 | Pair
♣4,♥7,♥10,♦A,♠4 | Pair
♣4,♥7,♥10,♠9,♥4 | Pair
♣4,♥7,♥10,♠9,♠4 | Pair
♣4,♥7,♥10,♠9,♥9 | Pair
♣4,♥7,♥10,♥4,♠3 | Pair
♣4,♥7,♥10,♥4,♠4 | Three Of A Kind
♣4,♥7,♥10,♥4,♥9 | Pair
♣4,♥7,♥10,♠3,♠4 | Pair
♣4,♥7,♥10,♠4,♥9 | Pair
♣4,♥7,♣A,♦A,♠9 | Pair
♣4,♥7,♣A,♦A,♥4 | Two Pairs
♣4,♥7,♣A,♦A,♠3 | Pair
♣4,♥7,♣A,♦A,♠4 | Two Pairs
♣4,♥7,♣A,♦A,♥9 | Pair
♣4,♥7,♣A,♠9,♥4 | Pair
♣4,♥7,♣A,♠9,♠4 | Pair
♣4,♥7,♣A,♠9,♥9 | Pair
♣4,♥7,♣A,♥4,♠3 | Pair
♣4,♥7,♣A,♥4,♠4 | Three Of A Kind
♣4,♥7,♣A,♥4,♥9 | Pair
♣4,♥7,♣A,♠3,♠4 | Pair
♣4,♥7,♣A,♠4,♥9 | Pair
♣4,♥7,♦A,♠9,♥4 | Pair
♣4,♥7,♦A,♠9,♠4 | Pair
♣4,♥7,♦A,♠9,♥9 | Pair
♣4,♥7,♦A,♥4,♠3 | Pair
♣4,♥7,♦A,♥4,♠4 | Three Of A Kind
♣4,♥7,♦A,♥4,♥9 | Pair
♣4,♥7,♦A,♠3,♠4 | Pair
♣4,♥7,♦A,♠4,♥9 | Pair
♣4,♥7,♠9,♥4,♠3 | Pair
♣4,♥7,♠9,♥4,♠4 | Three Of A Kind
♣4,♥7,♠9,♥4,♥9 | Two Pairs
♣4,♥7,♠9,♠3,♠4 | Pair
♣4,♥7,♠9,♠3,♥9 | Pair
♣4,♥7,♠9,♠4,♥9 | Two Pairs
♣4,♥7,♥4,♠3,♠4 | Three Of A Kind
♣4,♥7,♥4,♠3,♥9 | Pair
♣4,♥7,♥4,♠4,♥9 | Three Of A Kind
♣4,♥7,♠3,♠4,♥9 | Pair
♣4,♥K,♠8,♥10,♥4 | Pair
♣4,♥K,♠8,♥10,♠4 | Pair
♣4,♥K,♠8,♣A,♦A | Pair
♣4,♥K,♠8,♣A,♥4 | Pair
♣4,♥K,♠8,♣A,♠4 | Pair
♣4,♥K,♠8,♦A,♥4 | Pair
♣4,♥K,♠8,♦A,♠4 | Pair
♣4,♥K,♠8,♠9,♥4 | Pair
♣4,♥K,♠8,♠9,♠4 | Pair
♣4,♥K,♠8,♠9,♥9 | Pair
♣4,♥K,♠8,♥4,♠3 | Pair
♣4,♥K,♠8,♥4,♠4 | Three Of A Kind
♣4,♥K,♠8,♥4,♥9 | Pair
♣4,♥K,♠8,♠3,♠4 | Pair
♣4,♥K,♠8,♠4,♥9 | Pair
♣4,♥K,♥10,♣A,♦A | Pair
♣4,♥K,♥10,♣A,♥4 | Pair
♣4,♥K,♥10,♣A,♠4 | Pair
♣4,♥K,♥10,♦A,♥4 | Pair
♣4,♥K,♥10,♦A,♠4 | Pair
♣4,♥K,♥10,♠9,♥4 | Pair
♣4,♥K,♥10,♠9,♠4 | Pair
♣4,♥K,♥10,♠9,♥9 | Pair
♣4,♥K,♥10,♥4,♠3 | Pair
♣4,♥K,♥10,♥4,♠4 | Three Of A Kind
♣4,♥K,♥10,♥4,♥9 | Pair
♣4,♥K,♥10,♠3,♠4 | Pair
♣4,♥K,♥10,♠4,♥9 | Pair
♣4,♥K,♣A,♦A,♠9 | Pair
♣4,♥K,♣A,♦A,♥4 | Two Pairs
♣4,♥K,♣A,♦A,♠3 | Pair
♣4,♥K,♣A,♦A,♠4 | Two Pairs
♣4,♥K,♣A,♦A,♥9 | Pair
♣4,♥K,♣A,♠9,♥4 | Pair
♣4,♥K,♣A,♠9,♠4 | Pair
♣4,♥K,♣A,♠9,♥9 | Pair
♣4,♥K,♣A,♥4,♠3 | Pair
♣4,♥K,♣A,♥4,♠4 | Three Of A Kind
♣4,♥K,♣A,♥4,♥9 | Pair
♣4,♥K,♣A,♠3,♠4 | Pair
♣4,♥K,♣A,♠4,♥9 | Pair
♣4,♥K,♦A,♠9,♥4 | Pair
♣4,♥K,♦A,♠9,♠4 | Pair
♣4,♥K,♦A,♠9,♥9 | Pair
♣4,♥K,♦A,♥4,♠3 | Pair
♣4,♥K,♦A,♥4,♠4 | Three Of A Kind
♣4,♥K,♦A,♥4,♥9 | Pair
♣4,♥K,♦A,♠3,♠4 | Pair
♣4,♥K,♦A,♠4,♥9 | Pair
♣4,♥K,♠9,♥4,♠3 | Pair
♣4,♥K,♠9,♥4,♠4 | Three Of A Kind
♣4,♥K,♠9,♥4,♥9 | Two Pairs
♣4,♥K,♠9,♠3,♠4 | Pair
♣4,♥K,♠9,♠3,♥9 | Pair
♣4,♥K,♠9,♠4,♥9 | Two Pairs
♣4,♥K,♥4,♠3,♠4 | Three Of A Kind
♣4,♥K,♥4,♠3,♥9 | Pair
♣4,♥K,♥4,♠4,♥9 | Three Of A Kind
♣4,♥K,♠3,♠4,♥9 | Pair
♣4,♠8,♥10,♣A,♦A | Pair
♣4,♠8,♥10,♣A,♥4 | Pair
♣4,♠8,♥10,♣A,♠4 | Pair
♣4,♠8,♥10,♦A,♥4 | Pair
♣4,♠8,♥10,♦A,♠4 | Pair
♣4,♠8,♥10,♠9,♥4 | Pair
♣4,♠8,♥10,♠9,♠4 | Pair
♣4,♠8,♥10,♠9,♥9 | Pair
♣4,♠8,♥10,♥4,♠3 | Pair
♣4,♠8,♥10,♥4,♠4 | Three Of A Kind
♣4,♠8,♥10,♥4,♥9 | Pair
♣4,♠8,♥10,♠3,♠4 | Pair
♣4,♠8,♥10,♠4,♥9 | Pair
♣4,♠8,♣A,♦A,♠9 | Pair
♣4,♠8,♣A,♦A,♥4 | Two Pairs
♣4,♠8,♣A,♦A,♠3 | Pair
♣4,♠8,♣A,♦A,♠4 | Two Pairs
♣4,♠8,♣A,♦A,♥9 | Pair
♣4,♠8,♣A,♠9,♥4 | Pair
♣4,♠8,♣A,♠9,♠4 | Pair
♣4,♠8,♣A,♠9,♥9 | Pair
♣4,♠8,♣A,♥4,♠3 | Pair
♣4,♠8,♣A,♥4,♠4 | Three Of A Kind
♣4,♠8,♣A,♥4,♥9 | Pair
♣4,♠8,♣A,♠3,♠4 | Pair
♣4,♠8,♣A,♠4,♥9 | Pair
♣4,♠8,♦A,♠9,♥4 | Pair
♣4,♠8,♦A,♠9,♠4 | Pair
♣4,♠8,♦A,♠9,♥9 | Pair
♣4,♠8,♦A,♥4,♠3 | Pair
♣4,♠8,♦A,♥4,♠4 | Three Of A Kind
♣4,♠8,♦A,♥4,♥9 | Pair
♣4,♠8,♦A,♠3,♠4 | Pair
♣4,♠8,♦A,♠4,♥9 | Pair
♣4,♠8,♠9,♥4,♠3 | Pair
♣4,♠8,♠9,♥4,♠4 | Three Of A Kind
♣4,♠8,♠9,♥4,♥9 | Two Pairs
♣4,♠8,♠9,♠3,♠4 | Pair
♣4,♠8,♠9,♠3,♥9 | Pair
♣4,♠8,♠9,♠4,♥9 | Two Pairs
♣4,♠8,♥4,♠3,♠4 | Three Of A Kind
♣4,♠8,♥4,♠3,♥9 | Pair
♣4,♠8,♥4,♠4,♥9 | Three Of A Kind
♣4,♠8,♠3,♠4,♥9 | Pair
♣4,♥10,♣A,♦A,♠9 | Pair
♣4,♥10,♣A,♦A,♥4 | Two Pairs
♣4,♥10,♣A,♦A,♠3 | Pair
♣4,♥10,♣A,♦A,♠4 | Two Pairs
♣4,♥10,♣A,♦A,♥9 | Pair
♣4,♥10,♣A,♠9,♥4 | Pair
♣4,♥10,♣A,♠9,♠4 | Pair
♣4,♥10,♣A,♠9,♥9 | Pair
♣4,♥10,♣A,♥4,♠3 | Pair
♣4,♥10,♣A,♥4,♠4 | Three Of A Kind
♣4,♥10,♣A,♥4,♥9 | Pair
♣4,♥10,♣A,♠3,♠4 | Pair
♣4,♥10,♣A,♠4,♥9 | Pair
♣4,♥10,♦A,♠9,♥4 | Pair
♣4,♥10,♦A,♠9,♠4 | Pair
♣4,♥10,♦A,♠9,♥9 | Pair
♣4,♥10,♦A,♥4,♠3 | Pair
♣4,♥10,♦A,♥4,♠4 | Three Of A Kind
♣4,♥10,♦A,♥4,♥9 | Pair
♣4,♥10,♦A,♠3,♠4 | Pair
♣4,♥10,♦A,♠4,♥9 | Pair
♣4,♥10,♠9,♥4,♠3 | Pair
♣4,♥10,♠9,♥4,♠4 | Three Of A Kind
♣4,♥10,♠9,♥4,♥9 | Two Pairs
♣4,♥10,♠9,♠3,♠4 | Pair
♣4,♥10,♠9,♠3,♥9 | Pair
♣4,♥10,♠9,♠4,♥9 | Two Pairs
♣4,♥10,♥4,♠3,♠4 | Three Of A Kind
♣4,♥10,♥4,♠3,♥9 | Pair
♣4,♥10,♥4,♠4,♥9 | Three Of A Kind
♣4,♥10,♠3,♠4,♥9 | Pair
♣4,♣A,♦A,♠9,♥4 | Two Pairs
♣4,♣A,♦A,♠9,♠3 | Pair
♣4,♣A,♦A,♠9,♠4 | Two Pairs
♣4,♣A,♦A,♠9,♥9 | Two Pairs
♣4,♣A,♦A,♥4,♠3 | Two Pairs
♣4,♣A,♦A,♥4,♠4 | Full House
♣4,♣A,♦A,♥4,♥9 | Two Pairs
