♥Q,♣J,♦7,♥8,♣Q | Pair
♥Q,♦7,♥10,♥2,♠Q | Pair
♥Q,♦7,♥10,♣9,♠Q | Pair
♥Q,♦7,♥2,♣9,♠Q | Pair
♥Q,♥8,♠9,♣Q,♥10 | Pair
♥Q,♥8,♠9,♣Q,♥2 | Pair
♥Q,♥8,♠9,♣Q,♣9 | Two Pairs
♥Q,♥8,♠9,♣Q,♠Q | Three Of A Kind
♥Q,♥8,♠9,♥10,♣9 | Pair
♥Q,♥8,♠9,♥10,♠Q | Pair
♥Q,♥8,♠9,♥2,♣9 | Pair
♥Q,♥8,♠9,♥2,♠Q | Pair
♥Q,♥8,♠9,♣9,♠Q | Two Pairs
♥Q,♥8,♣Q,♥10,♥2 | Pair
♥Q,♥8,♣Q,♥10,♣9 | Pair
♥Q,♥8,♣Q,♥10,♠Q | Three Of A Kind
♥Q,♥8,♣Q,♥2,♣9 | Pair
♥Q,♥8,♣Q,♥2,♠Q | Three Of A Kind
♥Q,♥8,♣Q,♣9,♠Q | Three Of A Kind
♥Q,♥8,♥10,♥2,♠Q | Pair
♥Q,♥8,♥10,♣9,♠Q | Pair
♥Q,♥8,♥2,♣9,♠Q | Pair
♥Q,♠9,♣Q,♥10,♥2 | Pair
♥Q,♠9,♣Q,♥10,♣9 | Two Pairs
♥Q,♠9,♣Q,♥10,♠Q | Three Of A Kind
♥Q,♠9,♣Q,♥2,♣9 | Two Pairs
♥Q,♠9,♣Q,♥2,♠Q | Three Of A Kind
♥Q,♠9,♣Q,♣9,♠Q | Full House
♥Q,♠9,♥10,♥2,♣9 | Pair
♥Q,♠9,♥10,♥2,♠Q | Pair
♥Q,♠9,♥10,♣9,♠Q | Two Pairs
♥Q,♠9,♥2,♣9,♠Q | Two Pairs
♥Q,♣Q,♥10,♥2,♣9 | Pair
♥Q,♣Q,♥10,♥2,♠Q | Three Of A Kind
♥Q,♣Q,♥10,♣9,♠Q | Three Of A Kind
♥Q,♣Q,♥2,♣9,♠Q | Three Of A Kind
♥Q,♥10,♥2,♣9,♠Q | Pair
♣J,♦7,♥8,♠9,♥10 | Straight
♣J,♦7,♥8,♠9,♣9 | Pair
♣J,♦7,♥8,♣Q,♠Q | Pair
♣J,♦7,♥8,♥10,♣9 | Straight
♣J,♦7,♠9,♣Q,♣9 | Pair
♣J,♦7,♠9,♣Q,♠Q | Pair
♣J,♦7,♠9,♥10,♣9 | Pair
♣J,♦7,♠9,♥2,♣9 | Pair
♣J,♦7,♠9,♣9,♠Q | Pair
♣J,♦7,♣Q,♥10,♠Q | Pair
♣J,♦7,♣Q,♥2,♠Q | Pair
♣J,♦7,♣Q,♣9,♠Q | Pair
♣J,♥8,♠9,♣Q,♥10 | Straight
♣J,♥8,♠9,♣Q,♣9 | Pair
♣J,♥8,♠9,♣Q,♠Q | Pair
♣J,♥8,♠9,♥10,♣9 | Pair
♣J,♥8,♠9,♥10,♠Q | Straight
♣J,♥8,♠9,♥2,♣9 | Pair
♣J,♥8,♠9,♣9,♠Q | Pair
♣J,♥8,♣Q,♥10,♣9 | Straight
♣J,♥8,♣Q,♥10,♠Q | Pair
♣J,♥8,♣Q,♥2,♠Q | Pair
♣J,♥8,♣Q,♣9,♠Q | Pair
♣J,♥8,♥10,♣9,♠Q | Straight
♣J,♠9,♣Q,♥10,♣9 | Pair
♣J,♠9,♣Q,♥10,♠Q | Pair
♣J,♠9,♣Q,♥2,♣9 | Pair
♣J,♠9,♣Q,♥2,♠Q | Pair
♣J,♠9,♣Q,♣9,♠Q | Two Pairs
♣J,♠9,♥10,♥2,♣9 | Pair
♣J,♠9,♥10,♣9,♠Q | Pair
♣J,♠9,♥2,♣9,♠Q | Pair
♣J,♣Q,♥10,♥2,♠Q | Pair
♣J,♣Q,♥10,♣9,♠Q | Pair
♣J,♣Q,♥2,♣9,♠Q | Pair
♦7,♥8,♠9,♣Q,♣9 | Pair
♦7,♥8,♠9,♣Q,♠Q | Pair
♦7,♥8,♠9,♥10,♣9 | Pair
♦7,♥8,♠9,♥2,♣9 | Pair
♦7,♥8,♠9,♣9,♠Q | Pair
♦7,♥8,♣Q,♥10,♠Q | Pair
♦7,♥8,♣Q,♥2,♠Q | Pair
♦7,♥8,♣Q,♣9,♠Q | Pair
♦7,♠9,♣Q,♥10,♣9 | Pair
♦7,♠9,♣Q,♥10,♠Q | Pair
♦7,♠9,♣Q,♥2,♣9 | Pair
♦7,♠9,♣Q,♥2,♠Q | Pair
♦7,♠9,♣Q,♣9,♠Q | Two Pairs
♦7,♠9,♥10,♥2,♣9 | Pair
♦7,♠9,♥10,♣9,♠Q | Pair
♦7,♠9,♥2,♣9,♠Q | Pair
♦7,♣Q,♥10,♥2,♠Q | Pair
♦7,♣Q,♥10,♣9,♠Q | Pair
♦7,♣Q,♥2,♣9,♠Q | Pair
♥8,♠9,♣Q,♥10,♣9 | Pair
♥8,♠9,♣Q,♥10,♠Q | Pair
♥8,♠9,♣Q,♥2,♣9 | Pair
♥8,♠9,♣Q,♥2,♠Q | Pair
♥8,♠9,♣Q,♣9,♠Q | Two Pairs
♥8,♠9,♥10,♥2,♣9 | Pair
♥8,♠9,♥10,♣9,♠Q | Pair
♥8,♠9,♥2,♣9,♠Q | Pair
♥8,♣Q,♥10,♥2,♠Q | Pair
♥8,♣Q,♥10,♣9,♠Q | Pair
♥8,♣Q,♥2,♣9,♠Q | Pair
♠9,♣Q,♥10,♥2,♣9 | Pair
♠9,♣Q,♥10,♥2,♠Q | Pair
♠9,♣Q,♥10,♣9,♠Q | Two Pairs
♠9,♣Q,♥2,♣9,♠Q | Two Pairs
♠9,♥10,♥2,♣9,♠Q | Pair
♣Q,♥10,♥2,♣9,♠Q | Pair
