♣8,♦4,♥A,♦3,♠A | Pair
♣8,♠6,♠2,♠9,♦9 | Pair
♣8,♠6,♠2,♠9,♦2 | Pair
♣8,♠6,♠2,♠9,♥6 | Pair
♣8,♠6,♠2,♠A,♦2 | Pair
♣8,♠6,♠2,♠A,♥6 | Pair
♣8,♠6,♠2,♦9,♦2 | Pair
♣8,♠6,♠2,♦9,♥6 | Pair
♣8,♠6,♠2,♦2,♥6 | Two Pairs
♣8,♠6,♠9,♠A,♦9 | Pair
♣8,♠6,♠9,♠A,♥6 | Pair
♣8,♠6,♠9,♦9,♦2 | Pair
♣8,♠6,♠9,♦9,♥6 | Two Pairs
♣8,♠6,♠9,♦2,♥6 | Pair
♣8,♠6,♠A,♦9,♥6 | Pair
♣8,♠6,♠A,♦2,♥6 | Pair
♣8,♠6,♦9,♦2,♥6 | Pair
♣8,♠2,♠9,♠A,♦9 | Pair
♣8,♠2,♠9,♠A,♦2 | Pair
♣8,♠2,♠9,♦9,♦2 | Two Pairs
♣8,♠2,♠9,♦9,♥6 | Pair
♣8,♠2,♠9,♦2,♥6 | Pair
♣8,♠2,♠A,♦9,♦2 | Pair
♣8,♠2,♠A,♦2,♥6 | Pair
♣8,♠2,♦9,♦2,♥6 | Pair
♣8,♠9,♠A,♦9,♦2 | Pair
♣8,♠9,♠A,♦9,♥6 | Pair
♣8,♠9,♦9,♦2,♥6 | Pair
♦4,♥A,♦3,♠6,♠A | Pair
♦4,♥A,♦3,♠6,♥6 | Pair
♦4,♥A,♦3,♠2,♠A | Pair
♦4,♥A,♦3,♠2,♦2 | Pair
♦4,♥A,♦3,♠9,♠A | Pair
♦4,♥A,♦3,♠9,♦9 | Pair
♦4,♥A,♦3,♠A,♦9 | Pair
♦4,♥A,♦3,♠A,♦2 | Pair
♦4,♥A,♦3,♠A,♥6 | Pair
♦4,♥A,♠6,♠2,♠A | Pair
♦4,♥A,♠6,♠2,♦2 | Pair
♦4,♥A,♠6,♠2,♥6 | Pair
♦4,♥A,♠6,♠9,♠A | Pair
♦4,♥A,♠6,♠9,♦9 | Pair
♦4,♥A,♠6,♠9,♥6 | Pair
♦4,♥A,♠6,♠A,♦9 | Pair
♦4,♥A,♠6,♠A,♦2 | Pair
♦4,♥A,♠6,♠A,♥6 | Two Pairs
♦4,♥A,♠6,♦9,♥6 | Pair
♦4,♥A,♠6,♦2,♥6 | Pair
♦4,♥A,♠2,♠9,♠A | Pair
♦4,♥A,♠2,♠9,♦9 | Pair
♦4,♥A,♠2,♠9,♦2 | Pair
♦4,♥A,♠2,♠A,♦9 | Pair
♦4,♥A,♠2,♠A,♦2 | Two Pairs
♦4,♥A,♠2,♠A,♥6 | Pair
♦4,♥A,♠2,♦9,♦2 | Pair
♦4,♥A,♠2,♦2,♥6 | Pair
♦4,♥A,♠9,♠A,♦9 | Two Pairs
♦4,♥A,♠9,♠A,♦2 | Pair
♦4,♥A,♠9,♠A,♥6 | Pair
♦4,♥A,♠9,♦9,♦2 | Pair
♦4,♥A,♠9,♦9,♥6 | Pair
♦4,♥A,♠A,♦9,♦2 | Pair
♦4,♥A,♠A,♦9,♥6 | Pair
♦4,♥A,♠A,♦2,♥6 | Pair
♦4,♦3,♠6,♠2,♦2 | Pair
♦4,♦3,♠6,♠2,♥6 | Pair
♦4,♦3,♠6,♠9,♦9 | Pair
♦4,♦3,♠6,♠9,♥6 | Pair
♦4,♦3,♠6,♠A,♥6 | Pair
♦4,♦3,♠6,♦9,♥6 | Pair
♦4,♦3,♠6,♦2,♥6 | Pair
♦4,♦3,♠2,♠9,♦9 | Pair
♦4,♦3,♠2,♠9,♦2 | Pair
♦4,♦3,♠2,♠A,♦2 | Pair
♦4,♦3,♠2,♦9,♦2 | Pair
♦4,♦3,♠2,♦2,♥6 | Pair
♦4,♦3,♠9,♠A,♦9 | Pair
♦4,♦3,♠9,♦9,♦2 | Pair
♦4,♦3,♠9,♦9,♥6 | Pair
♦4,♠6,♠2,♠9,♦9 | Pair
♦4,♠6,♠2,♠9,♦2 | Pair
♦4,♠6,♠2,♠9,♥6 | Pair
♦4,♠6,♠2,♠A,♦2 | Pair
♦4,♠6,♠2,♠A,♥6 | Pair
♦4,♠6,♠2,♦9,♦2 | Pair
♦4,♠6,♠2,♦9,♥6 | Pair
♦4,♠6,♠2,♦2,♥6 | Two Pairs
♦4,♠6,♠9,♠A,♦9 | Pair
♦4,♠6,♠9,♠A,♥6 | Pair
♦4,♠6,♠9,♦9,♦2 | Pair
♦4,♠6,♠9,♦9,♥6 | Two Pairs
♦4,♠6,♠9,♦2,♥6 | Pair
♦4,♠6,♠A,♦9,♥6 | Pair
♦4,♠6,♠A,♦2,♥6 | Pair
♦4,♠6,♦9,♦2,♥6 | Pair
♦4,♠2,♠9,♠A,♦9 | Pair
♦4,♠2,♠9,♠A,♦2 | Pair
♦4,♠2,♠9,♦9,♦2 | Two Pairs
♦4,♠2,♠9,♦9,♥6 | Pair
♦4,♠2,♠9,♦2,♥6 | Pair
♦4,♠2,♠A,♦9,♦2 | Pair
♦4,♠2,♠A,♦2,♥6 | Pair
♦4,♠2,♦9,♦2,♥6 | Pair
♦4,♠9,♠A,♦9,♦2 | Pair
♦4,♠9,♠A,♦9,♥6 | Pair
♦4,♠9,♦9,♦2,♥6 | Pair
♥A,♦3,♠6,♠2,♠A | Pair
♥A,♦3,♠6,♠2,♦2 | Pair
♥A,♦3,♠6,♠2,♥6 | Pair
♥A,♦3,♠6,♠9,♠A | Pair
♥A,♦3,♠6,♠9,♦9 | Pair
♥A,♦3,♠6,♠9,♥6 | Pair
♥A,♦3,♠6,♠A,♦9 | Pair
♥A,♦3,♠6,♠A,♦2 | Pair
♥A,♦3,♠6,♠A,♥6 | Two Pairs
♥A,♦3,♠6,♦9,♥6 | Pair
♥A,♦3,♠6,♦2,♥6 | Pair
♥A,♦3,♠2,♠9,♠A | Pair
♥A,♦3,♠2,♠9,♦9 | Pair
♥A,♦3,♠2,♠9,♦2 | Pair
♥A,♦3,♠2,♠A,♦9 | Pair
♥A,♦3,♠2,♠A,♦2 | Two Pairs
♥A,♦3,♠2,♠A,♥6 | Pair
♥A,♦3,♠2,♦9,♦2 | Pair
♥A,♦3,♠2,♦2,♥6 | Pair
♥A,♦3,♠9,♠A,♦9 | Two Pairs
♥A,♦3,♠9,♠A,♦2 | Pair
♥A,♦3,♠9,♠A,♥6 | Pair
♥A,♦3,♠9,♦9,♦2 | Pair
♥A,♦3,♠9,♦9,♥6 | Pair
♥A,♦3,♠A,♦9,♦2 | Pair
♥A,♦3,♠A,♦9,♥6 | Pair
♥A,♦3,♠A,♦2,♥6 | Pair
♥A,♠6,♠2,♠9,♠A | Pair
♥A,♠6,♠2,♠9,♦9 | Pair
♥A,♠6,♠2,♠9,♦2 | Pair
♥A,♠6,♠2,♠9,♥6 | Pair
♥A,♠6,♠2,♠A,♦9 | Pair
♥A,♠6,♠2,♠A,♦2 | Two Pairs
♥A,♠6,♠2,♠A,♥6 | Two Pairs
♥A,♠6,♠2,♦9,♦2 | Pair
♥A,♠6,♠2,♦9,♥6 | Pair
♥A,♠6,♠2,♦2,♥6 | Two Pairs
♥A,♠6,♠9,♠A,♦9 | Two Pairs
♥A,♠6,♠9,♠A,♦2 | Pair
♥A,♠6,♠9,♠A,♥6 | Two Pairs
♥A,♠6,♠9,♦9,♦2 | Pair
♥A,♠6,♠9,♦9,♥6 | Two Pairs
♥A,♠6,♠9,♦2,♥6 | Pair
♥A,♠6,♠A,♦9,♦2 | Pair
♥A,♠6,♠A,♦9,♥6 | Two Pairs
♥A,♠6,♠A,♦2,♥6 | Two Pairs
♥A,♠6,♦9,♦2,♥6 | Pair
♥A,♠2,♠9,♠A,♦9 | Two Pairs
♥A,♠2,♠9,♠A,♦2 | Two Pairs
♥A,♠2,♠9,♠A,♥6 | Pair
♥A,♠2,♠9,♦9,♦2 | Two Pairs
♥A,♠2,♠9,♦9,♥6 | Pair
♥A,♠2,♠9,♦2,♥6 | Pair
♥A,♠2,♠A,♦9,♦2 | Two Pairs
♥A,♠2,♠A,♦9,♥6 | Pair
♥A,♠2,♠A,♦2,♥6 | Two Pairs
♥A,♠2,♦9,♦2,♥6 | Pair
♥A,♠9,♠A,♦9,♦2 | Two Pairs
♥A,♠9,♠A,♦9,♥6 | Two Pairs
♥A,♠9,♠A,♦2,♥6 | Pair
♥A,♠9,♦9,♦2,♥6 | Pair
♥A,♠A,♦9,♦2,♥6 | Pair
♦3,♠6,♠2,♠9,♦9 | Pair
♦3,♠6,♠2,♠9,♦2 | Pair
♦3,♠6,♠2,♠9,♥6 | Pair
♦3,♠6,♠2,♠A,♦2 | Pair
♦3,♠6,♠2,♠A,♥6 | Pair
♦3,♠6,♠2,♦9,♦2 | Pair
♦3,♠6,♠2,♦9,♥6 | Pair
♦3,♠6,♠2,♦2,♥6 | Two Pairs
♦3,♠6,♠9,♠A,♦9 | Pair
♦3,♠6,♠9,♠A,♥6 | Pair
♦3,♠6,♠9,♦9,♦2 | Pair
♦3,♠6,♠9,♦9,♥6 | Two Pairs
♦3,♠6,♠9,♦2,♥6 | Pair
♦3,♠6,♠A,♦9,♥6 | Pair
♦3,♠6,♠A,♦2,♥6 | Pair
♦3,♠6,♦9,♦2,♥6 | Pair
♦3,♠2,♠9,♠A,♦9 | Pair
♦3,♠2,♠9,♠A,♦2 | Pair
♦3,♠2,♠9,♦9,♦2 | Two Pairs
♦3,♠2,♠9,♦9,♥6 | Pair
♦3,♠2,♠9,♦2,♥6 | Pair
♦3,♠2,♠A,♦9,♦2 | Pair
♦3,♠2,♠A,♦2,♥6 | Pair
♦3,♠2,♦9,♦2,♥6 | Pair
♦3,♠9,♠A,♦9,♦2 | Pair
♦3,♠9,♠A,♦9,♥6 | Pair
♦3,♠9,♦9,♦2,♥6 | Pair
♠6,♠2,♠9,♠A,♦9 | Pair
♠6,♠2,♠9,♠A,♦2 | Pair
♠6,♠2,♠9,♠A,♥6 | Pair
♠6,♠2,♠9,♦9,♦2 | Two Pairs
♠6,♠2,♠9,♦9,♥6 | Two Pairs
♠6,♠2,♠9,♦2,♥6 | Two Pairs
♠6,♠2,♠A,♦9,♦2 | Pair
♠6,♠2,♠A,♦9,♥6 | Pair
♠6,♠2,♠A,♦2,♥6 | Two Pairs
♠6,♠2,♦9,♦2,♥6 | Two Pairs
♠6,♠9,♠A,♦9,♦2 | Pair
♠6,♠9,♠A,♦9,♥6 | Two Pairs
♠6,♠9,♠A,♦2,♥6 | Pair
♠6,♠9,♦9,♦2,♥6 | Two Pairs
♠6,♠A,♦9,♦2,♥6 | Pair
♠2,♠9,♠A,♦9,♦2 | Two Pairs
♠2,♠9,♠A,♦9,♥6 | Pair
♠2,♠9,♠A,♦2,♥6 | Pair
♠2,♠9,♦9,♦2,♥6 | Two Pairs
♠2,♠A,♦9,♦2,♥6 | Pair
♠9,♠A,♦9,♦2,♥6 | Pair
