♥8,♦10,♥10,♠6,♥9 | Pair
♥8,♥10,♣J,♥K,♣10 | Pair
♥8,♥10,♣J,♥K,♣K | Pair
♥8,♥10,♣J,♣10,♣2 | Pair
♥8,♥10,♣J,♣10,♦A | Pair
♥8,♥10,♣J,♣10,♣K | Pair
♥8,♥10,♣J,♣10,♠3 | Pair
♥8,♥10,♣6,♥K,♣10 | Pair
♥8,♥10,♣6,♥K,♣K | Pair
♥8,♥10,♣6,♣10,♣2 | Pair
♥8,♥10,♣6,♣10,♦A | Pair
♥8,♥10,♣6,♣10,♣K | Pair
♥8,♥10,♣6,♣10,♠3 | Pair
♥8,♥10,♥K,♣10,♣2 | Pair
♥8,♥10,♥K,♣10,♦A | Pair
♥8,♥10,♥K,♣10,♣K | Two Pairs
♥8,♥10,♥K,♣10,♠3 | Pair
♥8,♥10,♥K,♣2,♣K | Pair
♥8,♥10,♥K,♦A,♣K | Pair
♥8,♥10,♥K,♣K,♠3 | Pair
♥8,♥10,♣10,♣2,♦A | Pair
♥8,♥10,♣10,♣2,♣K | Pair
♥8,♥10,♣10,♣2,♠3 | Pair
♥8,♥10,♣10,♦A,♣K | Pair
♥8,♥10,♣10,♦A,♠3 | Pair
♥8,♥10,♣10,♣K,♠3 | Pair
♥8,♠6,♥9,♣J,♣6 | Pair
♥8,♠6,♥9,♣6,♥K | Pair
♥8,♠6,♥9,♣6,♣10 | Pair
♥8,♠6,♥9,♣6,♣2 | Pair
♥8,♠6,♥9,♣6,♦A | Pair
♥8,♠6,♥9,♣6,♣K | Pair
♥8,♠6,♥9,♣6,♠3 | Pair
♥8,♠6,♥9,♥K,♣K | Pair
♥8,♠6,♣J,♣6,♥K | Pair
♥8,♠6,♣J,♣6,♣10 | Pair
♥8,♠6,♣J,♣6,♣2 | Pair
♥8,♠6,♣J,♣6,♦A | Pair
♥8,♠6,♣J,♣6,♣K | Pair
♥8,♠6,♣J,♣6,♠3 | Pair
♥8,♠6,♣J,♥K,♣K | Pair
♥8,♠6,♣6,♥K,♣10 | Pair
♥8,♠6,♣6,♥K,♣2 | Pair
♥8,♠6,♣6,♥K,♦A | Pair
♥8,♠6,♣6,♥K,♣K | Two Pairs
♥8,♠6,♣6,♥K,♠3 | Pair
♥8,♠6,♣6,♣10,♣2 | Pair
♥8,♠6,♣6,♣10,♦A | Pair
♥8,♠6,♣6,♣10,♣K | Pair
♥8,♠6,♣6,♣10,♠3 | Pair
♥8,♠6,♣6,♣2,♦A | Pair
♥8,♠6,♣6,♣2,♣K | Pair
♥8,♠6,♣6,♣2,♠3 | Pair
♥8,♠6,♣6,♦A,♣K | Pair
♥8,♠6,♣6,♦A,♠3 | Pair
♥8,♠6,♣6,♣K,♠3 | Pair
♥8,♠6,♥K,♣10,♣K | Pair
♥8,♠6,♥K,♣2,♣K | Pair
♥8,♠6,♥K,♦A,♣K | Pair
♥8,♠6,♥K,♣K,♠3 | Pair
♥8,♥9,♣J,♥K,♣K | Pair
♥8,♥9,♣6,♥K,♣K | Pair
♥8,♥9,♥K,♣10,♣K | Pair
♥8,♥9,♥K,♣2,♣K | Pair
♥8,♥9,♥K,♦A,♣K | Pair
♥8,♥9,♥K,♣K,♠3 | Pair
♥8,♣J,♣6,♥K,♣K | Pair
♥8,♣J,♥K,♣10,♣K | Pair
♥8,♣J,♥K,♣2,♣K | Pair
♥8,♣J,♥K,♦A,♣K | Pair
♥8,♣J,♥K,♣K,♠3 | Pair
♥8,♣6,♥K,♣10,♣K | Pair
♥8,♣6,♥K,♣2,♣K | Pair
♥8,♣6,♥K,♦A,♣K | Pair
♥8,♣6,♥K,♣K,♠3 | Pair
♥8,♥K,♣10,♣2,♣K | Pair
♥8,♥K,♣10,♦A,♣K | Pair
♥8,♥K,♣10,♣K,♠3 | Pair
♥8,♥K,♣2,♦A,♣K | Pair
♥8,♥K,♣2,♣K,♠3 | Pair
♥8,♥K,♦A,♣K,♠3 | Pair
♦10,♥10,♠6,♥9,♣J | Pair
♦10,♥10,♠6,♥9,♣6 | Two Pairs
♦10,♥10,♠6,♥9,♥K | Pair
♦10,♥10,♠6,♥9,♣10 | Three Of A Kind
♦10,♥10,♠6,♥9,♣2 | Pair
♦10,♥10,♠6,♥9,♦A | Pair
♦10,♥10,♠6,♥9,♣K | Pair
♦10,♥10,♠6,♥9,♠3 | Pair
♦10,♥10,♠6,♣J,♣6 | Two Pairs
♦10,♥10,♠6,♣J,♥K | Pair
♦10,♥10,♠6,♣J,♣10 | Three Of A Kind
♦10,♥10,♠6,♣J,♣2 | Pair
♦10,♥10,♠6,♣J,♦A | Pair
♦10,♥10,♠6,♣J,♣K | Pair
♦10,♥10,♠6,♣J,♠3 | Pair
♦10,♥10,♠6,♣6,♥K | Two Pairs
♦10,♥10,♠6,♣6,♣10 | Full House
♦10,♥10,♠6,♣6,♣2 | Two Pairs
♦10,♥10,♠6,♣6,♦A | Two Pairs
♦10,♥10,♠6,♣6,♣K | Two Pairs
♦10,♥10,♠6,♣6,♠3 | Two Pairs
♦10,♥10,♠6,♥K,♣10 | Three Of A Kind
♦10,♥10,♠6,♥K,♣2 | Pair
♦10,♥10,♠6,♥K,♦A | Pair
♦10,♥10,♠6,♥K,♣K | Two Pairs
♦10,♥10,♠6,♥K,♠3 | Pair
♦10,♥10,♠6,♣10,♣2 | Three Of A Kind
♦10,♥10,♠6,♣10,♦A | Three Of A Kind
♦10,♥10,♠6,♣10,♣K | Three Of A Kind
♦10,♥10,♠6,♣10,♠3 | Three Of A Kind
♦10,♥10,♠6,♣2,♦A | Pair
♦10,♥10,♠6,♣2,♣K | Pair
♦10,♥10,♠6,♣2,♠3 | Pair
♦10,♥10,♠6,♦A,♣K | Pair
♦10,♥10,♠6,♦A,♠3 | Pair
♦10,♥10,♠6,♣K,♠3 | Pair
♦10,♥10,♥9,♣J,♣6 | Pair
♦10,♥10,♥9,♣J,♥K | Pair
♦10,♥10,♥9,♣J,♣10 | Three Of A Kind
♦10,♥10,♥9,♣J,♣2 | Pair
♦10,♥10,♥9,♣J,♦A | Pair
♦10,♥10,♥9,♣J,♣K | Pair
♦10,♥10,♥9,♣J,♠3 | Pair
♦10,♥10,♥9,♣6,♥K | Pair
♦10,♥10,♥9,♣6,♣10 | Three Of A Kind
♦10,♥10,♥9,♣6,♣2 | Pair
♦10,♥10,♥9,♣6,♦A | Pair
♦10,♥10,♥9,♣6,♣K | Pair
♦10,♥10,♥9,♣6,♠3 | Pair
♦10,♥10,♥9,♥K,♣10 | Three Of A Kind
♦10,♥10,♥9,♥K,♣2 | Pair
♦10,♥10,♥9,♥K,♦A | Pair
♦10,♥10,♥9,♥K,♣K | Two Pairs
♦10,♥10,♥9,♥K,♠3 | Pair
♦10,♥10,♥9,♣10,♣2 | Three Of A Kind
♦10,♥10,♥9,♣10,♦A | Three Of A Kind
♦10,♥10,♥9,♣10,♣K | Three Of A Kind
♦10,♥10,♥9,♣10,♠3 | Three Of A Kind
♦10,♥10,♥9,♣2,♦A | Pair
♦10,♥10,♥9,♣2,♣K | Pair
♦10,♥10,♥9,♣2,♠3 | Pair
♦10,♥10,♥9,♦A,♣K | Pair
♦10,♥10,♥9,♦A,♠3 | Pair
♦10,♥10,♥9,♣K,♠3 | Pair
♦10,♥10,♣J,♣6,♥K | Pair
♦10,♥10,♣J,♣6,♣10 | Three Of A Kind
♦10,♥10,♣J,♣6,♣2 | Pair
♦10,♥10,♣J,♣6,♦A | Pair
♦10,♥10,♣J,♣6,♣K | Pair
♦10,♥10,♣J,♣6,♠3 | Pair
♦10,♥10,♣J,♥K,♣10 | Three Of A Kind
♦10,♥10,♣J,♥K,♣2 | Pair
♦10,♥10,♣J,♥K,♦A | Pair
♦10,♥10,♣J,♥K,♣K | Two Pairs
♦10,♥10,♣J,♥K,♠3 | Pair
♦10,♥10,♣J,♣10,♣2 | Three Of A Kind
♦10,♥10,♣J,♣10,♦A | Three Of A Kind
♦10,♥10,♣J,♣10,♣K | Three Of A Kind
♦10,♥10,♣J,♣10,♠3 | Three Of A Kind
♦10,♥10,♣J,♣2,♦A | Pair
♦10,♥10,♣J,♣2,♣K | Pair
♦10,♥10,♣J,♣2,♠3 | Pair
♦10,♥10,♣J,♦A,♣K | Pair
♦10,♥10,♣J,♦A,♠3 | Pair
♦10,♥10,♣J,♣K,♠3 | Pair
♦10,♥10,♣6,♥K,♣10 | Three Of A Kind
♦10,♥10,♣6,♥K,♣2 | Pair
♦10,♥10,♣6,♥K,♦A | Pair
♦10,♥10,♣6,♥K,♣K | Two Pairs
♦10,♥10,♣6,♥K,♠3 | Pair
♦10,♥10,♣6,♣10,♣2 | Three Of A Kind
♦10,♥10,♣6,♣10,♦A | Three Of A Kind
♦10,♥10,♣6,♣10,♣K | Three Of A Kind
♦10,♥10,♣6,♣10,♠3 | Three Of A Kind
♦10,♥10,♣6,♣2,♦A | Pair
♦10,♥10,♣6,♣2,♣K | Pair
♦10,♥10,♣6,♣2,♠3 | Pair
♦10,♥10,♣6,♦A,♣K | Pair
♦10,♥10,♣6,♦A,♠3 | Pair
♦10,♥10,♣6,♣K,♠3 | Pair
♦10,♥10,♥K,♣10,♣2 | Three Of A Kind
♦10,♥10,♥K,♣10,♦A | Three Of A Kind
♦10,♥10,♥K,♣10,♣K | Full House
♦10,♥10,♥K,♣10,♠3 | Three Of A Kind
♦10,♥10,♥K,♣2,♦A | Pair
♦10,♥10,♥K,♣2,♣K | Two Pairs
♦10,♥10,♥K,♣2,♠3 | Pair
♦10,♥10,♥K,♦A,♣K | Two Pairs
♦10,♥10,♥K,♦A,♠3 | Pair
♦10,♥10,♥K,♣K,♠3 | Two Pairs
♦10,♥10,♣10,♣2,♦A | Three Of A Kind
♦10,♥10,♣10,♣2,♣K | Three Of A Kind
♦10,♥10,♣10,♣2,♠3 | Three Of A Kind
♦10,♥10,♣10,♦A,♣K | Three Of A Kind
♦10,♥10,♣10,♦A,♠3 | Three Of A Kind
♦10,♥10,♣10,♣K,♠3 | Three Of A Kind
♦10,♥10,♣2,♦A,♣K | Pair
♦10,♥10,♣2,♦A,♠3 | Pair
♦10,♥10,♣2,♣K,♠3 | Pair
♦10,♥10,♦A,♣K,♠3 | Pair
♦10,♠6,♥9,♣J,♣6 | Pair
♦10,♠6,♥9,♣J,♣10 | Pair
♦10,♠6,♥9,♣6,♥K | Pair
♦10,♠6,♥9,♣6,♣10 | Two Pairs
♦10,♠6,♥9,♣6,♣2 | Pair
♦10,♠6,♥9,♣6,♦A | Pair
♦10,♠6,♥9,♣6,♣K | Pair
♦10,♠6,♥9,♣6,♠3 | Pair
♦10,♠6,♥9,♥K,♣10 | Pair
♦10,♠6,♥9,♥K,♣K | Pair
♦10,♠6,♥9,♣10,♣2 | Pair
♦10,♠6,♥9,♣10,♦A | Pair
♦10,♠6,♥9,♣10,♣K | Pair
♦10,♠6,♥9,♣10,♠3 | Pair
♦10,♠6,♣J,♣6,♥K | Pair
♦10,♠6,♣J,♣6,♣10 | Two Pairs
♦10,♠6,♣J,♣6,♣2 | Pair
♦10,♠6,♣J,♣6,♦A | Pair
♦10,♠6,♣J,♣6,♣K | Pair
♦10,♠6,♣J,♣6,♠3 | Pair
♦10,♠6,♣J,♥K,♣10 | Pair
♦10,♠6,♣J,♥K,♣K | Pair
♦10,♠6,♣J,♣10,♣2 | Pair
♦10,♠6,♣J,♣10,♦A | Pair
♦10,♠6,♣J,♣10,♣K | Pair
♦10,♠6,♣J,♣10,♠3 | Pair
♦10,♠6,♣6,♥K,♣10 | Two Pairs
♦10,♠6,♣6,♥K,♣2 | Pair
♦10,♠6,♣6,♥K,♦A | Pair
♦10,♠6,♣6,♥K,♣K | Two Pairs
♦10,♠6,♣6,♥K,♠3 | Pair
♦10,♠6,♣6,♣10,♣2 | Two Pairs
♦10,♠6,♣6,♣10,♦A | Two Pairs
♦10,♠6,♣6,♣10,♣K | Two Pairs
♦10,♠6,♣6,♣10,♠3 | Two Pairs
♦10,♠6,♣6,♣2,♦A | Pair
♦10,♠6,♣6,♣2,♣K | Pair
♦10,♠6,♣6,♣2,♠3 | Pair
♦10,♠6,♣6,♦A,♣K | Pair
♦10,♠6,♣6,♦A,♠3 | Pair
♦10,♠6,♣6,♣K,♠3 | Pair
♦10,♠6,♥K,♣10,♣2 | Pair
♦10,♠6,♥K,♣10,♦A | Pair
♦10,♠6,♥K,♣10,♣K | Two Pairs
♦10,♠6,♥K,♣10,♠3 | Pair
♦10,♠6,♥K,♣2,♣K | Pair
♦10,♠6,♥K,♦A,♣K | Pair
♦10,♠6,♥K,♣K,♠3 | Pair
♦10,♠6,♣10,♣2,♦A | Pair
♦10,♠6,♣10,♣2,♣K | Pair
♦10,♠6,♣10,♣2,♠3 | Pair
♦10,♠6,♣10,♦A,♣K | Pair
♦10,♠6,♣10,♦A,♠3 | Pair
♦10,♠6,♣10,♣K,♠3 | Pair
♦10,♥9,♣J,♣6,♣10 | Pair
♦10,♥9,♣J,♥K,♣10 | Pair
♦10,♥9,♣J,♥K,♣K | Pair
♦10,♥9,♣J,♣10,♣2 | Pair
♦10,♥9,♣J,♣10,♦A | Pair
♦10,♥9,♣J,♣10,♣K | Pair
♦10,♥9,♣J,♣10,♠3 | Pair
♦10,♥9,♣6,♥K,♣10 | Pair
♦10,♥9,♣6,♥K,♣K | Pair
♦10,♥9,♣6,♣10,♣2 | Pair
♦10,♥9,♣6,♣10,♦A | Pair
♦10,♥9,♣6,♣10,♣K | Pair
♦10,♥9,♣6,♣10,♠3 | Pair
♦10,♥9,♥K,♣10,♣2 | Pair
♦10,♥9,♥K,♣10,♦A | Pair
♦10,♥9,♥K,♣10,♣K | Two Pairs
♦10,♥9,♥K,♣10,♠3 | Pair
♦10,♥9,♥K,♣2,♣K | Pair
♦10,♥9,♥K,♦A,♣K | Pair
♦10,♥9,♥K,♣K,♠3 | Pair
♦10,♥9,♣10,♣2,♦A | Pair
♦10,♥9,♣10,♣2,♣K | Pair
♦10,♥9,♣10,♣2,♠3 | Pair
♦10,♥9,♣10,♦A,♣K | Pair
♦10,♥9,♣10,♦A,♠3 | Pair
♦10,♥9,♣10,♣K,♠3 | Pair
♦10,♣J,♣6,♥K,♣10 | Pair
♦10,♣J,♣6,♥K,♣K | Pair
♦10,♣J,♣6,♣10,♣2 | Pair
♦10,♣J,♣6,♣10,♦A | Pair
♦10,♣J,♣6,♣10,♣K | Pair
♦10,♣J,♣6,♣10,♠3 | Pair
♦10,♣J,♥K,♣10,♣2 | Pair
♦10,♣J,♥K,♣10,♦A | Pair
♦10,♣J,♥K,♣10,♣K | Two Pairs
♦10,♣J,♥K,♣10,♠3 | Pair
♦10,♣J,♥K,♣2,♣K | Pair
♦10,♣J,♥K,♦A,♣K | Pair
♦10,♣J,♥K,♣K,♠3 | Pair
♦10,♣J,♣10,♣2,♦A | Pair
♦10,♣J,♣10,♣2,♣K | Pair
♦10,♣J,♣10,♣2,♠3 | Pair
♦10,♣J,♣10,♦A,♣K | Pair
♦10,♣J,♣10,♦A,♠3 | Pair
♦10,♣J,♣10,♣K,♠3 | Pair
♦10,♣6,♥K,♣10,♣2 | Pair
♦10,♣6,♥K,♣10,♦A | Pair
♦10,♣6,♥K,♣10,♣K | Two Pairs
♦10,♣6,♥K,♣10,♠3 | Pair
♦10,♣6,♥K,♣2,♣K | Pair
♦10,♣6,♥K,♦A,♣K | Pair
♦10,♣6,♥K,♣K,♠3 | Pair
♦10,♣6,♣10,♣2,♦A | Pair
♦10,♣6,♣10,♣2,♣K | Pair
♦10,♣6,♣10,♣2,♠3 | Pair
♦10,♣6,♣10,♦A,♣K | Pair
♦10,♣6,♣10,♦A,♠3 | Pair
♦10,♣6,♣10,♣K,♠3 | Pair
♦10,♥K,♣10,♣2,♦A | Pair
♦10,♥K,♣10,♣2,♣K | Two Pairs
♦10,♥K,♣10,♣2,♠3 | Pair
♦10,♥K,♣10,♦A,♣K | Two Pairs
♦10,♥K,♣10,♦A,♠3 | Pair
♦10,♥K,♣10,♣K,♠3 | Two Pairs
♦10,♥K,♣2,♦A,♣K | Pair
♦10,♥K,♣2,♣K,♠3 | Pair
♦10,♥K,♦A,♣K,♠3 | Pair
♦10,♣10,♣2,♦A,♣K | Pair
♦10,♣10,♣2,♦A,♠3 | Pair
♦10,♣10,♣2,♣K,♠3 | Pair
♦10,♣10,♦A,♣K,♠3 | Pair
♥10,♠6,♥9,♣J,♣6 | Pair
♥10,♠6,♥9,♣J,♣10 | Pair
♥10,♠6,♥9,♣6,♥K | Pair
♥10,♠6,♥9,♣6,♣10 | Two Pairs
♥10,♠6,♥9,♣6,♣2 | Pair
♥10,♠6,♥9,♣6,♦A | Pair
♥10,♠6,♥9,♣6,♣K | Pair
♥10,♠6,♥9,♣6,♠3 | Pair
♥10,♠6,♥9,♥K,♣10 | Pair
♥10,♠6,♥9,♥K,♣K | Pair
♥10,♠6,♥9,♣10,♣2 | Pair
♥10,♠6,♥9,♣10,♦A | Pair
♥10,♠6,♥9,♣10,♣K | Pair
♥10,♠6,♥9,♣10,♠3 | Pair
♥10,♠6,♣J,♣6,♥K | Pair
♥10,♠6,♣J,♣6,♣10 | Two Pairs
♥10,♠6,♣J,♣6,♣2 | Pair
♥10,♠6,♣J,♣6,♦A | Pair
♥10,♠6,♣J,♣6,♣K | Pair
♥10,♠6,♣J,♣6,♠3 | Pair
♥10,♠6,♣J,♥K,♣10 | Pair
♥10,♠6,♣J,♥K,♣K | Pair
♥10,♠6,♣J,♣10,♣2 | Pair
♥10,♠6,♣J,♣10,♦A | Pair
♥10,♠6,♣J,♣10,♣K | Pair
♥10,♠6,♣J,♣10,♠3 | Pair
♥10,♠6,♣6,♥K,♣10 | Two Pairs
♥10,♠6,♣6,♥K,♣2 | Pair
♥10,♠6,♣6,♥K,♦A | Pair
♥10,♠6,♣6,♥K,♣K | Two Pairs
♥10,♠6,♣6,♥K,♠3 | Pair
♥10,♠6,♣6,♣10,♣2 | Two Pairs
♥10,♠6,♣6,♣10,♦A | Two Pairs
♥10,♠6,♣6,♣10,♣K | Two Pairs
♥10,♠6,♣6,♣10,♠3 | Two Pairs
♥10,♠6,♣6,♣2,♦A | Pair
♥10,♠6,♣6,♣2,♣K | Pair
♥10,♠6,♣6,♣2,♠3 | Pair
♥10,♠6,♣6,♦A,♣K | Pair
♥10,♠6,♣6,♦A,♠3 | Pair
♥10,♠6,♣6,♣K,♠3 | Pair
♥10,♠6,♥K,♣10,♣2 | Pair
♥10,♠6,♥K,♣10,♦A | Pair
♥10,♠6,♥K,♣10,♣K | Two Pairs
♥10,♠6,♥K,♣10,♠3 | Pair
♥10,♠6,♥K,♣2,♣K | Pair
♥10,♠6,♥K,♦A,♣K | Pair
♥10,♠6,♥K,♣K,♠3 | Pair
♥10,♠6,♣10,♣2,♦A | Pair
♥10,♠6,♣10,♣2,♣K | Pair
♥10,♠6,♣10,♣2,♠3 | Pair
♥10,♠6,♣10,♦A,♣K | Pair
♥10,♠6,♣10,♦A,♠3 | Pair
♥10,♠6,♣10,♣K,♠3 | Pair
♥10,♥9,♣J,♣6,♣10 | Pair
♥10,♥9,♣J,♥K,♣10 | Pair
♥10,♥9,♣J,♥K,♣K | Pair
♥10,♥9,♣J,♣10,♣2 | Pair
♥10,♥9,♣J,♣10,♦A | Pair
♥10,♥9,♣J,♣10,♣K | Pair
♥10,♥9,♣J,♣10,♠3 | Pair
♥10,♥9,♣6,♥K,♣10 | Pair
♥10,♥9,♣6,♥K,♣K | Pair
♥10,♥9,♣6,♣10,♣2 | Pair
♥10,♥9,♣6,♣10,♦A | Pair
♥10,♥9,♣6,♣10,♣K | Pair
♥10,♥9,♣6,♣10,♠3 | Pair
♥10,♥9,♥K,♣10,♣2 | Pair
♥10,♥9,♥K,♣10,♦A | Pair
♥10,♥9,♥K,♣10,♣K | Two Pairs
♥10,♥9,♥K,♣10,♠3 | Pair
♥10,♥9,♥K,♣2,♣K | Pair
♥10,♥9,♥K,♦A,♣K | Pair
♥10,♥9,♥K,♣K,♠3 | Pair
♥10,♥9,♣10,♣2,♦A | Pair
♥10,♥9,♣10,♣2,♣K | Pair
♥10,♥9,♣10,♣2,♠3 | Pair
♥10,♥9,♣10,♦A,♣K | Pair
♥10,♥9,♣10,♦A,♠3 | Pair
♥10,♥9,♣10,♣K,♠3 | Pair
♥10,♣J,♣6,♥K,♣10 | Pair
♥10,♣J,♣6,♥K,♣K | Pair
♥10,♣J,♣6,♣10,♣2 | Pair
♥10,♣J,♣6,♣10,♦A | Pair
♥10,♣J,♣6,♣10,♣K | Pair
♥10,♣J,♣6,♣10,♠3 | Pair
♥10,♣J,♥K,♣10,♣2 | Pair
♥10,♣J,♥K,♣10,♦A | Pair
♥10,♣J,♥K,♣10,♣K | Two Pairs
♥10,♣J,♥K,♣10,♠3 | Pair
♥10,♣J,♥K,♣2,♣K | Pair
♥10,♣J,♥K,♦A,♣K | Pair
♥10,♣J,♥K,♣K,♠3 | Pair
♥10,♣J,♣10,♣2,♦A | Pair
♥10,♣J,♣10,♣2,♣K | Pair
♥10,♣J,♣10,♣2,♠3 | Pair
♥10,♣J,♣10,♦A,♣K | Pair
♥10,♣J,♣10,♦A,♠3 | Pair
♥10,♣J,♣10,♣K,♠3 | Pair
♥10,♣6,♥K,♣10,♣2 | Pair
♥10,♣6,♥K,♣10,♦A | Pair
♥10,♣6,♥K,♣10,♣K | Two Pairs
♥10,♣6,♥K,♣10,♠3 | Pair
♥10,♣6,♥K,♣2,♣K | Pair
♥10,♣6,♥K,♦A,♣K | Pair
♥10,♣6,♥K,♣K,♠3 | Pair
♥10,♣6,♣10,♣2,♦A | Pair
♥10,♣6,♣10,♣2,♣K | Pair
♥10,♣6,♣10,♣2,♠3 | Pair
♥10,♣6,♣10,♦A,♣K | Pair
