♣A,♣9,♦8,♠7,♥A | Pair
♣9,♦8,♦5,♠9,♣2 | Pair
♣9,♦8,♦5,♠9,♠8 | Two Pairs
♣9,♦8,♦5,♣3,♠8 | Pair
♣9,♦8,♦5,♣2,♠8 | Pair
♣9,♦8,♠9,♣3,♣2 | Pair
♣9,♦8,♠9,♣3,♠8 | Two Pairs
♣9,♦8,♠9,♣2,♠8 | Two Pairs
♣9,♦8,♣3,♣2,♠8 | Pair
♣9,♠7,♥A,♦5,♠9 | Pair
♣9,♠7,♥A,♠9,♣3 | Pair
♣9,♠7,♥A,♠9,♣2 | Pair
♣9,♠7,♥A,♠9,♠8 | Pair
♣9,♠7,♦5,♠9,♣3 | Pair
♣9,♠7,♦5,♠9,♣2 | Pair
♣9,♠7,♦5,♠9,♠8 | Pair
♣9,♠7,♠9,♣3,♣2 | Pair
♣9,♠7,♠9,♣3,♠8 | Pair
♣9,♠7,♠9,♣2,♠8 | Pair
♣9,♥A,♦5,♠9,♣3 | Pair
♣9,♥A,♦5,♠9,♣2 | Pair
♣9,♥A,♦5,♠9,♠8 | Pair
♣9,♥A,♠9,♣3,♣2 | Pair
♣9,♥A,♠9,♣3,♠8 | Pair
♣9,♥A,♠9,♣2,♠8 | Pair
♣9,♦5,♠9,♣3,♣2 | Pair
♣9,♦5,♠9,♣3,♠8 | Pair
♣9,♦5,♠9,♣2,♠8 | Pair
♣9,♠9,♣3,♣2,♠8 | Pair
♦8,♠7,♥A,♦5,♠8 | Pair
♦8,♠7,♥A,♠9,♠8 | Pair
♦8,♠7,♥A,♣3,♠8 | Pair
♦8,♠7,♥A,♣2,♠8 | Pair
♦8,♠7,♦5,♠9,♠8 | Pair
♦8,♠7,♦5,♣3,♠8 | Pair
♦8,♠7,♦5,♣2,♠8 | Pair
♦8,♠7,♠9,♣3,♠8 | Pair
♦8,♠7,♠9,♣2,♠8 | Pair
♦8,♠7,♣3,♣2,♠8 | Pair
♦8,♥A,♦5,♠9,♠8 | Pair
♦8,♥A,♦5,♣3,♠8 | Pair
♦8,♥A,♦5,♣2,♠8 | Pair
♦8,♥A,♠9,♣3,♠8 | Pair
♦8,♥A,♠9,♣2,♠8 | Pair
♦8,♥A,♣3,♣2,♠8 | Pair
♦8,♦5,♠9,♣3,♠8 | Pair
♦8,♦5,♠9,♣2,♠8 | Pair
♦8,♦5,♣3,♣2,♠8 | Pair
♦8,♠9,♣3,♣2,♠8 | Pair
