♠4,♦J,♣7,♥10,♥7 | Pair
♠4,♥10,♦6,♥7,♠10 | Pair
♠4,♥10,♦6,♣10,♠10 | Three Of A Kind
♠4,♥10,♦6,♣10,♣K | Pair
♠4,♥10,♦6,♠10,♣K | Pair
♠4,♥10,♥8,♦2,♣10 | Pair
♠4,♥10,♥8,♦2,♠10 | Pair
♠4,♥10,♥8,♥7,♣10 | Pair
♠4,♥10,♥8,♥7,♠10 | Pair
♠4,♥10,♥8,♣10,♠10 | Three Of A Kind
♠4,♥10,♥8,♣10,♣K | Pair
♠4,♥10,♥8,♠10,♣K | Pair
♠4,♥10,♦2,♥7,♣10 | Pair
♠4,♥10,♦2,♥7,♠10 | Pair
♠4,♥10,♦2,♣10,♠10 | Three Of A Kind
♠4,♥10,♦2,♣10,♣K | Pair
♠4,♥10,♦2,♠10,♣K | Pair
♠4,♥10,♥7,♣10,♠10 | Three Of A Kind
♠4,♥10,♥7,♣10,♣K | Pair
♠4,♥10,♥7,♠10,♣K | Pair
♠4,♥10,♣10,♠10,♣K | Three Of A Kind
♠4,♦5,♦6,♥8,♥7 | Straight
♠4,♦5,♦6,♣10,♠10 | Pair
♠4,♦5,♥8,♣10,♠10 | Pair
♠4,♦5,♦2,♣10,♠10 | Pair
♠4,♦5,♥7,♣10,♠10 | Pair
♠4,♦5,♣10,♠10,♣K | Pair
♠4,♦6,♥8,♣10,♠10 | Pair
♠4,♦6,♦2,♣10,♠10 | Pair
♠4,♦6,♥7,♣10,♠10 | Pair
♠4,♦6,♣10,♠10,♣K | Pair
♠4,♥8,♦2,♣10,♠10 | Pair
♠4,♥8,♥7,♣10,♠10 | Pair
♠4,♥8,♣10,♠10,♣K | Pair
♠4,♦2,♥7,♣10,♠10 | Pair
♠4,♦2,♣10,♠10,♣K | Pair
♠4,♥7,♣10,♠10,♣K | Pair
♦J,♣7,♥10,♦5,♥7 | Pair
♦J,♣7,♥10,♦5,♣10 | Pair
♦J,♣7,♥10,♦5,♠10 | Pair
♦J,♣7,♥10,♦6,♥7 | Pair
♦J,♣7,♥10,♦6,♣10 | Pair
♦J,♣7,♥10,♦6,♠10 | Pair
♦J,♣7,♥10,♥8,♥7 | Pair
♦J,♣7,♥10,♥8,♣10 | Pair
♦J,♣7,♥10,♥8,♠10 | Pair
♦J,♣7,♥10,♦2,♥7 | Pair
♦J,♣7,♥10,♦2,♣10 | Pair
♦J,♣7,♥10,♦2,♠10 | Pair
♦J,♣7,♥10,♥7,♣10 | Two Pairs
♦J,♣7,♥10,♥7,♠10 | Two Pairs
♦J,♣7,♥10,♥7,♣K | Pair
♦J,♣7,♥10,♣10,♠10 | Three Of A Kind
♦J,♣7,♥10,♣10,♣K | Pair
♦J,♣7,♥10,♠10,♣K | Pair
♦J,♣7,♦5,♦6,♥7 | Pair
♦J,♣7,♦5,♥8,♥7 | Pair
♦J,♣7,♦5,♦2,♥7 | Pair
♦J,♣7,♦5,♥7,♣10 | Pair
♦J,♣7,♦5,♥7,♠10 | Pair
♦J,♣7,♦5,♥7,♣K | Pair
♦J,♣7,♦5,♣10,♠10 | Pair
♦J,♣7,♦6,♥8,♥7 | Pair
♦J,♣7,♦6,♦2,♥7 | Pair
♦J,♣7,♦6,♥7,♣10 | Pair
♦J,♣7,♦6,♥7,♠10 | Pair
♦J,♣7,♦6,♥7,♣K | Pair
♦J,♣7,♦6,♣10,♠10 | Pair
♦J,♣7,♥8,♦2,♥7 | Pair
♦J,♣7,♥8,♥7,♣10 | Pair
♦J,♣7,♥8,♥7,♠10 | Pair
♦J,♣7,♥8,♥7,♣K | Pair
♦J,♣7,♥8,♣10,♠10 | Pair
♦J,♣7,♦2,♥7,♣10 | Pair
♦J,♣7,♦2,♥7,♠10 | Pair
♦J,♣7,♦2,♥7,♣K | Pair
♦J,♣7,♦2,♣10,♠10 | Pair
♦J,♣7,♥7,♣10,♠10 | Two Pairs
♦J,♣7,♥7,♣10,♣K | Pair
♦J,♣7,♥7,♠10,♣K | Pair
♦J,♣7,♣10,♠10,♣K | Pair
♦J,♥10,♦5,♦6,♣10 | Pair
♦J,♥10,♦5,♦6,♠10 | Pair
♦J,♥10,♦5,♥8,♣10 | Pair
♦J,♥10,♦5,♥8,♠10 | Pair
♦J,♥10,♦5,♦2,♣10 | Pair
♦J,♥10,♦5,♦2,♠10 | Pair
♦J,♥10,♦5,♥7,♣10 | Pair
♦J,♥10,♦5,♥7,♠10 | Pair
♦J,♥10,♦5,♣10,♠10 | Three Of A Kind
♦J,♥10,♦5,♣10,♣K | Pair
♦J,♥10,♦5,♠10,♣K | Pair
♦J,♥10,♦6,♥8,♣10 | Pair
♦J,♥10,♦6,♥8,♠10 | Pair
♦J,♥10,♦6,♦2,♣10 | Pair
♦J,♥10,♦6,♦2,♠10 | Pair
♦J,♥10,♦6,♥7,♣10 | Pair
♦J,♥10,♦6,♥7,♠10 | Pair
♦J,♥10,♦6,♣10,♠10 | Three Of A Kind
♦J,♥10,♦6,♣10,♣K | Pair
♦J,♥10,♦6,♠10,♣K | Pair
♦J,♥10,♥8,♦2,♣10 | Pair
♦J,♥10,♥8,♦2,♠10 | Pair
♦J,♥10,♥8,♥7,♣10 | Pair
♦J,♥10,♥8,♥7,♠10 | Pair
♦J,♥10,♥8,♣10,♠10 | Three Of A Kind
♦J,♥10,♥8,♣10,♣K | Pair
♦J,♥10,♥8,♠10,♣K | Pair
♦J,♥10,♦2,♥7,♣10 | Pair
♦J,♥10,♦2,♥7,♠10 | Pair
♦J,♥10,♦2,♣10,♠10 | Three Of A Kind
♦J,♥10,♦2,♣10,♣K | Pair
♦J,♥10,♦2,♠10,♣K | Pair
♦J,♥10,♥7,♣10,♠10 | Three Of A Kind
♦J,♥10,♥7,♣10,♣K | Pair
♦J,♥10,♥7,♠10,♣K | Pair
♦J,♥10,♣10,♠10,♣K | Three Of A Kind
♦J,♦5,♦6,♣10,♠10 | Pair
♦J,♦5,♥8,♣10,♠10 | Pair
♦J,♦5,♦2,♣10,♠10 | Pair
♦J,♦5,♥7,♣10,♠10 | Pair
♦J,♦5,♣10,♠10,♣K | Pair
♦J,♦6,♥8,♣10,♠10 | Pair
♦J,♦6,♦2,♣10,♠10 | Pair
♦J,♦6,♥7,♣10,♠10 | Pair
♦J,♦6,♣10,♠10,♣K | Pair
♦J,♥8,♦2,♣10,♠10 | Pair
♦J,♥8,♥7,♣10,♠10 | Pair
♦J,♥8,♣10,♠10,♣K | Pair
♦J,♦2,♥7,♣10,♠10 | Pair
♦J,♦2,♣10,♠10,♣K | Pair
♦J,♥7,♣10,♠10,♣K | Pair
♣7,♥10,♦5,♦6,♥7 | Pair
♣7,♥10,♦5,♦6,♣10 | Pair
♣7,♥10,♦5,♦6,♠10 | Pair
♣7,♥10,♦5,♥8,♥7 | Pair
♣7,♥10,♦5,♥8,♣10 | Pair
♣7,♥10,♦5,♥8,♠10 | Pair
♣7,♥10,♦5,♦2,♥7 | Pair
♣7,♥10,♦5,♦2,♣10 | Pair
♣7,♥10,♦5,♦2,♠10 | Pair
♣7,♥10,♦5,♥7,♣10 | Two Pairs
♣7,♥10,♦5,♥7,♠10 | Two Pairs
♣7,♥10,♦5,♥7,♣K | Pair
♣7,♥10,♦5,♣10,♠10 | Three Of A Kind
♣7,♥10,♦5,♣10,♣K | Pair
♣7,♥10,♦5,♠10,♣K | Pair
♣7,♥10,♦6,♥8,♥7 | Pair
♣7,♥10,♦6,♥8,♣10 | Pair
♣7,♥10,♦6,♥8,♠10 | Pair
♣7,♥10,♦6,♦2,♥7 | Pair
♣7,♥10,♦6,♦2,♣10 | Pair
♣7,♥10,♦6,♦2,♠10 | Pair
♣7,♥10,♦6,♥7,♣10 | Two Pairs
♣7,♥10,♦6,♥7,♠10 | Two Pairs
♣7,♥10,♦6,♥7,♣K | Pair
♣7,♥10,♦6,♣10,♠10 | Three Of A Kind
♣7,♥10,♦6,♣10,♣K | Pair
♣7,♥10,♦6,♠10,♣K | Pair
♣7,♥10,♥8,♦2,♥7 | Pair
♣7,♥10,♥8,♦2,♣10 | Pair
♣7,♥10,♥8,♦2,♠10 | Pair
♣7,♥10,♥8,♥7,♣10 | Two Pairs
♣7,♥10,♥8,♥7,♠10 | Two Pairs
♣7,♥10,♥8,♥7,♣K | Pair
♣7,♥10,♥8,♣10,♠10 | Three Of A Kind
♣7,♥10,♥8,♣10,♣K | Pair
♣7,♥10,♥8,♠10,♣K | Pair
♣7,♥10,♦2,♥7,♣10 | Two Pairs
♣7,♥10,♦2,♥7,♠10 | Two Pairs
♣7,♥10,♦2,♥7,♣K | Pair
♣7,♥10,♦2,♣10,♠10 | Three Of A Kind
♣7,♥10,♦2,♣10,♣K | Pair
♣7,♥10,♦2,♠10,♣K | Pair
♣7,♥10,♥7,♣10,♠10 | Full House
♣7,♥10,♥7,♣10,♣K | Two Pairs
♣7,♥10,♥7,♠10,♣K | Two Pairs
♣7,♥10,♣10,♠10,♣K | Three Of A Kind
♣7,♦5,♦6,♥8,♥7 | Pair
♣7,♦5,♦6,♦2,♥7 | Pair
♣7,♦5,♦6,♥7,♣10 | Pair
♣7,♦5,♦6,♥7,♠10 | Pair
♣7,♦5,♦6,♥7,♣K | Pair
♣7,♦5,♦6,♣10,♠10 | Pair
♣7,♦5,♥8,♦2,♥7 | Pair
♣7,♦5,♥8,♥7,♣10 | Pair
♣7,♦5,♥8,♥7,♠10 | Pair
♣7,♦5,♥8,♥7,♣K | Pair
♣7,♦5,♥8,♣10,♠10 | Pair
♣7,♦5,♦2,♥7,♣10 | Pair
♣7,♦5,♦2,♥7,♠10 | Pair
♣7,♦5,♦2,♥7,♣K | Pair
♣7,♦5,♦2,♣10,♠10 | Pair
♣7,♦5,♥7,♣10,♠10 | Two Pairs
♣7,♦5,♥7,♣10,♣K | Pair
♣7,♦5,♥7,♠10,♣K | Pair
♣7,♦5,♣10,♠10,♣K | Pair
♣7,♦6,♥8,♦2,♥7 | Pair
♣7,♦6,♥8,♥7,♣10 | Pair
♣7,♦6,♥8,♥7,♠10 | Pair
♣7,♦6,♥8,♥7,♣K | Pair
♣7,♦6,♥8,♣10,♠10 | Pair
♣7,♦6,♦2,♥7,♣10 | Pair
♣7,♦6,♦2,♥7,♠10 | Pair
♣7,♦6,♦2,♥7,♣K | Pair
♣7,♦6,♦2,♣10,♠10 | Pair
♣7,♦6,♥7,♣10,♠10 | Two Pairs
♣7,♦6,♥7,♣10,♣K | Pair
♣7,♦6,♥7,♠10,♣K | Pair
♣7,♦6,♣10,♠10,♣K | Pair
♣7,♥8,♦2,♥7,♣10 | Pair
♣7,♥8,♦2,♥7,♠10 | Pair
♣7,♥8,♦2,♥7,♣K | Pair
♣7,♥8,♦2,♣10,♠10 | Pair
♣7,♥8,♥7,♣10,♠10 | Two Pairs
♣7,♥8,♥7,♣10,♣K | Pair
♣7,♥8,♥7,♠10,♣K | Pair
♣7,♥8,♣10,♠10,♣K | Pair
♣7,♦2,♥7,♣10,♠10 | Two Pairs
♣7,♦2,♥7,♣10,♣K | Pair
♣7,♦2,♥7,♠10,♣K | Pair
♣7,♦2,♣10,♠10,♣K | Pair
♣7,♥7,♣10,♠10,♣K | Two Pairs
♥10,♦5,♦6,♥8,♣10 | Pair
♥10,♦5,♦6,♥8,♠10 | Pair
♥10,♦5,♦6,♦2,♣10 | Pair
♥10,♦5,♦6,♦2,♠10 | Pair
♥10,♦5,♦6,♥7,♣10 | Pair
♥10,♦5,♦6,♥7,♠10 | Pair
♥10,♦5,♦6,♣10,♠10 | Three Of A Kind
♥10,♦5,♦6,♣10,♣K | Pair
♥10,♦5,♦6,♠10,♣K | Pair
♥10,♦5,♥8,♦2,♣10 | Pair
♥10,♦5,♥8,♦2,♠10 | Pair
♥10,♦5,♥8,♥7,♣10 | Pair
♥10,♦5,♥8,♥7,♠10 | Pair
♥10,♦5,♥8,♣10,♠10 | Three Of A Kind
♥10,♦5,♥8,♣10,♣K | Pair
♥10,♦5,♥8,♠10,♣K | Pair
♥10,♦5,♦2,♥7,♣10 | Pair
♥10,♦5,♦2,♥7,♠10 | Pair
♥10,♦5,♦2,♣10,♠10 | Three Of A Kind
♥10,♦5,♦2,♣10,♣K | Pair
♥10,♦5,♦2,♠10,♣K | Pair
♥10,♦5,♥7,♣10,♠10 | Three Of A Kind
♥10,♦5,♥7,♣10,♣K | Pair
♥10,♦5,♥7,♠10,♣K | Pair
♥10,♦5,♣10,♠10,♣K | Three Of A Kind
♥10,♦6,♥8,♦2,♣10 | Pair
♥10,♦6,♥8,♦2,♠10 | Pair
♥10,♦6,♥8,♥7,♣10 | Pair
♥10,♦6,♥8,♥7,♠10 | Pair
♥10,♦6,♥8,♣10,♠10 | Three Of A Kind
♥10,♦6,♥8,♣10,♣K | Pair
♥10,♦6,♥8,♠10,♣K | Pair
♥10,♦6,♦2,♥7,♣10 | Pair
♥10,♦6,♦2,♥7,♠10 | Pair
♥10,♦6,♦2,♣10,♠10 | Three Of A Kind
♥10,♦6,♦2,♣10,♣K | Pair
♥10,♦6,♦2,♠10,♣K | Pair
♥10,♦6,♥7,♣10,♠10 | Three Of A Kind
♥10,♦6,♥7,♣10,♣K | Pair
♥10,♦6,♥7,♠10,♣K | Pair
♥10,♦6,♣10,♠10,♣K | Three Of A Kind
♥10,♥8,♦2,♥7,♣10 | Pair
♥10,♥8,♦2,♥7,♠10 | Pair
♥10,♥8,♦2,♣10,♠10 | Three Of A Kind
♥10,♥8,♦2,♣10,♣K | Pair
♥10,♥8,♦2,♠10,♣K | Pair
♥10,♥8,♥7,♣10,♠10 | Three Of A Kind
♥10,♥8,♥7,♣10,♣K | Pair
♥10,♥8,♥7,♠10,♣K | Pair
♥10,♥8,♣10,♠10,♣K | Three Of A Kind
♥10,♦2,♥7,♣10,♠10 | Three Of A Kind
♥10,♦2,♥7,♣10,♣K | Pair
♥10,♦2,♥7,♠10,♣K | Pair
♥10,♦2,♣10,♠10,♣K | Three Of A Kind
♥10,♥7,♣10,♠10,♣K | Three Of A Kind
♦5,♦6,♥8,♣10,♠10 | Pair
♦5,♦6,♦2,♣10,♠10 | Pair
♦5,♦6,♥7,♣10,♠10 | Pair
♦5,♦6,♣10,♠10,♣K | Pair
♦5,♥8,♦2,♣10,♠10 | Pair
♦5,♥8,♥7,♣10,♠10 | Pair
♦5,♥8,♣10,♠10,♣K | Pair
♦5,♦2,♥7,♣10,♠10 | Pair
♦5,♦2,♣10,♠10,♣K | Pair
♦5,♥7,♣10,♠10,♣K | Pair
♦6,♥8,♦2,♣10,♠10 | Pair
♦6,♥8,♥7,♣10,♠10 | Pair
♦6,♥8,♣10,♠10,♣K | Pair
♦6,♦2,♥7,♣10,♠10 | Pair
♦6,♦2,♣10,♠10,♣K | Pair
♦6,♥7,♣10,♠10,♣K | Pair
♥8,♦2,♥7,♣10,♠10 | Pair
♥8,♦2,♣10,♠10,♣K | Pair
♥8,♥7,♣10,♠10,♣K | Pair
♦2,♥7,♣10,♠10,♣K | Pair
