♠4,♠2,♥A,♠6,♦6 | Pair
♠4,♦9,♦6,♣6,♥8 | Pair
♠4,♦9,♠9,♣5,♣6 | Pair
♠4,♦9,♠9,♣5,♥8 | Pair
♠4,♦9,♠9,♣6,♥8 | Pair
♠4,♥7,♣3,♦6,♣5 | Straight
♠4,♥7,♣3,♦6,♣6 | Pair
♠4,♥7,♣3,♣5,♣6 | Straight
♠4,♥7,♦6,♠9,♣6 | Pair
♠4,♥7,♦6,♣5,♣6 | Pair
♠4,♥7,♦6,♣5,♥8 | Straight
♠4,♥7,♦6,♣6,♥8 | Pair
♠4,♥7,♣5,♣6,♥8 | Straight
♠4,♣3,♦6,♠9,♣6 | Pair
♠4,♣3,♦6,♣5,♣6 | Pair
♠4,♣3,♦6,♣6,♥8 | Pair
♠4,♦6,♠9,♣5,♣6 | Pair
♠4,♦6,♠9,♣6,♥8 | Pair
♠4,♦6,♣5,♣6,♥8 | Pair
♠2,♥A,♠6,♥10,♦6 | Pair
♠2,♥A,♠6,♥10,♣6 | Pair
♠2,♥A,♠6,♦9,♦6 | Pair
♠2,♥A,♠6,♦9,♠9 | Pair
♠2,♥A,♠6,♦9,♣6 | Pair
♠2,♥A,♠6,♥7,♦6 | Pair
♠2,♥A,♠6,♥7,♣6 | Pair
♠2,♥A,♠6,♣3,♦6 | Pair
♠2,♥A,♠6,♣3,♣6 | Pair
♠2,♥A,♠6,♦6,♠9 | Pair
♠2,♥A,♠6,♦6,♣5 | Pair
♠2,♥A,♠6,♦6,♣6 | Three Of A Kind
♠2,♥A,♠6,♦6,♥8 | Pair
♠2,♥A,♠6,♠9,♣6 | Pair
♠2,♥A,♠6,♣5,♣6 | Pair
♠2,♥A,♠6,♣6,♥8 | Pair
♠2,♥A,♥10,♦9,♠9 | Pair
♠2,♥A,♥10,♦6,♣6 | Pair
♠2,♥A,♦9,♥7,♠9 | Pair
♠2,♥A,♦9,♣3,♠9 | Pair
♠2,♥A,♦9,♦6,♠9 | Pair
♠2,♥A,♦9,♦6,♣6 | Pair
♠2,♥A,♦9,♠9,♣5 | Pair
♠2,♥A,♦9,♠9,♣6 | Pair
♠2,♥A,♦9,♠9,♥8 | Pair
♠2,♥A,♥7,♦6,♣6 | Pair
♠2,♥A,♣3,♦6,♣6 | Pair
♠2,♥A,♦6,♠9,♣6 | Pair
♠2,♥A,♦6,♣5,♣6 | Pair
♠2,♥A,♦6,♣6,♥8 | Pair
♠2,♠6,♥10,♦9,♦6 | Pair
♠2,♠6,♥10,♦9,♠9 | Pair
♠2,♠6,♥10,♦9,♣6 | Pair
♠2,♠6,♥10,♥7,♦6 | Pair
♠2,♠6,♥10,♥7,♣6 | Pair
♠2,♠6,♥10,♣3,♦6 | Pair
♠2,♠6,♥10,♣3,♣6 | Pair
♠2,♠6,♥10,♦6,♠9 | Pair
♠2,♠6,♥10,♦6,♣5 | Pair
♠2,♠6,♥10,♦6,♣6 | Three Of A Kind
♠2,♠6,♥10,♦6,♥8 | Pair
♠2,♠6,♥10,♠9,♣6 | Pair
♠2,♠6,♥10,♣5,♣6 | Pair
♠2,♠6,♥10,♣6,♥8 | Pair
♠2,♠6,♦9,♥7,♦6 | Pair
♠2,♠6,♦9,♥7,♠9 | Pair
♠2,♠6,♦9,♥7,♣6 | Pair
♠2,♠6,♦9,♣3,♦6 | Pair
♠2,♠6,♦9,♣3,♠9 | Pair
♠2,♠6,♦9,♣3,♣6 | Pair
♠2,♠6,♦9,♦6,♠9 | Two Pairs
♠2,♠6,♦9,♦6,♣5 | Pair
♠2,♠6,♦9,♦6,♣6 | Three Of A Kind
♠2,♠6,♦9,♦6,♥8 | Pair
♠2,♠6,♦9,♠9,♣5 | Pair
♠2,♠6,♦9,♠9,♣6 | Two Pairs
♠2,♠6,♦9,♠9,♥8 | Pair
♠2,♠6,♦9,♣5,♣6 | Pair
♠2,♠6,♦9,♣6,♥8 | Pair
♠2,♠6,♥7,♣3,♦6 | Pair
♠2,♠6,♥7,♣3,♣6 | Pair
♠2,♠6,♥7,♦6,♠9 | Pair
♠2,♠6,♥7,♦6,♣5 | Pair
♠2,♠6,♥7,♦6,♣6 | Three Of A Kind
♠2,♠6,♥7,♦6,♥8 | Pair
♠2,♠6,♥7,♠9,♣6 | Pair
♠2,♠6,♥7,♣5,♣6 | Pair
♠2,♠6,♥7,♣6,♥8 | Pair
♠2,♠6,♣3,♦6,♠9 | Pair
♠2,♠6,♣3,♦6,♣5 | Pair
♠2,♠6,♣3,♦6,♣6 | Three Of A Kind
♠2,♠6,♣3,♦6,♥8 | Pair
♠2,♠6,♣3,♠9,♣6 | Pair
♠2,♠6,♣3,♣5,♣6 | Pair
♠2,♠6,♣3,♣6,♥8 | Pair
♠2,♠6,♦6,♠9,♣5 | Pair
♠2,♠6,♦6,♠9,♣6 | Three Of A Kind
♠2,♠6,♦6,♠9,♥8 | Pair
♠2,♠6,♦6,♣5,♣6 | Three Of A Kind
♠2,♠6,♦6,♣5,♥8 | Pair
♠2,♠6,♦6,♣6,♥8 | Three Of A Kind
♠2,♠6,♠9,♣5,♣6 | Pair
♠2,♠6,♠9,♣6,♥8 | Pair
♠2,♠6,♣5,♣6,♥8 | Pair
♠2,♥10,♦9,♥7,♠9 | Pair
♠2,♥10,♦9,♣3,♠9 | Pair
♠2,♥10,♦9,♦6,♠9 | Pair
♠2,♥10,♦9,♦6,♣6 | Pair
♠2,♥10,♦9,♠9,♣5 | Pair
♠2,♥10,♦9,♠9,♣6 | Pair
♠2,♥10,♦9,♠9,♥8 | Pair
♠2,♥10,♥7,♦6,♣6 | Pair
♠2,♥10,♣3,♦6,♣6 | Pair
♠2,♥10,♦6,♠9,♣6 | Pair
♠2,♥10,♦6,♣5,♣6 | Pair
♠2,♥10,♦6,♣6,♥8 | Pair
♠2,♦9,♥7,♣3,♠9 | Pair
♠2,♦9,♥7,♦6,♠9 | Pair
♠2,♦9,♥7,♦6,♣6 | Pair
♠2,♦9,♥7,♠9,♣5 | Pair
♠2,♦9,♥7,♠9,♣6 | Pair
♠2,♦9,♥7,♠9,♥8 | Pair
♠2,♦9,♣3,♦6,♠9 | Pair
♠2,♦9,♣3,♦6,♣6 | Pair
♠2,♦9,♣3,♠9,♣5 | Pair
♠2,♦9,♣3,♠9,♣6 | Pair
♠2,♦9,♣3,♠9,♥8 | Pair
♠2,♦9,♦6,♠9,♣5 | Pair
♠2,♦9,♦6,♠9,♣6 | Two Pairs
♠2,♦9,♦6,♠9,♥8 | Pair
♠2,♦9,♦6,♣5,♣6 | Pair
♠2,♦9,♦6,♣6,♥8 | Pair
♠2,♦9,♠9,♣5,♣6 | Pair
♠2,♦9,♠9,♣5,♥8 | Pair
♠2,♦9,♠9,♣6,♥8 | Pair
♠2,♥7,♣3,♦6,♣6 | Pair
♠2,♥7,♦6,♠9,♣6 | Pair
♠2,♥7,♦6,♣5,♣6 | Pair
♠2,♥7,♦6,♣6,♥8 | Pair
♠2,♣3,♦6,♠9,♣6 | Pair
♠2,♣3,♦6,♣5,♣6 | Pair
♠2,♣3,♦6,♣6,♥8 | Pair
♠2,♦6,♠9,♣5,♣6 | Pair
♠2,♦6,♠9,♣6,♥8 | Pair
♠2,♦6,♣5,♣6,♥8 | Pair
♥A,♠6,♥10,♦9,♦6 | Pair
♥A,♠6,♥10,♦9,♠9 | Pair
♥A,♠6,♥10,♦9,♣6 | Pair
♥A,♠6,♥10,♥7,♦6 | Pair
♥A,♠6,♥10,♥7,♣6 | Pair
♥A,♠6,♥10,♣3,♦6 | Pair
♥A,♠6,♥10,♣3,♣6 | Pair
♥A,♠6,♥10,♦6,♠9 | Pair
♥A,♠6,♥10,♦6,♣5 | Pair
♥A,♠6,♥10,♦6,♣6 | Three Of A Kind
♥A,♠6,♥10,♦6,♥8 | Pair
♥A,♠6,♥10,♠9,♣6 | Pair
♥A,♠6,♥10,♣5,♣6 | Pair
♥A,♠6,♥10,♣6,♥8 | Pair
♥A,♠6,♦9,♥7,♦6 | Pair
♥A,♠6,♦9,♥7,♠9 | Pair
♥A,♠6,♦9,♥7,♣6 | Pair
♥A,♠6,♦9,♣3,♦6 | Pair
♥A,♠6,♦9,♣3,♠9 | Pair
♥A,♠6,♦9,♣3,♣6 | Pair
♥A,♠6,♦9,♦6,♠9 | Two Pairs
♥A,♠6,♦9,♦6,♣5 | Pair
♥A,♠6,♦9,♦6,♣6 | Three Of A Kind
♥A,♠6,♦9,♦6,♥8 | Pair
♥A,♠6,♦9,♠9,♣5 | Pair
♥A,♠6,♦9,♠9,♣6 | Two Pairs
♥A,♠6,♦9,♠9,♥8 | Pair
♥A,♠6,♦9,♣5,♣6 | Pair
♥A,♠6,♦9,♣6,♥8 | Pair
♥A,♠6,♥7,♣3,♦6 | Pair
♥A,♠6,♥7,♣3,♣6 | Pair
♥A,♠6,♥7,♦6,♠9 | Pair
♥A,♠6,♥7,♦6,♣5 | Pair
♥A,♠6,♥7,♦6,♣6 | Three Of A Kind
♥A,♠6,♥7,♦6,♥8 | Pair
♥A,♠6,♥7,♠9,♣6 | Pair
♥A,♠6,♥7,♣5,♣6 | Pair
♥A,♠6,♥7,♣6,♥8 | Pair
♥A,♠6,♣3,♦6,♠9 | Pair
♥A,♠6,♣3,♦6,♣5 | Pair
♥A,♠6,♣3,♦6,♣6 | Three Of A Kind
♥A,♠6,♣3,♦6,♥8 | Pair
♥A,♠6,♣3,♠9,♣6 | Pair
♥A,♠6,♣3,♣5,♣6 | Pair
♥A,♠6,♣3,♣6,♥8 | Pair
♥A,♠6,♦6,♠9,♣5 | Pair
♥A,♠6,♦6,♠9,♣6 | Three Of A Kind
♥A,♠6,♦6,♠9,♥8 | Pair
♥A,♠6,♦6,♣5,♣6 | Three Of A Kind
♥A,♠6,♦6,♣5,♥8 | Pair
♥A,♠6,♦6,♣6,♥8 | Three Of A Kind
♥A,♠6,♠9,♣5,♣6 | Pair
♥A,♠6,♠9,♣6,♥8 | Pair
♥A,♠6,♣5,♣6,♥8 | Pair
♥A,♥10,♦9,♥7,♠9 | Pair
♥A,♥10,♦9,♣3,♠9 | Pair
♥A,♥10,♦9,♦6,♠9 | Pair
♥A,♥10,♦9,♦6,♣6 | Pair
♥A,♥10,♦9,♠9,♣5 | Pair
♥A,♥10,♦9,♠9,♣6 | Pair
♥A,♥10,♦9,♠9,♥8 | Pair
♥A,♥10,♥7,♦6,♣6 | Pair
♥A,♥10,♣3,♦6,♣6 | Pair
♥A,♥10,♦6,♠9,♣6 | Pair
♥A,♥10,♦6,♣5,♣6 | Pair
♥A,♥10,♦6,♣6,♥8 | Pair
♥A,♦9,♥7,♣3,♠9 | Pair
♥A,♦9,♥7,♦6,♠9 | Pair
♥A,♦9,♥7,♦6,♣6 | Pair
♥A,♦9,♥7,♠9,♣5 | Pair
♥A,♦9,♥7,♠9,♣6 | Pair
♥A,♦9,♥7,♠9,♥8 | Pair
♥A,♦9,♣3,♦6,♠9 | Pair
♥A,♦9,♣3,♦6,♣6 | Pair
♥A,♦9,♣3,♠9,♣5 | Pair
♥A,♦9,♣3,♠9,♣6 | Pair
♥A,♦9,♣3,♠9,♥8 | Pair
♥A,♦9,♦6,♠9,♣5 | Pair
♥A,♦9,♦6,♠9,♣6 | Two Pairs
♥A,♦9,♦6,♠9,♥8 | Pair
♥A,♦9,♦6,♣5,♣6 | Pair
♥A,♦9,♦6,♣6,♥8 | Pair
♥A,♦9,♠9,♣5,♣6 | Pair
♥A,♦9,♠9,♣5,♥8 | Pair
♥A,♦9,♠9,♣6,♥8 | Pair
♥A,♥7,♣3,♦6,♣6 | Pair
♥A,♥7,♦6,♠9,♣6 | Pair
♥A,♥7,♦6,♣5,♣6 | Pair
♥A,♥7,♦6,♣6,♥8 | Pair
♥A,♣3,♦6,♠9,♣6 | Pair
♥A,♣3,♦6,♣5,♣6 | Pair
♥A,♣3,♦6,♣6,♥8 | Pair
♥A,♦6,♠9,♣5,♣6 | Pair
♥A,♦6,♠9,♣6,♥8 | Pair
♥A,♦6,♣5,♣6,♥8 | Pair
♠6,♥10,♦9,♥7,♦6 | Pair
♠6,♥10,♦9,♥7,♠9 | Pair
♠6,♥10,♦9,♥7,♣6 | Pair
♠6,♥10,♦9,♥7,♥8 | Straight
♠6,♥10,♦9,♣3,♦6 | Pair
♠6,♥10,♦9,♣3,♠9 | Pair
♠6,♥10,♦9,♣3,♣6 | Pair
♠6,♥10,♦9,♦6,♠9 | Two Pairs
♠6,♥10,♦9,♦6,♣5 | Pair
♠6,♥10,♦9,♦6,♣6 | Three Of A Kind
♠6,♥10,♦9,♦6,♥8 | Pair
♠6,♥10,♦9,♠9,♣5 | Pair
♠6,♥10,♦9,♠9,♣6 | Two Pairs
♠6,♥10,♦9,♠9,♥8 | Pair
♠6,♥10,♦9,♣5,♣6 | Pair
♠6,♥10,♦9,♣6,♥8 | Pair
♠6,♥10,♥7,♣3,♦6 | Pair
♠6,♥10,♥7,♣3,♣6 | Pair
♠6,♥10,♥7,♦6,♠9 | Pair
♠6,♥10,♥7,♦6,♣5 | Pair
♠6,♥10,♥7,♦6,♣6 | Three Of A Kind
♠6,♥10,♥7,♦6,♥8 | Pair
♠6,♥10,♥7,♠9,♣6 | Pair
♠6,♥10,♥7,♠9,♥8 | Straight
♠6,♥10,♥7,♣5,♣6 | Pair
♠6,♥10,♥7,♣6,♥8 | Pair
♠6,♥10,♣3,♦6,♠9 | Pair
♠6,♥10,♣3,♦6,♣5 | Pair
♠6,♥10,♣3,♦6,♣6 | Three Of A Kind
♠6,♥10,♣3,♦6,♥8 | Pair
♠6,♥10,♣3,♠9,♣6 | Pair
♠6,♥10,♣3,♣5,♣6 | Pair
♠6,♥10,♣3,♣6,♥8 | Pair
♠6,♥10,♦6,♠9,♣5 | Pair
♠6,♥10,♦6,♠9,♣6 | Three Of A Kind
♠6,♥10,♦6,♠9,♥8 | Pair
♠6,♥10,♦6,♣5,♣6 | Three Of A Kind
♠6,♥10,♦6,♣5,♥8 | Pair
♠6,♥10,♦6,♣6,♥8 | Three Of A Kind
♠6,♥10,♠9,♣5,♣6 | Pair
♠6,♥10,♠9,♣6,♥8 | Pair
♠6,♥10,♣5,♣6,♥8 | Pair
♠6,♦9,♥7,♣3,♦6 | Pair
♠6,♦9,♥7,♣3,♠9 | Pair
♠6,♦9,♥7,♣3,♣6 | Pair
♠6,♦9,♥7,♦6,♠9 | Two Pairs
♠6,♦9,♥7,♦6,♣5 | Pair
♠6,♦9,♥7,♦6,♣6 | Three Of A Kind
♠6,♦9,♥7,♦6,♥8 | Pair
♠6,♦9,♥7,♠9,♣5 | Pair
♠6,♦9,♥7,♠9,♣6 | Two Pairs
♠6,♦9,♥7,♠9,♥8 | Pair
♠6,♦9,♥7,♣5,♣6 | Pair
♠6,♦9,♥7,♣5,♥8 | Straight
♠6,♦9,♥7,♣6,♥8 | Pair
♠6,♦9,♣3,♦6,♠9 | Two Pairs
♠6,♦9,♣3,♦6,♣5 | Pair
♠6,♦9,♣3,♦6,♣6 | Three Of A Kind
♠6,♦9,♣3,♦6,♥8 | Pair
♠6,♦9,♣3,♠9,♣5 | Pair
♠6,♦9,♣3,♠9,♣6 | Two Pairs
♠6,♦9,♣3,♠9,♥8 | Pair
♠6,♦9,♣3,♣5,♣6 | Pair
♠6,♦9,♣3,♣6,♥8 | Pair
♠6,♦9,♦6,♠9,♣5 | Two Pairs
♠6,♦9,♦6,♠9,♣6 | Full House
♠6,♦9,♦6,♠9,♥8 | Two Pairs
♠6,♦9,♦6,♣5,♣6 | Three Of A Kind
♠6,♦9,♦6,♣5,♥8 | Pair
♠6,♦9,♦6,♣6,♥8 | Three Of A Kind
♠6,♦9,♠9,♣5,♣6 | Two Pairs
♠6,♦9,♠9,♣5,♥8 | Pair
♠6,♦9,♠9,♣6,♥8 | Two Pairs
♠6,♦9,♣5,♣6,♥8 | Pair
♠6,♥7,♣3,♦6,♠9 | Pair
♠6,♥7,♣3,♦6,♣5 | Pair
♠6,♥7,♣3,♦6,♣6 | Three Of A Kind
♠6,♥7,♣3,♦6,♥8 | Pair
♠6,♥7,♣3,♠9,♣6 | Pair
♠6,♥7,♣3,♣5,♣6 | Pair
♠6,♥7,♣3,♣6,♥8 | Pair
♠6,♥7,♦6,♠9,♣5 | Pair
♠6,♥7,♦6,♠9,♣6 | Three Of A Kind
♠6,♥7,♦6,♠9,♥8 | Pair
♠6,♥7,♦6,♣5,♣6 | Three Of A Kind
♠6,♥7,♦6,♣5,♥8 | Pair
♠6,♥7,♦6,♣6,♥8 | Three Of A Kind
♠6,♥7,♠9,♣5,♣6 | Pair
♠6,♥7,♠9,♣5,♥8 | Straight
♠6,♥7,♠9,♣6,♥8 | Pair
♠6,♥7,♣5,♣6,♥8 | Pair
♠6,♣3,♦6,♠9,♣5 | Pair
♠6,♣3,♦6,♠9,♣6 | Three Of A Kind
♠6,♣3,♦6,♠9,♥8 | Pair
♠6,♣3,♦6,♣5,♣6 | Three Of A Kind
♠6,♣3,♦6,♣5,♥8 | Pair
♠6,♣3,♦6,♣6,♥8 | Three Of A Kind
♠6,♣3,♠9,♣5,♣6 | Pair
♠6,♣3,♠9,♣6,♥8 | Pair
♠6,♣3,♣5,♣6,♥8 | Pair
♠6,♦6,♠9,♣5,♣6 | Three Of A Kind
♠6,♦6,♠9,♣5,♥8 | Pair
♠6,♦6,♠9,♣6,♥8 | Three Of A Kind
♠6,♦6,♣5,♣6,♥8 | Three Of A Kind
♠6,♠9,♣5,♣6,♥8 | Pair
♥10,♦9,♥7,♣3,♠9 | Pair
♥10,♦9,♥7,♦6,♠9 | Pair
♥10,♦9,♥7,♦6,♣6 | Pair
♥10,♦9,♥7,♦6,♥8 | Straight
♥10,♦9,♥7,♠9,♣5 | Pair
♥10,♦9,♥7,♠9,♣6 | Pair
♥10,♦9,♥7,♠9,♥8 | Pair
♥10,♦9,♥7,♣6,♥8 | Straight
♥10,♦9,♣3,♦6,♠9 | Pair
♥10,♦9,♣3,♦6,♣6 | Pair
♥10,♦9,♣3,♠9,♣5 | Pair
♥10,♦9,♣3,♠9,♣6 | Pair
♥10,♦9,♣3,♠9,♥8 | Pair
♥10,♦9,♦6,♠9,♣5 | Pair
♥10,♦9,♦6,♠9,♣6 | Two Pairs
♥10,♦9,♦6,♠9,♥8 | Pair
♥10,♦9,♦6,♣5,♣6 | Pair
♥10,♦9,♦6,♣6,♥8 | Pair
♥10,♦9,♠9,♣5,♣6 | Pair
♥10,♦9,♠9,♣5,♥8 | Pair
♥10,♦9,♠9,♣6,♥8 | Pair
♥10,♥7,♣3,♦6,♣6 | Pair
♥10,♥7,♦6,♠9,♣6 | Pair
♥10,♥7,♦6,♠9,♥8 | Straight
♥10,♥7,♦6,♣5,♣6 | Pair
♥10,♥7,♦6,♣6,♥8 | Pair
♥10,♥7,♠9,♣6,♥8 | Straight
♥10,♣3,♦6,♠9,♣6 | Pair
♥10,♣3,♦6,♣5,♣6 | Pair
♥10,♣3,♦6,♣6,♥8 | Pair
♥10,♦6,♠9,♣5,♣6 | Pair
♥10,♦6,♠9,♣6,♥8 | Pair
♥10,♦6,♣5,♣6,♥8 | Pair
♦9,♥7,♣3,♦6,♠9 | Pair
♦9,♥7,♣3,♦6,♣6 | Pair
♦9,♥7,♣3,♠9,♣5 | Pair
♦9,♥7,♣3,♠9,♣6 | Pair
♦9,♥7,♣3,♠9,♥8 | Pair
♦9,♥7,♦6,♠9,♣5 | Pair
♦9,♥7,♦6,♠9,♣6 | Two Pairs
♦9,♥7,♦6,♠9,♥8 | Pair
♦9,♥7,♦6,♣5,♣6 | Pair
♦9,♥7,♦6,♣5,♥8 | Straight
♦9,♥7,♦6,♣6,♥8 | Pair
♦9,♥7,♠9,♣5,♣6 | Pair
♦9,♥7,♠9,♣5,♥8 | Pair
♦9,♥7,♠9,♣6,♥8 | Pair
♦9,♥7,♣5,♣6,♥8 | Straight
♦9,♣3,♦6,♠9,♣5 | Pair
♦9,♣3,♦6,♠9,♣6 | Two Pairs
♦9,♣3,♦6,♠9,♥8 | Pair
♦9,♣3,♦6,♣5,♣6 | Pair
♦9,♣3,♦6,♣6,♥8 | Pair
