♥9,♣Q,♦10,♥8,♣10 | Pair
♣Q,♦10,♣10,♠J,♥3 | Pair
♣Q,♦10,♣10,♠2,♥3 | Pair
♣Q,♥8,♥A,♦3,♥3 | Pair
♣Q,♥8,♦3,♣10,♥3 | Pair
♣Q,♥8,♦3,♥K,♥3 | Pair
♣Q,♥8,♦3,♠J,♥3 | Pair
♣Q,♥8,♦3,♠2,♥3 | Pair
♣Q,♥A,♦3,♣10,♥3 | Pair
♣Q,♥A,♦3,♥K,♥3 | Pair
♣Q,♥A,♦3,♠J,♥3 | Pair
♣Q,♥A,♦3,♠2,♥3 | Pair
♣Q,♥A,♣10,♥K,♠J | Straight
♣Q,♦3,♣10,♥K,♥3 | Pair
♣Q,♦3,♣10,♠J,♥3 | Pair
♣Q,♦3,♣10,♠2,♥3 | Pair
♣Q,♦3,♥K,♠J,♥3 | Pair
♣Q,♦3,♥K,♠2,♥3 | Pair
♣Q,♦3,♠J,♠2,♥3 | Pair
♦10,♥8,♥A,♦3,♣10 | Pair
♦10,♥8,♥A,♦3,♥3 | Pair
♦10,♥8,♥A,♣10,♥K | Pair
♦10,♥8,♥A,♣10,♠J | Pair
♦10,♥8,♥A,♣10,♠2 | Pair
♦10,♥8,♥A,♣10,♥3 | Pair
♦10,♥8,♦3,♣10,♥K | Pair
♦10,♥8,♦3,♣10,♠J | Pair
♦10,♥8,♦3,♣10,♠2 | Pair
♦10,♥8,♦3,♣10,♥3 | Two Pairs
♦10,♥8,♦3,♥K,♥3 | Pair
♦10,♥8,♦3,♠J,♥3 | Pair
♦10,♥8,♦3,♠2,♥3 | Pair
♦10,♥8,♣10,♥K,♠J | Pair
♦10,♥8,♣10,♥K,♠2 | Pair
♦10,♥8,♣10,♥K,♥3 | Pair
♦10,♥8,♣10,♠J,♠2 | Pair
♦10,♥8,♣10,♠J,♥3 | Pair
♦10,♥8,♣10,♠2,♥3 | Pair
♦10,♥A,♦3,♣10,♥K | Pair
♦10,♥A,♦3,♣10,♠J | Pair
♦10,♥A,♦3,♣10,♠2 | Pair
♦10,♥A,♦3,♣10,♥3 | Two Pairs
♦10,♥A,♦3,♥K,♥3 | Pair
♦10,♥A,♦3,♠J,♥3 | Pair
♦10,♥A,♦3,♠2,♥3 | Pair
♦10,♥A,♣10,♥K,♠J | Pair
♦10,♥A,♣10,♥K,♠2 | Pair
♦10,♥A,♣10,♥K,♥3 | Pair
♦10,♥A,♣10,♠J,♠2 | Pair
♦10,♥A,♣10,♠J,♥3 | Pair
♦10,♥A,♣10,♠2,♥3 | Pair
♦10,♦3,♣10,♥K,♠J | Pair
♦10,♦3,♣10,♥K,♠2 | Pair
♦10,♦3,♣10,♥K,♥3 | Two Pairs
♦10,♦3,♣10,♠J,♠2 | Pair
♦10,♦3,♣10,♠J,♥3 | Two Pairs
♦10,♦3,♣10,♠2,♥3 | Two Pairs
♦10,♦3,♥K,♠J,♥3 | Pair
♦10,♦3,♥K,♠2,♥3 | Pair
♦10,♦3,♠J,♠2,♥3 | Pair
♦10,♣10,♥K,♠J,♠2 | Pair
♦10,♣10,♥K,♠J,♥3 | Pair
♦10,♣10,♥K,♠2,♥3 | Pair
♦10,♣10,♠J,♠2,♥3 | Pair
♥8,♥A,♦3,♣10,♥3 | Pair
♥8,♥A,♦3,♥K,♥3 | Pair
♥8,♥A,♦3,♠J,♥3 | Pair
♥8,♥A,♦3,♠2,♥3 | Pair
♥8,♦3,♣10,♥K,♥3 | Pair
♥8,♦3,♣10,♠J,♥3 | Pair
♥8,♦3,♣10,♠2,♥3 | Pair
♥8,♦3,♥K,♠J,♥3 | Pair
♥8,♦3,♥K,♠2,♥3 | Pair
♥8,♦3,♠J,♠2,♥3 | Pair
♥A,♦3,♣10,♥K,♥3 | Pair
♥A,♦3,♣10,♠J,♥3 | Pair
♥A,♦3,♣10,♠2,♥3 | Pair
♥A,♦3,♥K,♠J,♥3 | Pair
♥A,♦3,♥K,♠2,♥3 | Pair
♥A,♦3,♠J,♠2,♥3 | Pair
♦3,♣10,♥K,♠J,♥3 | Pair
♦3,♣10,♥K,♠2,♥3 | Pair
♦3,♣10,♠J,♠2,♥3 | Pair
♦3,♥K,♠J,♠2,♥3 | Pair
